1	Oho	Oho	N	NE	_	3	vok	208	208
1	Ich	ich	P	PPER	1|Sg|_|Nom	2	subj	348	348
2	weiß	wissen	V	VVFIN	1|Sg|Pres|Ind	0	root	_	_
3	,	,	$	$,	_	0	root	_	_
4	daß	daß	K	KOUS	_	11	konj	_	_
5	ich	ich	P	PPER	1|Sg|_|Nom	11	subj	348	348
6	Euch	ihr	P	PPER	2|Pl|_|_	10	obja	_	_
7	allen	alle	P	PIS	_|_|_	6	app	_	_
8	manche	manche	A	PIAT	Fem|Nom|Sg	9	det	361	361
9	Sorge	Sorge	N	NN	Fem|Nom|Sg	10	pred	361	361
10	gemacht	machen	V	VVPP	_	11	aux	_	_
11	habe	haben	V	VAFIN	1|Sg|Pres|_	2	objc	_	_
12	und	und	K	KON	_	11	kon	_	_
13	manchen	manche	A	PIAT	Masc|_|Sg	14	det	_	_
14	Schmerz	Schmerz	N	NN	Masc|_|Sg	15	obja	_	_
15	bereitet	bereiten	V	VVFIN	_|_|Pres|_	12	cj	_	_
16	;	;	$	$.	_	0	root	_	_
17	aber	aber	K	KON	_	18	koord	_	_
18	glaube	glauben	V	VVFIN	_|Sg|Pres|_	0	root	_	_
19	mir	ich	P	PPER	1|Sg|_|Dat	18	objd	348	348
20	,	,	$	$,	_	0	root	_	_
21	ich	ich	P	PPER	1|Sg|_|Nom	22	subj	348	348
22	habe	haben	V	VAFIN	1|Sg|Pres|_	18	s	_	_
23	Euch	ihr	P	PRF	2|Pl|_	28	obja	_	_
24	alle	alle	P	PIS	_|_|_	28	adv	_	_
25	immer	immer	A	ADV	_	26	adv	_	_
26	sehr	sehr	A	ADV	_	27	adv	_	_
27	lieb	lieb	A	ADJD	Pos|	28	pred	_	_
28	gehabt	haben	V	VAPP	_	22	aux	_	_
29	,	,	$	$,	_	0	root	_	_
30	und	und	K	KON	_	22	kon	_	_
31	ich	ich	P	PPER	1|Sg|_|Nom	32	subj	348	348
32	hoffe	hoffen	V	VVFIN	1|Sg|Pres|_	30	cj	_	_
33	,	,	$	$,	_	0	root	_	_
34	Du	du	P	PPER	2|Sg|_|Nom	35	subj	358	358
35	wirst	werden	V	VAFIN	2|Sg|Pres|Ind	32	s	_	_
36	noch	noch	A	ADV	_	39	adv	_	_
37	einmal	einmal	A	ADV	_	39	adv	_	_
38	glücklich	glücklich	A	ADJD	Pos|	39	pred	_	_
39	werden	werden	V	VAINF	_	35	aux	_	_
40	,	,	$	$,	_	0	root	_	_
41	meine	meine	A	PPOSAT	Masc|Nom|Sg	43	det	348	348
42	liebe	lieb	A	ADJA	Pos|Masc|Nom|Sg|Wk|	43	attr	_	_
43	Klara	Klara	N	NN	Masc|Nom|Sg	0	root	_	_
44	,	,	$	$,	_	0	root	_	_
45	und	und	K	KON	_	0	root	_	_
46	Deinen	deine	A	PPOSAT	Masc|_|Sg	48	det	358	358
47	unglücklichen	unglücklich	A	ADJA	Pos|Masc|_|Sg|_|	48	attr	_	_
48	Bruder	Bruder	N	NN	Masc|_|Sg	45	cj	_	_
49	nicht	nicht	P	PTKNEG	_	48	adv	_	_
50	ganz	ganz	A	ADV	_	49	adv	_	_
51	vergessene	vergessen	A	ADJA	Pos|_|_|_|_|	0	root	_	_
52	...	...	$	$.	_	0	root	_	_
53	Ah	Ah	I	ITJ	_	0	root	_	_
54	,	,	$	$,	_	0	root	_	_
55	ich	ich	P	PPER	1|Sg|_|Nom	56	subj	348	348
56	schreib	schreib	V	VVFIN	1|Sg|_|_	0	root	_	_
57	'	'	$	$(	_	0	root	_	_
58	ihr	ihre	A	PPOSAT	_|_|Sg	0	root	361	361
59	lieber	lieb	A	ADJD	Comp|	60	adv	_	_
60	gar	gar	A	ADV	_	61	adv	_	_
61	nicht	nicht	P	PTKNEG	_	0	root	_	_
62	!	!	$	$.	_	0	root	_	_
63	...	...	$	$.	_	0	root	_	_

1	Nein	nein	P	PTKANT	_	0	root	_	_
2	,	,	$	$,	_	0	root	_	_
3	da	da	A	ADV	_	4	adv	_	_
4	wird	werden	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
5	mir	ich	P	PPER	1|Sg|_|Dat	4	objd	348	348
6	zum	zu	P	APPRART	Dat	4	pp	_	_
7	Weinen	Wein	N	NN	_|Dat|_	6	pn	_	_
8	...	...	$	$.	_	0	root	_	_
9	es	es	P	PPER	3|Sg|Neut|Nom	10	subj	_	_
10	beißt	beißen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
11	mich	ich	P	PPER	1|Sg|_|Acc	10	obja	348	348
12	ja	ja	A	ADV	_	10	adv	_	_
13	schon	schon	A	ADV	_	10	adv	_	_
14	in	in	P	APPR	Dat	10	pp	_	_
15	den	die	A	ART	Def|Neut|Dat|Pl	16	det	24	24
16	Augen	Auge	N	NN	Neut|Dat|Pl	14	pn	24	24
17	,	,	$	$,	_	0	root	_	_
18	wenn	wenn	K	KOUS	_	0	root	_	_
19	ich	ich	P	PPER	_|Nom|Sg	0	root	64	64
20	d	d	N	NN	_	19	app	64	64
21	'	'	$	$(	_	0	root	_	_
22	ran	ran	A	ADV	_	23	adv	_	_
23	denk	denk	A	ADJD	_	0	root	_	_
24	'	'	$	$(	_	0	root	_	_
25	...	...	$	$.	_	0	root	_	_

1	Höchstens	höchstens	A	ADV	_	3	adv	27	27
2	dem	die	A	ART	Def|_|Dat|Sg	3	det	27	27
3	Kopetzky	Kopetzky	N	NN	_|Dat|Sg	4	objd	27	27
4	schreib	schreib	V	VVFIN	1|Sg|_|_	0	root	_	_
5	'	'	$	$(	_	0	root	_	_
6	ich	ich	P	PPER	1|Sg|_|Nom	4	subj	348	348
7	-	-	$	$(	_	0	root	_	_
8	ein	eine	A	ART	Indef|Neut|_|Sg	10	det	_	_
9	kameradschaftliches	kameradschaftlich	A	ADJA	Pos|Neut|_|Sg|St|	10	attr	_	_
10	Lebewohl	Lebewohl	N	NN	Neut|_|Sg	0	root	_	_
11	,	,	$	$,	_	0	root	_	_
12	und	und	K	KON	_	0	root	_	_
13	er	er	P	PPER	3|Sg|Masc|Nom	0	root	27	27
14	soll	sollen	V	VMFIN	_|Sg|Pres|Ind	0	root	_	_
15	'	'	$	$(	_	0	root	_	_
16	s	s	P	PPER	_|Sg|_|Nom	14	subj	27	27
17	den	die	A	ART	Def|_|_|_	18	det	_	_
18	andern	andern	A	ADJA	_|_|_	19	obja	_	_
19	ausrichten	ausrichten	V	VVINF	_	14	aux	_	_
20	...	...	$	$.	_	0	root	_	_
21	-	-	$	$(	_	0	root	_	_
22	Ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
23	'	'	$	$(	_	0	root	_	_
24	s	s	P	PPER	_|Sg|_|Nom	22	subj	27	27
25	schon	schon	A	ADV	_	22	adv	_	_
26	sechs	sechs	C	CARD	_	22	objd	_	_
27	?	?	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	Ah	Ah	N	NN	Fem|_|Sg	0	root	88	88
3	,	,	$	$,	_	0	root	_	_
4	nein	nein	P	PTKANT	_	0	root	_	_
5	:	\:	$	$.	_	0	root	_	_
6	halb	halb	A	ADJD	Pos|	0	root	_	_
7	-	-	$	$(	_	0	root	_	_
8	dreiviertel	dreiviertel	C	CARD	_	0	root	_	_
9	.	.	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	Ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
3	das	die	P	PDS	Neut|Nom|Sg	2	subj	_	_
4	ein	eine	A	ART	Indef|Neut|Nom|Sg	6	det	_	_
5	liebes	lieb	A	ADJA	Pos|Neut|Nom|Sg|St|	6	attr	_	_
6	G	G	N	NN	Neut|Nom|Sg	2	pred	_	_
7	'	'	$	$(	_	0	root	_	_
8	sichtel	sichtel	F	FM	Neut|Nom|Sg	6	app	_	_
9	!	!	$	$.	_	0	root	_	_
10	...	...	$	$.	_	0	root	_	_

1	Der	die	A	ART	Def|Masc|Nom|Sg	3	det	362	362
2	kleine	klein	A	ADJA	Pos|Masc|Nom|Sg|Wk|	3	attr	362	362
3	Fratz	Fratz	N	NN	Masc|Nom|Sg	0	root	362	362
4	mit	mit	P	APPR	Dat	3	pp	362	362
5	den	die	A	ART	Def|Neut|Dat|Pl	7	det	362	362
6	schwarzen	schwarz	A	ADJA	Pos|Neut|Dat|Pl|_|	7	attr	362	362
7	Augen	Auge	N	NN	Neut|Dat|Pl	4	pn	362	362
8	,	,	$	$,	_	0	root	_	_
9	den	die	P	PRELS	Masc|Acc|Sg	0	root	362	362
10	ich	ich	P	PPER	1|Sg|_|Nom	0	root	348	348
11	so	so	A	ADV	_	12	adv	_	_
12	oft	oft	A	ADV	_	13	adv	_	_
13	in	in	P	APPR	Dat	0	root	_	_
14	der	die	A	ART	Def|Fem|Dat|Sg	15	det	363	363
15	Florianigasse	Florianigasse	N	NE	Fem|Dat|Sg	13	pn	363	363
16	treff	treff	F	FM	Fem|Dat|Sg	15	app	363	363
17	!	!	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	Was	was	P	PWS	Neut|_|Sg	4	obja	_	_
3	die	die	P	PDS	Fem|Nom|Sg	5	subj	_	_
4	sagen	sagen	V	VVINF	_	5	aux	_	_
5	wird	werden	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
6	?	?	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	Aber	aber	K	KON	_	0	root	_	_
3	die	die	P	PDS	Fem|Nom|Sg	4	subj	_	_
4	weiß	wissen	V	VVFIN	3|Sg|Pres|Ind	2	cj	_	_
5	ja	ja	A	ADV	_	4	adv	_	_
6	gar	gar	A	ADV	_	7	adv	_	_
7	nicht	nicht	P	PTKNEG	_	4	adv	_	_
8	,	,	$	$,	_	0	root	_	_
9	wer	wer	P	PWS	_|Nom|Sg	11	subj	_	_
10	ich	ich	P	PPER	1|Sg|_|Nom	11	pred	348	348
11	bin	sein	V	VAFIN	1|Sg|Pres|Ind	4	objc	_	_
12	-	-	$	$(	_	0	root	_	_
13	die	die	P	PDS	Fem|Nom|Sg	14	subj	_	_
14	wird	werden	V	VAFIN	3|Sg|Pres|Ind	4	kon	_	_
15	sich	sie	P	PRF	3|_|_	17	obja	_	_
16	nur	nur	A	ADV	_	17	adv	_	_
17	wundern	wundern	V	VVINF	_	14	aux	_	_
18	,	,	$	$,	_	0	root	_	_
19	daß	daß	K	KOUS	_	23	konj	_	_
20	sie	sie	P	PPER	3|Sg|Fem|Nom	23	subj	363	363
21	mich	ich	P	PPER	1|Sg|_|Acc	23	obja	348	348
22	nimmer	nimmer	A	ADV	_	23	adv	_	_
23	sieht	sehen	V	VVFIN	3|Sg|Pres|Ind	17	objc	_	_
24	...	...	$	$.	_	0	root	_	_

1	Vorgestern	vorgestern	A	ADV	_	2	adv	_	_
2	hab	hab	V	VAFIN	1|Sg|_|_	0	root	_	_
3	'	'	$	$(	_	0	root	_	_
4	ich	ich	P	PPER	1|Sg|_|Nom	2	subj	348	348
5	mir	ich	P	PRF	1|Sg|Dat	2	objd	_	_
6	vorgenommen	vornehmen	V	VVPP	_	2	aux	_	_
7	,	,	$	$,	_	0	root	_	_
8	das	die	A	ART	Def|Neut|_|Sg	9	det	_	_
9	nächstemal	nächstemal	F	FM	Neut|_|Sg	0	root	_	_
10	sprech	sprech	F	FM	Neut|_|Sg	9	app	_	_
11	'	'	$	$(	_	0	root	_	_
12	ich	ich	P	PPER	1|Sg|_|Nom	0	root	348	348
13	sie	sie	P	PPER	3|_|_|_	0	root	363	363
14	an	an	P	PTKVZ	_	0	root	_	_
15	.	.	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	Kokettiert	kokettieren	V	VVPP	_	3	aux	_	_
3	hat	haben	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
4	sie	sie	P	PPER	3|Sg|Fem|Nom	3	subj	363	363
5	genug	genug	A	ADV	_	2	adv	_	_
6	...	...	$	$.	_	0	root	_	_
7	so	so	A	ADV	_	8	adv	_	_
8	jung	jung	A	ADJD	Pos|	9	pred	_	_
9	war	sein	V	VAFIN	_|Sg|Past|Ind	0	root	_	_
10	die	die	A	ART	Def|_|_|_	0	root	_	_
11	-	-	$	$(	_	0	root	_	_
12	am	an	P	APPRART	Dat	15	pp	_	_
13	End	End	N	NN	Neut|Dat|Sg	12	pn	106	106
14	'	'	$	$(	_	0	root	_	_
15	war	sein	V	VAFIN	_|Sg|Past|Ind	0	root	_	_
16	die	die	A	ART	Def|_|_|_	0	root	_	_
17	gar	gar	A	ADV	_	20	adv	_	_
18	noch	noch	A	ADV	_	20	adv	_	_
19	eine	eine	A	ART	Indef|Fem|_|Sg	20	det	_	_
20	Unschuld	Unschuld	N	NN	Fem|_|Sg	0	root	_	_
21	!	!	$	$.	_	0	root	_	_
22	...	...	$	$.	_	0	root	_	_

