1	Jugend	Jugend	N	NN	Fem|Nom|Sg	10	subj	1100	1100
18	?	?	$	$.	_	0	root	_	_
19	...	...	$	$.	_	0	root	_	_

1	Das	die	A	ART	Def|Neut|Nom|Sg	2	det	1069	1069
2	Wasser	Wasser	N	NN	Neut|Nom|Sg	3	subj	1069	1069
3	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
4	bald	bald	A	ADV	_	3	adv	_	_
5	warm	warm	A	ADJD	Pos|	3	pred	_	_
6	,	,	$	$,	_	0	root	_	_
7	bald	bald	A	ADV	_	8	adv	_	_
8	kühl	kühl	A	ADJD	Pos|	0	root	_	_
9	;	;	$	$.	_	0	root	_	_
10	es	es	P	PPER	3|Sg|Neut|Nom	11	subj	_	_
11	tropfte	tropfen	V	VVFIN	3|Sg|Past|_	0	root	_	_
12	von	von	P	APPR	_	11	pp	_	_
13	seinen	seine	A	PPOSAT	_|_|_	14	det	1069	1069
14	Kleidern	Kleid	N	NN	_|_|_	12	pn	1070	1070
15	,	,	$	$,	_	0	root	_	_
16	als	als	K	KOUS	_	0	root	_	_
17	er	er	P	PPER	3|Sg|Masc|Nom	0	root	1070	1070
18	die	die	A	ART	Def|Fem|_|Sg	19	det	_	_
19	Mauer	Mauer	N	NN	Fem|_|Sg	0	root	_	_
20	hinankletterte	hinankletterte	N	NE	Fem|_|Sg	19	app	_	_
21	.	.	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	Wo	Wo	P	PWAV	_	3	adv	_	_
3	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
4	Marcolina	Marcolina	N	NE	_|Nom|Sg	3	subj	119	119
5	?	?	$	$.	_	0	root	_	_

1	fragte	fragen	V	VVFIN	3|Sg|Past|_	0	root	_	_
2	er	er	P	PPER	3|Sg|Masc|Nom	1	subj	1068	1068
3	im	in	P	APPRART	Dat	1	pp	_	_
4	Sprechsaal	Sprechsaal	N	NN	Masc|Dat|Sg	3	pn	1071	1071
5	laut	laut	A	ADJD	Pos|	1	adv	_	_
6	,	,	$	$,	_	0	root	_	_
7	schallend	schallen	A	ADJD	_|<PPRES	0	root	_	_
8	,	,	$	$,	_	0	root	_	_
9	wie	wie	P	PWAV	_	13	adv	_	_
10	nur	nur	A	ADV	_	13	adv	_	_
11	ein	eine	A	ART	Indef|Masc|Nom|Sg	12	det	_	_
12	Fürst	Fürst	N	NN	Masc|Nom|Sg	14	subj	_	_
13	fragen	fragen	V	VVINF	_	14	aux	_	_
14	darf	dürfen	V	VMFIN	3|Sg|Pres|Ind	0	root	_	_
15	.	.	$	$.	_	0	root	_	_

1	Ich	ich	P	PPER	1|Sg|_|Nom	2	subj	1073	1073
2	werde	werden	V	VAFIN	1|Sg|Pres|_	6	s	_	_
3	sie	sie	P	PPER	3|_|_|_	4	obja	119	119
4	rufen	rufen	V	VVINF	_	2	aux	_	_
5	,	,	$	$,	_	0	root	_	_
6	sagte	sagen	V	VVFIN	3|Sg|Past|_	0	root	_	_
7	die	die	A	ART	Def|Fem|Nom|Sg	8	det	1072	1072
8	Herzogin-Äbtissin	Herzogin-Äbtissin	N	NN	Fem|Nom|Sg	6	subj	1072	1072
9	und	und	K	KON	_	6	kon	_	_
10	versank	versinken	V	VVFIN	_|Sg|Past|Ind	9	cj	_	_
11	.	.	$	$.	_	0	root	_	_

1	Casanova	Casanova	N	NN	Masc|Nom|Sg	2	subj	11	11
2	ging	gehen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
3	,	,	$	$,	_	0	root	_	_
4	flog	fliegen	V	VVFIN	_|Sg|Past|Ind	2	kon	_	_
5	,	,	$	$,	_	0	root	_	_
6	flatterte	flattern	V	VVFIN	_|Sg|Past|_	4	kon	_	_
7	hin	hin	A	ADV	_	6	adv	_	_
8	und	und	K	KON	_	0	root	_	_
9	her	her	P	PTKVZ	_	0	root	_	_
10	,	,	$	$,	_	0	root	_	_
11	immer	immer	A	ADV	_	12	adv	_	_
12	längs	längs	P	APPR	Gen	0	root	_	_
13	der	die	A	ART	Def|Masc|Gen|Pl	14	det	_	_
14	Gitterstäbe	Gitterstab	N	NN	Masc|Gen|Pl	12	pn	_	_
15	,	,	$	$,	_	0	root	_	_
16	wie	wie	P	PWAV	_	0	root	_	_
17	eine	eine	A	ART	Indef|Fem|_|Sg	18	det	_	_
18	Fledermaus	Fledermaus	N	NN	Fem|_|Sg	0	root	_	_
19	.	.	$	$.	_	0	root	_	_

1	Hätte	haben	V	VAFIN	1|Sg|Past|Subj	0	root	_	_
2	ich	ich	P	PPER	1|Sg|_|Nom	1	subj	1073	1073
3	das	die	P	PDS	Neut|_|Sg	6	obja	_	_
4	nur	nur	A	ADV	_	6	adv	_	_
5	früher	früh	A	ADJD	_|	6	adv	_	_
6	gewußt	gewußt	V	VVPP	_	1	aux	_	_
7	,	,	$	$,	_	0	root	_	_
8	daß	daß	K	KOUS	_	11	konj	_	_
9	ich	ich	P	PPER	1|Sg|_|Nom	11	subj	1073	1073
10	fliegen	fliegen	V	VVINF	_	11	aux	_	_
11	kann	können	V	VMFIN	1|Sg|Pres|Ind	1	neb	_	_
12	.	.	$	$.	_	0	root	_	_

1	Ich	ich	P	PPER	1|Sg|_|Nom	2	subj	1073	1073
2	werde	werden	V	VAFIN	1|Sg|Pres|_	0	root	_	_
3	es	es	P	PPER	3|Sg|Neut|_	6	obja	_	_
4	auch	auch	A	ADV	_	6	adv	_	_
5	Marcolina	Marcolina	N	NN	_	6	obja	119	119
6	lehren	lehren	V	VVINF	_	2	aux	_	_
7	.	.	$	$.	_	0	root	_	_

1	Hinter	hinter	P	APPR	Dat	4	pp	_	_
2	den	die	A	ART	Def|Masc|Dat|Pl	3	det	1074	1074
3	Stäben	Stab	N	NN	Masc|Dat|Pl	1	pn	1074	1074
4	schwebten	schweben	V	VVFIN	3|Pl|Past|_	0	root	_	_
5	weibliche	weiblich	A	ADJA	Pos|_|Nom|Pl|St|	6	attr	1075	1075
6	Gestalten	Gestalt	N	NN	_|Nom|Pl	4	subj	1075	1075
7	.	.	$	$.	_	0	root	_	_

1	Nonnen	Nonne	N	NN	Fem|_|Pl	0	root	1078	1078
2	-	-	$	$(	_	0	root	_	_
3	doch	doch	K	KON	_	0	root	_	_
4	sie	sie	P	PPER	3|Pl|_|Nom	5	subj	1075	1075
5	trugen	tragen	V	VVFIN	3|Pl|Past|Ind	3	cj	_	_
6	alle	alle	A	PIDAT	Fem|_|Sg	8	det	_	_
7	weltliche	weltlich	A	ADJA	Pos|Fem|_|Sg|_|	8	attr	_	_
8	Tracht	Tracht	N	NN	Fem|_|Sg	5	obja	_	_
9	.	.	$	$.	_	0	root	_	_

1	Er	er	P	PPER	3|Sg|Masc|Nom	2	subj	1076	1076
2	wußte	wußte	V	VVFIN	3|Sg|_|_	0	root	_	_
3	es	es	P	PPER	3|Sg|Neut|_	2	obja	_	_
4	,	,	$	$,	_	0	root	_	_
5	obwohl	obwohl	K	KOUS	_	10	konj	_	_
6	er	er	P	PPER	3|Sg|Masc|Nom	10	subj	1076	1076
7	sie	sie	P	PPER	3|_|_|_	10	obja	1075	1075
8	gar	gar	A	ADV	_	9	adv	_	_
9	nicht	nicht	P	PTKNEG	_	10	adv	_	_
10	sah	sehen	V	VVFIN	3|Sg|Past|Ind	2	neb	_	_
11	,	,	$	$,	_	0	root	_	_
12	und	und	K	KON	_	10	kon	_	_
13	er	er	P	PPER	3|Sg|Masc|Nom	14	subj	1076	1076
14	wußte	wußte	V	VVFIN	3|Sg|_|_	12	cj	_	_
15	auch	auch	A	ADV	_	14	adv	_	_
16	,	,	$	$,	_	0	root	_	_
17	wer	wer	P	PWS	_|Nom|Sg	19	subj	_	_
18	sie	sie	P	PPER	3|_|_|Nom	19	pred	1075	1075
19	waren	sein	V	VAFIN	_|Pl|Past|Ind	14	objc	_	_
20	.	.	$	$.	_	0	root	_	_

1	Henriette	Henriette	N	NE	_|Nom|Sg	2	subj	_	_
2	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
3	es	es	P	PPER	3|Sg|Neut|Nom	2	pred	_	_
4	,	,	$	$,	_	0	root	_	_
5	die	die	A	ART	Def|_|Nom|_	6	det	_	_
6	Unbekannte	Unbekannte	N	NN	_|Nom|_	3	kon	_	_
7	,	,	$	$,	_	0	root	_	_
8	und	und	K	KON	_	3	kon	_	_
9	die	die	A	ART	Def|Fem|Nom|Sg	10	det	_	_
10	Tänzerin	Tänzerin	N	NN	Fem|Nom|Sg	8	cj	_	_
11	Corticelli	Corticelli	N	NE	Fem|Nom|Sg	10	app	_	_
12	und	und	K	KON	_	11	kon	_	_
13	Cristina	Cristina	N	NE	Fem|Nom|Sg	12	cj	_	_
14	,	,	$	$,	_	0	root	_	_
15	die	die	A	ART	Def|Fem|Nom|Sg	16	det	_	_
16	Braut	Braut	N	NN	Fem|Nom|Sg	13	app	_	_
17	,	,	$	$,	_	0	root	_	_
18	und	und	K	KON	_	13	kon	_	_
19	die	die	A	ART	Def|_|Nom|_	21	det	_	_
20	schöne	schön	A	ADJA	Pos|_|Nom|_|_|	21	attr	_	_
21	Dubois	Dubois	N	NN	_|Nom|_	18	cj	_	_
22	und	und	K	KON	_	21	kon	_	_
23	die	die	A	ART	Def|_|Nom|_	25	det	_	_
24	verfluchte	verflucht	A	ADJA	Pos|_|Nom|_|_|	25	attr	_	_
25	Alte	Alt	N	NN	_|Nom|_	22	cj	_	_
26	aus	aus	P	APPR	Dat	2	pp	_	_
27	Solothurn	Solothurn	N	NE	Neut|Dat|Sg	26	pn	1077	1077
28	und	und	K	KON	_	27	kon	_	_
29	Manon	Manon	N	NE	Neut|Dat|Sg	28	cj	974	974
30	Balletti	Balletti	N	NE	Neut|Dat|Sg	29	app	974	974
31	...	...	$	$.	_	0	root	_	_
32	und	und	K	KON	_	0	root	_	_
33	hundert	hundert	C	CARD	_	34	attr	_	_
34	andre	andere	P	PIS	_|Nom|Sg	38	subj	_	_
35	,	,	$	$,	_	0	root	_	_
36	nur	nur	A	ADV	_	37	adv	119	119
37	Marcolina	Marcolina	N	NE	_|Nom|Sg	34	kon	119	119
38	war	sein	V	VAFIN	_|Sg|Past|Ind	32	cj	_	_
39	nicht	nicht	P	PTKNEG	_	38	adv	_	_
40	unter	unter	P	APPR	Dat	38	pp	_	_
41	ihnen	sie	P	PPER	3|Pl|_|Dat	40	pn	1078	1078
42	!	!	$	$.	_	0	root	_	_

1	Du	du	P	PPER	2|Sg|_|Nom	2	subj	_	_
2	hast	haben	V	VAFIN	2|Sg|Pres|Ind	6	s	_	_
3	mich	ich	P	PPER	1|Sg|_|Acc	4	obja	1076	1076
4	belogen	belügen	V	VVPP	_	2	aux	_	_
5	,	,	$	$,	_	0	root	_	_
6	rief	rufen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
7	er	er	P	PPER	3|Sg|Masc|Nom	6	subj	1076	1076
8	dem	die	A	ART	Def|Masc|Dat|Sg	9	det	1079	1079
9	Ruderer	Ruderer	N	NN	Masc|Dat|Sg	6	objd	1079	1079
10	zu	zu	P	PTKVZ	_	6	avz	1079	1079
11	,	,	$	$,	_	0	root	1079	1079
12	der	die	P	PRELS	Masc|Nom|Sg	17	subj	1079	1079
13	unten	unten	A	ADV	_	17	adv	_	_
14	in	in	P	APPR	Dat	17	pp	_	_
15	der	die	A	ART	Def|Fem|Dat|Sg	16	det	1067	1067
16	Gondel	Gondel	N	NN	Fem|Dat|Sg	14	pn	1067	1067
17	wartete	warten	V	VVFIN	3|Sg|Past|_	9	rel	_	_
18	;	;	$	$.	_	0	root	_	_
19	er	er	P	PPER	3|Sg|Masc|Nom	20	subj	1079	1079
20	hatte	haben	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
21	noch	noch	A	ADV	_	20	adv	_	_
22	keinen	keine	A	PIAT	Masc|_|_	23	det	_	_
23	Menschen	Mensch	N	NN	Masc|_|_	20	obja	_	_
24	auf	auf	P	APPR	_	20	pp	_	_
25	Erden	Erde	N	NN	_|_|_	24	pn	375	375
26	so	so	A	ADV	_	27	adv	_	_
27	gehaßt	gehaßt	A	ADJD	_	20	adv	_	_
28	wie	wie	K	KOKOM	_	20	kom	_	_
29	den	die	P	PDS	Masc|Acc|Sg	28	cj	_	_
30	,	,	$	$,	_	0	root	_	_
31	und	und	K	KON	_	20	kon	_	_
32	er	er	P	PPER	3|Sg|Masc|Nom	33	subj	1079	1079
33	schwor	schwören	V	VVFIN	3|Sg|Past|Ind	31	cj	_	_
34	sich	sie	P	PRF	3|_|_	33	obja	_	_
35	zu	zu	P	PTKVZ	_	33	avz	_	_
36	,	,	$	$,	_	0	root	_	_
37	eine	eine	A	ART	Indef|Fem|_|Sg	39	det	_	_
38	ausgesuchte	ausgesucht	A	ADJA	Pos|Fem|_|Sg|_|	39	attr	_	_
39	Rache	Rache	N	NN	Fem|_|Sg	43	obja	_	_
40	an	an	P	APPR	Dat	39	pp	_	_
41	ihm	er	P	PPER	3|Sg|_|Dat	40	pn	1076	1076
42	zu	zu	P	PTKZU	_	43	part	_	_
43	nehmen	nehmen	V	VVINF	_	33	obji	_	_
44	.	.	$	$.	_	0	root	_	_

1	Aber	aber	K	KON	_	0	root	_	_
2	war	sein	V	VAFIN	_|Sg|Past|Ind	1	cj	_	_
3	es	es	P	PPER	3|Sg|Neut|Nom	2	subj	_	_
4	nicht	nicht	P	PTKNEG	_	2	adv	_	_
5	auch	auch	A	ADV	_	2	adv	_	_
6	eine	eine	A	ART	Indef|Fem|Nom|Sg	7	det	_	_
7	Narrheit	Narrheit	N	NN	Fem|Nom|Sg	2	pred	_	_
8	,	,	$	$,	_	0	root	_	_
9	daß	daß	K	KOUS	_	17	konj	_	_
10	er	er	P	PPER	3|Sg|Masc|Nom	17	subj	1079	1079
11	Marcolina	Marcolina	N	NE	_	16	obja	119	119
12	im	in	P	APPRART	Dat	16	pp	_	_
13	Kloster	Kloster	N	NN	_|Dat|Sg	12	pn	_	_
14	von	von	P	APPR	Dat	13	pp	_	_
15	Murano	Murano	N	NE	Neut|Dat|Sg	14	pn	528	528
16	gesucht	suchen	V	VVPP	_	17	aux	_	_
17	hatte	haben	V	VAFIN	3|Sg|Past|Ind	2	objc	_	_
18	,	,	$	$,	_	0	root	_	_
19	da	da	K	KOUS	_	25	konj	_	_
20	sie	sie	P	PPER	3|Sg|Fem|Nom	25	subj	119	119
21	doch	doch	A	ADV	_	24	adv	_	_
22	zu	zu	P	APPR	Dat	24	pp	_	_
23	Voltaire	Voltaire	N	NE	_|Dat|_	22	pn	98	98
24	gereist	reisen	V	VVPP	_	25	aux	_	_
25	war	sein	V	VAFIN	3|Sg|Past|Ind	17	neb	_	_
26	?	?	$	$.	_	0	root	_	_

1	Wie	Wie	P	PWAV	_	2	adv	_	_
2	gut	gut	A	ADJD	Pos|	11	adv	_	_
3	,	,	$	$,	_	0	root	_	_
4	daß	daß	K	KOUS	_	7	konj	_	_
5	er	er	P	PPER	3|Sg|Masc|Nom	7	subj	98	98
6	fliegen	fliegen	V	VVINF	_	7	aux	_	_
7	konnte	können	V	VMFIN	3|Sg|Past|Ind	11	neb	_	_
8	,	,	$	$,	_	0	root	_	_
9	einen	eine	A	ART	Indef|Masc|Acc|Sg	10	det	_	_
10	Wagen	Wage	N	NN	Masc|Acc|Sg	16	obja	_	_
11	hätte	haben	V	VAFIN	3|Sg|Past|Subj	0	root	_	_
12	er	er	P	PPER	3|Sg|Masc|Nom	11	subj	98	98
13	doch	doch	A	ADV	_	16	adv	_	_
14	nicht	nicht	P	PTKNEG	_	16	adv	_	_
15	mehr	mehr	A	ADV	_	14	adv	_	_
16	bezahlen	bezahlen	V	VVINF	_	17	aux	_	_
17	können	können	V	VMINF	_	11	aux	_	_
18	.	.	$	$.	_	0	root	_	_

1	Und	und	K	KON	_	0	root	_	_
2	er	er	P	PPER	3|Sg|Masc|Nom	3	subj	98	98
3	schwamm	schwimmen	V	VVFIN	3|Sg|Past|Ind	1	cj	_	_
4	davon	davon	P	PROAV	_	3	pp	_	_
5	;	;	$	$.	_	0	root	_	_
6	aber	aber	K	KON	_	0	root	_	_
7	nun	nun	A	ADV	_	8	adv	_	_
8	war	sein	V	VAFIN	_|Sg|Past|Ind	6	cj	_	_
9	das	die	P	PDS	Neut|Nom|Sg	8	subj	_	_
10	gar	gar	A	ADV	_	11	adv	_	_
11	kein	keine	A	PIAT	Neut|Nom|Sg	13	det	_	_
12	solches	solche	A	PIDAT	Neut|Nom|Sg	13	attr	_	_
13	Glück	Glück	N	NN	Neut|Nom|Sg	8	pred	_	_
14	mehr	mehr	A	ADV	_	13	adv	_	_
15	,	,	$	$,	_	0	root	_	_
16	als	als	K	KOKOM	_	18	kom	_	_
17	er	er	P	PPER	3|Sg|Masc|Nom	16	cj	98	98
18	gedacht	denken	V	VVPP	_	19	aux	_	_
19	hatte	haben	V	VAFIN	_|Sg|Past|Ind	8	kon	_	_
20	;	;	$	$.	_	0	root	_	_
21	es	es	P	PPER	3|Sg|Neut|Nom	22	subj	_	_
22	wurde	werden	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
23	kalt	kalt	A	ADJD	Pos|	22	pred	_	_
24	und	und	K	KON	_	23	kon	_	_
25	immer	immer	A	ADV	_	26	adv	_	_
26	kälter	kalt	A	ADJD	Comp|	24	cj	_	_
27	,	,	$	$,	_	0	root	_	_
28	er	er	P	PPER	3|Sg|Masc|Nom	29	subj	98	98
29	trieb	treiben	V	VVFIN	3|Sg|Past|Ind	22	kon	_	_
30	im	in	P	APPRART	Dat	29	pp	_	_
31	offenen	offen	A	ADJA	Pos|Neut|Dat|Sg|Wk|	32	attr	_	_
32	Meer	Meer	N	NN	Neut|Dat|Sg	30	pn	_	_
33	,	,	$	$,	_	0	root	_	_
34	weit	weit	A	ADJD	Pos|	35	adv	_	_
35	von	von	P	APPR	Dat	29	pp	_	_
36	Murano	Murano	N	NE	Neut|Dat|Sg	35	pn	528	528
37	,	,	$	$,	_	0	root	_	_
38	weit	weit	A	ADJD	Pos|	39	adv	_	_
39	von	von	P	APPR	Dat	29	pp	_	_
40	Venedig	Venedig	N	NE	Neut|Dat|Sg	39	pn	6	6
41	-	-	$	$(	_	0	root	_	_
42	kein	keine	A	PIAT	Neut|_|Sg	43	det	_	_
43	Schiff	Schiff	N	NN	Neut|_|Sg	0	root	_	_
44	ringsum	ringsum	A	ADV	_	43	adv	_	_
45	,	,	$	$,	_	0	root	_	_
46	seine	seine	A	PPOSAT	Fem|Nom|Sg	49	det	98	98
47	schwere	schwer	A	ADJA	Pos|Fem|Nom|Sg|_|	49	attr	1080	1080
48	goldgestickte	goldgestickt	A	ADJA	Pos|Fem|Nom|Sg|_|	49	attr	1080	1080
49	Gewandung	Gewandung	N	NN	Fem|Nom|Sg	50	subj	1080	1080
50	zog	ziehen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
51	ihn	er	P	PPER	3|Sg|Masc|Acc	50	obja	98	98
52	nach	nach	P	APPR	Dat	50	objp	_	_
53	unten	unten	A	ADV	_	52	adv	_	_
54	;	;	$	$.	_	0	root	_	_
55	er	er	P	PPER	3|Sg|Masc|Nom	56	subj	98	98
56	versuchte	versuchen	V	VVFIN	3|Sg|Past|_	0	root	_	_
57	sich	sie	P	PRF	3|_|_	56	obja	_	_
58	ihrer	ihre	A	PPOSAT	_|_|_	0	root	1080	1080
59	zu	zu	P	PTKZU	_	60	part	_	_
60	entledigen	entledigen	V	VVINF	_	0	root	_	_
61	,	,	$	$,	_	0	root	_	_
62	doch	doch	K	KON	_	0	root	_	_
63	es	es	P	PPER	3|Sg|Neut|Nom	64	subj	_	_
64	war	sein	V	VAFIN	_|Sg|Past|Ind	62	cj	_	_
65	unmöglich	unmöglich	A	ADJD	Pos|	64	pred	_	_
66	,	,	$	$,	_	0	root	_	_
67	da	da	K	KOUS	_	74	konj	_	_
68	er	er	P	PPER	3|Sg|Masc|Nom	74	subj	98	98
69	sein	seine	A	PPOSAT	Neut|_|Sg	70	det	98	98
70	Manuskript	Manuskript	N	NN	Neut|_|Sg	74	obja	1081	1081
71	in	in	P	APPR	Dat	74	objp	1081	1081
72	der	die	A	ART	Def|Fem|Dat|Sg	73	det	63	63
73	Hand	Hand	N	NN	Fem|Dat|Sg	71	pn	63	63
74	hielt	halten	V	VVFIN	3|Sg|Past|Ind	64	neb	_	_
75	,	,	$	$,	_	0	root	_	_
76	das	die	P	PRELS	Neut|_|Sg	80	obja	1081	1081
77	er	er	P	PPER	3|Sg|Masc|Nom	81	subj	98	98
78	Herrn	Herrn	N	NN	_|Dat|_	80	objd	98	98
79	Voltaire	Voltaire	N	NE	_|Dat|_	78	app	98	98
80	überreichen	überreichen	V	VVINF	_	81	aux	_	_
81	mußte	müssen	V	VMFIN	3|Sg|Past|Ind	70	rel	_	_
82	,	,	$	$,	_	0	root	_	_
83	-	-	$	$(	_	0	root	_	_
84	er	er	P	PPER	3|Sg|Masc|Nom	85	subj	98	98
85	bekam	bekommen	V	VVFIN	3|Sg|Past|Ind	64	kon	_	_
86	Wasser	Wasser	N	NN	Neut|_|_	85	obja	_	_
87	in	in	P	APPR	Acc	85	objp	_	_
88	den	die	A	ART	Def|Masc|Acc|Sg	89	det	600	600
89	Mund	Mund	N	NN	Masc|Acc|Sg	87	pn	600	600
90	,	,	$	$,	_	0	root	_	_
91	in	in	P	APPR	Acc	87	kon	_	_
92	die	die	A	ART	Def|Fem|Acc|Sg	93	det	_	_
93	Nase	Nase	N	NN	Fem|Acc|Sg	91	pn	_	_
94	,	,	$	$,	_	0	root	_	_
95	Todesangst	Todesangst	N	NN	Fem|Nom|Sg	96	subj	_	_
96	überfiel	überfallen	V	VVFIN	3|Sg|Past|Ind	85	kon	_	_
97	ihn	er	P	PPER	3|Sg|Masc|Acc	96	obja	98	98
98	,	,	$	$,	_	0	root	_	_
99	er	er	P	PPER	3|Sg|Masc|Nom	100	subj	98	98
100	griff	greifen	V	VVFIN	3|Sg|Past|Ind	96	kon	_	_
101	um	um	P	APPR	Acc	100	pp	_	_
102	sich	sie	P	PRF	3|_|Acc	101	pn	_	_
103	,	,	$	$,	_	0	root	_	_
104	er	er	P	PPER	3|Sg|Masc|Nom	105	subj	98	98
105	röchelte	röcheln	V	VVFIN	3|Sg|Past|_	100	kon	_	_
106	,	,	$	$,	_	0	root	_	_
107	er	er	P	PPER	3|Sg|Masc|Nom	108	subj	98	98
108	schrie	schreien	V	VVFIN	3|Sg|Past|_	105	kon	_	_
109	und	und	K	KON	_	108	kon	_	_
110	öffnete	öffnen	V	VVFIN	_|Sg|Past|_	109	cj	_	_
111	mühselig	mühselig	A	ADJD	Pos|	110	adv	_	_
112	die	die	A	ART	Def|Neut|_|Pl	113	det	18	18
113	Augen	Auge	N	NN	Neut|_|Pl	110	obja	18	18
114	.	.	$	$.	_	0	root	_	_

1	Durch	durch	P	APPR	Acc	9	pp	_	_
2	einen	eine	A	ART	Indef|Masc|Acc|Sg	4	det	_	_
3	schmalen	schmal	A	ADJA	Pos|Masc|Acc|Sg|_|	4	attr	_	_
4	Spalt	Spalt	N	NN	Masc|Acc|Sg	1	pn	_	_
5	zwischen	zwischen	P	APPR	_	4	pp	_	_
6	Vorhang	Vorhang	N	NN	Masc|_|Sg	5	pn	_	_
7	und	und	K	KON	_	6	kon	_	_
8	Fensterrand	Fensterrand	N	NN	Masc|_|Sg	7	cj	_	_
9	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
10	ein	eine	A	ART	Indef|Masc|Nom|Sg	11	det	_	_
11	Strahl	Strahl	N	NN	Masc|Nom|Sg	9	subj	_	_
12	der	die	A	ART	Def|Fem|Gen|Sg	13	det	372	372
13	Dämmerung	Dämmerung	N	NN	Fem|Gen|Sg	11	gmod	372	372
14	hereingebrochen	hereinbrechen	V	VVPP	_	9	aux	_	_
15	.	.	$	$.	_	0	root	_	_

1	Marcolina	Marcolina	N	NE	_|Nom|_	7	subj	119	119
2	,	,	$	$,	_	0	root	_	_
3	in	in	P	APPR	Acc	7	objp	_	_
4	ihr	ihre	A	PPOSAT	Neut|Acc|Sg	6	det	119	119
5	weißes	weiß	A	ADJA	Pos|Neut|Acc|Sg|St|	6	attr	1082	1082
6	Nachtgewand	Nachtgewand	N	NN	Neut|Acc|Sg	3	pn	1082	1082
7	gehüllt	hüllen	V	VVPP	_	19	neb	1082	1082
8	,	,	$	$,	_	0	root	1082	1082
9	das	die	P	PRELS	Neut|Nom|Sg	17	subj	1082	1082
10	sie	sie	P	PPER	3|_|_|_	17	obja	119	119
11	mit	mit	P	APPR	Dat	17	pp	_	_
12	beiden	beide	A	PIDAT	Fem|Dat|Pl	13	det	_	_
13	Händen	Hand	N	NN	Fem|Dat|Pl	11	pn	_	_
14	über	über	P	APPR	Dat	17	pp	_	_
15	der	die	A	ART	Def|Fem|Dat|Sg	16	det	1083	1083
16	Brust	Brust	N	NN	Fem|Dat|Sg	14	pn	1083	1083
17	zusammenhielt	zusammenhalten	V	VVFIN	3|Sg|Past|Ind	6	rel	_	_
18	,	,	$	$,	_	0	root	_	_
19	stand	stehen	V	VVFIN	_|Sg|Past|Ind	0	root	_	_
20	am	an	P	APPRART	Dat	19	pp	_	_
21	Fußende	Fußende	N	NN	_|Nom|_	20	pn	_	_
22	des	die	A	ART	Def|Neut|Gen|Sg	23	det	212	212
23	Bettes	Bett	N	NN	Neut|Gen|Sg	21	gmod	212	212
24	und	und	K	KON	_	21	kon	_	_
25	betrachtete	betrachtet	A	ADJA	Pos|Masc|Nom|Sg|Wk|	26	attr	45	45
26	Casanova	Casanova	N	NN	Masc|Nom|Sg	24	cj	45	45
27	mit	mit	P	APPR	Dat	19	pp	_	_
28	einem	eine	A	ART	Indef|Masc|Dat|Sg	29	det	1084	1084
29	Blick	Blick	N	NN	Masc|Dat|Sg	27	pn	1084	1084
30	unnennbaren	unnennbar	A	ADJA	Pos|Neut|Gen|Sg|_|	31	attr	1084	1084
31	Grauens	Grauen	N	NN	Neut|Gen|Sg	29	gmod	1084	1084
32	,	,	$	$,	_	0	root	1084	1084
33	der	die	P	PRELS	Masc|Nom|Sg	39	subj	1084	1084
34	ihn	er	P	PPER	3|Sg|Masc|Acc	39	obja	45	45
35	sofort	sofort	A	ADV	_	39	adv	_	_
36	und	und	K	KON	_	35	kon	_	_
37	völlig	völlig	A	ADJD	Pos|	38	adv	_	_
38	wach	wach	A	ADJD	Pos|	36	cj	_	_
39	machte	machen	V	VVFIN	3|Sg|Past|_	29	rel	_	_
40	.	.	$	$.	_	0	root	_	_

1	Unwillkürlich	unwillkürlich	A	ADJD	Pos|	0	root	_	_
2	,	,	$	$,	_	0	root	_	_
3	wie	wie	P	PWAV	_	0	root	_	_
4	mit	mit	P	APPR	Dat	0	root	_	_
5	einer	eine	A	ART	Indef|Fem|Dat|Sg	6	det	1086	1086
6	Gebärde	Gebärde	N	NN	Fem|Dat|Sg	4	pn	1086	1086
7	des	die	A	ART	Def|Neut|Gen|Sg	8	det	1085	1085
8	Flehens	Flehen	N	NN	Neut|Gen|Sg	6	gmod	1085	1085
9	,	,	$	$,	_	0	root	_	_
10	streckte	strecken	V	VVFIN	3|Sg|Past|_	0	root	_	_
11	er	er	P	PPER	3|Sg|Masc|Nom	10	subj	1084	1084
12	die	die	A	ART	Def|_|_|_	13	det	209	209
13	Arme	Arm	N	NN	_|_|_	10	obja	209	209
14	nach	nach	P	APPR	Dat	10	pp	_	_
15	ihr	ihre	A	PPOSAT	_|_|Sg	14	pn	1086	1086
16	aus	aus	P	PTKVZ	_	10	avz	_	_
17	.	.	$	$.	_	0	root	_	_

1	Marcolina	Marcolina	N	NE	_|Nom|Sg	7	subj	119	119
