1	Fridolins	Fridolins	N	NE	_|Gen|_	2	gmod	99	99
3	dir	du	P	PPER	2|Sg|_|Dat	4	objd	407	407
4	verbieten	verbieten	V	VVINF	_	2	aux	_	_
5	,	,	$	$,	_	0	root	_	_
6	mit	mit	P	APPR	Dat	8	pp	_	_
7	mir	ich	P	PPER	1|Sg|_|Dat	6	pn	408	408
8	fortzugehen	fortgehen	V	VVIZU	_	4	obji	_	_
9	,	,	$	$,	_	0	root	_	_
10	wenn	wenn	K	KOUS	_	12	konj	_	_
11	du	du	P	PPER	2|Sg|_|Nom	12	subj	407	407
12	willst	wollen	V	VMFIN	2|Sg|Pres|Ind	8	neb	_	_
13	?	?	$	$.	_	0	root	_	_
14	«	«	$	$(	_	0	root	_	_

1	Sie	sie	P	PPER	3|Sg|Fem|Nom	2	subj	43	43
2	atmete	atmen	V	VVFIN	3|Sg|Past|_	0	root	_	_
3	tief	tief	A	ADJD	Pos|	2	adv	_	_
4	auf	auf	P	PTKVZ	_	2	avz	_	_
5	und	und	K	KON	_	2	kon	_	_
6	senkte	senken	V	VVFIN	_|Sg|Past|_	5	cj	_	_
7	das	die	A	ART	Def|Neut|_|Sg	8	det	409	409
8	Haupt	Haupt	N	NN	Neut|_|Sg	6	obja	409	409
9	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Ah	Ah	N	NN	Fem|_|Sg	0	root	410	410
3	,	,	$	$,	_	0	root	_	_
4	nun	nun	A	ADV	_	7	adv	_	_
5	versteh	versteh	A	ADJD	_	7	adv	_	_
6	'	'	$	$(	_	0	root	_	_
7	ich	ich	P	PPER	1|Sg|_|Nom	0	root	408	408
8	«	«	$	$(	_	0	root	_	_
9	,	,	$	$,	_	0	root	_	_
10	sagte	sagen	V	VVFIN	3|Sg|Past|_	0	root	_	_
11	er	er	P	PPER	3|Sg|Masc|Nom	10	subj	3	3
12	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Es	es	P	PPER	3|Sg|Neut|Nom	3	subj	_	_
3	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
4	die	die	A	ART	Def|Fem|Nom|Sg	5	det	411	411
5	Strafe	Strafe	N	NN	Fem|Nom|Sg	3	pred	411	411
6	,	,	$	$,	_	0	root	411	411
7	die	die	P	PRELS	Fem|_|Sg	10	obja	411	411
8	ihr	ihr	P	PPER	2|Pl|_|Nom	11	subj	412	412
9	dem	die	P	PDS	Masc|Dat|Sg	10	objd	_	_
10	bestimmt	bestimmen	V	VVPP	_	11	aux	_	_
11	habt	haben	V	VAFIN	2|Pl|Pres|Ind	5	rel	_	_
12	,	,	$	$,	_	0	root	_	_
13	der	die	P	PRELS	Masc|Nom|Sg	16	subj	_	_
14	sich	sie	P	PRF	3|_|_	16	obja	_	_
15	ungeladen	ungeladen	A	ADJD	Pos|	16	adv	_	_
16	einschleicht	einschleichen	V	VVFIN	3|Sg|Pres|Ind	9	rel	_	_
17	.	.	$	$.	_	0	root	_	_

