1	Münchhausen	Münchhausen	N	NE	Neut|Nom|Sg	2	subj	1	1
15	macht	machen	V	VVFIN	_|_|Pres|Ind	13	kon	_	_
16	auch	auch	A	ADV	_	15	adv	_	_
17	dumm	dumm	A	ADJD	Pos|	15	pred	_	_
18	.	.	$	$.	_	0	root	_	_

1	Wer	wer	P	PWS	_|Nom|Sg	4	subj	_	_
2	überflüssiges	überflüssig	A	ADJA	Pos|Neut|_|Sg|St|	3	attr	_	_
3	Geld	Geld	N	NN	Neut|_|Sg	4	obja	_	_
4	hat	haben	V	VAFIN	3|Sg|Pres|Ind	6	objc	_	_
5	,	,	$	$,	_	0	root	_	_
6	gehört	gehören	V	VVFIN	_|_|Pres|Ind	0	root	_	_
7	selten	selten	A	ADJD	Pos|	6	adv	_	_
8	zu	zu	P	APPR	Dat	6	objp	_	_
9	den	die	A	ART	Def|_|Dat|Pl	10	det	_	_
10	Klugen	Kluge	N	NN	_|Dat|Pl	8	pn	_	_
11	.	.	$	$.	_	0	root	_	_

