1	Schlosser	Schlosser	N	NN	Masc|_|_	0	root	10	10
32	Darstellungen	Darstellung	N	NN	Fem|Nom|Pl	33	subj	_	_
33	wären	sein	V	VAFIN	3|Pl|Past|Subj	28	kon	_	_
34	etwas	etwas	A	PIAT	Neut|Nom|Sg	35	det	_	_
35	Unerhörtes	Unerhörtes	N	NN	Neut|Nom|Sg	33	pred	_	_
36	,	,	$	$,	_	0	root	_	_
37	und	und	K	KON	_	33	kon	_	_
38	würden	werden	V	VAFIN	_|Pl|Past|Subj	37	cj	_	_
39	gegen	gegen	P	APPR	Acc	43	pp	_	_
40	jene	jene	A	PDAT	Masc|Acc|Pl	41	det	505	505
41	Schreier	Schreier	N	NN	Masc|Acc|Pl	39	pn	505	505
42	grell	grell	A	ADJD	Pos|	43	adv	505	505
43	abstechen	abstechen	V	VVINF	_	38	aux	505	505
44	,	,	$	$,	_	0	root	505	505
45	die	die	P	PRELS	Masc|_|Pl	59	obja	505	505
46	die	die	A	ART	Def|Fem|Nom|Pl	48	det	_	_
47	tragischen	tragisch	A	ADJA	Pos|Fem|Nom|Pl|Wk|	48	attr	_	_
48	Rollen	Rolle	N	NN	Fem|Nom|Pl	59	subj	_	_
49	immer	immer	A	ADV	_	50	adv	_	_
50	nur	nur	A	ADV	_	59	adv	_	_
51	mit	mit	P	APPR	Dat	59	pp	_	_
52	sogenannter	sogenannt	A	ADJA	Pos|Fem|Dat|Sg|St|	53	attr	_	_
53	Kraft	Kraft	N	NN	Fem|Dat|Sg	51	pn	_	_
54	und	und	K	KON	_	51	kon	_	_
55	mit	mit	P	APPR	Dat	54	cj	_	_
56	Nachdruck	Nachdruck	N	NN	Masc|Dat|Sg	55	pn	_	_
57	zu	zu	P	PTKZU	_	58	part	_	_
58	spielen	spielen	V	VVINF	_	59	obji	_	_
59	suchen	suchen	V	VVFIN	3|Pl|Pres|_	41	rel	_	_
60	.	.	$	$.	_	0	root	_	_

1	Fischer	Fischer	N	NE	_	0	root	2	2
2	:	\:	$	$.	_	0	root	_	_
3	Das	die	P	PDS	Neut|Nom|Sg	4	subj	_	_
4	fehlt	fehlen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
5	uns	wir	P	PPER	1|Pl|_|Dat	4	objd	506	506
6	noch	noch	A	ADV	_	4	adv	_	_
7	!	!	$	$.	_	0	root	_	_

1	Es	es	P	PPER	3|Sg|Neut|Nom	2	subj	_	_
2	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
3	aber	aber	A	ADV	_	2	adv	_	_
4	unausstehlich	unausstehlich	A	ADJD	Pos|	2	pred	_	_
5	,	,	$	$,	_	0	root	_	_
6	wenn	wenn	K	KOUS	_	12	konj	_	_
7	es	es	P	PPER	3|Sg|Neut|Nom	12	subj	_	_
8	da	da	A	ADV	_	12	adv	_	_
9	oben	oben	A	ADV	_	12	adv	_	_
10	einmal	einmal	A	ADV	_	12	adv	_	_
11	still	still	A	ADJD	Pos|	12	pred	_	_
12	ist	sein	V	VAFIN	3|Sg|Pres|Ind	15	neb	_	_
13	,	,	$	$,	_	0	root	_	_
14	so	so	A	ADV	_	15	adv	_	_
15	martert	martern	V	VVFIN	3|Sg|Pres|Ind	2	kon	_	_
16	uns	wir	P	PPER	1|Pl|_|_	15	obja	506	506
17	der	die	A	ART	Def|Masc|Nom|Sg	18	det	_	_
18	Kenner	Kenner	N	NN	Masc|Nom|Sg	15	subj	_	_
19	hier	hier	A	ADV	_	15	adv	_	_
20	fast	fast	A	ADV	_	21	adv	_	_
21	ebensosehr	ebensosehr	A	ADJD	_	15	adv	_	_
22	.	.	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	Der	die	A	ART	Def|Masc|Nom|Sg	3	det	72	72
3	Vorhang	Vorhang	N	NN	Masc|Nom|Sg	4	subj	72	72
4	geht	gehen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
5	auf	auf	P	PTKVZ	_	4	avz	_	_
6	!	!	$	$.	_	0	root	_	_

1	Bauernstube	Bauernstube	N	NN	Fem|_|Sg	0	root	507	507
2	.	.	$	$.	_	0	root	_	_

1	Der	die	A	ART	Def|_|_|_	2	det	_	_
2	Dichter	Dichter	N	NN	_|_|_	0	root	_	_
3	,	,	$	$,	_	0	root	_	_
4	der	die	A	ART	Def|_|_|_	5	det	_	_
5	Maschinist	Maschinist	N	NN	_|_|_	2	app	_	_
6	.	.	$	$.	_	0	root	_	_

1	Maschinist	Maschinist	N	NE	_	0	root	508	508
2	:	\:	$	$.	_	0	root	_	_
3	Meinen	meinen	V	VVFIN	3|Pl|Pres|_	0	root	_	_
4	Sie	sie	P	PPER	3|Pl|_|Nom	3	subj	508	508
5	denn	denn	A	ADV	_	3	adv	_	_
6	wirklich	wirklich	A	ADJD	Pos|	3	adv	_	_
7	,	,	$	$,	_	0	root	_	_
8	daß	daß	K	KOUS	_	12	konj	_	_
9	das	die	A	ART	Def|Neut|_|Sg	10	part	_	_
10	etwas	etwas	P	PIS	_|Nom|Sg	12	subj	_	_
11	helfen	helfen	V	VVINF	_	12	aux	_	_
12	wird	werden	V	VAFIN	3|Sg|Pres|Ind	3	objc	_	_
13	?	?	$	$.	_	0	root	_	_

1	Dichter	Dichter	N	NN	_|_|_	0	root	53	53
2	:	\:	$	$.	_	0	root	_	_
3	O	O	N	NN	Neut|_|_	0	root	288	288
4	mein	meine	A	PPOSAT	Masc|Nom|Sg	6	det	508	508
5	verehrtester	verehrt	A	ADJA	Sup|Masc|Nom|Sg|St|	6	attr	509)	509)
6	Herr	Herr	N	NN	Masc|Nom|Sg	0	root	509)	509)
7	Maschinist	Maschinist	N	NE	Masc|Nom|Sg	6	app	508	508
8	,	,	$	$,	_	0	root	_	_
9	ich	ich	P	PPER	1|Sg|_|Nom	10	subj	509	509
10	bitte	bitten	V	VVFIN	1|Sg|Pres|_	0	root	_	_
11	Sie	sie	P	PPER	3|_|_|_	10	obja	288	288
12	,	,	$	$,	_	0	root	_	_
13	ich	ich	P	PPER	1|Sg|_|Nom	14	subj	509	509
14	beschwöre	beschwören	V	VVFIN	1|Sg|_|_	10	kon	_	_
15	Sie	sie	P	PPER	3|_|_|_	14	obja	288	288
16	,	,	$	$,	_	0	root	_	_
17	schlagen	schlagen	V	VVFIN	_|Pl|Pres|_	14	kon	_	_
18	Sie	sie	P	PPER	3|_|_|_	17	obja	288	288
19	mir	ich	P	PPER	1|Sg|_|Dat	17	objd	509	509
20	meine	meine	A	PPOSAT	Fem|_|Sg	21	det	509	509
21	Bitte	Bitte	N	NN	Fem|_|Sg	0	root	_	_
22	nicht	nicht	P	PTKNEG	_	21	adv	_	_
23	ab	ab	P	PTKVZ	_	0	root	_	_
24	;	;	$	$.	_	0	root	_	_
25	meine	meine	A	PPOSAT	Fem|_|Sg	27	det	509	509
26	letzte	letzte	A	ADJA	Pos|Fem|_|Sg|_|	27	attr	_	_
27	Hoffnung	Hoffnung	N	NN	Fem|_|Sg	0	root	_	_
28	,	,	$	$,	_	0	root	_	_
29	meine	meine	A	PPOSAT	Fem|Nom|Sg	30	det	509	509
30	Rettung	Rettung	N	NN	Fem|Nom|Sg	31	subj	_	_
31	beruht	beruhen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
32	nur	nur	A	ADV	_	31	adv	_	_
33	darauf	darauf	P	PROAV	_	31	objp	_	_
34	.	.	$	$.	_	0	root	_	_

1	Leutner	Leutner	N	NE	_	0	root	30	30
2	:	\:	$	$.	_	0	root	_	_
3	Was	was	P	PWS	Neut|Nom|Sg	4	pred	_	_
4	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
5	denn	denn	A	ADV	_	4	adv	_	_
6	das	die	P	PDS	Neut|Nom|Sg	4	subj	_	_
7	wieder	wieder	A	ADV	_	4	adv	_	_
8	?	?	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	Wie	Wie	P	PWAV	_	3	adv	_	_
3	kommen	kommen	V	VVFIN	3|Pl|Pres|_	0	root	_	_
4	denn	denn	A	ADV	_	3	adv	_	_
5	diese	diese	A	PDAT	Masc|Nom|Pl	6	det	97	97
6	Menschen	Mensch	N	NN	Masc|Nom|Pl	3	subj	97	97
7	in	in	P	APPR	_	3	pp	_	_
8	Gottliebs	Gottliebs	N	NE	_|Gen|_	9	gmod	_	_
9	Stube	Stube	N	NN	Fem|_|Sg	7	pn	_	_
10	?	?	$	$.	_	0	root	_	_

1	Schlosser	Schlosser	N	NN	Masc|_|_	0	root	10	10
2	:	\:	$	$.	_	0	root	_	_
3	Ich	ich	P	PPER	1|Sg|_|Nom	4	subj	1	1
4	zerbreche	zerbrechen	V	VVFIN	1|Sg|Pres|_	0	root	_	_
5	mir	ich	P	PRF	1|Sg|Dat	4	objd	_	_
6	über	über	P	APPR	_	4	pp	_	_
7	nichts	nichts	P	PIS	_|_|_	6	pn	_	_
8	mehr	mehr	A	ADV	_	7	adv	_	_
9	den	die	A	ART	Def|Masc|Acc|Sg	10	det	111	111
10	Kopf	Kopf	N	NN	Masc|Acc|Sg	4	obja	111	111
11	.	.	$	$.	_	0	root	_	_

1	Maschinist	Maschinist	N	NE	_	0	root	508	508
2	:	\:	$	$.	_	0	root	_	_
3	Aber	Aber	N	NN	_|Nom|_	9	vok	_	_
4	,	,	$	$,	_	0	root	_	_
5	lieber	lieb	A	ADJA	Pos|Masc|Nom|Sg|St|	6	attr	_	_
6	Freund	Freund	N	NN	Masc|Nom|Sg	3	app	_	_
7	,	,	$	$,	_	0	root	_	_
8	Sie	sie	P	PPER	3|Pl|_|Nom	9	subj	510	510
9	verlangen	verlangen	V	VVFIN	3|Pl|Pres|_	0	root	_	_
10	auch	auch	A	ADV	_	9	adv	_	_
11	wahrhaftig	wahrhaftig	A	ADJD	Pos|	9	adv	_	_
12	zu	zu	P	PTKA	_	13	adv	_	_
13	viel	viel	P	PIS	_	9	obja	_	_
14	,	,	$	$,	_	0	root	_	_
15	daß	daß	K	KOUS	_	0	root	_	_
16	das	die	P	PDS	Neut|_|Sg	0	root	_	_
17	alles	alle	P	PIS	Neut|_|Sg	16	app	_	_
18	so	so	A	ADV	_	19	adv	_	_
19	in	in	P	APPR	Dat	17	pp	_	_
20	der	die	A	ART	Def|Fem|Dat|Sg	21	det	_	_
21	Eil	Eil	N	NN	Fem|Dat|Sg	19	pn	_	_
22	,	,	$	$,	_	0	root	_	_
23	ganz	ganz	A	ADV	_	24	adv	_	_
24	aus	aus	P	APPR	Dat	19	kon	_	_
25	dem	die	A	ART	Def|Masc|Dat|Sg	26	det	_	_
26	Stegereife	Stegereif	N	NN	Masc|Dat|Sg	24	pn	_	_
27	zustande	zustande	P	PTKVZ	_	0	root	_	_
28	kommen	kommen	V	VVINF	_	29	aux	_	_
29	soll	sollen	V	VMFIN	_|Sg|Pres|Ind	0	root	_	_
30	.	.	$	$.	_	0	root	_	_

1	Dichter	dicht	A	ADJD	Comp|	0	root	_	_
2	:	\:	$	$.	_	0	root	_	_
3	Sie	sie	P	PPER	3|Pl|_|Nom	4	subj	510	510
4	verfolgen	verfolgen	V	VVFIN	3|Pl|Pres|_	0	root	_	_
5	mich	ich	P	PPER	1|Sg|_|Acc	4	obja	511	511
6	auch	auch	A	ADV	_	4	adv	_	_
7	;	;	$	$.	_	0	root	_	_
8	einverstanden	einverstanden	A	ADJD	Pos|	0	root	_	_
9	mit	mit	P	APPR	Dat	8	pp	_	_
10	meinen	meine	A	PPOSAT	_|Dat|_	11	det	511	511
11	Feinden	Feind	N	NN	_|Dat|_	9	pn	_	_
12	drunten	drunten	N	NE	_|Dat|_	11	app	_	_
13	,	,	$	$,	_	0	root	_	_
14	erfreuen	erfreuen	V	VVFIN	3|Pl|Pres|_	0	root	_	_
15	Sie	sie	P	PPER	3|Pl|_|Nom	14	subj	510	510
16	sich	sie	P	PRF	3|_|_	14	obja	_	_
17	meines	meine	A	PPOSAT	Neut|Gen|Sg	18	det	511	511
18	Unglücks	Unglück	N	NN	Neut|Gen|Sg	14	objg	_	_
19	.	.	$	$.	_	0	root	_	_

1	Maschinist	Maschinist	N	NE	_	0	root	508	508
2	:	\:	$	$.	_	0	root	_	_
3	Nicht	nicht	P	PTKNEG	_	4	adv	_	_
4	im	in	P	APPRART	Dat	0	root	_	_
5	mindesten	mindesten	N	NN	_|Dat|_	4	pn	512	512
6	.	.	$	$.	_	0	root	_	_

1	Dichter	Dichter	N	NN	Masc|Nom|Sg	2	subj	_	_
2	fällt	fallen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
3	vor	vor	P	APPR	Dat	2	pp	_	_
4	ihm	er	P	PPER	3|Sg|_|Dat	3	pn	1	1
5	nieder	nieder	P	PTKVZ	_	2	avz	_	_
6	:	\:	$	$.	_	0	root	_	_
7	Nun	nun	A	ADV	_	8	adv	_	_
8	so	so	A	ADV	_	9	adv	_	_
9	beweisen	beweisen	V	VVFIN	3|Pl|Pres|_	0	root	_	_
10	Sie	sie	P	PPER	3|Pl|_|Nom	9	subj	512	512
11	es	es	P	PPER	3|Sg|Neut|_	9	obja	_	_
12	mir	ich	P	PPER	1|Sg|_|Dat	9	objd	513	513
13	dadurch	dadurch	P	PROAV	_	9	pp	_	_
14	,	,	$	$,	_	0	root	_	_
15	daß	daß	K	KOUS	_	19	konj	_	_
16	Sie	sie	P	PPER	3|Pl|_|Nom	19	subj	512	512
17	meinen	meine	A	PPOSAT	_|Dat|_	18	det	513	513
18	Bitten	Bitte	N	NN	_|Dat|_	19	objd	_	_
19	nachgeben	nachgeben	V	VVFIN	3|Pl|Pres|_	9	objc	_	_
20	;	;	$	$.	_	0	root	_	_
21	wenn	wenn	K	KOUS	_	32	konj	_	_
22	das	die	A	ART	Def|Neut|Nom|Sg	23	det	_	_
23	Mißfallen	Mißfallen	N	NN	Neut|Nom|Sg	32	subj	_	_
24	des	die	A	ART	Def|Neut|Gen|Sg	25	det	47	47
25	Publikums	Publikum	N	NN	Neut|Gen|Sg	23	gmod	47	47
26	bei	bei	P	APPR	Dat	32	pp	_	_
27	irgendeiner	irgendeine	A	PIAT	Fem|Dat|Sg	28	det	_	_
28	Stelle	Stelle	N	NN	Fem|Dat|Sg	26	pn	_	_
29	wieder	wieder	A	ADV	_	32	adv	_	_
30	so	so	A	ADV	_	31	adv	_	_
31	laut	laut	A	ADJD	Pos|	32	adv	_	_
32	ausbricht	ausbrechen	V	VVFIN	3|Sg|Pres|Ind	35	neb	_	_
33	,	,	$	$,	_	0	root	_	_
34	so	so	A	ADV	_	35	adv	_	_
35	lassen	lassen	V	VVFIN	3|Pl|Pres|_	0	root	_	_
36	Sie	sie	P	PPER	3|Pl|_|Nom	35	subj	512	512
37	auf	auf	P	APPR	Acc	35	pp	_	_
38	einen	eine	A	ART	Indef|Masc|Acc|Sg	39	det	_	_
39	Wink	Wink	N	NN	Masc|Acc|Sg	37	pn	_	_
40	von	von	P	APPR	Dat	39	pp	_	_
41	mir	ich	P	PPER	1|Sg|_|Dat	40	pn	513	513
42	alle	alle	A	PIDAT	Fem|_|Pl	43	det	_	_
43	Maschinen	Maschine	N	NN	Fem|_|Pl	44	obja	_	_
44	spielen	spielen	V	VVINF	_	35	obji	_	_
45	!	!	$	$.	_	0	root	_	_

1	Der	die	A	ART	Def|Masc|Nom|Sg	3	det	514	514
2	zweite	zweit	A	ADJA	_|Masc|Nom|Sg|Wk|	3	attr	514	514
3	Akt	Akt	N	NN	Masc|Nom|Sg	4	subj	514	514
4	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
5	so	so	A	ADV	_	6	adv	_	_
6	schon	schon	A	ADV	_	9	adv	_	_
7	ganz	ganz	A	ADV	_	8	adv	_	_
8	anders	anders	A	ADV	_	9	adv	_	_
9	geschlossen	geschlossen	V	VVPP	_	4	aux	_	_
10	,	,	$	$,	_	0	root	_	_
11	als	als	K	KOUS	_	16	konj	_	_
12	er	er	P	PPER	3|Sg|Masc|Nom	16	subj	514	514
13	in	in	P	APPR	Dat	16	pp	_	_
14	meinem	meine	A	PPOSAT	Neut|Dat|Sg	15	det	513	513
15	Manuskripte	Manuskript	N	NN	Neut|Dat|Sg	13	pn	_	_
16	steht	stehen	V	VVFIN	3|Sg|Pres|Ind	4	neb	_	_
17	.	.	$	$.	_	0	root	_	_

1	Maschinist	Maschinist	N	NE	_	0	root	508	508
2	:	\:	$	$.	_	0	root	_	_
3	Was	was	P	PWS	Neut|Nom|Sg	4	pred	_	_
4	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
5	denn	denn	A	ADV	_	4	adv	_	_
6	das	die	P	PDS	Neut|Nom|Sg	4	subj	_	_
7	?	?	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	Wer	wer	P	PWS	_|Nom|Sg	3	subj	_	_
3	hat	haben	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
4	denn	denn	A	ADV	_	7	adv	_	_
5	die	die	A	ART	Def|Fem|_|Sg	6	det	_	_
6	Gardine	Gardine	N	NN	Fem|_|Sg	7	obja	_	_
7	aufgezogen	aufziehen	V	VVPP	_	3	aux	_	_
8	?	?	$	$.	_	0	root	_	_

1	Dichter	Dichter	N	NN	_|_|_	0	root	53	53
2	:	\:	$	$.	_	0	root	_	_
3	Alles	Alles	N	NN	Neut|Nom|Sg	5	subj	_	_
4	Unglück	Unglück	N	NN	Neut|Nom|Sg	3	app	_	_
5	strömt	strömen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
6	auf	auf	P	APPR	Acc	5	pp	_	_
7	mich	ich	P	PPER	1|Sg|_|Acc	6	pn	515	515
8	ein	ein	P	PTKVZ	_	5	avz	_	_
9	,	,	$	$,	_	0	root	_	_
10	ich	ich	P	PPER	1|Sg|_|Nom	11	subj	515	515
11	bin	sein	V	VAFIN	1|Sg|Pres|Ind	5	kon	_	_
12	verloren	verlieren	V	VVPP	_	11	aux	_	_
13	-	-	$	$(	_	0	root	_	_
14	Er	er	P	PPER	3|Sg|Masc|Nom	15	subj	1	1
15	flieht	fliehen	V	VVFIN	3|Sg|Pres|Ind	11	kon	_	_
16	beschämt	beschämt	A	ADJD	Pos|	15	adv	_	_
17	hinter	hinter	P	APPR	Acc	15	pp	_	_
18	die	die	A	ART	Def|Fem|Acc|Pl	19	det	_	_
19	Kulissen	Kulisse	N	NN	Fem|Acc|Pl	17	pn	_	_
20	.	.	$	$.	_	0	root	_	_

