1	Als	Als	K	KOKOM	_	6	kom	_	_
7	jene	jene	A	PDAT	Fem|Nom|Pl	9	det	_	_
8	bezaubernde	bezaubernd	A	ADJA	Pos|Fem|Nom|Pl|St|_	9	attr	_	_
9	Schilderungen	Schilderung	N	NN	Fem|Nom|Pl	4	subj	_	_
10	,	,	$	$,	_	0	root	_	_
11	jene	jene	A	PDAT	Fem|Nom|Sg	12	det	_	_
12	Menge	Menge	N	NN	Fem|Nom|Sg	9	kon	_	_
13	von	von	P	APPR	Dat	12	pp	_	_
14	Engels-	Engels-	T	TRUNC	_|_|_	13	pn	_	_
15	und	und	K	KON	_	14	kon	_	_
16	Adlersblicken	Adlersblick	N	NN	_|_|_	15	cj	_	_
17	,	,	$	$,	_	0	root	_	_
18	jene	jene	A	PDAT	_|Nom|Pl	19	det	_	_
19	unbeschreiblich	unbeschreiblich	N	NN	_|Nom|Pl	12	kon	_	_
20	lieblichen	lieblich	A	ADJA	Pos|_|Nom|Pl|Wk|	21	attr	_	_
21	Physiognomieen	Physiognomieen	N	NN	_|Nom|Pl	19	app	_	_
22	,	,	$	$,	_	0	root	_	_
23	weil	weil	K	KOUS	_	29	konj	_	_
24	ich	ich	P	PPER	1|Sg|_|Nom	29	subj	24	24
25	nicht	nicht	P	PTKNEG	_	28	adv	_	_
26	mehr	mehr	A	ADV	_	25	adv	_	_
27	daran	daran	P	PROAV	_	28	objp	_	_
28	glauben	glauben	V	VVINF	_	29	aux	_	_
29	kann	können	V	VMFIN	1|Sg|Pres|Ind	4	neb	_	_
30	.	.	$	$.	_	0	root	_	_

1	Als	Als	K	KOKOM	_	5	kom	_	_
2	Fermer	Fermer	N	NN	_	1	cj	6	6
3	nach	nach	P	APPR	Dat	2	pp	6	6
4	Hause	Haus	N	NN	Neut|Dat|Sg	3	pn	6	6
5	gekommen	kommen	V	VVPP	_	6	aux	32)	32)
6	war	sein	V	VAFIN	_|Sg|Past|Ind	0	root	32)	32)
7	,	,	$	$,	_	0	root	32)	32)
8	war	sein	V	VAFIN	_|Sg|Past|Ind	6	kon	32)	32)
9	seine	seine	A	PPOSAT	Fem|Nom|Sg	11	det	32	32
10	erste	erst	A	ADJA	_|Fem|Nom|Sg|_|	11	attr	_	_
11	Frage	Frage	N	NN	Fem|Nom|Sg	8	pred	_	_
12	,	,	$	$,	_	0	root	_	_
13	ob	ob	K	KOUS	_	19	konj	_	_
14	der	die	A	ART	Def|Masc|Nom|Sg	15	det	33	33
15	Briefträger	Briefträger	N	NN	Masc|Nom|Sg	19	subj	33	33
16	keinen	keine	A	PIAT	Masc|Acc|Sg	17	det	45	45
17	Brief	Brief	N	NN	Masc|Acc|Sg	18	obja	45	45
18	gebracht	bringen	V	VVPP	_	19	aux	_	_
19	habe	haben	V	VAFIN	3|Sg|Pres|Subj	8	objc	_	_
20	.	.	$	$.	_	0	root	_	_

1	Der	die	A	ART	Def|Masc|Nom|Sg	2	det	8	8
2	Bediente	Bediente	N	NN	Masc|Nom|Sg	3	subj	8	8
3	überreichte	überreichen	V	VVFIN	3|Sg|Past|_	0	root	_	_
4	ihm	er	P	PPER	3|Sg|_|Dat	3	objd	33	33
5	einen	eine	P	PIS	_|_|_	3	obja	_	_
6	;	;	$	$.	_	0	root	_	_
7	er	er	P	PPER	3|Sg|Masc|Nom	8	subj	33	33
8	besah	besehen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
9	das	die	A	ART	Def|Neut|_|Sg	10	det	_	_
10	Siegel	Siegel	N	NN	Neut|_|Sg	8	obja	_	_
11	und	und	K	KON	_	8	kon	_	_
12	sagte	sagen	V	VVFIN	_|Sg|Past|_	11	cj	_	_
13	:	\:	$	$.	_	0	root	_	_
14	»	»	$	$(	_	0	root	_	_
15	Gottlob	Gottlob	N	NN	Neut|_|Sg	0	root	_	_
16	!	!	$	$.	_	0	root	_	_
17	«	«	$	$(	_	0	root	_	_
18	dann	dann	A	ADV	_	19	adv	_	_
19	erbrach	erbrechen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
20	er	er	P	PPER	3|Sg|Masc|Nom	19	subj	33	33
21	ihn	er	P	PPER	3|Sg|Masc|Acc	19	obja	8	8
22	und	und	K	KON	_	19	kon	_	_
23	las	lesen	V	VVFIN	_|Sg|Past|Ind	22	cj	_	_
24	:	\:	$	$.	_	0	root	_	_

1	Geliebter	Geliebte	N	NN	_|_|_	0	root	_	_
2	meiner	meine	A	PPOSAT	Fem|Gen|Sg	3	det	34	34
3	Seele	Seele	N	NN	Fem|Gen|Sg	1	gmod	_	_
4	!	!	$	$.	_	0	root	_	_

1	Dich	du	P	PPER	2|Sg|_|Acc	2	obja	35	35
2	sollt	sollen	V	VMFIN	2|Pl|Pres|Ind	0	root	_	_
3	ich	ich	P	PPER	1|Sg|_|Nom	0	root	34	34
4	vergessen	vergessen	V	VVINF	_	0	root	_	_
5	können	können	V	VMINF	_	0	root	_	_
6	?	?	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	Unmöglich	unmöglich	A	ADJD	Pos|	0	root	_	_
3	!	!	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	Schon	schon	A	ADV	_	3	adv	_	_
3	seit	seit	P	APPR	Dat	6	pp	_	_
4	anderthalb	anderthalb	C	CARD	_	5	attr	_	_
5	Tagen	Tag	N	NN	Masc|Dat|Pl	3	pn	_	_
6	bist	sein	V	VAFIN	2|Sg|Pres|Ind	0	root	_	_
7	Du	du	P	PPER	2|Sg|_|Nom	6	subj	35	35
8	abgereist	abreisen	V	VVPP	_	6	aux	_	_
9	,	,	$	$,	_	0	root	_	_
10	und	und	K	KON	_	6	kon	_	_
11	immer	immer	A	ADV	_	12	adv	_	_
12	steht	stehen	V	VVFIN	3|Sg|Pres|Ind	10	cj	_	_
13	Dein	deine	A	PPOSAT	Neut|Nom|Sg	14	det	35	35
14	Bild	Bild	N	NN	Neut|Nom|Sg	12	subj	_	_
15	noch	noch	A	ADV	_	12	adv	_	_
16	so	so	A	ADV	_	17	adv	_	_
17	lebendig	lebendig	A	ADJD	Pos|	12	adv	_	_
18	vor	vor	P	APPR	Dat	12	objp	_	_
19	mir	ich	P	PPER	1|Sg|_|Dat	18	pn	34	34
20	,	,	$	$,	_	0	root	_	_
21	als	als	K	KOKOM	_	0	root	_	_
22	wenn	wenn	K	KOUS	_	27	konj	_	_
23	Du	du	P	PPER	2|Sg|_|Nom	27	subj	35	35
24	noch	noch	A	ADV	_	27	adv	_	_
25	hier	hier	A	ADV	_	27	adv	_	_
26	gegenwärtig	gegenwärtig	A	ADJD	Pos|	27	pred	_	_
27	wärst	sein	V	VAFIN	2|Sg|Past|Subj	0	root	_	_
28	.	.	$	$.	_	0	root	_	_

1	Immer	immer	A	ADV	_	2	adv	_	_
2	hör	hör	V	VVFIN	1|Sg|_|_	0	root	_	_
3	ich	ich	P	PPER	1|Sg|_|Nom	2	subj	34	34
4	noch	noch	A	ADV	_	2	adv	_	_
5	Deine	deine	A	PPOSAT	Masc|_|Pl	7	det	35	35
6	süßen	süß	A	ADJA	Pos|Masc|_|Pl|Wk|	7	attr	_	_
7	Schwüre	Schwur	N	NN	Masc|_|Pl	2	obja	_	_
8	,	,	$	$,	_	0	root	_	_
9	die	die	A	ART	Def|Masc|_|Pl	11	det	_	_
10	gewaltigen	gewaltig	A	ADJA	Pos|Masc|_|Pl|Wk|	11	attr	_	_
11	Ausdrücke	Ausdruck	N	NN	Masc|_|Pl	7	app	_	_
12	,	,	$	$,	_	0	root	_	_
13	die	die	P	PRELS	Fem|Nom|Sg	16	subj	_	_
14	Deine	deine	A	PPOSAT	_|_|_	15	det	35	35
15	Liebe	Liebe	N	NN	_|_|_	16	obja	_	_
16	suchte	suchen	V	VVFIN	3|Sg|Past|_	11	rel	_	_
17	und	und	K	KON	_	16	kon	_	_
18	so	so	A	ADV	_	19	adv	_	_
19	behende	behende	A	ADJD	Pos|	20	adv	_	_
20	fand	finden	V	VVFIN	_|Sg|Past|Ind	17	cj	_	_
21	.	.	$	$.	_	0	root	_	_

1	Du	du	P	PPER	2|Sg|_|Nom	2	subj	35	35
2	hast	haben	V	VAFIN	2|Sg|Pres|Ind	0	root	_	_
3	recht	recht	A	ADJD	Pos|	2	pred	_	_
4	,	,	$	$,	_	0	root	_	_
5	etwas	etwas	A	PIAT	Neut|Nom|Sg	6	det	_	_
6	Außerordentliches	Außerordentliches	N	NN	Neut|Nom|Sg	7	subj	_	_
7	muß	müssen	V	VMFIN	3|Sg|Pres|Ind	2	kon	_	_
8	auch	auch	A	ADV	_	13	adv	_	_
9	auf	auf	P	APPR	Acc	13	pp	_	_
10	eine	eine	A	ART	Indef|Fem|Acc|Sg	12	det	_	_
11	außerordentliche	außerordentlich	A	ADJA	Pos|Fem|Acc|Sg|_|	12	attr	_	_
12	Art	Art	N	NN	Fem|Acc|Sg	9	pn	_	_
13	ausgesprochen	aussprechen	V	VVPP	_	14	aux	_	_
14	werden	werden	V	VAINF	_	7	aux	_	_
15	.	.	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	Ich	ich	P	PPER	1|Sg|_|Nom	3	subj	34	34
3	lese	lesen	V	VVFIN	1|Sg|Pres|_	0	root	_	_
4	die	die	A	ART	Def|_|_|Pl	5	det	36	36
5	Bücher	Buch	N	NN	_|_|Pl	3	obja	36	36
6	,	,	$	$,	_	0	root	36	36
7	die	die	P	PRELS	_|_|Pl	10	obja	36	36
8	Du	du	P	PPER	2|Sg|_|Nom	11	subj	35	35
9	mir	ich	P	PPER	1|Sg|_|Dat	10	objd	34	34
10	empfohlen	empfehlen	V	VVPP	_	11	aux	_	_
11	hast	haben	V	VAFIN	2|Sg|Pres|Ind	5	rel	_	_
12	,	,	$	$,	_	0	root	_	_
13	und	und	K	KON	_	11	kon	_	_
14	bin	sein	V	VAFIN	1|Sg|Pres|Ind	13	cj	_	_
15	jetzt	jetzt	A	ADV	_	14	adv	_	_
16	eben	eben	A	ADV	_	14	adv	_	_
17	beim	bei	P	APPRART	Dat	14	pp	_	_
18	Turnier	Turnier	N	NN	Neut|Dat|Sg	17	pn	_	_
19	von	von	P	APPR	Dat	18	pp	_	_
20	Nordhausen	Nordhausen	N	NN	_|Dat|Sg	19	pn	42	42
21	;	;	$	$.	_	0	root	_	_
22	schreibe	schreibe	V	VVIMP	_	0	root	_	_
23	mir	ich	P	PPER	1|Sg|_|Dat	22	objd	34	34
24	doch	doch	A	ADV	_	26	adv	_	_
25	Deine	deine	A	PPOSAT	Fem|_|Sg	26	det	35	35
26	Meinung	Meinung	N	NN	Fem|_|Sg	22	obja	_	_
27	darüber	darüber	P	PROAV	_	22	pp	_	_
28	,	,	$	$,	_	0	root	_	_
29	die	die	A	ART	Def|Fem|_|Sg	31	det	_	_
30	kühne	kühn	A	ADJA	Pos|Fem|_|Sg|_|	31	attr	_	_
31	Darstellung	Darstellung	N	NN	Fem|_|Sg	0	root	_	_
32	hat	haben	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
33	mich	ich	P	PPER	1|Sg|_|Acc	35	obja	34	34
34	gewaltig	gewaltig	A	ADJD	Pos|	35	adv	_	_
35	ergriffen	ergreifen	V	VVPP	_	32	aux	_	_
36	,	,	$	$,	_	0	root	_	_
37	wie	wie	P	PWAV	_	45	adv	_	_
38	ich	ich	P	PPER	1|Sg|_|Nom	45	subj	34	34
39	denn	denn	A	ADV	_	45	adv	_	_
40	überhaupt	überhaupt	A	ADV	_	45	adv	_	_
41	sehr	sehr	A	ADV	_	45	adv	_	_
42	für	für	P	APPR	Acc	45	pp	_	_
43	das	die	A	ART	Def|Neut|Acc|Sg	44	det	_	_
44	Große	Große	N	NN	Neut|Acc|Sg	42	pn	_	_
45	bin	sein	V	VAFIN	1|Sg|Pres|Ind	32	subjc	_	_
46	.	.	$	$.	_	0	root	_	_

1	Ich	ich	P	PPER	1|Sg|_|Nom	2	subj	34	34
2	denke	denken	V	VVFIN	1|Sg|Pres|_	0	root	_	_
3	an	an	P	APPR	_	2	objp	_	_
4	Dich	Dich	N	NE	_|_|_	3	pn	40	40
5	,	,	$	$,	_	0	root	_	_
6	ich	ich	P	PPER	1|Sg|_|Nom	7	subj	34	34
7	träume	träumen	V	VVFIN	1|Sg|Pres|_	2	s	_	_
8	von	von	P	APPR	Dat	7	pp	_	_
9	Dir	du	P	PPER	2|Sg|_|Dat	8	pn	35	35
10	;	;	$	$.	_	0	root	_	_
11	ich	ich	P	PPER	1|Sg|_|Nom	12	subj	34	34
12	weiß	wissen	V	VVFIN	1|Sg|Pres|Ind	0	root	_	_
13	nicht	nicht	P	PTKNEG	_	12	adv	_	_
14	,	,	$	$,	_	0	root	_	_
15	wie	wie	P	PWAV	_	19	adv	_	_
16	es	es	P	PPER	3|Sg|Neut|Nom	20	subj	_	_
17	mit	mit	P	APPR	Dat	19	pp	_	_
18	mir	ich	P	PPER	1|Sg|_|Dat	17	pn	34	34
19	werden	werden	V	VAINF	_	20	aux	_	_
20	soll	sollen	V	VMFIN	3|Sg|Pres|Ind	12	objc	_	_
21	,	,	$	$,	_	0	root	_	_
22	in	in	P	APPR	Dat	25	pp	_	_
23	sechs	sechs	C	CARD	_	24	attr	_	_
24	Monaten	Monat	N	NN	Masc|Dat|Pl	22	pn	_	_
25	wird	werden	V	VAFIN	3|Sg|Pres|Ind	12	kon	_	_
26	eine	eine	A	ART	Indef|Fem|Nom|Sg	28	det	_	_
27	schlimme	schlimm	A	ADJA	Pos|Fem|Nom|Sg|_|	28	attr	_	_
28	Periode	Periode	N	NN	Fem|Nom|Sg	25	subj	_	_
29	für	für	P	APPR	Acc	31	objp	_	_
30	mich	ich	P	PPER	1|Sg|_|Acc	29	pn	34	34
31	eintreten	eintreten	V	VVINF	_	25	aux	_	_
32	.	.	$	$.	_	0	root	_	_

1	Doch	doch	K	KON	_	0	root	_	_
2	ich	ich	P	PPER	1|Sg|_|Nom	3	subj	34	34
3	kann	können	V	VMFIN	1|Sg|Pres|Ind	1	cj	_	_
4	mich	ich	P	PRF	1|Sg|Acc	12	obja	_	_
5	dann	dann	A	ADV	_	12	adv	_	_
6	vielleicht	vielleicht	A	ADV	_	12	adv	_	_
7	schon	schon	A	ADV	_	12	adv	_	_
8	mit	mit	P	APPR	Dat	12	pp	_	_
9	einem	eine	A	ART	Indef|Masc|Dat|Sg	11	det	_	_
10	süßern	süßern	A	ADJA	_|Masc|Dat|Sg|_	11	attr	_	_
11	Namen	Name	N	NN	Masc|Dat|Sg	8	pn	_	_
12	nennen	nennen	V	VVINF	_	3	aux	_	_
13	,	,	$	$,	_	0	root	_	_
14	als	als	K	KOUS	_	18	konj	_	_
15	ich	ich	P	PPER	1|Sg|_|Nom	18	subj	34	34
16	mich	ich	P	PRF	1|Sg|Acc	18	obja	_	_
17	jetzt	jetzt	A	ADV	_	18	adv	_	_
18	unterschreibe	unterschreiben	V	VVFIN	1|Sg|Pres|_	3	neb	_	_

1	Deine	deine	A	PPOSAT	_|_|_	2	det	35	35
2	Geliebte	Geliebte	N	NN	_|_|_	0	root	_	_
3	Nanette	Nanette	N	NE	_|_|_	2	app	_	_
4	B.	B.	N	NE	_|_|_	3	app	_	_

