1	Nit	Nit	N	NE	_	0	root	504	504
15	fleißig	fleißig	A	ADJD	Pos|	16	adv	_	_
16	stumpete	stumpete	V	VVFIN	_|Pl|_|_	9	rel	_	_
17	,	,	$	$,	_	0	root	_	_
18	untersuchten	untersuchen	V	VVFIN	3|Pl|Past|_	2	kon	_	_
19	die	die	A	ART	Def|_|_|_	20	det	_	_
20	Sachlage	Sachlage	N	NN	_|_|_	18	obja	_	_
21	;	;	$	$.	_	0	root	_	_
22	allgemein	allgemein	A	ADJD	Pos|	23	pred	_	_
23	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
24	die	die	A	ART	Def|Fem|Nom|Sg	25	det	_	_
25	Ansicht	Ansicht	N	NN	Fem|Nom|Sg	23	subj	_	_
26	,	,	$	$,	_	0	root	_	_
27	am	an	P	APPRART	Dat	29	pp	_	_
28	Hüsli	Hüsli	N	NN	_|Dat|_	27	pn	555	555
29	sei	sein	V	VAFIN	3|Sg|Pres|Subj	23	kon	_	_
30	nichts	nichts	P	PIS	_|Nom|Sg	29	subj	_	_
31	zu	zu	P	PTKZU	_	32	part	_	_
32	plätzen	plätzen	V	VVINF	_	29	aux	_	_
33	,	,	$	$,	_	0	root	_	_
34	um	um	K	KOUI	_	0	root	_	_
35	einen	eine	A	ART	Indef|Masc|Acc|Sg	37	det	556	556
36	jeden	jede	A	PIDAT	Masc|Acc|Sg	37	attr	556	556
37	Nagel	Nagel	N	NN	Masc|Acc|Sg	39	obja	556	556
38	seis	seis	A	ADJD	_	39	adv	556	556
39	schade	schaden	V	VVFIN	_|Sg|Pres|_	0	root	556	556
40	,	,	$	$,	_	0	root	556	556
41	den	die	P	PRELS	Masc|Acc|Sg	43	obja	556	556
42	man	man	P	PIS	_|Nom|Sg	43	subj	_	_
43	einschlage	einschlagen	V	VVFIN	3|Sg|Pres|Subj	37	rel	_	_
44	,	,	$	$,	_	0	root	_	_
45	zu	zu	P	PTKZU	_	46	part	_	_
46	bewohnen	bewohnen	V	VVINF	_	47	aux	_	_
47	sei	sein	V	VAFIN	3|Sg|Pres|Subj	0	root	_	_
48	es	es	P	PPER	3|Sg|Neut|Nom	47	subj	_	_
49	kaum	kaum	A	ADV	_	46	adv	_	_
50	mehr	mehr	A	ADV	_	46	adv	_	_
51	,	,	$	$,	_	0	root	_	_
52	höchstens	höchstens	A	ADV	_	53	adv	_	_
53	bei	bei	P	APPR	Dat	46	pp	_	_
54	ganz	ganz	A	ADV	_	55	adv	_	_
55	trocknem	trocknem	A	ADJA	_|_|Dat|Sg|_	56	attr	_	_
56	Wetter	Wetter	N	NN	_|Dat|Sg	53	pn	_	_
57	,	,	$	$,	_	0	root	_	_
58	regne	regnen	V	VVFIN	3|Sg|Pres|Subj	46	s	_	_
59	es	es	P	PPER	3|Sg|Neut|Nom	58	subj	_	_
60	zwei	zwei	C	CARD	_	61	attr	_	_
61	Tage	Tag	N	NN	Masc|_|Pl	58	obja	_	_
62	hintereinander	hintereinander	P	PTKVZ	_	58	avz	_	_
63	,	,	$	$,	_	0	root	_	_
64	so	so	A	ADV	_	65	adv	_	_
65	rutsche	rutschen	V	VVFIN	3|Sg|Pres|Subj	58	kon	_	_
66	wahrscheinlich	wahrscheinlich	A	ADJD	Pos|	65	adv	_	_
67	die	die	A	ART	Def|Fem|Nom|Sg	69	det	_	_
68	ganze	ganz	A	ADJA	Pos|Fem|Nom|Sg|_|	69	attr	_	_
69	Pastete	Pastete	N	NN	Fem|Nom|Sg	65	subj	_	_
70	in	in	P	APPR	Acc	65	pp	_	_
71	den	die	A	ART	Def|Masc|Acc|Sg	72	det	557	557
72	Bach	Bach	N	NN	Masc|Acc|Sg	70	pn	557	557
73	hinunter	hinunter	P	PTKVZ	_	65	avz	_	_
74	.	.	$	$.	_	0	root	_	_

1	Ein	ein	A	ART	Indef|_|_|Sg	3	det	_	_
2	neu	neu	A	ADJD	Pos|	3	adv	_	_
3	Hüsli	Hüsli	N	NN	_|_|Sg	0	root	_	_
4	,	,	$	$,	_	0	root	_	_
5	wie	wie	P	PWAV	_	0	root	_	_
6	Barthli	Barthli	N	NE	_	0	root	46	46
7	es	es	P	PPER	3|Sg|Neut|_	0	root	_	_
8	mangle	mangeln	V	VVFIN	1|Sg|Pres|Ind	0	root	_	_
9	,	,	$	$,	_	0	root	_	_
10	sei	sein	V	VAFIN	_|Sg|Pres|Subj	0	root	_	_
11	bald	bald	A	ADV	_	10	adv	_	_
12	auf	auf	P	APPR	Dat	10	pp	_	_
13	dem	die	A	ART	Def|Masc|Dat|Sg	14	det	558	558
14	Platz	Platz	N	NN	Masc|Dat|Sg	12	pn	558	558
15	,	,	$	$,	_	0	root	_	_
16	wenn	wenn	K	KOUS	_	19	konj	_	_
17	man	man	P	PIS	_|Nom|Sg	19	subj	_	_
18	einander	einander	P	PPER	_|_|_|Dat	19	objd	558	558
19	helfe	helfen	V	VVFIN	3|Sg|Pres|Subj	10	neb	_	_
20	,	,	$	$,	_	0	root	_	_
21	und	und	K	KON	_	0	root	_	_
22	zur	zu	P	APPRART	Dat	26	objp	_	_
23	Not	Not	N	NN	Fem|Dat|Sg	22	pn	374	374
24	bewohnbar	bewohnbar	A	ADJD	Pos|	26	pred	_	_
25	zu	zu	P	PTKZU	_	26	part	_	_
26	machen	machen	V	VVINF	_	21	cj	_	_
27	,	,	$	$,	_	0	root	_	_
28	im	in	P	APPRART	Dat	30	pp	_	_
29	Frühjahr	Frühjahr	N	NN	Neut|Dat|Sg	28	pn	_	_
30	könne	können	V	VMFIN	3|Sg|Pres|Subj	0	root	_	_
31	man	man	P	PIS	_|Nom|Sg	30	subj	_	_
32	dann	dann	A	ADV	_	34	adv	_	_
33	vollständig	vollständig	A	ADJD	Pos|	34	adv	_	_
34	ausbauen	ausbauen	V	VVINF	_	30	aux	_	_
35	.	.	$	$.	_	0	root	_	_

1	Die	die	A	ART	Def|_|_|_	0	root	_	_
2	kundigen	kundig	A	ADJA	Pos|_|Dat|_|_|	3	attr	_	_
3	Bauern	Bauer	N	NN	_|Dat|_	4	objd	_	_
4	machten	machen	V	VVFIN	3|Pl|Past|_	0	root	_	_
5	Voranschläge	Voranschlag	N	NN	Masc|Nom|Pl	4	subj	_	_
6	über	über	P	APPR	Acc	5	pp	_	_
7	das	die	A	ART	Def|Neut|Acc|Sg	9	det	_	_
8	nötige	nötig	A	ADJA	Pos|Neut|Acc|Sg|Wk|	9	attr	_	_
9	Holz	Holz	N	NN	Neut|Acc|Sg	6	pn	_	_
10	von	von	P	APPR	Dat	9	pp	_	_
11	allen	alle	A	PIDAT	Fem|Dat|Pl	12	det	_	_
12	Sorten	Sorte	N	NN	Fem|Dat|Pl	10	pn	_	_
13	und	und	K	KON	_	10	kon	_	_
14	sicher	sicher	A	ADJD	Pos|	13	cj	_	_
15	richtigere	richtig	A	ADJA	Comp|_|_|_|_|	4	obja	_	_
16	als	als	K	KOKOM	_	15	kom	_	_
17	manche	manche	A	PIAT	_|_|Pl	18	det	559	559
18	Zimmerleute	Zimmerleute	N	NN	_|_|Pl	16	cj	559	559
19	,	,	$	$,	_	0	root	559	559
20	die	die	P	PRELS	_|_|Pl	27	obja	559	559
21	nicht	nicht	P	PTKNEG	_	27	adv	_	_
22	selten	selten	A	ADJD	Pos|	27	adv	_	_
23	ihren	ihre	A	PPOSAT	Masc|Nom|Pl	24	det	559	559
24	Bauherren	Bauherr	N	NN	Masc|Nom|Pl	27	subj	_	_
25	dreimal	dreimal	A	ADV	_	27	adv	_	_
26	falsch	falsch	A	ADJD	Pos|	27	adv	_	_
27	rechnen	rechnen	V	VVFIN	3|Pl|Pres|_	18	rel	_	_
28	,	,	$	$,	_	0	root	_	_
29	sie	sie	P	PPER	3|_|_|Nom	4	pred	559	559
30	dreimal	dreimal	A	ADV	_	29	adv	_	_
31	in	in	P	APPR	Dat	4	pp	_	_
32	der	die	A	ART	Def|Fem|Dat|Sg	33	det	32	32
33	Welt	Welt	N	NN	Fem|Dat|Sg	31	pn	32	32
34	herumsenden	herumsenden	V	VVFIN	_|Pl|Pres|_	0	root	_	_
35	nach	nach	P	APPR	Dat	34	pp	_	_
36	fehlendem	fehlend	A	ADJA	Pos|Neut|Dat|Sg|St|<PPRES	37	attr	_	_
37	Holz	Holz	N	NN	Neut|Dat|Sg	35	pn	_	_
38	und	und	K	KON	_	35	kon	_	_
39	vielleicht	vielleicht	A	ADV	_	38	cj	_	_
40	zum	zu	P	APPRART	Dat	34	pp	_	_
41	vierten	viert	A	ADJA	_|Neut|Dat|Sg|Wk|	42	attr	_	_
42	Male	Mal	N	NN	Neut|Dat|Sg	40	pn	_	_
43	,	,	$	$,	_	0	root	_	_
44	weil	weil	K	KOUS	_	52	konj	_	_
45	sie	sie	P	PPER	3|Pl|_|Nom	52	subj	559	559
46	einen	eine	A	ART	Indef|Masc|Acc|Sg	47	det	_	_
47	Teil	Teil	N	NN	Masc|Acc|Sg	52	obja	_	_
48	des	die	A	ART	Def|Neut|Gen|Sg	49	det	_	_
49	Holzes	Holz	N	NN	Neut|Gen|Sg	47	gmod	_	_
50	zu	zu	P	PTKA	_	51	adv	_	_
51	dünn	dünn	A	ADJD	Pos|	52	adv	_	_
52	behauen	behauen	V	VVFIN	3|Pl|Pres|_	34	neb	_	_
53	,	,	$	$,	_	0	root	_	_
54	den	die	A	ART	Def|_|_|_	55	det	_	_
55	andern	andern	A	ADJA	_|_|_	58	obja	_	_
56	zu	zu	P	PTKA	_	57	adv	_	_
57	kurz	kurz	A	ADJD	Pos|	58	adv	_	_
58	versägt	versägen	V	VVPP	_	52	neb	_	_
59	.	.	$	$.	_	0	root	_	_

1	Oh	oh	I	ITJ	_	0	root	_	_
2	,	,	$	$,	_	0	root	_	_
3	es	es	P	PPER	3|Sg|Neut|Nom	4	subj	_	_
4	gibt	geben	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
5	große	groß	A	ADJA	Pos|Masc|_|_|_|	6	attr	_	_
6	Künstler	Künstler	N	NN	Masc|_|_	4	obja	_	_
7	unter	unter	P	APPR	Dat	4	pp	_	_
8	den	die	A	ART	Def|Masc|Dat|Pl	9	det	_	_
9	Zimmermannen	Zimmermann	N	NN	Masc|Dat|Pl	7	pn	_	_
10	!	!	$	$.	_	0	root	_	_

1	Barthli	Barthli	N	NE	_|Nom|Sg	2	subj	46	46
2	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
3	ganz	ganz	A	ADV	_	2	adv	_	_
4	wie	wie	K	KOKOM	_	0	root	_	_
5	verstaunet	verstaunen	V	VVFIN	2|Pl|Pres|Subj	0	root	_	_
6	,	,	$	$,	_	0	root	_	_
7	wie	wie	P	PWAV	_	0	root	_	_
8	die	die	A	ART	Def|Masc|Nom|Pl	9	det	528	528
9	Bauern	Bauer	N	NN	Masc|Nom|Pl	17	subj	528	528
10	die	die	A	ART	Def|Fem|_|Sg	11	det	129	129
11	Sache	Sache	N	NN	Fem|_|Sg	17	obja	129	129
12	ihm	er	P	PPER	3|Sg|_|Dat	17	objd	46	46
13	so	so	A	ADV	_	14	adv	_	_
14	rasch	rasch	A	ADJD	Pos|	17	adv	_	_
15	und	und	K	KON	_	14	kon	_	_
16	klug	klug	A	ADJD	Pos|	15	cj	_	_
17	zweglegten	zweglegten	V	VVPP	_	0	root	_	_
18	,	,	$	$,	_	0	root	_	_
19	und	und	K	KON	_	0	root	_	_
20	ob	ob	K	KOUS	_	0	root	_	_
21	ihrem	ihre	A	PPOSAT	Neut|Dat|Sg	22	det	528	528
22	Gutmeinen	Gutmeinen	N	NN	Neut|Dat|Sg	0	root	_	_
23	,	,	$	$,	_	0	root	_	_
24	wo	wo	P	PWAV	_	0	root	_	_
25	er	er	P	PPER	3|Sg|Masc|Nom	27	subj	46	46
26	nicht	nicht	P	PTKNEG	_	27	adv	_	_
27	gedacht	denken	V	VVPP	_	0	root	_	_
28	,	,	$	$,	_	0	root	_	_
29	daß	daß	K	KOUS	_	0	root	_	_
30	ein	eine	A	ART	Indef|_|_|Sg	0	root	_	_
31	solches	solche	A	PIDAT	_|_|Sg	0	root	_	_
32	zu	zu	P	PTKZU	_	33	part	_	_
33	finden	finden	V	VVINF	_	34	aux	_	_
34	sei	sein	V	VAFIN	_|Sg|Pres|Subj	0	root	_	_
35	in	in	P	APPR	_	33	pp	_	_
36	Israel	Israel	N	NE	Neut|_|Sg	35	pn	_	_
37	.	.	$	$.	_	0	root	_	_

1	Aber	aber	K	KON	_	0	root	_	_
2	,	,	$	$,	_	0	root	_	_
3	wie	wie	K	KOKOM	_	1	par	_	_
4	gesagt	sagen	V	VVPP	_	3	cj	_	_
5	,	,	$	$,	_	0	root	_	_
6	er	er	P	PPER	3|Sg|Masc|Nom	7	subj	46	46
7	war	sein	V	VAFIN	3|Sg|Past|Ind	1	cj	_	_
8	eine	eine	A	ART	Indef|Fem|Nom|Sg	9	det	_	_
9	Persönlichkeit	Persönlichkeit	N	NN	Fem|Nom|Sg	7	pred	_	_
10	,	,	$	$,	_	0	root	_	_
11	man	man	P	PIS	_|Nom|Sg	12	subj	_	_
12	konnte	können	V	VMFIN	3|Sg|Past|Ind	7	kon	_	_
13	sich	sie	P	PRF	3|_|_	16	obja	_	_
14	auf	auf	P	APPR	Acc	16	objp	_	_
15	ihn	er	P	PPER	3|Sg|Masc|Acc	14	pn	46	46
16	verlassen	verlassen	V	VVINF	_	12	aux	_	_
17	und	und	K	KON	_	16	kon	_	_
18	über	über	P	APPR	Acc	20	pp	_	_
19	ihn	er	P	PPER	3|Sg|Masc|Acc	18	pn	46	46
20	lachen	lachen	V	VVINF	_	17	cj	_	_
21	,	,	$	$,	_	0	root	_	_
22	und	und	K	KON	_	12	kon	_	_
23	beides	beide	P	PIS	Neut|Nom|Sg	24	subj	_	_
24	ist	sein	V	VAFIN	3|Sg|Pres|Ind	22	cj	_	_
25	dem	die	A	ART	Def|_|Dat|Sg	26	det	560	560
26	Bauer	Bauer	N	NN	_|Dat|Sg	24	objd	560	560
27	gleich	gleich	A	ADJD	Pos|	24	adv	_	_
28	anständig	anständig	A	ADJD	Pos|	24	pred	_	_
29	.	.	$	$.	_	0	root	_	_

1	Plötzlich	plötzlich	A	ADJD	Pos|	2	adv	_	_
2	fuhr	fahren	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
3	er	er	P	PPER	3|Sg|Masc|Nom	2	subj	17	17
4	auf	auf	P	PTKVZ	_	2	avz	_	_
5	,	,	$	$,	_	0	root	_	_
6	fing	fangen	V	VVFIN	_|Sg|Past|Ind	2	kon	_	_
7	mörderlich	mörderlich	A	ADJD	Pos|	6	adv	_	_
8	an	an	P	PTKVZ	_	6	avz	_	_
9	zu	zu	P	PTKZU	_	10	part	_	_
10	fluchen	fluchen	V	VVINF	_	6	obji	_	_
11	und	und	K	KON	_	6	kon	_	_
12	wollte	wollen	V	VMFIN	_|Sg|Past|_	11	cj	_	_
13	davon	davon	P	PROAV	_	12	pp	_	_
14	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Was	was	P	PWS	Neut|_|Sg	3	obja	_	_
3	hast	haben	V	VAFIN	2|Sg|Pres|Ind	0	root	_	_
4	,	,	$	$,	_	0	root	_	_
5	hat	haben	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
6	dich	du	P	PPER	2|Sg|_|Acc	9	obja	563	563
7	ein	eine	A	ART	Indef|_|Nom|Sg	8	det	561	561
8	Wespi	Wespi	N	NN	_|Nom|Sg	5	subj	561	561
9	gestochen	stechen	V	VVPP	_	5	aux	_	_
10	?	?	$	$.	_	0	root	_	_
11	«	«	$	$(	_	0	root	_	_
12	frug	frug	N	NE	_	0	root	717	717
13	ein	eine	A	ART	Indef|_|_|Sg	14	det	_	_
14	Bauer	Bauer	N	NN	_|_|Sg	0	root	_	_
15	und	und	K	KON	_	0	root	_	_
16	hielt	halten	V	VVFIN	_|Sg|Past|Ind	15	cj	_	_
17	ihn	er	P	PPER	3|Sg|Masc|Acc	16	obja	561	561
18	mit	mit	P	APPR	Dat	16	pp	_	_
19	starker	stark	A	ADJA	Pos|Fem|Dat|Sg|St|	20	attr	_	_
20	Hand	Hand	N	NN	Fem|Dat|Sg	18	pn	_	_
21	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Laß	Laß	V	VVIMP	_	0	root	_	_
3	mich	ich	P	PPER	1|Sg|_|Acc	4	obja	562	562
4	gehen	gehen	V	VVINF	_	0	root	_	_
5	!	!	$	$.	_	0	root	_	_
6	«	«	$	$(	_	0	root	_	_
7	rief	rufen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
8	Barthli	Barthli	N	NE	_|Nom|Sg	7	subj	46	46
9	,	,	$	$,	_	0	root	_	_
10	sich	sie	P	PRF	3|_|_	11	obja	_	_
11	sträubend	sträuben	A	ADJD	_|<PPRES	0	root	_	_
12	,	,	$	$,	_	0	root	_	_
13	»	»	$	$(	_	0	root	_	_
14	dort	dort	A	ADV	_	15	adv	_	_
15	läuft	laufen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
16	das	die	A	ART	Def|Neut|_|Sg	17	det	247	247
17	Donners	Donner	N	NN	Neut|Nom|Sg	15	subj	247	247
18	Täschli	Täschli	N	NE	Neut|Nom|Sg	17	app	247	247
19	wieder	wieder	A	ADV	_	15	adv	_	_
20	,	,	$	$,	_	0	root	_	_
21	wart	sein	V	VAFIN	2|Pl|Past|Ind	15	kon	_	_
22	,	,	$	$,	_	0	root	_	_
23	dem	die	P	PDS	_|Dat|Sg	28	objd	_	_
24	will	wollen	V	VMFIN	1|Sg|Pres|Ind	21	kon	_	_
25	ich	ich	P	PPER	1|Sg|_|Nom	24	subj	562	562
26	die	die	A	ART	Def|Fem|_|Sg	27	det	136	136
27	Haut	Haut	N	NN	Fem|_|Sg	28	obja	136	136
28	salben	salben	V	VVINF	_	24	aux	_	_
29	,	,	$	$,	_	0	root	_	_
30	aber	aber	K	KON	_	0	root	_	_
31	nit	nit	N	NE	_	30	cj	221	221
32	mit	mit	P	APPR	Dat	31	pp	221	221
33	Öl	Öl	N	NN	Neut|Dat|Sg	32	pn	221	221
34	!	!	$	$.	_	0	root	_	_
35	«	«	$	$(	_	0	root	_	_
36	Man	man	P	PIS	_|Nom|Sg	37	subj	_	_
37	sah	sehen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
38	hin	hin	P	PTKVZ	_	37	avz	_	_
39	,	,	$	$,	_	0	root	_	_
40	wo	wo	P	PWAV	_	42	adv	_	_
41	Barthli	Barthli	N	NE	_|Nom|Sg	42	subj	46	46
42	hinzeigte	hinzeigen	V	VVFIN	3|Sg|Past|_	37	rel	_	_
43	,	,	$	$,	_	0	root	_	_
44	und	und	K	KON	_	42	kon	_	_
45	erblickte	erblicken	V	VVFIN	3|Sg|Past|_	44	cj	_	_
46	ein	eine	A	ART	Indef|_|Nom|Sg	47	det	316	316
47	Meitschi	Meitschi	N	NN	Neut|Nom|Sg	45	subj	316	316
48	,	,	$	$,	_	0	root	316	316
49	welches	welche	P	PRELS	Neut|Nom|Sg	57	subj	316	316
50	mit	mit	P	APPR	Dat	57	pp	_	_
51	Milchgeschirr	Milchgeschirr	N	NN	Neut|Dat|Sg	50	pn	_	_
52	in	in	P	APPR	Dat	57	objp	_	_
53	der	die	A	ART	Def|Fem|Dat|Sg	54	det	47	47
54	Hand	Hand	N	NN	Fem|Dat|Sg	52	pn	47	47
55	den	die	A	ART	Def|Masc|Acc|Sg	56	det	409	409
56	Berg	Berg	N	NN	Masc|Acc|Sg	57	obja	409	409
57	aufging	aufgehen	V	VVFIN	3|Sg|Past|Ind	47	rel	_	_
58	,	,	$	$,	_	0	root	_	_
59	Barthli	Barthli	N	NE	_|Nom|Sg	60	subj	46	46
60	hatte	haben	V	VAFIN	3|Sg|Past|Ind	45	kon	_	_
61	nicht	nicht	P	PTKNEG	_	62	adv	_	_
62	gemerkt	merken	V	VVPP	_	60	aux	_	_
63	,	,	$	$,	_	0	root	_	_
64	wie	wie	P	PWAV	_	68	adv	_	_
65	es	es	P	PPER	3|Sg|Neut|Nom	68	subj	_	_
66	bald	bald	A	ADV	_	68	adv	_	_
67	Abend	Abend	N	NN	Masc|Nom|Sg	68	pred	613	613
68	werde	werden	V	VAFIN	3|Sg|Pres|Subj	62	objc	_	_
69	,	,	$	$,	_	0	root	_	_
70	und	und	K	KON	_	0	root	_	_
71	das	die	A	ART	Def|Neut|Nom|Sg	72	det	576	576
72	Melken	Melke	N	NN	Neut|Nom|Sg	73	subj	576	576
73	vergessen	veressen	V	VVPP	_	70	cj	_	_
74	.	.	$	$.	_	0	root	_	_

1	Züseli	Züseli	N	NE	_|Nom|Sg	2	subj	19	19
2	mußte	müssen	V	VMFIN	3|Sg|Past|Ind	0	root	_	_
3	ja	ja	A	ADV	_	5	adv	_	_
4	exakt	exakt	A	ADJD	Pos|	5	pred	_	_
5	sein	sein	V	VAINF	_	2	aux	_	_
6	,	,	$	$,	_	0	root	_	_
7	sonst	sonst	A	ADV	_	8	adv	_	_
8	hätte	haben	V	VAFIN	3|Sg|Past|Subj	2	kon	_	_
9	Benz	Benz	N	NE	_|Nom|Sg	8	subj	224	224
10	glauben	glauben	V	VVINF	_	11	aux	_	_
11	können	können	V	VMINF	_	8	aux	_	_
12	,	,	$	$,	_	0	root	_	_
13	es	es	P	PPER	3|Sg|Neut|_	16	expl	_	_
14	sei	sein	V	VAFIN	3|Sg|Pres|Subj	10	s	_	_
15	nichts	nichts	P	PIS	_|Nom|Sg	14	subj	_	_
16	nutz	nutz	V	VVPP	_	14	aux	_	_
17	,	,	$	$,	_	0	root	_	_
18	und	und	K	KON	_	14	kon	_	_
19	wollte	wollen	V	VMFIN	_|Sg|Past|_	18	cj	_	_
20	den	die	A	ART	Def|Masc|Acc|Sg	21	det	84	84
21	Vater	Vater	N	NN	Masc|Acc|Sg	23	obja	84	84
22	nicht	nicht	P	PTKNEG	_	23	adv	_	_
23	stören	stören	V	VVINF	_	19	aux	_	_
24	in	in	P	APPR	Dat	23	pp	_	_
25	seiner	seine	A	PPOSAT	Fem|Dat|Sg	27	det	224	224
26	wichtigen	wichtig	A	ADJA	Pos|Fem|Dat|Sg|Wk|	27	attr	_	_
27	Unterhaltung	Unterhaltung	N	NN	Fem|Dat|Sg	24	pn	_	_
28	und	und	K	KON	_	19	kon	_	_
29	war	sein	V	VAFIN	_|Sg|Past|Ind	28	cj	_	_
30	,	,	$	$,	_	0	root	_	_
31	als	als	K	KOUS	_	35	konj	_	_
32	die	die	A	ART	Def|Fem|Nom|Sg	33	det	100	100
33	Zeit	Zeit	N	NN	Fem|Nom|Sg	35	subj	100	100
34	um	um	P	PTKVZ	_	35	avz	_	_
35	war	sein	V	VAFIN	3|Sg|Past|Ind	29	neb	_	_
36	,	,	$	$,	_	0	root	_	_
37	gegangen	gehen	V	VVPP	_	29	aux	_	_
38	,	,	$	$,	_	0	root	_	_
39	begreiflich	begreiflich	N	NE	_	0	root	_	_
40	eher	eher	A	ADV	_	42	adv	_	_
41	zu	zu	P	PTKA	_	42	adv	_	_
42	früh	früh	A	ADJD	Pos|	0	root	_	_
43	als	als	K	KOKOM	_	0	root	_	_
44	zu	zu	P	PTKA	_	45	adv	_	_
45	spät	spät	A	ADJD	Pos|	43	cj	_	_
46	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	He	He	N	NE	_	0	root	404	404
3	«	«	$	$(	_	0	root	404	404
4	,	,	$	$,	_	0	root	404	404
5	sagte	sagen	V	VVFIN	3|Sg|Past|_	2	par	404	404
6	einer	eine	P	PIS	Masc|Nom|Sg	5	subj	404	404
7	,	,	$	$,	_	0	root	_	_
8	»	»	$	$(	_	0	root	_	_
9	das	die	P	PDS	Neut|Nom|Sg	10	subj	_	_
10	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
11	ja	ja	A	ADV	_	10	adv	_	_
12	dein	deine	A	PPOSAT	_|Nom|Sg	13	det	316	316
13	Meitschi	Meitschi	N	NN	_|Nom|Sg	10	pred	316	316
14	,	,	$	$,	_	0	root	_	_
15	es	es	P	PPER	3|Sg|Neut|Nom	16	subj	_	_
16	wird	werden	V	VAFIN	3|Sg|Pres|Ind	10	kon	_	_
17	die	die	A	ART	Def|Fem|_|Pl	18	det	325	325
18	Geißen	Geiß	N	NN	Fem|_|Pl	19	obja	325	325
19	melken	melken	V	VVINF	_	20	aux	_	_
20	wollen	wollen	V	VMINF	_	16	aux	_	_
21	.	.	$	$.	_	0	root	_	_
22	«	«	$	$(	_	0	root	_	_
23	»	»	$	$(	_	0	root	_	_
24	Das	die	P	PDS	Neut|Nom|Sg	25	subj	_	_
25	soll	sollen	V	VMFIN	3|Sg|Pres|Ind	0	root	_	_
26	es	es	P	PPER	3|Sg|Neut|_	25	obja	_	_
27	eben	eben	A	ADV	_	25	adv	_	_
28	nicht	nicht	P	PTKNEG	_	25	adv	_	_
29	,	,	$	$,	_	0	root	_	_
30	wollte	wollen	V	VMFIN	_|Sg|Past|_	25	kon	_	_
31	sie	sie	P	PPER	3|_|_|_	33	obja	325	325
32	selbst	selbst	A	ADV	_	31	adv	_	_
33	melken	melken	V	VVINF	_	30	aux	_	_
34	,	,	$	$,	_	0	root	_	_
35	es	es	P	PPER	3|Sg|Neut|Nom	36	subj	_	_
36	soll	sollen	V	VMFIN	3|Sg|Pres|Ind	25	kon	_	_
37	mir	ich	P	PPER	1|Sg|_|Dat	36	objd	562	562
38	nicht	nicht	P	PTKNEG	_	36	adv	_	_
39	mehr	mehr	A	ADV	_	38	adv	_	_
40	da	da	A	ADV	_	36	adv	_	_
41	zu	zu	P	APPR	Dat	36	pp	_	_
42	dem	die	A	ART	Def|Masc|Dat|Sg	43	det	_	_
43	Hagel	Hagel	N	NN	Masc|Dat|Sg	41	pn	_	_
44	auf	auf	P	APPR	Acc	43	pp	_	_
45	den	die	A	ART	Def|Masc|Acc|Sg	46	det	409	409
46	Berg	Berg	N	NN	Masc|Acc|Sg	44	pn	409	409
47	.	.	$	$.	_	0	root	_	_

1	Wollt	wollen	V	VMFIN	2|Pl|Pres|Ind	0	root	_	_
2	,	,	$	$,	_	0	root	_	_
3	der	die	A	ART	Def|Masc|Nom|Sg	4	det	115	115
4	Teufel	Teufel	N	NN	Masc|Nom|Sg	5	subj	115	115
5	hätte	haben	V	VAFIN	3|Sg|Past|Subj	1	kon	_	_
6	die	die	A	ART	Def|Fem|_|Pl	7	det	325	325
7	Geißen	Geiß	N	NN	Fem|_|Pl	8	obja	325	325
8	geholt	holen	V	VVPP	_	5	aux	_	_
9	und	und	K	KON	_	0	root	_	_
10	den	die	A	ART	Def|Masc|Acc|Sg	11	det	_	_
11	Hagel	Hagel	N	NN	Masc|Acc|Sg	9	cj	_	_
12	dazu	dazu	P	PROAV	_	11	pp	_	_
13	!	!	$	$.	_	0	root	_	_

1	Laß	Laß	V	VVIMP	_	0	root	_	_
2	mich	ich	P	PPER	1|Sg|_|Acc	3	obja	562	562
3	gehen	gehen	V	VVINF	_	0	root	_	_
4	,	,	$	$,	_	0	root	_	_
5	die	die	P	PRELS	_|_|_	0	root	_	_
6	müssen	müssen	V	VMINF	_	0	root	_	_
7	nicht	nicht	P	PTKNEG	_	8	adv	_	_
8	Freude	Freude	N	NN	Fem|_|Sg	9	obja	_	_
9	haben	haben	V	VAFIN	_|Pl|Pres|_	0	root	_	_
10	,	,	$	$,	_	0	root	_	_
11	mich	ich	P	PPER	1|Sg|_|Acc	15	obja	562	562
12	zum	zu	P	APPRART	Dat	15	objp	_	_
13	Narren	Narr	N	NN	_|Dat|_	12	pn	564	564
