1	Wells	Wells	N	NE	_|Nom|Sg	2	subj	20	20
8	der	die	A	ART	Def|Masc|Nom|Sg	9	det	40	40
9	Fremde	Fremde	N	NN	Masc|Nom|Sg	7	subj	40	40
10	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Nein	nein	P	PTKANT	_	0	root	_	_
3	«	«	$	$(	_	0	root	_	_
4	,	,	$	$,	_	0	root	_	_
5	versetzte	versetzen	V	VVFIN	3|Sg|Past|_	0	root	_	_
6	Mawler	Mawler	N	NE	_|Nom|Sg	5	subj	159	159
7	,	,	$	$,	_	0	root	_	_
8	hörte	hören	V	VVFIN	_|Sg|Past|_	5	kon	_	_
9	aber	aber	A	ADV	_	8	adv	_	_
10	auf	auf	P	PTKVZ	_	8	avz	_	_
11	zu	zu	P	PTKZU	_	12	part	_	_
12	schnitzen	schnitzen	V	VVINF	_	8	obji	_	_
13	und	und	K	KON	_	8	kon	_	_
14	sah	sehen	V	VVFIN	_|Sg|Past|Ind	13	cj	_	_
15	den	die	A	ART	Def|_|_|_	16	det	54	54
16	Fremden	Fremde	N	NN	_|_|_	14	obja	54	54
17	plötzlich	plötzlich	A	ADJD	Pos|	14	adv	_	_
18	starr	starr	A	ADJD	Pos|	14	adv	_	_
19	und	und	K	KON	_	18	kon	_	_
20	aufmerksam	aufmerksam	A	ADJD	Pos|	19	cj	_	_
21	an	an	P	PTKVZ	_	14	avz	_	_
22	.	.	$	$.	_	0	root	_	_

1	Eine	eine	A	ART	Indef|Fem|_|Sg	3	det	_	_
2	ganze	ganz	A	ADJA	Pos|Fem|_|Sg|_|	3	attr	_	_
3	Weile	Weile	N	NN	Fem|_|Sg	4	zeit	_	_
4	sprach	sprechen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
5	wieder	wieder	A	ADV	_	4	adv	_	_
6	niemand	niemand	P	PIS	_|Nom|Sg	4	subj	_	_
7	ein	eine	A	ART	Indef|Neut|_|Sg	8	det	_	_
8	Wort	Wort	N	NN	Neut|_|Sg	4	obja	_	_
9	.	.	$	$.	_	0	root	_	_

1	Endlich	endlich	A	ADJD	Pos|	2	adv	_	_
2	fragte	fragen	V	VVFIN	3|Sg|Past|_	0	root	_	_
3	Mawler	Mawler	N	NE	_|Nom|Sg	2	subj	159	159
4	:	\:	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Wo	Wo	P	PWAV	_	3	adv	_	_
3	kommt	kommen	V	VVFIN	2|Pl|Pres|Ind	0	root	_	_
4	Ihr	ihr	P	PPER	2|Pl|_|Nom	3	subj	_	_
5	her	her	P	PTKVZ	_	3	avz	_	_
6	?	?	$	$.	_	0	root	_	_
7	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Von	von	P	APPR	_	0	root	_	_
3	Texas	Texas	N	NE	Neut|_|Sg	2	pn	46	46
4	.	.	$	$.	_	0	root	_	_
5	«	«	$	$(	_	0	root	_	_

1	Mawler	Mawler	N	NE	_|Nom|Sg	2	subj	159	159
2	sprang	springen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
3	von	von	P	APPR	Dat	2	pp	_	_
4	seinem	seine	A	PPOSAT	Masc|Dat|Sg	5	det	159	159
5	Sitz	Sitz	N	NN	Masc|Dat|Sg	3	pn	_	_
6	auf	auf	P	PTKVZ	_	2	avz	_	_
7	und	und	K	KON	_	2	kon	_	_
8	trat	treten	V	VVFIN	_|Sg|Past|Ind	7	cj	_	_
9	auf	auf	P	APPR	_	8	pp	_	_
10	den	die	A	ART	Def|_|_|_	16	det	_	_
11	regungslos	regungslos	A	ADJD	Pos|	15	adv	_	_
12	in	in	P	APPR	Dat	11	pp	_	_
13	seiner	seine	A	PPOSAT	Fem|Dat|Sg	14	det	159	159
14	Stellung	Stellung	N	NN	Fem|Dat|Sg	12	pn	_	_
15	bleibenden	bleibend	A	ADJA	Pos|_|_|_|_|<PPRES	16	attr	_	_
16	Fremden	Fremde	N	NN	_|_|_	9	pn	_	_
17	zu	zu	P	PTKVZ	_	8	avz	_	_
18	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Und	und	K	KON	_	0	root	_	_
3	heißt	heißen	V	VVFIN	_|_|Pres|Ind	2	cj	_	_
4	?	?	$	$.	_	0	root	_	_
5	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	John	John	N	NE	_	0	root	20	20
3	Wells	Wells	N	NE	_	2	app	20	20
4	.	.	$	$.	_	0	root	_	_
5	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Den	die	A	ART	Def|Masc|Acc|Sg	3	det	_	_
3	Teufel	Teufel	N	NN	Masc|Acc|Sg	0	root	_	_
4	auch	auch	A	ADV	_	3	adv	_	_
5	!	!	$	$.	_	0	root	_	_
6	«	«	$	$(	_	0	root	_	_
7	rief	rufen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
8	Mawler	Mawler	N	NE	_|Nom|Sg	7	subj	159	159
9	,	,	$	$,	_	0	root	_	_
10	und	und	K	KON	_	7	kon	_	_
11	das	die	A	ART	Def|Neut|Nom|Sg	12	det	_	_
12	Schnitzmesser	Schnitzmesser	N	NN	Neut|Nom|Sg	13	subj	_	_
13	fiel	fallen	V	VVFIN	3|Sg|Past|Ind	10	cj	_	_
14	ihm	er	P	PPER	3|Sg|_|Dat	13	objd	159	159
15	aus	aus	P	APPR	Dat	13	objp	_	_
16	der	die	A	ART	Def|Fem|Dat|Sg	17	det	44	44
17	Hand	Hand	N	NN	Fem|Dat|Sg	15	pn	44	44
18	.	.	$	$.	_	0	root	_	_

1	In	in	P	APPR	Dat	4	pp	_	_
2	diesem	diese	A	PDAT	Masc|Dat|Sg	3	det	197	197
3	Augenblick	Augenblick	N	NN	Masc|Dat|Sg	1	pn	197	197
4	schlugen	schlagen	V	VVFIN	3|Pl|Past|Ind	0	root	_	_
5	die	die	A	ART	Def|Masc|Nom|Pl	6	det	198	198
6	Hunde	Hund	N	NN	Masc|Nom|Pl	4	subj	198	198
7	,	,	$	$,	_	0	root	198	198
8	die	die	P	PRELS	Masc|Nom|Pl	18	subj	198	198
9	bis	bis	P	APPR	Acc	18	pp	_	_
10	jetzt	jetzt	A	ADV	_	9	adv	_	_
11	gegen	gegen	P	APPR	Acc	18	pp	_	_
12	den	die	A	ART	Def|Masc|Acc|Sg	13	det	40	40
13	Fremden	Fremde	N	NN	Masc|Acc|Sg	11	pn	40	40
14	durch	durch	P	APPR	Acc	18	pp	_	_
15	die	die	A	ART	Def|Fem|Acc|Sg	16	det	34	34
16	Tür	Tür	N	NN	Fem|Acc|Sg	14	pn	34	34
17	hineingeknurrt	hineinknurren	V	VVPP	_	18	aux	_	_
18	hatten	haben	V	VAFIN	3|Pl|Past|Ind	6	rel	_	_
19	,	,	$	$,	_	0	root	_	_
20	draußen	draußen	A	ADV	_	4	adv	_	_
21	an	an	P	PTKVZ	_	4	avz	_	_
22	;	;	$	$.	_	0	root	_	_
23	Mrs.	Mrs.	N	NE	_	0	root	162	162

1	Mawler	Mawler	N	NE	_|Nom|Sg	2	subj	159	159
2	kam	kommen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
3	,	,	$	$,	_	0	root	_	_
4	von	von	P	APPR	_	2	pp	_	_
5	drei	drei	C	CARD	_	6	attr	_	_
6	anderen	andere	P	PIS	_|_|_	4	pn	_	_
7	,	,	$	$,	_	0	root	_	_
8	ihren	ihre	A	PPOSAT	_|Nom|Pl	10	det	198	198
9	eigenen	eigen	A	ADJA	Pos|_|Nom|Pl|Wk|	10	attr	_	_
10	Rüden	Rüde	N	NN	_|Nom|Pl	11	subj	_	_
11	begleitet	begleiten	V	VVPP	_	2	neb	_	_
12	,	,	$	$,	_	0	root	_	_
13	zurück	zurück	P	PTKVZ	_	0	root	_	_
14	,	,	$	$,	_	0	root	_	_
15	sprang	springen	V	VVFIN	_|Sg|Past|Ind	0	root	_	_
16	aus	aus	P	APPR	Dat	15	pp	_	_
17	dem	die	A	ART	Def|Masc|Dat|Sg	18	det	39	39
18	Sattel	Sattel	N	NN	Masc|Dat|Sg	16	pn	39	39
19	,	,	$	$,	_	0	root	_	_
20	warf	werfen	V	VVFIN	_|Sg|Past|Ind	15	kon	_	_
21	den	die	A	ART	Def|Masc|Acc|Sg	22	det	_	_
22	Zügel	Zügel	N	NN	Masc|Acc|Sg	20	obja	_	_
23	über	über	P	APPR	Acc	22	pp	_	_
24	die	die	A	ART	Def|Fem|Acc|Sg	25	det	41	41
25	Fenz	Fenz	N	NN	Fem|Acc|Sg	23	pn	41	41
26	und	und	K	KON	_	20	kon	_	_
27	trat	treten	V	VVFIN	_|Sg|Past|Ind	26	cj	_	_
28	ins	in	P	APPRART	Acc	27	objp	_	_
29	Haus	Haus	N	NN	Neut|Acc|Sg	28	pn	37	37
30	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Guten	gut	A	ADJA	Pos|_|_|Sg|_|	3	attr	_	_
3	Tag	Tag	N	NN	_|_|Sg	0	root	_	_
4	,	,	$	$,	_	0	root	_	_
5	Mawler	Mawler	N	NE	_|_|Sg	3	app	_	_
6	«	«	$	$(	_	0	root	_	_
7	,	,	$	$,	_	0	root	_	_
8	sagte	sagen	V	VVFIN	3|Sg|Past|_	5	par	_	_
9	sie	sie	P	PPER	3|Sg|Fem|Nom	8	subj	41	41
10	dabei	dabei	P	PROAV	_	8	pp	_	_
11	,	,	$	$,	_	0	root	_	_
12	»	»	$	$(	_	0	root	_	_
13	guten	gut	A	ADJA	Pos|_|Dat|Sg|Wk|	14	attr	_	_
14	Tag	Tag	N	NN	_|Dat|Sg	0	root	_	_
15	,	,	$	$,	_	0	root	_	_
16	Fremder	Fremde	N	NN	Fem|Dat|Sg	14	app	_	_
17	.	.	$	$.	_	0	root	_	_
18	«	«	$	$(	_	0	root	_	_

1	Der	die	A	ART	Def|Masc|Nom|Sg	2	det	40	40
2	Fremde	Fremde	N	NN	Masc|Nom|Sg	3	subj	40	40
3	drehte	drehen	V	VVFIN	3|Sg|Past|_	0	root	_	_
4	sich	sie	P	PRF	3|_|_	3	obja	_	_
5	langsam	langsam	A	ADJD	Pos|	3	adv	_	_
6	nach	nach	P	APPR	Dat	3	pp	_	_
7	ihr	ihre	A	PPOSAT	_|_|Sg	6	pn	35	35
8	um	um	P	PTKVZ	_	3	avz	_	_
9	-	-	$	$(	_	0	root	_	_
10	sie	sie	P	PPER	3|Sg|Fem|Nom	11	subj	41	41
11	sah	sehen	V	VVFIN	3|Sg|Past|Ind	3	kon	_	_
12	ihn	er	P	PPER	3|Sg|Masc|Acc	11	obja	40	40
13	an	an	P	PTKVZ	_	11	avz	_	_
14	,	,	$	$,	_	0	root	_	_
15	starr	starr	A	ADJD	Pos|	0	root	_	_
16	und	und	K	KON	_	15	kon	_	_
17	sprachlos	sprachlos	A	ADJD	Pos|	16	cj	_	_
18	,	,	$	$,	_	0	root	_	_
19	mit	mit	P	APPR	Dat	0	root	_	_
20	weit	weit	A	ADJD	Pos|	21	adv	_	_
21	aufgerissenen	aufgerissen	A	ADJA	Pos|Neut|Dat|Pl|_|	22	attr	_	_
22	Augen	Auge	N	NN	Neut|Dat|Pl	19	pn	_	_
23	,	,	$	$,	_	0	root	_	_
24	und	und	K	KON	_	0	root	_	_
25	eine	eine	A	ART	Indef|Fem|_|Sg	26	det	_	_
26	Weile	Weile	N	NN	Fem|_|Sg	27	zeit	_	_
27	stand	stehen	V	VVFIN	3|Sg|Past|Ind	24	cj	_	_
28	sie	sie	P	PPER	3|Sg|Fem|Nom	27	subj	41	41
29	dem	die	A	ART	Def|Masc|Dat|Sg	30	det	36	36
30	Mann	Mann	N	NN	Masc|Dat|Sg	27	objd	36	36
31	gegenüber	gegenüber	P	PTKVZ	_	27	avz	_	_
32	,	,	$	$,	_	0	root	_	_
33	ohne	ohne	K	KOUI	_	38	konj	_	_
34	auch	auch	A	ADV	_	38	adv	_	_
35	nur	nur	A	ADV	_	38	adv	_	_
36	imstande	imstande	A	ADJD	_	38	pred	_	_
37	zu	zu	P	PTKZU	_	38	part	_	_
38	sein	sein	V	VAINF	_	27	neb	_	_
39	,	,	$	$,	_	0	root	_	_
40	einen	eine	A	ART	Indef|Masc|Acc|Sg	41	det	_	_
41	Laut	Laut	N	NN	Masc|Acc|Sg	46	obja	_	_
42	über	über	P	APPR	Acc	41	pp	_	_
43	die	die	A	ART	Def|Fem|Acc|Pl	44	det	28	28
44	Lippen	Lippe	N	NN	Fem|Acc|Pl	42	pn	28	28
45	zu	zu	P	PTKZU	_	46	part	_	_
46	bringen	bringen	V	VVINF	_	38	obji	_	_
47	.	.	$	$.	_	0	root	_	_

1	Endlich	endlich	A	ADJD	Pos|	3	adv	_	_
2	aber	aber	A	ADV	_	1	adv	_	_
3	hob	heben	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
4	sie	sie	P	PPER	3|Sg|Fem|Nom	3	subj	41	41
5	die	die	A	ART	Def|_|_|_	6	det	_	_
6	Arme	Arm	N	NN	_|_|_	3	obja	_	_
7	,	,	$	$,	_	0	root	_	_
8	aber	aber	K	KON	_	0	root	_	_
9	immer	immer	A	ADV	_	10	adv	_	_
10	noch	noch	A	ADV	_	11	adv	_	_
11	fast	fast	A	ADV	_	12	adv	_	_
12	willenlos	willenlos	A	ADJD	Pos|	8	cj	_	_
13	,	,	$	$,	_	0	root	_	_
14	empor	empor	A	ADV	_	0	root	_	_
15	und	und	K	KON	_	0	root	_	_
16	rief	rufen	V	VVFIN	_|Sg|Past|Ind	15	cj	_	_
17	mit	mit	P	APPR	Dat	16	pp	_	_
18	angstvoll	angstvoll	A	ADJD	Pos|	19	adv	_	_
19	klagender	klagend	A	ADJA	Pos|Fem|Dat|Sg|St|<PPRES	20	attr	_	_
20	Stimme	Stimme	N	NN	Fem|Dat|Sg	17	pn	_	_
21	:	\:	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Heiland	Heiland	N	NN	_|_|Sg	0	root	_	_
3	der	die	A	ART	Def|Fem|Gen|Sg	4	det	26	26
4	Welt	Welt	N	NN	Fem|Gen|Sg	2	gmod	26	26
5	!	!	$	$.	_	0	root	_	_

1	John	John	N	NE	Masc|_|Sg	0	root	82	82
2	-	-	$	$(	_	0	root	82	82
3	John	John	N	NE	Masc|_|Sg	1	app	82	82
4	-	-	$	$(	_	0	root	82	82
5	oh	oh	I	ITJ	_	0	root	82	82
6	,	,	$	$,	_	0	root	82	82
7	wo	wo	P	PWAV	_	8	adv	82	82
8	bist	sein	V	VAFIN	2|Sg|Pres|Ind	3	rel	82	82
9	du	du	P	PPER	2|Sg|_|Nom	8	subj	199	199
10	so	so	A	ADV	_	11	adv	_	_
11	lange	lange	A	ADJD	_	19	adv	_	_
12	-	-	$	$(	_	0	root	_	_
13	so	so	A	ADV	_	14	adv	_	_
14	lange	lange	A	ADJD	_	19	adv	_	_
15	-	-	$	$(	_	0	root	_	_
16	so	so	A	ADV	_	17	adv	_	_
17	entsetzlich	entsetzlich	A	ADJD	Pos|	19	adv	_	_
18	lange	lange	A	ADJD	_	19	pred	_	_
19	geblieben	bleiben	V	VVPP	_	8	aux	_	_
20	?	?	$	$.	_	0	root	_	_
21	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Guten	gut	A	ADJA	Pos|_|_|Sg|_|	3	attr	_	_
3	Tag	Tag	N	NN	_|_|Sg	0	root	_	_
4	,	,	$	$,	_	0	root	_	_
5	Betsey	Betsey	N	NE	_|_|Sg	3	app	_	_
6	«	«	$	$(	_	0	root	_	_
7	,	,	$	$,	_	0	root	_	_
8	sagte	sagen	V	VVFIN	_|Sg|Past|_	5	par	_	_
9	John	John	N	NE	Masc|Nom|Sg	8	subj	82	82
10	,	,	$	$,	_	0	root	82	82
11	der	die	P	PRELS	Masc|Nom|Sg	17	subj	82	82
12	von	von	P	APPR	Dat	16	pp	_	_
13	seinem	seine	A	PPOSAT	Masc|Dat|Sg	14	det	82	82
14	Stuhl	Stuhl	N	NN	Masc|Dat|Sg	12	pn	_	_
15	langsam	langsam	A	ADJD	Pos|	16	adv	_	_
16	aufgestanden	aufgestehen	V	VVPP	_	17	aux	_	_
17	war	sein	V	VAFIN	3|Sg|Past|Ind	9	rel	_	_
18	und	und	K	KON	_	17	kon	_	_
19	ihr	ihr	P	PPER	3|Sg|Fem|Dat	22	objd	41	41
20	die	die	A	ART	Def|Fem|Nom|Sg	21	det	44	44
21	Hand	Hand	N	NN	Fem|Nom|Sg	22	subj	44	44
22	reichte	reichen	V	VVFIN	3|Sg|Past|_	18	cj	_	_
23	,	,	$	$,	_	0	root	_	_
24	»	»	$	$(	_	0	root	_	_
25	wie	wie	K	KOKOM	_	0	root	_	_
26	geht	gehen	V	VVFIN	_|_|Pres|Ind	0	root	_	_
27	'	'	$	$(	_	0	root	_	_
28	s	s	P	PPER	_|_|_|Nom	26	subj	44	44
29	?	?	$	$.	_	0	root	_	_
30	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	O	O	N	NN	Neut|_|_	0	root	82	82
3	John	John	N	NE	Masc|_|Sg	2	app	82	82
4	,	,	$	$,	_	0	root	_	_
5	John	John	N	NE	Masc|_|Sg	3	app	_	_
6	,	,	$	$,	_	0	root	_	_
7	warum	warum	P	PWAV	_	8	adv	_	_
8	bist	sein	V	VAFIN	2|Sg|Pres|Ind	2	objc	_	_
9	du	du	P	PPER	2|Sg|_|Nom	8	subj	199	199
10	so	so	A	ADV	_	12	adv	_	_
11	lange	lange	A	ADJD	_	12	adv	_	_
12	fortgeblieben	fortgeblieb	A	ADJA	Pos|_|Nom|Pl|Wk|	8	pred	_	_
13	!	!	$	$.	_	0	root	_	_
14	«	«	$	$(	_	0	root	_	_
15	wiederholte	wiederholen	V	VVFIN	3|Sg|Past|_	0	root	_	_
16	die	die	A	ART	Def|Fem|Nom|Sg	17	det	200	200
17	Frau	Frau	N	NN	Fem|Nom|Sg	15	subj	200	200
18	,	,	$	$,	_	0	root	200	200
19	die	die	P	PRELS	Fem|Nom|Sg	25	subj	200	200
20	sich	sie	P	PRF	3|_|_	25	obja	_	_
21	ihm	er	P	PPER	3|Sg|_|Dat	25	objd	5	5
22	an	an	P	APPR	Acc	25	objp	_	_
23	die	die	A	ART	Def|Fem|Acc|Sg	24	det	281	281
24	Brust	Brust	N	NN	Fem|Acc|Sg	22	pn	281	281
25	warf	werfen	V	VVFIN	3|Sg|Past|Ind	17	rel	_	_
26	und	und	K	KON	_	25	kon	_	_
27	laut	laut	A	ADJD	Pos|	28	adv	_	_
28	schluchzte	schluchzen	V	VVFIN	_|Sg|Past|_	26	cj	_	_
29	,	,	$	$,	_	0	root	_	_
30	»	»	$	$(	_	0	root	_	_
31	und	und	K	KON	_	0	root	_	_
32	die	die	A	ART	Def|Neut|_|Pl	36	det	_	_
33	langen	lang	A	ADJA	Pos|Neut|_|Pl|Wk|	36	attr	_	_
34	,	,	$	$,	_	0	root	_	_
35	langen	lang	A	ADJA	Pos|_|_|_|_|	33	kon	_	_
36	Jahre	Jahr	N	NN	Neut|_|Pl	42	obja	_	_
37	nichts	nichts	P	PIS	_	40	obja	_	_
38	von	von	P	APPR	Dat	40	pp	_	_
39	dir	du	P	PPER	2|Sg|_|Dat	38	pn	199	199
40	hören	hören	V	VVINF	_	42	obji	_	_
41	zu	zu	P	PTKZU	_	42	part	_	_
42	lassen	lassen	V	VVINF	_	31	cj	_	_
43	!	!	$	$.	_	0	root	_	_
44	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Das	die	P	PDS	Neut|Nom|Sg	3	subj	_	_
3	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
4	eine	eine	A	ART	Indef|Fem|Nom|Sg	6	det	_	_
5	fatale	fatal	A	ADJA	Pos|Fem|Nom|Sg|_|	6	attr	_	_
6	Geschichte	Geschichte	N	NN	Fem|Nom|Sg	3	pred	_	_
7	,	,	$	$,	_	0	root	_	_
8	Wells	Wells	N	NE	Fem|Nom|Sg	6	app	_	_
9	«	«	$	$(	_	0	root	_	_
10	,	,	$	$,	_	0	root	_	_
11	sprach	sprechen	V	VVFIN	3|Sg|Past|Ind	3	s	_	_
12	jetzt	jetzt	A	ADV	_	11	adv	_	_
13	auch	auch	A	ADV	_	11	adv	_	_
14	Mawler	Mawler	N	NE	Masc|Nom|Sg	11	subj	159	159
15	,	,	$	$,	_	0	root	159	159
16	der	die	P	PRELS	Masc|Nom|Sg	23	subj	159	159
17	sich	sie	P	PRF	3|_|_	23	obja	_	_
18	indessen	indessen	A	ADV	_	23	adv	_	_
19	von	von	P	APPR	_	23	pp	_	_
20	seiner	seine	A	PPOSAT	Fem|_|Sg	22	det	159	159
21	ersten	erst	A	ADJA	_|Fem|_|Sg|Wk|	22	attr	_	_
22	Überraschung	Überraschung	N	NN	Fem|_|Sg	19	pn	_	_
23	erholt	erholen	V	VVFIN	3|Sg|Pres|Ind	14	rel	_	_
24	und	und	K	KON	_	23	kon	_	_
25	gesammelt	sammeln	V	VVPP	_	26	aux	_	_
26	hatte	haben	V	VAFIN	_|Sg|Past|Ind	24	cj	_	_
27	,	,	$	$,	_	0	root	_	_
28	»	»	$	$(	_	0	root	_	_
29	wo	wo	P	PWAV	_	30	adv	_	_
30	habt	haben	V	VAFIN	2|Pl|Pres|Ind	0	root	_	_
31	Ihr	ihr	P	PPER	2|Pl|_|Nom	30	subj	_	_
32	die	die	A	ART	Def|Fem|_|Sg	34	det	_	_
33	ganze	ganz	A	ADJA	Pos|Fem|_|Sg|_|	34	attr	_	_
34	Zeit	Zeit	N	NN	Fem|_|Sg	35	obja	_	_
35	gesteckt	stecken	V	VVPP	_	30	aux	_	_
36	?	?	$	$.	_	0	root	_	_
37	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	In	in	P	APPR	_	0	root	_	_
3	Texas	Texas	N	NE	Neut|_|Sg	2	pn	46	46
4	«	«	$	$(	_	0	root	_	_
5	,	,	$	$,	_	0	root	_	_
6	sagte	sagen	V	VVFIN	3|Sg|Past|_	0	root	_	_
7	Wells	Wells	N	NE	_|Nom|Sg	6	subj	20	20
8	,	,	$	$,	_	0	root	_	_
9	einen	eine	A	ART	Indef|Masc|Acc|Sg	11	det	_	_
10	flüchtigen	flüchtig	A	ADJA	Pos|Masc|Acc|Sg|_|	11	attr	_	_
11	Blick	Blick	N	NN	Masc|Acc|Sg	0	root	_	_
12	nach	nach	P	APPR	Dat	11	pp	_	_
13	dem	die	A	ART	Def|Masc|Dat|Sg	14	det	36	36
14	Mann	Mann	N	NN	Masc|Dat|Sg	12	pn	36	36
15	hinüberwerfend	hinüberwerfen	A	ADJD	_|<PPRES	0	root	_	_
16	.	.	$	$.	_	0	root	_	_

