1	Ew	Ew	N	NE	_	0	root	532	532
1	Das	die	A	ART	Def|Neut|Nom|Sg	2	det	_	_
2	Modejournal	Modejournal	N	NN	Neut|Nom|Sg	5	subj	_	_
3	von	von	P	APPR	_	2	pp	_	_
4	Portici	Portici	N	NE	_|_|_	3	pn	_	_
5	studierte	studieren	V	VVFIN	3|Sg|Past|_	0	root	_	_
6	,	,	$	$,	_	0	root	_	_
7	so	so	A	ADV	_	0	root	_	_
8	wie	wie	P	PWAV	_	11	adv	_	_
9	es	es	P	PPER	3|Sg|Neut|Nom	11	subj	_	_
10	heftweise	heftweise	A	ADJD	Pos|	11	adv	_	_
11	erschien	erscheinen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
12	,	,	$	$,	_	0	root	_	_
13	gewiß	gewiß	A	ADJD	Pos|	14	adv	_	_
14	nur	nur	A	ADV	_	16	adv	_	_
15	der	die	A	ART	Def|Masc|Nom|Sg	16	det	_	_
16	Narr	Narr	N	NN	Masc|Nom|Sg	0	root	_	_
17	und	und	K	KON	_	16	kon	_	_
18	nicht	nicht	P	PTKNEG	_	20	adv	530	530
19	der	die	A	ART	Def|Masc|Nom|Sg	20	det	530	530
20	Weise	Weise	N	NN	Masc|Nom|Sg	17	cj	530	530
21	;	;	$	$.	_	0	root	_	_
22	aber	aber	A	ADV	_	23	adv	_	_
23	später	spät	A	ADJD	_|	0	root	_	_
24	,	,	$	$,	_	0	root	_	_
25	z.	z.	P	APPRART	_	0	root	_	_

1	B.	B.	N	NE	_	4	vok	628	628
2	jetzt	jetzt	A	ADV	_	1	adv	628	628
3	,	,	$	$,	_	0	root	_	_
4	studiert	studieren	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
5	es	es	P	PPER	3|Sg|Neut|_	4	obja	_	_
6	umgekehrt	umgekehrt	A	ADJD	Pos|	4	adv	_	_
7	nur	nur	A	ADV	_	4	adv	_	_
8	dieser	diese	A	PDAT	Masc|Nom|Sg	4	subj	_	_
9	-	-	$	$(	_	0	root	_	_
10	und	und	K	KON	_	8	kon	_	_
11	dieselben	dieselbe	A	PDAT	_|Nom|Pl	10	cj	_	_
12	Kleinigkeiten	Kleinigkeit	N	NN	Fem|_|Pl	0	root	_	_
13	des	die	A	ART	Def|Neut|Gen|Sg	14	det	528	528
14	Gazetten-Details	Gazetten-Detail	N	NN	Neut|Gen|Sg	12	gmod	528	528
15	,	,	$	$,	_	0	root	_	_
16	die	die	P	PRELS	_|_|_	0	root	528	528
17	ohne	ohne	P	APPR	Acc	22	pp	_	_
18	die	die	A	ART	Def|Fem|Acc|Sg	19	det	_	_
19	Perspektive	Perspektive	N	NN	Fem|Acc|Sg	17	pn	_	_
20	der	die	A	ART	Def|Fem|Gen|Sg	21	det	20	20
21	Zeit	Zeit	N	NN	Fem|Gen|Sg	19	gmod	20	20
22	unförmlich	unförmlich	A	ADJD	Pos|	0	root	_	_
23	und	und	K	KON	_	0	root	_	_
24	unkenntlich	unkenntlich	N	NE	_|Nom|Pl	25	subj	_	_
25	bleiben	bleiben	V	VVFIN	3|Pl|Pres|_	23	cj	_	_
26	,	,	$	$,	_	0	root	_	_
27	werden	werden	V	VAFIN	_|Pl|Pres|_	25	kon	_	_
28	durch	durch	P	APPR	Acc	27	pp	_	_
29	diese	diese	P	PDS	_|Acc|_	28	pn	_	_
30	zu	zu	P	APPR	Dat	27	pp	_	_
31	einer	eine	A	ART	Indef|Fem|Dat|Sg	32	det	_	_
32	Dekoration	Dekoration	N	NN	Fem|Dat|Sg	30	pn	_	_
33	des	die	A	ART	Def|Neut|Gen|Sg	34	det	_	_
34	Welttheaters	Welttheater	N	NN	Neut|Gen|Sg	32	gmod	_	_
35	und	und	K	KON	_	27	kon	_	_
36	malen	malen	V	VVFIN	_|Pl|Pres|_	35	cj	_	_
37	etwas	etwas	P	PIS	_	36	obja	_	_
38	.	.	$	$.	_	0	root	_	_

1	Sonst	sonst	A	ADV	_	2	adv	_	_
2	bekam	bekommen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
3	man	man	P	PIS	_|Nom|Sg	2	subj	_	_
4	die	die	A	ART	Def|Fem|_|Sg	5	det	529	529
5	Zeitung	Zeitung	N	NN	Fem|_|Sg	2	obja	529	529
6	von	von	P	APPR	Dat	2	pp	_	_
7	Halbjahr	Halbjahr	N	NN	Neut|Dat|Sg	6	pn	_	_
8	zu	zu	P	APPR	Dat	6	kon	_	_
9	Halbjahr	Halbjahr	N	NN	Neut|Dat|Sg	8	pn	_	_
10	;	;	$	$.	_	0	root	_	_
11	wahrlich	wahrlich	A	ADV	_	12	adv	_	_
12	das	die	P	PDS	Neut|Nom|Sg	13	subj	_	_
13	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
14	doch	doch	A	ADV	_	13	adv	_	_
15	immer	immer	A	ADV	_	13	adv	_	_
16	etwas	etwas	P	PIS	_|Nom|_	13	pred	_	_
17	für	für	P	APPR	Acc	13	pp	_	_
18	den	die	A	ART	Def|Masc|Acc|Sg	19	det	530	530
19	Weisen	Weise	N	NN	Masc|Acc|Sg	17	pn	530	530
20	!	!	$	$.	_	0	root	_	_

1	In	in	P	APPR	Dat	7	pp	_	_
2	dieser	diese	A	PDAT	Fem|Dat|Sg	4	det	_	_
3	säkularischen	säkularischen	A	ADJA	_|Fem|Dat|Sg|_	4	attr	_	_
4	Hoffnung	Hoffnung	N	NN	Fem|Dat|Sg	1	pn	_	_
5	und	und	K	KON	_	4	kon	_	_
6	Bitte	Bitte	N	NN	Fem|Dat|Sg	5	cj	_	_
7	verharr	verharr	V	VVFIN	1|Sg|_|_	0	root	_	_
8	'	'	$	$(	_	0	root	_	_
9	ich	ich	P	PPER	1|Sg|_|Nom	7	subj	532	532
10	,	,	$	$,	_	0	root	_	_

1	S.	S.	N	NE	_|_|_	11	vok	_	_
2	Nachkommende	Nachkommende	N	NN	_|_|_	1	app	_	_
3	Annexa	Annexa	N	NE	Fem|Acc|Sg	2	app	_	_
4	,	,	$	$,	_	0	root	_	_
5	die	die	A	ART	Def|Fem|Acc|Sg	6	det	531	531
6	Aurora	Aurora	N	NN	Fem|Acc|Sg	3	kon	531	531
7	und	und	K	KON	_	6	kon	_	_
8	den	die	A	ART	Def|Masc|Acc|Sg	9	det	_	_
9	Traktat	Traktat	N	NN	Masc|Acc|Sg	7	cj	_	_
10	,	,	$	$,	_	0	root	_	_
11	ersuche	ersuchen	V	VVFIN	3|Sg|Pres|Subj	0	root	_	_
12	Ew	Ew	N	NE	_|Nom|Sg	11	subj	532	532
13	.	.	$	$.	_	0	root	_	_

1	Wohlgeborn	Wohlgeborn	N	NE	_	6	obja	533	533
2	in	in	P	APPR	Acc	6	pp	_	_
3	beliebte	beliebt	A	ADJA	Pos|Fem|Acc|Pl|St|	4	attr	_	_
4	Monatschriften	Monatschrift	N	NN	Fem|Acc|Pl	2	pn	_	_
5	zu	zu	P	PTKZU	_	6	part	_	_
6	inserieren	inserieren	V	VVINF	_	0	root	_	_
7	,	,	$	$,	_	0	root	_	_
8	letztern	letztere	P	PIS	_|_|_	0	root	_	_
9	in	in	P	APPR	Acc	8	pp	_	_
10	eine	eine	A	ART	Indef|Fem|Acc|Sg	12	det	_	_
11	philosophische	philosophisch	A	ADJA	Pos|Fem|Acc|Sg|_|	12	attr	_	_
12	Zeitschrift	Zeitschrift	N	NN	Fem|Acc|Sg	9	pn	_	_
13	,	,	$	$,	_	0	root	_	_
14	zumal	zumal	A	ADV	_	15	adv	_	_
15	da	da	K	KOUS	_	0	root	_	_
16	man	man	P	PIS	_|Nom|Sg	0	root	_	_
17	jetzt	jetzt	A	ADV	_	20	adv	_	_
18	die	die	A	ART	Def|Fem|_|Sg	20	det	_	_
19	empirische	empirisch	A	ADJA	Pos|Fem|_|Sg|_|	20	attr	_	_
20	Psychologie	Psychologie	N	NN	Fem|_|Sg	0	root	_	_
21	über	über	P	APPR	Acc	20	pp	_	_
22	die	die	A	ART	Def|_|_|_	23	det	_	_
23	ontologische	ontologisch	A	ADJA	_|_|_	21	pn	_	_
24	ganz	ganz	A	ADV	_	23	adv	_	_
25	vergisset	vergisset	A	ADJD	_	0	root	_	_
26	.	.	$	$.	_	0	root	_	_

1	Die	die	A	ART	Def|Fem|Nom|Sg	2	det	8	8
2	Welt	Welt	N	NN	Fem|Nom|Sg	3	subj	8	8
3	liebt	lieben	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
4	jetzt	jetzt	A	ADV	_	3	adv	_	_
5	Zeitschriften	Zeitschrift	N	NN	Fem|_|Pl	3	obja	_	_
6	-	-	$	$(	_	0	root	_	_
7	aus	aus	P	APPR	Dat	0	root	_	_
8	Zeitmangel	Zeitmangel	N	NN	_|Dat|Sg	7	pn	_	_
9	,	,	$	$,	_	0	root	_	_
10	weil	weil	K	KOUS	_	0	root	_	_
11	wir	wir	P	PPER	1|Pl|_|Nom	0	root	536	536
12	alle	alle	P	PIS	_|Nom|_	11	app	_	_
13	,	,	$	$,	_	0	root	_	_
14	Menschen	Mensch	N	NN	Masc|Nom|Pl	12	kon	_	_
15	und	und	K	KON	_	14	kon	_	_
16	Bücher	Buch	N	NN	_|Nom|_	15	cj	_	_
17	,	,	$	$,	_	0	root	_	_
18	wie	wie	P	PWAV	_	24	adv	_	_
19	eine	eine	A	ART	Indef|Fem|Nom|Sg	21	det	_	_
20	fliehende	fliehend	A	ADJA	Pos|Fem|Nom|Sg|_|<PPRES	21	attr	_	_
21	Armee	Armee	N	NN	Fem|Nom|Sg	24	pred	_	_
22	im	in	P	APPRART	Dat	24	pp	_	_
23	Laufen	Laufen	N	NN	Neut|Dat|Sg	22	pn	_	_
24	sind	sein	V	VAFIN	_|Pl|Pres|Ind	16	objc	_	_
25	und	und	K	KON	_	0	root	_	_
26	wie	wie	P	PWAV	_	25	cj	_	_
27	eine	eine	A	ART	Indef|Fem|_|Sg	28	det	_	_
28	römische	römisch	A	ADJA	Fem|_|Sg	31	obja	_	_
29	nur	nur	A	ADV	_	31	adv	_	_
30	marschierend	marschieren	A	ADJD	_|<PPRES	31	adv	_	_
31	essen	essen	V	VVINF	_	0	root	_	_
32	-	-	$	$(	_	0	root	_	_
33	,	,	$	$,	_	0	root	_	_
34	und	und	K	KON	_	0	root	_	_
35	ich	ich	P	PPER	1|Sg|_|Nom	36	subj	534	534
36	arbeite	arbeiten	V	VVFIN	1|Sg|Pres|_	34	cj	_	_
37	selber	selber	A	ADV	_	36	adv	_	_
38	an	an	P	APPR	Dat	36	pp	_	_
39	mehrerem	mehrere	P	PIS	_|Dat|Sg	38	pn	_	_
40	mit	mit	P	PTKVZ	_	36	avz	_	_
41	,	,	$	$,	_	0	root	_	_
42	wie	wie	P	PWAV	_	44	adv	_	_
43	ich	ich	P	PPER	1|Sg|_|Nom	44	subj	534	534
44	höre	hören	V	VVFIN	1|Sg|Pres|_	36	objc	_	_
45	;	;	$	$.	_	0	root	_	_
46	denn	denn	K	KON	_	0	root	_	_
47	zum	zu	P	APPRART	Dat	49	objp	_	_
48	Selbstlesen	Selbstlesen	N	NN	Neut|Dat|Sg	47	pn	_	_
49	bringt	bringen	V	VVFIN	3|Sg|Pres|Ind	46	cj	_	_
50	mans	mans	N	NE	_|Nom|Sg	49	subj	_	_
51	selten	selten	A	ADJD	Pos|	49	adv	_	_
52	in	in	P	APPR	Dat	49	pp	_	_
53	diesem	diese	A	PDAT	_|Dat|Sg	55	det	_	_
54	eiligen	eilig	A	ADJA	Pos|_|Dat|Sg|Wk|	55	attr	_	_
55	Säkul	Säkul	N	NN	_|Dat|Sg	52	pn	_	_
56	.	.	$	$.	_	0	root	_	_

1	Ew	Ew	N	NE	_	0	root	532	532
2	.	.	$	$.	_	0	root	_	_

1	Wohlgeborn	Wohlgeborn	N	NE	_|Nom|Pl	2	subj	533	533
2	sind	sein	V	VAFIN	3|Pl|Pres|Ind	0	root	_	_
3	schon	schon	A	ADV	_	20	adv	_	_
4	vom	von	P	APPRART	Dat	20	pp	_	_
5	Herrn	Herrn	N	NN	Masc|Dat|Sg	4	pn	_	_
6	Hospitalprediger	Hospitalprediger	N	NN	Masc|Dat|Sg	5	app	_	_
7	Stiefel	Stiefel	N	NN	Masc|Dat|Sg	6	app	_	_
8	zum	zu	P	APPRART	Dat	20	pp	_	_
9	dejeuner	dejeuner	F	FM	_|Dat|_	8	pn	_	_
10	dansant	dansant	F	FM	_|Dat|_	9	app	_	_
11	mit	mit	P	APPR	Dat	20	pp	_	_
12	Feuerwerk	Feuerwerk	N	NN	Neut|Dat|Sg	11	pn	535	535
13	,	,	$	$,	_	0	root	535	535
14	das	die	P	PRELS	Neut|_|Sg	18	obja	535	535
15	wir	wir	P	PPER	1|Pl|_|Nom	18	subj	536	536
16	am	an	P	APPRART	Dat	18	pp	_	_
17	Siebenschläfer	Siebenschläfer	N	NN	Masc|Dat|Sg	16	pn	537	537
18	geben	geben	V	VVFIN	1|Pl|Pres|_	12	rel	_	_
19	,	,	$	$,	_	0	root	_	_
20	eingeladen	einladen	V	VVPP	_	2	aux	_	_
21	;	;	$	$.	_	0	root	_	_
22	und	und	K	KON	_	24	koord	_	_
23	ich	ich	P	PPER	1|Sg|_|Nom	24	subj	534	534
24	füge	fügen	V	VVFIN	1|Sg|Pres|_	0	root	_	_
25	meine	meine	A	PPOSAT	Fem|_|Sg	26	det	534	534
26	Bitte	Bitte	N	NN	Fem|_|Sg	24	obja	_	_
27	dazu	dazu	P	PROAV	_	24	pp	_	_
28	,	,	$	$,	_	0	root	_	_
29	um	um	P	APPR	_	0	root	_	_
30	so	so	A	ADV	_	31	adv	_	_
31	mehr	mehr	A	ADV	_	32	adv	_	_
32	da	da	K	KOUS	_	0	root	_	_
33	wir	wir	P	PPER	1|Pl|_|Nom	0	root	536	536
34	Hoffnung	Hoffnung	N	NN	Fem|_|Sg	35	obja	424	424
35	haben	haben	V	VAFIN	_|Pl|Pres|_	0	root	_	_
36	,	,	$	$,	_	0	root	_	_
37	daß	daß	K	KOUS	_	51	konj	_	_
38	das	die	A	ART	Def|Neut|_|Sg	39	det	_	_
39	meiste	meist	A	ADJA	Neut|_|Sg	51	subj	_	_
40	,	,	$	$,	_	0	root	_	_
41	was	was	P	PRELS	Neut|Nom|Sg	46	subj	_	_
42	von	von	P	APPR	Dat	46	pp	_	_
43	Stand	Stand	N	NN	Masc|Dat|Sg	42	pn	1281	1281
44	in	in	P	APPR	_	46	pp	_	_
45	Kuhschnappel	Kuhschnappel	N	NE	_|_|_	44	pn	43	43
46	ist	sein	V	VAFIN	3|Sg|Pres|Ind	14	rel	_	_
47	,	,	$	$,	_	0	root	_	_
48	unser	unsre	A	PPOSAT	Neut|_|Sg	49	det	536	536
49	Frühstück	Frühstück	N	NN	Neut|_|Sg	50	obja	_	_
50	schmücken	schmücken	V	VVINF	_	51	aux	_	_
51	werde	werden	V	VAFIN	3|Sg|Pres|Subj	35	subjc	_	_
52	.	.	$	$.	_	0	root	_	_

1	Die	die	A	ART	Def|Fem|_|Sg	3	det	531	531
2	wandelnde	wandelnd	A	ADJA	Pos|Fem|_|Sg|_|<PPRES	3	attr	531	531
3	Aurora	Aurora	N	NN	Fem|_|Sg	0	root	531	531
4	.	.	$	$.	_	0	root	_	_

1	Als	Als	K	KOUS	_	11	konj	_	_
2	der	die	A	ART	Def|Masc|Nom|Sg	3	det	16	16
3	Mensch	Mensch	N	NN	Masc|Nom|Sg	11	subj	16	16
4	die	die	A	ART	Def|Fem|_|Sg	6	det	538	538
5	leuchtende	leuchtend	A	ADJA	Pos|Fem|_|Sg|_|<PPRES	6	attr	538	538
6	Morgenröte	Morgenröte	N	NN	Fem|_|Sg	11	obja	538	538
7	zum	zu	P	APPRART	Dat	6	pp	538	538
8	erstenmal	erstenmal	N	NN	_|Dat|_	7	pn	538	538
9	am	an	P	APPRART	Dat	8	pp	538	538
10	Himmel	Himmel	N	NN	Masc|Dat|Sg	9	pn	308	308
11	sah	sehen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
12	:	\:	$	$.	_	0	root	_	_
13	nahm	nehmen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
14	er	er	P	PPER	3|Sg|Masc|Nom	13	subj	308	308
15	sie	sie	P	PPER	3|_|_|_	13	obja	538	538
16	für	für	P	APPR	Acc	13	pp	_	_
17	die	die	A	ART	Def|Fem|Acc|Sg	18	det	539	539
18	Sonne	Sonne	N	NN	Fem|Acc|Sg	16	pn	539	539
19	und	und	K	KON	_	13	kon	_	_
20	rief	rufen	V	VVFIN	_|Sg|Past|Ind	19	cj	_	_
21	ihr	ihr	P	PPER	3|Sg|Fem|Dat	20	objd	538	538
22	zu	zu	P	PTKVZ	_	20	avz	_	_
23	:	\:	$	$.	_	0	root	_	_
24	»	»	$	$(	_	0	root	_	_
25	Sei	sein	V	VAFIN	3|Sg|Pres|Subj	0	root	_	_
26	gegrüßet	gegrüßet	N	NE	_|Nom|Sg	25	subj	_	_
27	,	,	$	$,	_	0	root	_	_
28	mit	mit	P	APPR	Dat	25	pp	_	_
29	Rosen	Rosa	N	NN	Fem|Dat|Pl	28	pn	_	_
30	überschütteter	überschüttet	A	ADJA	Pos|_|Gen|_|St|	31	attr	230	230
31	Phöbus	Phöbus	N	NN	_|Gen|_	29	gmod	230	230
32	,	,	$	$,	_	0	root	_	_
33	auf	auf	P	APPR	Dat	25	pp	_	_
34	deinem	deine	A	PPOSAT	_|Dat|Sg	37	det	541	541
35	weit	weit	A	ADJD	Pos|	36	adv	_	_
36	lodernden	lodernd	A	ADJA	Pos|_|Dat|Sg|Wk|<PPRES	37	attr	_	_
37	Wagen	Wage	N	NN	_|Dat|Sg	33	pn	_	_
38	!	!	$	$.	_	0	root	_	_
39	«	«	$	$(	_	0	root	_	_
40	-	-	$	$(	_	0	root	_	_
41	Aber	aber	K	KON	_	0	root	_	_
42	bald	bald	A	ADV	_	43	adv	_	_
43	trat	treten	V	VVFIN	3|Sg|Past|Ind	41	cj	_	_
44	der	die	A	ART	Def|Masc|Nom|Sg	45	det	_	_
45	Sonnengott	Sonnengott	N	NN	Masc|Nom|Sg	43	subj	_	_
46	aus	aus	P	APPR	Dat	45	pp	_	_
47	dem	die	A	ART	Def|Neut|Dat|Sg	48	det	_	_
48	Rosengebüsch	Rosengebüsch	N	NN	Neut|Dat|Sg	46	pn	_	_
49	,	,	$	$,	_	0	root	_	_
50	und	und	K	KON	_	43	kon	_	_
51	vor	vor	P	APPR	Dat	57	pp	_	_
52	dem	die	A	ART	Def|Masc|Dat|Sg	54	det	_	_
53	langen	lang	A	ADJA	Pos|Masc|Dat|Sg|Wk|	54	attr	_	_
54	Blitze	Blitz	N	NN	Masc|Dat|Sg	51	pn	_	_
55	des	die	A	ART	Def|Masc|Gen|Sg	56	det	155	155
56	Tages	Tag	N	NN	Masc|Gen|Sg	54	gmod	155	155
57	blätterten	blättern	V	VVFIN	3|Pl|Past|_	50	cj	_	_
58	sich	sie	P	PRF	3|_|_	57	obja	_	_
59	die	die	A	ART	Def|Fem|Nom|Pl	60	det	721	721
60	Frührosen	Frührose	N	NN	Fem|Nom|Pl	57	subj	721	721
61	Aurorens	Aurorens	N	NE	Fem|Nom|Pl	60	app	721	721
62	ab	ab	P	PTKVZ	_	57	avz	_	_
63	.	.	$	$.	_	0	root	_	_

1	Siehe	Siehe	V	VVIMP	_	0	root	_	_
2	abends	abends	A	ADV	_	1	adv	_	_
3	,	,	$	$,	_	0	root	_	_
4	da	da	K	KOUS	_	14	konj	_	_
5	Apollos	Apollos	N	NE	_|Nom|Sg	14	subj	_	_
6	Wagen	Wage	N	NN	_|_|_	14	obja	543	543
7	in	in	P	APPR	Acc	14	pp	_	_
8	den	die	A	ART	Def|Masc|Acc|Sg	9	det	542	542
9	Ozean	Ozean	N	NN	Masc|Acc|Sg	7	pn	542	542
10	und	und	K	KON	_	7	kon	_	_
11	unter	unter	P	APPR	Acc	10	cj	_	_
12	die	die	A	ART	Def|Fem|Acc|Pl	13	det	_	_
13	Wellen	Welle	N	NN	Fem|Acc|Pl	11	pn	_	_
14	fuhr	fahren	V	VVFIN	3|Sg|Past|Ind	1	neb	_	_
15	und	und	K	KON	_	14	kon	_	_
16	nichts	nichts	P	PIS	_|Nom|Sg	19	subj	_	_
17	am	an	P	APPRART	Dat	19	pp	_	_
18	Himmel	Himmel	N	NN	Masc|Dat|Sg	17	pn	308	308
19	stand	stehen	V	VVFIN	3|Sg|Past|Ind	15	cj	_	_
20	als	als	K	KOKOM	_	19	kom	_	_
21	wieder	wieder	A	ADV	_	22	adv	_	_
22	Aurorens	Aurorens	A	ADJA	_|_|_|_|_	23	attr	_	_
23	Wagen	Wage	N	NN	_|_|_	20	cj	_	_
24	voll	voll	P	APPR	_	23	pp	_	_
25	Rosen	Rosa	N	NN	Fem|_|Pl	24	pn	540	540
26	:	\:	$	$.	_	0	root	_	_
27	da	da	A	ADV	_	28	adv	_	_
28	kehrte	kehren	V	VVFIN	3|Sg|Past|_	0	root	_	_
29	der	die	A	ART	Def|Masc|Nom|Sg	30	det	16	16
30	Mensch	Mensch	N	NN	Masc|Nom|Sg	28	subj	16	16
31	den	die	A	ART	Def|Masc|Acc|Sg	32	det	1807	1807
32	Irrtum	Irrtum	N	NN	Masc|Acc|Sg	28	obja	1807	1807
33	des	die	A	ART	Def|Masc|Gen|Sg	34	det	1807	1807
34	Morgens	Morgen	N	NN	Masc|Gen|Sg	32	gmod	1807	1807
35	um	um	P	PTKVZ	_	28	avz	_	_
36	und	und	K	KON	_	28	kon	_	_
37	sagte	sagen	V	VVFIN	_|Sg|Past|_	36	cj	_	_
38	:	\:	$	$.	_	0	root	_	_
39	»	»	$	$(	_	0	root	_	_
40	Ich	ich	P	PPER	1|Sg|_|Nom	41	subj	544	544
41	kenne	kennen	V	VVFIN	1|Sg|Pres|_	0	root	_	_
42	dich	du	P	PPER	2|Sg|_|Acc	41	obja	541	541
43	,	,	$	$,	_	0	root	_	_
44	schöner	schön	A	ADJA	Pos|Masc|Nom|Sg|St|	45	attr	1356	1356
45	Frühling	Frühling	N	NN	Masc|Nom|Sg	0	root	1356	1356
46	am	an	P	APPRART	Dat	45	pp	1356	1356
47	Himmel	Himmel	N	NN	Masc|Dat|Sg	46	pn	308	308
48	,	,	$	$,	_	0	root	_	_
49	du	du	P	PPER	2|Sg|_|Nom	50	subj	541	541
50	führest	fahren	V	VVFIN	2|Sg|_|Subj	0	root	_	_
51	nur	nur	A	ADV	_	50	adv	_	_
52	die	die	A	ART	Def|Fem|_|Sg	53	det	539	539
53	Sonne	Sonne	N	NN	Fem|_|Sg	50	obja	539	539
54	herauf	herauf	P	PTKVZ	_	50	avz	_	_
55	,	,	$	$,	_	0	root	_	_
56	aber	aber	K	KON	_	50	kon	_	_
57	du	du	P	PPER	2|Sg|_|Nom	58	subj	541	541
58	bist	sein	V	VAFIN	2|Sg|Pres|Ind	56	cj	_	_
59	sie	sie	P	PPER	3|_|_|Nom	58	pred	539	539
60	nicht	nicht	P	PTKNEG	_	59	adv	_	_
61	!	!	$	$.	_	0	root	_	_
62	«	«	$	$(	_	0	root	_	_
63	-	-	$	$(	_	0	root	_	_
64	Und	und	K	KON	_	0	root	_	_
65	er	er	P	PPER	3|Sg|Masc|Nom	66	subj	308	308
66	hoffte	hoffen	V	VVFIN	3|Sg|Past|_	64	cj	_	_
67	auf	auf	P	APPR	Acc	66	objp	_	_
68	die	die	A	ART	Def|Fem|Acc|Sg	69	det	539	539
69	Sonne	Sonne	N	NN	Fem|Acc|Sg	67	pn	539	539
70	und	und	K	KON	_	66	kon	_	_
71	hielt	halten	V	VVFIN	_|Sg|Past|Ind	70	cj	_	_
72	den	die	A	ART	Def|Masc|Acc|Sg	73	det	_	_
73	Abendstern	Abendstern	N	NN	Masc|Acc|Sg	71	obja	_	_
74	für	für	P	APPR	Acc	71	objp	_	_
75	den	die	A	ART	Def|Masc|Acc|Sg	76	det	1739	1739
76	Morgenstern	Morgenstern	N	NN	Masc|Acc|Sg	74	pn	1739	1739
77	und	und	K	KON	_	76	kon	_	_
78	den	die	A	ART	Def|Masc|Acc|Sg	79	det	1406	1406
79	Abendwind	Abendwind	N	NN	Masc|Acc|Sg	77	cj	1406	1406
80	für	für	P	APPR	Acc	79	pp	1406	1406
81	Morgenluft	Morgenluft	N	NN	Fem|Acc|Sg	80	pn	1406	1406
82	.	.	$	$.	_	0	root	_	_

1	Aber	aber	K	KON	_	0	root	_	_
2	er	er	P	PPER	3|Sg|Masc|Nom	3	subj	5	5
3	hoffte	hoffen	V	VVFIN	3|Sg|Past|_	1	cj	_	_
4	umsonst	umsonst	A	ADV	_	3	adv	_	_
5	-	-	$	$(	_	0	root	_	_
6	der	die	A	ART	Def|Masc|Nom|Sg	7	det	1416	1416
7	Stern	Stern	N	NN	Masc|Nom|Sg	10	subj	1416	1416
8	der	die	A	ART	Def|Fem|Gen|Sg	9	det	156	156
9	Liebe	Liebe	N	NN	Fem|Gen|Sg	7	gmod	156	156
10	stieg	steigen	V	VVFIN	3|Sg|Past|Ind	4	par	_	_
11	nicht	nicht	P	PTKNEG	_	10	adv	_	_
12	höher	hoch	A	ADJD	Comp|	10	adv	_	_
13	,	,	$	$,	_	0	root	_	_
14	sondern	sondern	K	KON	_	10	kon	_	_
15	sank	sinken	V	VVFIN	_|Sg|Past|Ind	14	cj	_	_
16	von	von	P	APPR	_	15	pp	_	_
17	Wolke	Wolke	N	NN	Fem|_|Sg	16	pn	_	_
18	zu	zu	P	APPR	Dat	16	kon	_	_
19	Wolke	Wolke	N	NN	Fem|Dat|Sg	18	pn	_	_
20	-	-	$	$(	_	0	root	_	_
21	der	die	A	ART	Def|Masc|Nom|Sg	22	det	_	_
22	Rosen-Wagen	Rosen-Wage	N	NN	Masc|Nom|Sg	23	subj	_	_
23	ragte	ragen	V	VVFIN	3|Sg|Past|_	10	kon	_	_
24	nur	nur	A	ADV	_	23	adv	_	_
25	mit	mit	P	APPR	Dat	23	pp	_	_
26	einigen	einige	A	PIAT	_|Dat|_	28	det	_	_
27	falben	falben	A	ADJA	_|_|Dat|_|_	28	attr	_	_
28	Knospen	Knospe	N	NN	_|Dat|_	25	pn	_	_
29	aus	aus	P	APPR	Dat	23	pp	_	_
30	dem	die	A	ART	Def|Masc|Dat|Sg	31	det	542	542
31	Ozean	Ozean	N	NN	Masc|Dat|Sg	29	pn	542	542
32	und	und	K	KON	_	23	kon	_	_
33	fuhr	fahren	V	VVFIN	_|Sg|Past|Ind	32	cj	_	_
34	hinter	hinter	P	APPR	Dat	33	pp	_	_
35	der	die	A	ART	Def|Fem|Dat|Sg	36	det	160	160
36	Erde	Erde	N	NN	Fem|Dat|Sg	34	pn	160	160
37	tief	tief	A	ADJD	Pos|	38	adv	_	_
38	watend	waten	A	ADJD	_|<PPRES	33	adv	_	_
39	und	und	K	KON	_	38	kon	_	_
40	einsinkend	einsinken	A	ADJD	_|<PPRES	39	cj	_	_
41	zur	zu	P	APPRART	Dat	33	pp	_	_
42	kalten	kalt	A	ADJA	Pos|Fem|Dat|Sg|Wk|	43	attr	_	_
43	Mitternacht	Mitternacht	N	NN	Fem|Dat|Sg	41	pn	_	_
44	-	-	$	$(	_	0	root	_	_
45	Todesfrost	Todesfrost	N	NN	Masc|Nom|Sg	46	subj	_	_
46	wehte	wehen	V	VVFIN	3|Sg|Past|_	23	kon	_	_
47	von	von	P	APPR	Dat	46	pp	_	_
48	ihr	ihr	P	PPER	3|Sg|Fem|Dat	47	pn	543	543
49	herauf	herauf	P	PTKVZ	_	46	avz	_	_
50	-	-	$	$(	_	0	root	_	_
51	»	»	$	$(	_	0	root	_	_
52	Jetzt	jetzt	A	ADV	_	53	adv	_	_
