1	O	O	N	NN	Neut|_|_	6	vok	157	157
20	auf	auf	P	APPR	_	29	pp	_	_
21	den	die	A	ART	Def|_|_|_	22	det	186	186
22	Schachfeldern	Schachfeld	N	NN	_|_|_	20	pn	186	186
23	ihrer	ihre	A	PPOSAT	Neut|Gen|Pl	24	det	186	186
24	Dächer	Dach	N	NN	Neut|Gen|Pl	22	gmod	186	186
25	die	die	A	ART	Def|_|_|_	27	det	187	187
26	poetische	poetisch	A	ADJA	Pos|_|_|_|_|	27	attr	187	187
27	Illumination	Illumination	N	NN	_|_|_	29	obja	187	187
28	leuchten	leuchten	V	VVINF	_	29	obji	_	_
29	sah	sehen	V	VVFIN	1|Sg|Past|Ind	2	subjc	_	_
30	,	,	$	$,	_	0	root	_	_
31	die	die	P	PRELS	_|_|_	0	root	187	187
32	nachher	nachher	A	ADV	_	43	adv	_	_
33	,	,	$	$,	_	0	root	_	_
34	wenn	wenn	K	KOUS	_	38	konj	_	_
35	ich	ich	P	PPER	1|Sg|_|Nom	38	subj	185	185
36	durchs	durch	P	APPRART	Acc	38	pp	_	_
37	Tor	Tor	N	NN	_|Acc|Sg	36	pn	_	_
38	bin	sein	V	VAFIN	1|Sg|Pres|Ind	43	neb	_	_
39	,	,	$	$,	_	0	root	_	_
40	Lampe	Lampe	N	NN	Fem|Nom|Sg	43	subj	_	_
41	nach	nach	P	APPR	Dat	43	pp	_	_
42	Lampe	Lampe	N	NN	Fem|Dat|Sg	41	pn	_	_
43	erlischt	erlöschen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
44	.	.	$	$.	_	0	root	_	_

1	Ich	ich	P	PPER	1|Sg|_|Nom	2	subj	185	185
2	stieg	steigen	V	VVFIN	1|Sg|Past|Ind	0	root	_	_
3	im	in	P	APPRART	Dat	2	pp	_	_
4	Gasthof	Gasthof	N	NN	Masc|Dat|Sg	3	pn	350	350
5	zur	zu	P	APPRART	Dat	2	pp	_	_
6	Eidechse	Eidechse	N	NN	Fem|Dat|Sg	5	pn	188	188
7	ab	ab	P	PTKVZ	_	2	avz	_	_
8	,	,	$	$,	_	0	root	_	_
9	weil	weil	K	KOUS	_	0	root	_	_
10	Siebenkäs	Siebenkäs	N	NE	_	0	root	213	213
11	,	,	$	$,	_	0	root	_	_
12	wie	wie	P	PWAV	_	20	adv	_	_
13	du	du	P	PPER	2|Sg|_|Nom	20	subj	_	_
14	aus	aus	P	APPR	Dat	20	pp	_	_
15	dem	die	A	ART	Def|Neut|Dat|Sg	17	det	189	189
16	letzten	letzte	A	ADJA	Pos|Neut|Dat|Sg|Wk|	17	attr	189	189
17	Kapitel	Kapitel	N	NN	Neut|Dat|Sg	14	pn	189	189
18	meiner	meine	A	PPOSAT	Neut|Gen|Pl	19	det	185	185
19	Blumenstücke	Blumenstück	N	NN	Neut|Gen|Pl	17	gmod	189	189
20	weißt	weißen	V	VVFIN	2|Sg|Pres|Ind	32	subjc	_	_
21	,	,	$	$,	_	0	root	_	_
22	hier	hier	A	ADV	_	31	adv	_	_
23	die	die	A	ART	Def|Masc|Acc|Pl	25	det	_	_
24	letzten	letzte	A	ADJA	Pos|Masc|Acc|Pl|Wk|	25	attr	_	_
25	Schmerzen	Schmerz	N	NN	Masc|Acc|Pl	31	obja	_	_
26	oder	oder	K	KON	_	25	kon	_	_
27	den	die	A	ART	Def|Masc|Acc|Sg	28	det	_	_
28	Nachwinter	Nachwinter	N	NN	Masc|Acc|Sg	26	cj	_	_
29	seiner	seine	A	PPOSAT	Fem|Gen|Sg	30	det	189	189
30	Vergangenheit	Vergangenheit	N	NN	Fem|Gen|Sg	28	gmod	518	518
31	gefunden	finden	V	VVPP	_	32	aux	_	_
32	hat	haben	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
33	.	.	$	$.	_	0	root	_	_

1	Ich	ich	P	PPER	1|Sg|_|Nom	0	root	185	185
2	ging	gehen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
3	sogleich	sogleich	A	ADV	_	2	adv	_	_
4	zum	zu	P	APPRART	Dat	25	pp	193	193
5	Schulrat	Schulrat	N	NN	Masc|Dat|Sg	4	pn	193	193
6	Stiefel	Stiefel	N	NN	Masc|Dat|Sg	5	app	193	193
7	,	,	$	$,	_	0	root	193	193
8	an	an	P	APPR	_	14	pp	193	193
9	dessen	die	A	PRELAT	Neut|_|_	10	det	193	193
10	Fenster	Fenster	N	NN	Neut|_|_	8	pn	193	193
11	(	(	$	$(	_	0	root	193	193
12	die	die	A	ART	Def|Fem|Nom|Sg	13	det	193	193
13	Schulwohnung	Schulwohnung	N	NN	Fem|Nom|Sg	14	subj	193	193
14	ist	sein	V	VAFIN	3|Sg|Pres|Ind	6	rel	193	193
15	dem	die	A	ART	Def|Masc|Dat|Sg	16	det	190	190
16	Gasthofe	Gasthof	N	NN	Masc|Dat|Sg	17	pn	190	190
17	gegenüber	gegenüber	P	APPO	Dat	14	pp	_	_
18	)	)	$	$(	_	0	root	_	_
19	ich	ich	P	PPER	1|Sg|_|Nom	14	pred	185	185
20	schon	schon	A	ADV	_	19	adv	_	_
21	eine	eine	A	ART	Indef|Fem|Acc|Sg	22	det	_	_
22	Stunde	Stunde	N	NN	Fem|Acc|Sg	23	pn	_	_
23	lang	lang	P	APPO	Acc	14	pp	_	_
24	eine	eine	A	ART	Indef|Fem|Nom|Sg	25	det	_	_
25	Amazone	Amazone	N	NN	Fem|Nom|Sg	2	subj	_	_
26	mit	mit	P	APPR	Dat	2	pp	_	_
27	einem	eine	A	ART	Indef|Masc|Dat|Sg	29	det	191	191
28	dreieckigen	dreieckig	A	ADJA	Pos|Masc|Dat|Sg|Wk|	29	attr	191	191
29	Hute	Hut	N	NN	Masc|Dat|Sg	26	pn	191	191
30	unbeweglich	unbeweglich	A	ADJD	Pos|	2	adv	_	_
31	stehen	stehen	V	VVFIN	_|Pl|Pres|_	0	root	_	_
32	und	und	K	KON	_	31	kon	_	_
33	gucken	gucken	V	VVINF	_	34	obji	_	_
34	sah	sehen	V	VVFIN	_|Sg|Past|Ind	32	cj	_	_
35	.	.	$	$.	_	0	root	_	_

1	Ich	ich	P	PPER	1|Sg|_|Nom	2	subj	185	185
2	fand	finden	V	VVFIN	1|Sg|Past|Ind	0	root	_	_
3	ihn	er	P	PPER	3|Sg|Masc|Acc	2	obja	191	191
4	feurig	feurig	A	ADJD	Pos|	2	adv	_	_
5	in	in	P	APPR	Dat	2	pp	_	_
6	seinem	seine	A	PPOSAT	_|Dat|Sg	7	det	191	191
7	Redaktorat	Redaktorat	N	NN	_|Dat|Sg	5	pn	192	192
8	des	die	A	ART	Def|_|Gen|Sg	9	det	192	192
9	Götterbotens	Götterbotens	N	NN	_|Gen|Sg	7	gmod	192	192
10	deutscher	deutsch	A	ADJA	Pos|Neut|Gen|Pl|St|	11	attr	192	192
11	Programme	Programm	N	NN	Neut|Gen|Pl	9	gmod	192	192
12	sitzend	sitzen	A	ADJD	_|<PPRES	2	adv	_	_
13	und	und	K	KON	_	12	kon	_	_
14	taub	taub	A	ADJD	Pos|	13	cj	_	_
15	und	und	K	KON	_	14	kon	_	_
16	blind	blind	A	ADJD	Pos|	15	cj	_	_
17	gegen	gegen	P	APPR	Acc	2	pp	_	_
18	die	die	A	ART	Def|Fem|Acc|Sg	20	det	_	_
19	drückende	drückend	A	ADJA	Pos|Fem|Acc|Sg|_|<PPRES	20	attr	_	_
20	Einsamkeit	Einsamkeit	N	NN	Fem|Acc|Sg	17	pn	_	_
21	seiner	seine	A	PPOSAT	Fem|Gen|Sg	22	det	192	192
22	Wohnung	Wohnung	N	NN	Fem|Gen|Sg	20	gmod	_	_
23	.	.	$	$.	_	0	root	_	_

1	Die	die	A	ART	Def|Fem|Nom|Sg	2	det	193	193
2	Amazone	Amazone	N	NN	Fem|Nom|Sg	3	subj	193	193
3	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
4	bloß	bloß	A	ADV	_	3	adv	_	_
5	sein	seine	A	PPOSAT	Masc|Nom|Sg	6	det	192	192
6	Hut	Hut	N	NN	Masc|Nom|Sg	3	pred	194	194
7	,	,	$	$,	_	0	root	_	_
8	den	die	P	PRELS	Masc|Acc|Sg	0	root	194	194
9	er	er	P	PPER	3|Sg|Masc|Nom	14	subj	192	192
10	auf	auf	P	APPR	Acc	14	pp	_	_
11	den	die	A	ART	Def|Masc|Acc|Sg	12	det	195	195
12	Haubenkopf	Haubenkopf	N	NN	Masc|Acc|Sg	10	pn	195	195
13	Lenettens	Lenettens	N	NE	Masc|Acc|Sg	12	app	195	195
14	abgelegt	ablegen	V	VVPP	_	0	root	_	_
15	.	.	$	$.	_	0	root	_	_

1	Er	er	P	PPER	3|Sg|Masc|Nom	2	subj	192	192
2	warf	werfen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
3	mir	ich	P	PPER	1|Sg|_|Dat	2	objd	185	185
4	bald	bald	A	ADV	_	2	adv	_	_
5	einen	eine	A	ART	Indef|Masc|Acc|Sg	6	det	_	_
6	Schnitzer	Schnitzer	N	NN	Masc|Acc|Sg	2	obja	_	_
7	in	in	P	APPR	_	2	pp	_	_
8	meinen	meine	A	PPOSAT	_|_|_	9	det	185	185
9	Palingenesien	Palingenesien	N	NN	_|_|_	7	pn	1340	1340
10	vor	vor	P	PTKVZ	_	2	avz	_	_
11	:	\:	$	$.	_	0	root	_	_
12	»	»	$	$(	_	0	root	_	_
13	er	er	P	PPER	3|Sg|Masc|Nom	14	subj	192	192
14	sei	sein	V	VAFIN	3|Sg|Pres|Subj	0	root	_	_
15	zwar	zwar	A	ADV	_	14	adv	_	_
16	«	«	$	$(	_	0	root	_	_
17	,	,	$	$,	_	0	root	_	_
18	sagt	sagen	V	VVFIN	3|Sg|Pres|Ind	15	par	_	_
19	'	'	$	$(	_	0	root	_	_
20	er	er	P	PPER	3|Sg|Masc|Nom	18	subj	192	192
21	,	,	$	$,	_	0	root	_	_
22	»	»	$	$(	_	0	root	_	_
23	noch	noch	A	ADV	_	14	adv	_	_
24	Rektor	Rektor	N	NN	Masc|Nom|Sg	14	pred	_	_
25	,	,	$	$,	_	0	root	_	_
26	aber	aber	K	KON	_	24	kon	_	_
27	jetzt	jetzt	A	ADV	_	28	adv	_	_
28	auch	auch	A	ADV	_	29	adv	_	_
29	Hospitalprediger	Hospitalprediger	N	NN	Masc|Nom|_	26	cj	_	_
30	dazu	dazu	P	PROAV	_	14	pp	_	_
31	-	-	$	$(	_	0	root	_	_
32	was	was	P	PWS	Neut|_|Sg	39	obja	_	_
33	ich	ich	P	PPER	1|Sg|_|Nom	40	subj	185	185
34	gefälligst	gefällig	A	ADJD	Sup|	39	adv	_	_
35	in	in	P	APPR	Dat	39	pp	_	_
36	einer	eine	A	ART	Indef|Fem|Dat|Sg	38	det	_	_
37	neuen	neu	A	ADJA	Pos|Fem|Dat|Sg|Wk|	38	attr	_	_
38	Auflage	Auflage	N	NN	Fem|Dat|Sg	35	pn	_	_
39	korrigieren	korrigieren	V	VVINF	_	40	aux	_	_
40	möchte	mögen	V	VMFIN	1|Sg|Past|Subj	0	root	_	_
41	.	.	$	$.	_	0	root	_	_

1	Von	von	P	APPR	_	5	pp	_	_
2	solchen	solche	A	PIDAT	Fem|_|Pl	4	det	_	_
3	historischen	historisch	A	ADJA	Pos|Fem|_|Pl|_|	4	attr	_	_
4	Unrichtigkeiten	Unrichtigkeit	N	NN	Fem|_|Pl	1	pn	_	_
5	wimmelten	wimmeln	V	VVFIN	3|Pl|Past|_	0	root	_	_
6	überhaupt	überhaupt	A	ADV	_	5	adv	_	_
7	die	die	A	ART	Def|Neut|Nom|Pl	8	det	196	196
8	Blumenstücke	Blumenstück	N	NN	Neut|Nom|Pl	5	subj	196	196
9	,	,	$	$,	_	0	root	_	_
10	so	so	A	ADV	_	11	konj	_	_
11	daß	daß	K	KOUS	_	25	konj	_	_
12	man	man	P	PIS	_|Nom|Sg	25	subj	_	_
13	sie	sie	P	PPER	3|_|_|_	24	obja	196	196
14	mehr	mehr	A	ADV	_	24	adv	_	_
15	für	für	P	APPR	Acc	24	objp	_	_
16	ein	eine	A	ART	Indef|Neut|Acc|Sg	17	det	_	_
17	Werk	Werk	N	NN	Neut|Acc|Sg	15	pn	_	_
18	der	die	A	ART	Def|Fem|Gen|Sg	19	det	634	634
19	Phantasie	Phantasie	N	NN	Fem|Gen|Sg	17	gmod	634	634
20	als	als	K	KOKOM	_	24	kom	_	_
21	des	die	A	ART	Def|Masc|Gen|Sg	23	det	_	_
22	historischen	historisch	A	ADJA	Pos|Masc|Gen|Sg|_|	23	attr	_	_
23	Fleißes	Fleiß	N	NN	Masc|Gen|Sg	20	cj	_	_
24	halten	halten	V	VVINF	_	25	aux	_	_
25	sollte	sollen	V	VMFIN	3|Sg|Past|_	5	neb	_	_
26	;	;	$	$.	_	0	root	_	_
27	und	und	K	KON	_	0	root	_	_
28	er	er	P	PPER	3|Sg|Masc|Nom	29	subj	192	192
29	habe	haben	V	VAFIN	3|Sg|Pres|Subj	27	cj	_	_
30	einmal	einmal	A	ADV	_	39	adv	_	_
31	in	in	P	APPR	Acc	39	pp	_	_
32	den	die	A	ART	Def|Masc|Acc|Sg	34	det	1669	1669
33	literarischen	literarisch	A	ADJA	Pos|Masc|Acc|Sg|_|	34	attr	1669	1669
34	Anzeiger	Anzeiger	N	NN	Masc|Acc|Sg	31	pn	1669	1669
35	einen	eine	A	ART	Indef|Masc|Acc|Sg	37	det	_	_
36	kleinen	klein	A	ADJA	Pos|Masc|Acc|Sg|_|	37	attr	_	_
37	Anzeiger	Anzeiger	N	NN	Masc|Acc|Sg	39	obja	_	_
38	davon	davon	P	PROAV	_	39	pp	_	_
39	inserieren	inserieren	V	VVINF	_	40	aux	_	_
40	wollen	wollen	V	VMINF	_	29	aux	_	_
41	.	.	$	$.	_	0	root	_	_
42	«	«	$	$(	_	0	root	_	_
43	Überhaupt	überhaupt	A	ADV	_	44	adv	_	_
44	wird	werden	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
45	er	er	P	PPER	3|Sg|Masc|Nom	44	subj	192	192
46	jetzt	jetzt	A	ADV	_	47	adv	_	_
47	kühner	kühn	A	ADJA	Pos|Masc|Nom|Sg|St|	44	pred	_	_
48	und	und	K	KON	_	44	kon	_	_
49	greift	greifen	V	VVFIN	_|_|Pres|Ind	48	cj	_	_
50	aus	aus	P	PTKVZ	_	49	avz	_	_
51	.	.	$	$.	_	0	root	_	_

1	Autoren	Autor	N	NN	_|_|_	0	root	197	197
2	,	,	$	$,	_	0	root	_	_
3	die	die	A	ART	Def|_|Nom|Pl	5	det	1680	1680
4	lange	lang	A	ADJA	Pos|_|Nom|Pl|St|	5	attr	1680	1680
5	Rezensenten	Rezensent	N	NN	_|Nom|Pl	6	pred	1680	1680
6	gewesen	sein	V	VAPP	_	0	root	_	_
7	,	,	$	$,	_	0	root	_	_
8	hängt	hängen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
9	immer	immer	A	ADV	_	10	adv	_	_
10	etwas	etwas	A	PIAT	Neut|Nom|Sg	11	det	_	_
11	Entscheidendes	Entscheidende	N	NN	Neut|Nom|Sg	8	subj	_	_
12	und	und	K	KON	_	11	kon	_	_
13	Grobes	Grobes	N	NN	Neut|Nom|Sg	12	cj	_	_
14	an	an	P	PTKVZ	_	8	avz	_	_
15	;	;	$	$.	_	0	root	_	_
16	und	und	K	KON	_	0	root	_	_
17	ob	ob	K	KOUS	_	29	konj	_	_
18	sie	sie	P	PPER	3|Pl|_|Nom	29	subj	197	197
19	gleich	gleich	A	ADV	_	29	adv	_	_
20	als	als	K	KOKOM	_	29	kom	_	_
21	die	die	A	ART	Def|Neut|_|Pl	22	det	_	_
22	Absonderungswerkzeuge	Absonderungswerkzeug	N	NN	Neut|_|Pl	20	cj	_	_
23	des	die	A	ART	Def|Masc|Gen|Sg	25	det	_	_
24	gelehrten	gelehrt	A	ADJA	Pos|Masc|Gen|Sg|_|	25	attr	_	_
25	Körpers	Körper	N	NN	Masc|Gen|Sg	22	gmod	_	_
26	nur	nur	A	ADV	_	29	adv	_	_
27	das	die	A	ART	Def|Neut|_|Sg	28	det	_	_
28	Verdorbene	Verdorbene	N	NN	Neut|_|Sg	29	obja	_	_
29	einsaugen	einsaugen	V	VVFIN	3|Pl|Pres|_	16	cj	_	_
30	und	und	K	KON	_	29	kon	_	_
31	ausführen	ausführen	V	VVINF	_	32	aux	_	_
32	sollen	sollen	V	VMFIN	_|Pl|Pres|_	30	cj	_	_
33	,	,	$	$,	_	0	root	_	_
34	so	so	A	ADV	_	35	adv	_	_
35	erstarken	erstarken	V	VVFIN	3|Pl|Pres|_	32	par	_	_
36	sie	sie	P	PPER	3|Pl|_|Nom	35	subj	197	197
37	doch	doch	A	ADV	_	35	adv	_	_
38	am	an	P	APPRART	Dat	35	pp	_	_
39	Ende	Ende	N	NN	Neut|Dat|Sg	38	pn	198	198
40	so	so	A	ADV	_	35	adv	_	_
41	,	,	$	$,	_	0	root	_	_
42	daß	daß	K	KOUS	_	48	konj	_	_
43	sie	sie	P	PPER	3|Pl|_|Nom	48	subj	197	197
44	sich	sie	P	PRF	3|_|_	48	obja	_	_
45	auch	auch	A	ADV	_	48	adv	_	_
46	ans	an	P	APPRART	Acc	48	objp	_	_
47	Gute	Gut	N	NN	_|Acc|_	46	pn	_	_
48	machen	machen	V	VVFIN	3|Pl|Pres|_	31	objc	_	_
49	.	.	$	$.	_	0	root	_	_

1	Wenn	wenn	K	KOUS	_	12	konj	_	_
2	du	du	P	PPER	2|Sg|_|Nom	12	subj	201	201
3	Hühner	Huhn	N	NN	Neut|_|Pl	12	obja	_	_
4	(	(	$	$(	_	0	root	_	_
5	es	es	P	PPER	3|Sg|Neut|Nom	6	subj	_	_
6	ist	sein	V	VAFIN	3|Sg|Pres|Ind	3	par	_	_
7	derselbe	dieselbe	A	PDAT	Masc|Nom|Sg	8	det	199	199
8	Fall	Fall	N	NN	Masc|Nom|Sg	6	pred	199	199
9	)	)	$	$(	_	0	root	_	_
10	mit	mit	P	APPR	Dat	12	pp	_	_
11	Eierschalen	Eierschale	N	NN	_|Dat|_	10	pn	200	200
12	fütterst	füttern	V	VVFIN	2|Sg|Pres|_	0	root	_	_
13	,	,	$	$,	_	0	root	_	_
14	die	die	P	PRELS	_|_|_	0	root	200	200
15	du	du	P	PPER	2|Sg|_|Nom	18	subj	201	201
16	zu	zu	P	PTKA	_	17	adv	_	_
17	groß	groß	A	ADJD	Pos|	18	pred	_	_
18	gelassen	lassen	V	VVPP	_	21	neb	_	_
19	,	,	$	$,	_	0	root	_	_
20	so	so	A	ADV	_	21	adv	_	_
21	lernen	lernen	V	VVFIN	3|Pl|Pres|_	0	root	_	_
22	sie	sie	P	PPER	3|Pl|_|Nom	21	subj	200	200
23	daran	daran	P	PROAV	_	28	pp	_	_
24	zuletzt	zuletzt	A	ADV	_	28	adv	_	_
25	nach	nach	P	APPR	Dat	28	pp	_	_
26	vollen	voll	A	ADJA	Pos|Neut|Dat|_|_|	27	attr	_	_
27	Eiern	Ei	N	NN	Neut|Dat|_	25	pn	_	_
28	hacken	hacken	V	VVINF	_	21	obji	_	_
29	.	.	$	$.	_	0	root	_	_

1	Er	er	P	PPER	3|Sg|Masc|Nom	2	subj	5	5
2	erbot	erbieten	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
3	sich	sie	P	PRF	3|_|_	2	obja	_	_
4	,	,	$	$,	_	0	root	_	_
5	mich	ich	P	PRF	1|Sg|Acc	13	obja	_	_
6	mit	mit	P	APPR	Dat	13	pp	_	_
7	den	die	A	ART	Def|_|Dat|Pl	8	det	_	_
8	Gelehrten	Gelehrte	N	NN	_|Dat|Pl	6	pn	_	_
9	von	von	P	APPR	_	8	pp	_	_
10	Kuhschnappel	Kuhschnappel	N	NE	_|_|_	9	pn	43	43
11	bekannt	bekannt	A	ADJD	Pos|	13	pred	_	_
12	zu	zu	P	PTKZU	_	13	part	_	_
13	machen	machen	V	VVINF	_	2	obji	_	_
14	,	,	$	$,	_	0	root	_	_
15	und	und	K	KON	_	2	kon	_	_
16	wollte	wollen	V	VMFIN	3|Sg|Past|_	15	cj	_	_
17	auf	auf	P	APPR	Acc	16	pp	_	_
18	den	die	A	ART	Def|Masc|Acc|Sg	19	det	1526	1526
19	Abend	Abend	N	NN	Masc|Acc|Sg	17	pn	1526	1526
20	diese	diese	A	PDAT	Fem|Nom|Sg	21	det	202	202
21	Landsmannschaft	Landsmannschaft	N	NN	Fem|Nom|Sg	16	subj	202	202
22	zu	zu	P	APPR	Dat	21	pp	202	202
23	sich	sie	P	PRF	3|_|Dat	22	pn	202	202
24	invitieren	invitieren	N	NE	Fem|Nom|Sg	21	app	202	202
25	.	.	$	$.	_	0	root	_	_

1	Nun	nun	A	ADV	_	2	adv	_	_
2	will	wollen	V	VMFIN	1|Sg|Pres|Ind	0	root	_	_
3	ich	ich	P	PPER	1|Sg|_|Nom	2	subj	202	202
4	lieber	lieb	A	ADJD	Comp|	7	adv	_	_
5	ein	eine	A	ART	Indef|Neut|_|Sg	6	det	_	_
6	Irrenhaus	Irrenhaus	N	NN	Neut|_|Sg	7	obja	_	_
7	beschauen	beschauen	V	VVINF	_	2	aux	_	_
8	-	-	$	$(	_	0	root	_	_
9	ich	ich	P	PPER	1|Sg|_|Nom	10	subj	202	202
10	blättere	blättern	V	VVFIN	1|Sg|Pres|_	7	par	_	_
11	da	da	A	ADV	_	10	adv	_	_
12	viel	viel	A	ADV	_	13	adv	_	_
13	weiter	weiter	A	ADV	_	10	adv	_	_
14	in	in	P	APPR	Dat	10	pp	_	_
15	der	die	A	ART	Def|Fem|Dat|Sg	17	det	1101	1101
16	menschlichen	menschlich	A	ADJA	Pos|Fem|Dat|Sg|Wk|	17	attr	1101	1101
17	Natur	Natur	N	NN	Fem|Dat|Sg	14	pn	1101	1101
18	-	-	$	$(	_	0	root	_	_
19	als	als	K	KOKOM	_	7	kom	_	_
20	ein	eine	A	ART	Indef|Neut|_|Sg	22	det	35	35
21	gelehrtes	gelehrt	A	ADJA	Pos|Neut|_|Sg|St|	22	attr	35	35
22	Kuhschnappel	Kuhschnappel	N	NN	Neut|_|Sg	19	cj	35	35
23	.	.	$	$.	_	0	root	_	_

1	In	in	P	APPR	_	0	root	_	_
2	Fächern	Fach	N	NN	_|_|_	1	pn	_	_
3	,	,	$	$,	_	0	root	_	_
4	wo	wo	P	PWAV	_	11	adv	_	_
5	der	die	A	ART	Def|Masc|Nom|Sg	6	det	203	203
6	Autor	Autor	N	NN	Masc|Nom|Sg	11	subj	203	203
7	den	die	A	ART	Def|Masc|_|_	8	det	_	_
8	Menschen	Mensch	N	NN	Masc|_|_	11	obja	_	_
9	ins	in	P	APPRART	Acc	11	pp	_	_
10	Spiel	Spiel	N	NN	Neut|Acc|Sg	9	pn	_	_
11	zieht	zeihen	V	VVFIN	3|Sg|Pres|Ind	2	rel	_	_
12	(	(	$	$(	_	0	root	_	_
13	z.	z.	P	APPRART	_	0	root	_	_

1	B.	B.	N	NN	Masc|_|Sg	0	root	_	_
2	in	in	P	APPR	Dat	1	pp	_	_
3	der	die	A	ART	Def|Fem|Dat|Sg	4	det	548	548
4	Philosophie	Philosophie	N	NN	Fem|Dat|Sg	2	pn	548	548
5	,	,	$	$,	_	0	root	548	548
6	Dichtkunst	Dichtkunst	N	NN	Fem|Dat|Sg	4	kon	548	548
7	,	,	$	$,	_	0	root	548	548
8	Malerei	Malerei	N	NN	Fem|Dat|Sg	6	kon	548	548
9	;	;	$	$.	_	0	root	_	_
10	und	und	K	KON	_	0	root	_	_
11	da	da	A	ADV	_	13	adv	_	_
12	nur	nur	A	ADV	_	13	adv	_	_
13	im	in	P	APPRART	Dat	10	cj	_	_
14	Falle	Fall	N	NN	_|Dat|Sg	13	pn	_	_
15	der	die	A	ART	Def|_|Gen|_	16	det	204	204
16	Genialität	Genialität	N	NN	_|Gen|_	14	gmod	204	204
17	)	)	$	$(	_	0	root	_	_
18	,	,	$	$,	_	0	root	_	_
19	klopf	klopfen	V	VVIMP	Sg	0	root	_	_
20	'	'	$	$(	_	0	root	_	_
21	ich	ich	P	PPER	1|Sg|_|Nom	0	root	202	202
22	gern	gern	A	ADV	_	23	adv	_	_
23	beim	bei	P	APPRART	Dat	0	root	_	_
24	Menschen	Mensch	N	NN	Masc|Dat|_	23	pn	652	652
25	an	an	P	PTKVZ	_	0	root	_	_
26	;	;	$	$.	_	0	root	_	_
27	aber	aber	K	KON	_	0	root	_	_
28	in	in	P	APPR	_	27	cj	_	_
29	andern	andern	A	ADJA	_|_|_|_|_	28	pn	_	_
30	,	,	$	$,	_	0	root	_	_
31	die	die	P	PRELS	_|Nom|Pl	38	subj	204	204
32	mit	mit	P	APPR	Dat	38	objp	_	_
33	dem	die	A	ART	Def|Masc|Dat|Sg	34	det	_	_
34	Autor	Autor	N	NN	Masc|Dat|Sg	32	pn	_	_
35	ohne	ohne	P	APPR	Acc	34	pp	_	_
36	den	die	A	ART	Def|Masc|Acc|Sg	37	det	16	16
37	Menschen	Mensch	N	NN	Masc|Acc|Sg	35	pn	16	16
38	auskommen	auskommen	V	VVFIN	3|Pl|Pres|_	0	root	_	_
39	(	(	$	$(	_	0	root	_	_
40	z.	z.	P	APPRART	_	0	root	_	_

1	B.	B.	N	NN	Masc|_|Sg	0	root	_	_
2	in	in	P	APPR	Dat	1	pp	_	_
3	der	die	A	ART	Def|_|_|_	4	det	_	_
4	Sprach-	Sprach-	T	TRUNC	_|_|Sg	2	pn	_	_
5	,	,	$	$,	_	0	root	_	_
6	Rechts-	Rechts-	T	TRUNC	_|_|Sg	4	kon	_	_
7	,	,	$	$,	_	0	root	_	_
8	Meß-	Meß-	T	TRUNC	_|_|Sg	6	kon	_	_
9	und	und	K	KON	_	8	kon	_	_
10	Altertumskunde	Altertumskunde	N	NN	_|_|Sg	9	cj	_	_
11	)	)	$	$(	_	0	root	_	_
12	,	,	$	$,	_	0	root	_	_
13	da	da	K	KOUS	_	0	root	_	_
14	jag	jag	N	NE	_	0	root	_	_
15	'	'	$	$(	_	0	root	_	_
16	ich	ich	P	PPER	1|Sg|_|Nom	0	root	202	202
17	nur	nur	A	ADV	_	19	adv	_	_
18	dem	die	A	ART	Def|Masc|Dat|Sg	19	det	_	_
19	Autor	Autor	N	NN	Masc|Dat|Sg	0	root	_	_
20	nach	nach	P	PTKVZ	_	0	root	_	_
21	,	,	$	$,	_	0	root	_	_
22	d.	d.	P	PDS	_	23	obja	_	_
23	h.	h.	V	VVFIN	_	0	root	_	_
24	dem	die	A	ART	Def|Neut|Dat|Sg	25	det	6	6
25	Buch	Buch	N	NN	Neut|Dat|Sg	23	objd	6	6
26	.	.	$	$.	_	0	root	_	_

1	Allerdings	allerdings	A	ADV	_	2	adv	_	_
2	kann	können	V	VMFIN	3|Sg|Pres|Ind	0	root	_	_
3	man	man	P	PIS	_|Nom|Sg	2	subj	_	_
4	einen	eine	A	ART	Indef|Masc|Acc|Sg	5	det	_	_
5	Gelehrten	Gelehrte	N	NN	Masc|Acc|Sg	6	obja	_	_
6	aufsuchen	aufsuchen	V	VVINF	_	2	aux	_	_
7	-	-	$	$(	_	0	root	_	_
8	wie	wie	P	PWAV	_	0	root	_	_
9	ich	ich	P	PPER	1|Sg|_|Nom	0	root	202	202
10	wirklich	wirklich	A	ADJD	Pos|	12	adv	205	205
11	den	die	A	ART	Def|_|_|_	12	det	205	205
12	Spezial	Spezial	N	NN	_|_|_	0	root	205	205
13	Zeitmann	Zeitmann	N	NE	_|_|Sg	12	app	205	205
14	-	-	$	$(	_	0	root	_	_
15	,	,	$	$,	_	0	root	_	_
16	aber	aber	K	KON	_	0	root	_	_
