1	O	O	N	NN	Neut|_|_	0	root	1063	1063
18	Andanten-Schlag	Andanten-Schlag	N	NN	Masc|Nom|Sg	15	subj	1632	1632
19	gegen	gegen	P	APPR	Acc	18	pp	1632	1632
20	das	die	A	ART	Def|Neut|Acc|Sg	21	det	1632	1632
21	Fötus-Prestissimo	Fötus-Prestissimo	N	NN	Neut|Acc|Sg	19	pn	1248	1248
22	-	-	$	$(	_	0	root	_	_
23	man	man	P	PIS	_|Nom|Sg	24	subj	_	_
24	nehme	nehmen	V	VVFIN	3|Sg|Pres|Subj	15	kon	_	_
25	z.	z.	P	APPRART	_	0	root	_	_

1	B.	B.	N	NN	Masc|_|Sg	0	root	42	42
2	meines	meine	A	PPOSAT	_|Gen|Sg	0	root	1248	1248
3	-	-	$	$(	_	0	root	_	_
4	:	\:	$	$.	_	0	root	_	_
5	so	so	A	ADV	_	6	adv	_	_
6	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
7	leicht	leicht	A	ADJD	Pos|	8	adv	_	_
8	begreiflich	begreiflich	A	ADJD	_	6	pred	_	_
9	(	(	$	$(	_	0	root	_	_
10	da	da	K	KOUS	_	18	konj	_	_
11	das	die	A	ART	Def|Neut|Nom|Sg	13	det	_	_
12	körperliche	körperlich	A	ADJA	Pos|Neut|Nom|Sg|Wk|	13	attr	_	_
13	Herz	Herz	N	NN	Neut|Nom|Sg	18	subj	_	_
14	die	die	A	ART	Def|Fem|Nom|Sg	15	det	_	_
15	Kapsel	Kapsel	N	NN	Fem|Nom|Sg	18	pred	_	_
16	des	die	A	ART	Def|_|Gen|Sg	17	det	_	_
17	geistigen	geistig	A	ADJA	_|Gen|Sg	15	gmod	_	_
18	ist	sein	V	VAFIN	3|Sg|Pres|Ind	6	neb	_	_
19	)	)	$	$(	_	0	root	_	_
20	,	,	$	$,	_	0	root	_	_
21	wie	wie	P	PWAV	_	25	adv	_	_
22	ich	ich	P	PPER	1|Sg|_|Nom	25	subj	1248	1248
23	jetzo	jetzo	A	ADV	_	25	adv	_	_
24	imstande	imstande	A	ADJD	_	25	pred	_	_
25	bin	sein	V	VAFIN	1|Sg|Pres|Ind	18	objc	_	_
26	,	,	$	$,	_	0	root	_	_
27	gegen	gegen	P	APPR	Acc	33	pp	_	_
28	ganze	ganz	A	ADJA	Pos|Neut|Acc|Pl|St|	29	attr	_	_
29	Menschen-Regimenter	Menschen-Regiment	N	NN	Neut|Acc|Pl	27	pn	_	_
30	entschieden	entschieden	A	ADJD	Pos|	33	adv	_	_
31	kühl	kühl	A	ADJD	Pos|	33	pred	_	_
32	zu	zu	P	PTKZU	_	33	part	_	_
33	sein	sein	V	VAINF	_	25	obji	_	_
34	-	-	$	$(	_	0	root	_	_
35	gegen	gegen	P	APPR	Acc	40	pp	_	_
36	einzelne	einzeln	A	ADJA	Pos|Neut|Acc|Pl|St|	37	attr	_	_
37	Individuen	Individuum	N	NN	Neut|Acc|Pl	35	pn	_	_
38	mich	ich	P	PRF	1|Sg|Acc	40	obja	_	_
39	zu	zu	P	PTKZU	_	40	part	_	_
40	erhitzen	erhitzen	V	VVINF	_	0	root	_	_
41	mit	mit	P	APPR	Dat	0	root	_	_
42	Zornfeuer	Zornfeuer	N	NN	Neut|Dat|Sg	41	pn	_	_
43	-	-	$	$(	_	0	root	_	_
44	viele	viele	P	PIS	_|_|_	49	obja	_	_
45	bei	bei	P	APPR	Dat	49	pp	_	_
46	den	die	A	ART	Def|Neut|Dat|Pl	47	det	1249	1249
47	Ohren	Ohr	N	NN	Neut|Dat|Pl	45	pn	1249	1249
48	zu	zu	P	PTKZU	_	49	part	_	_
49	nehmen	nehmen	V	VVINF	_	0	root	_	_
50	,	,	$	$,	_	0	root	_	_
51	ja	ja	A	ADV	_	56	adv	_	_
52	manche	manche	P	PIS	_|_|_	56	obja	_	_
53	hinter	hinter	P	APPR	Acc	56	pp	_	_
54	solche	solche	P	PIS	_|Acc|_	53	pn	_	_
55	zu	zu	P	PTKZU	_	56	part	_	_
56	schlagen	schlagen	V	VVINF	_	49	obji	_	_
57	.	.	$	$.	_	0	root	_	_

1	Ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
2	dies	dies	P	PDS	Neut|Nom|Sg	1	subj	_	_
3	aber	aber	A	ADV	_	2	adv	_	_
4	das	die	A	ART	Def|Neut|Nom|Sg	5	det	1250	1250
5	Herz	Herz	N	NN	Neut|Nom|Sg	1	pred	1250	1250
6	,	,	$	$,	_	0	root	1250	1250
7	das	die	P	PRELS	Neut|_|Sg	11	obja	1250	1250
8	sich	sie	P	PRF	3|_|Dat	11	objd	_	_
9	ein	eine	A	ART	Indef|Masc|Nom|Sg	10	det	_	_
10	Fötus	Fötus	N	NN	Masc|Nom|Sg	11	subj	_	_
11	verspricht	versprechen	V	VVFIN	3|Sg|Pres|Ind	5	rel	_	_
12	?	?	$	$.	_	0	root	_	_

1	Aber	aber	K	KON	_	0	root	_	_
2	ordentlich	ordentlich	A	ADJD	Pos|	1	cj	_	_
3	,	,	$	$,	_	0	root	_	_
4	als	als	K	KOKOM	_	5	konj	_	_
5	sollte	sollen	V	VMFIN	3|Sg|Past|_	0	root	_	_
6	ein	eine	A	ART	Indef|Masc|Nom|Sg	8	det	1251	1251
7	junger	jung	A	ADJA	Pos|Masc|Nom|Sg|St|	8	attr	1251	1251
8	Mensch	Mensch	N	NN	Masc|Nom|Sg	5	subj	1251	1251
9	im	in	P	APPRART	Dat	5	pp	_	_
10	Uterus	Uterus	N	NN	Masc|Dat|Sg	9	pn	1278	1278
11	überall	überall	A	ADV	_	9	adv	_	_
12	zum	zu	P	APPRART	Dat	5	pp	_	_
13	lügenden	lügend	A	ADJA	Pos|Masc|Dat|Sg|Wk|<PPRES	14	attr	_	_
14	Vor-Nativität-Steller	Vor-Nativität-Steller	N	NN	Masc|Dat|Sg	12	pn	_	_
15	seiner	seine	A	PPOSAT	_|_|_	0	root	1251	1251
16	selber	selber	A	ADV	_	0	root	_	_
17	werden	werden	V	VAINF	_	0	root	_	_
18	,	,	$	$,	_	0	root	_	_
19	nicht	nicht	P	PTKNEG	_	21	adv	_	_
20	einmal	einmal	A	ADV	_	21	adv	_	_
21	als	als	K	KOKOM	_	26	kom	_	_
22	diseur	diseur	F	FM	_	21	cj	_	_
23	de	de	F	FM	_	22	app	_	_
24	mauvaise	mauvaise	F	FM	_	23	app	_	_
25	aventure	aventure	F	FM	_	24	app	_	_
26	behält	behalten	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
27	er	er	P	PPER	3|Sg|Masc|Nom	26	subj	1251	1251
28	Recht	Recht	N	NN	Neut|_|Sg	26	obja	_	_
29	,	,	$	$,	_	0	root	_	_
30	sondern	sondern	K	KON	_	28	kon	_	_
31	weissagt	weissagt	N	NE	Neut|_|Sg	30	cj	1252	1252
32	,	,	$	$,	_	0	root	1252	1252
33	wie	wie	K	KOKOM	_	31	par	1252	1252
34	Jonas	Jona	N	NE	Masc|_|Sg	33	cj	1296	1296
35	,	,	$	$,	_	0	root	1296	1296
36	Böses	Böses	N	NN	Neut|_|Sg	34	app	1252	1252
37	,	,	$	$,	_	0	root	_	_
38	ohne	ohne	K	KOUI	_	40	konj	_	_
39	zu	zu	P	PTKZU	_	40	part	_	_
40	treffen	treffen	V	VVINF	_	26	neb	_	_
41	.	.	$	$.	_	0	root	_	_

1	Ich	ich	P	PPER	1|Sg|_|Nom	2	subj	1254	1254
2	halte	halten	V	VVFIN	1|Sg|Pres|_	0	root	_	_
3	mich	ich	P	PRF	1|Sg|Acc	2	obja	_	_
4	hier	hier	A	ADV	_	2	adv	_	_
5	nur	nur	A	ADV	_	2	adv	_	_
6	an	an	P	APPR	Acc	2	objp	_	_
7	das	die	A	ART	Def|Neut|Acc|Sg	10	det	1253	1253
8	bekannte	bekannt	A	ADJA	Pos|Neut|Acc|Sg|Wk|	10	attr	1253	1253
9	tierische	tierisch	A	ADJA	Pos|Neut|Acc|Sg|Wk|	10	attr	1253	1253
10	Schwänzchen	Schwänzchen	N	NN	Neut|Acc|Sg	6	pn	1253	1253
11	,	,	$	$,	_	0	root	_	_
12	das	die	P	PRELS	Neut|_|Sg	0	root	1253	1253
13	ich	ich	P	PPER	1|Sg|_|Nom	0	root	1254	1254
14	,	,	$	$,	_	0	root	_	_
15	wie	wie	K	KOKOM	_	0	root	_	_
16	alle	alle	A	PIDAT	Masc|_|Pl	17	det	_	_
17	Menschen	Mensch	N	NN	Masc|_|Pl	15	cj	_	_
18	,	,	$	$,	_	0	root	_	_
19	in	in	P	APPR	Dat	23	pp	_	_
20	den	die	A	ART	Def|Masc|Dat|Pl	22	det	_	_
21	ersten	erst	A	ADJA	_|Masc|Dat|Pl|_|	22	attr	_	_
22	Monaten	Monat	N	NN	Masc|Dat|Pl	19	pn	_	_
23	getragen3	getragen3	F	FM	Masc|_|Pl	17	app	_	_
24	)	)	$	$(	_	0	root	_	_
25	und	und	K	KON	_	0	root	_	_
26	das	die	P	PRELS	Neut|_|Sg	29	obja	1253	1253
27	man	man	P	PIS	_|Nom|Sg	29	subj	_	_
28	noch	noch	A	ADV	_	29	adv	_	_
29	findet	finden	V	VVFIN	3|Sg|Pres|Ind	25	cj	_	_
30	an	an	P	APPR	Dat	29	pp	_	_
31	mehr	mehr	A	PIAT	Neut|Dat|Pl	33	det	_	_
32	toten	toten	A	ADJA	_|Neut|Dat|Pl|_	33	attr	_	_
33	Exemplaren	Exemplar	N	NN	Neut|Dat|Pl	30	pn	_	_
34	in	in	P	APPR	_	29	pp	_	_
35	Wein-Geist	Wein-Geist	N	NN	Masc|_|Sg	34	pn	_	_
36	.	.	$	$.	_	0	root	_	_

1	Anfangs	anfangs	A	ADV	_	2	adv	_	_
2	will	wollen	V	VMFIN	3|Sg|Pres|Ind	0	root	_	_
3	ein	eine	A	ART	Indef|Masc|Nom|Sg	5	det	_	_
4	solcher	solche	A	PIDAT	Masc|Nom|Sg	5	attr	_	_
5	Exponent	Exponent	N	NN	Masc|Nom|Sg	2	subj	_	_
6	eines	eine	A	ART	Indef|Neut|Gen|Sg	7	det	_	_
7	Tiers	Tier	N	NN	Neut|Gen|Sg	5	gmod	_	_
8	-	-	$	$(	_	0	root	_	_
9	gleichsam	gleichsam	A	ADJD	_	12	adv	_	_
10	ein	eine	A	ART	Indef|Masc|Nom|Sg	12	det	_	_
11	prophezeiender	prophezeiend	A	ADJA	Pos|Masc|Nom|Sg|St|<PPRES	12	attr	_	_
12	Schwanzstern-Schweif	Schwanzstern-Schweif	N	NN	Masc|Nom|Sg	5	app	_	_
13	-	-	$	$(	_	0	root	_	_
14	einem	eine	A	ART	Indef|Masc|Dat|Sg	17	det	_	_
15	gebildeten	gebildet	A	ADJA	Pos|Masc|Dat|Sg|Wk|	17	attr	_	_
16	edeln	edeln	A	ADJA	_|Masc|Dat|Sg|_	17	attr	_	_
17	Fötus	Fötus	N	NN	Masc|Dat|Sg	2	objd	_	_
18	mit	mit	P	APPR	Dat	2	pp	_	_
19	Recht	Recht	N	NN	Neut|Dat|Sg	18	pn	620	620
20	nicht	nicht	P	PTKNEG	_	2	adv	_	_
21	in	in	P	APPR	Acc	2	objp	_	_
22	den	die	A	ART	Def|Masc|Acc|Sg	23	det	260	260
23	Kopf	Kopf	N	NN	Masc|Acc|Sg	21	pn	260	260
24	;	;	$	$.	_	0	root	_	_
25	dadurch	dadurch	P	PROAV	_	0	root	_	_
26	,	,	$	$,	_	0	root	_	_
27	durch	durch	P	APPR	Acc	0	root	_	_
28	den	die	A	ART	Def|Masc|Acc|Sg	29	det	_	_
29	Schweif	Schweif	N	NN	Masc|Acc|Sg	27	pn	_	_
30	-	-	$	$(	_	0	root	_	_
31	so	so	A	ADV	_	32	adv	_	_
32	mutmaßt	mutmaßen	V	VVFIN	3|Sg|Pres|Ind	29	par	_	_
33	der	die	A	ART	Def|Masc|Nom|Sg	34	det	1246	1246
34	Fötus	Fötus	N	NN	Masc|Nom|Sg	32	subj	1246	1246
35	vor	vor	P	APPR	Dat	32	pp	_	_
36	der	die	A	ART	Def|Fem|Dat|Sg	37	det	1203	1203
37	Hand	Hand	N	NN	Fem|Dat|Sg	35	pn	1203	1203
38	-	-	$	$(	_	0	root	_	_
39	häng	hängen	V	VVIMP	Sg	0	root	_	_
40	'	'	$	$(	_	0	root	_	_
41	er	er	P	PPER	3|Sg|Masc|Nom	0	root	1246	1246
42	ja	ja	A	ADV	_	44	adv	_	_
43	ordentlich	ordentlich	A	ADJD	Pos|	44	adv	_	_
44	mit	mit	P	APPR	Dat	0	root	_	_
45	der	die	A	ART	Def|Fem|Dat|Sg	47	det	_	_
46	geschwänzten	geschwänzt	A	ADJA	Pos|Fem|Dat|Sg|Wk|	47	attr	_	_
47	Affen-Innung	Affen-Innung	N	NN	Fem|Dat|Sg	44	pn	_	_
48	zusammen	zusammen	P	PTKVZ	_	0	root	_	_
49	,	,	$	$,	_	0	root	_	_
50	und	und	K	KON	_	0	root	_	_
51	es	es	P	PPER	3|Sg|Neut|Nom	52	subj	_	_
52	sei	sein	V	VAFIN	_|Sg|Pres|Subj	50	cj	_	_
53	so	so	A	ADV	_	54	adv	_	_
54	viel	viel	P	PIS	_	52	obja	_	_
55	,	,	$	$,	_	0	root	_	_
56	als	als	K	KOKOM	_	0	root	_	_
57	häng	häng	F	FM	_	56	cj	_	_
58	'	'	$	$(	_	0	root	_	_
59	er	er	P	PPER	3|Sg|Masc|Nom	0	root	1246	1246
60	das	die	A	ART	Def|Neut|_|Sg	61	det	_	_
61	Schweifchen	Schweifchen	N	NN	Neut|_|Sg	0	root	_	_
62	als	als	K	KOKOM	_	61	kom	_	_
63	Handwerks-	Handwerks-	T	TRUNC	Neut|_|_	62	cj	_	_
64	und	und	K	KON	_	63	kon	_	_
65	Handels-Zeichen	Handels-Zeichen	N	NN	Neut|_|_	64	cj	_	_
66	von	von	P	APPR	_	65	pp	_	_
67	Tier	Tier	F	FM	_|_|_	66	pn	_	_
68	et	et	F	FM	_|_|_	67	app	_	_
69	Compagnie	Compagnie	F	FM	_|_|_	68	app	_	_
70	aus	aus	P	PTKVZ	_	0	root	_	_
71	.	.	$	$.	_	0	root	_	_

1	Mich	ich	P	PPER	1|Sg|_|Acc	2	obja	1254	1254
2	dünkt	dünken	V	VVFIN	_|_|Pres|Ind	0	root	_	_
3	,	,	$	$,	_	0	root	_	_
4	der	die	A	ART	Def|Masc|Nom|Sg	7	det	1255	1255
5	junge	jung	A	ADJA	Pos|Masc|Nom|Sg|Wk|	7	attr	1255	1255
6	winzige	winzig	A	ADJA	Pos|Masc|Nom|Sg|Wk|	7	attr	1255	1255
7	Mensch	Mensch	N	NN	Masc|Nom|Sg	8	subj	1255	1255
8	kann	können	V	VMFIN	3|Sg|Pres|Ind	2	kon	_	_
9	,	,	$	$,	_	0	root	_	_
10	noch	noch	A	ADV	_	11	adv	_	_
11	so	so	A	ADV	_	12	adv	_	_
12	unbelesen	unbelesen	A	ADJD	Pos|	13	adv	_	_
13	in	in	P	APPR	Dat	8	pp	_	_
14	der	die	A	ART	Def|Fem|Dat|Sg	15	det	_	_
15	Naturgeschichte	Naturgeschichte	N	NN	Fem|Dat|Sg	13	pn	_	_
16	-	-	$	$(	_	0	root	_	_
17	von	von	P	APPR	_	25	pp	_	_
18	welcher	welche	P	PWS	_|_|_	17	pn	_	_
19	er	er	P	PPER	3|Sg|Masc|Nom	25	subj	1255	1255
20	weniger	weniger	A	ADV	_	22	adv	_	_
21	ein	eine	A	ART	Indef|Masc|Nom|Sg	22	det	_	_
22	Leser	Leser	N	NN	Masc|Nom|Sg	25	pred	_	_
23	als	als	K	KOKOM	_	22	kom	_	_
24	Paragraphus	Paragraphus	N	NN	_	23	cj	_	_
25	ist	sein	V	VAFIN	3|Sg|Pres|Ind	15	par	_	_
26	-	-	$	$(	_	0	root	_	_
27	und	und	K	KON	_	13	kon	_	_
28	bei	bei	P	APPR	Dat	27	cj	_	_
29	ebenso	ebenso	A	ADV	_	30	adv	_	_
30	kleiner	klein	A	ADJA	Pos|Fem|Dat|Sg|St|	31	attr	_	_
31	Weltkenntnis	Weltkenntnis	N	NN	Fem|Dat|Sg	28	pn	_	_
32	als	als	K	KOKOM	_	31	kom	_	_
33	großer	groß	A	ADJA	Pos|Fem|Dat|Sg|St|	34	attr	_	_
34	Unschuld	Unschuld	N	NN	Fem|_|Sg	32	cj	_	_
35	,	,	$	$,	_	0	root	_	_
36	aus	aus	P	APPR	Dat	8	pp	_	_
37	dem	die	A	ART	Def|Neut|Dat|Sg	38	det	1253	1253
38	Schwänzchen	Schwänzchen	N	NN	Neut|Dat|Sg	36	pn	1253	1253
39	nie	nie	A	ADV	_	8	adv	_	_
40	einen	eine	A	ART	Indef|Masc|Acc|Sg	42	det	_	_
41	andern	andern	A	ADJA	_|Masc|Acc|Sg|_	42	attr	_	_
42	Schluß	Schluß	N	NN	Masc|Acc|Sg	8	obja	_	_
43	ziehen	ziehen	V	VVINF	_	0	root	_	_
44	,	,	$	$,	_	0	root	_	_
45	als	als	K	KOKOM	_	0	root	_	_
46	daß	daß	K	KOUS	_	66	konj	_	_
47	der	die	A	ART	Def|Masc|Nom|Sg	49	det	1256	1256
48	tierische	tierisch	A	ADJA	Pos|Masc|Nom|Sg|Wk|	49	attr	1256	1256
49	Umschweif	Umschweif	N	NN	Masc|Nom|Sg	66	subj	1256	1256
50	oder	oder	K	KON	_	49	kon	1256	1256
51	Pavians	Pavian	N	NN	Masc|Gen|Sg	52	gmod	1256	1256
52	Namenzug	Namenzug	N	NN	Masc|Nom|Sg	50	cj	1256	1256
53	nur	nur	A	ADV	_	52	adv	1256	1256
54	gar	gar	A	ADV	_	56	adv	_	_
55	zu	zu	P	PTKA	_	56	adv	_	_
56	klar	klar	A	ADJD	Pos|	58	adv	_	_
57	seine	seine	A	PPOSAT	Fem|_|Sg	58	det	1256	1256
58	Erdenzukunft	Erdenzukunft	N	NN	Fem|_|Sg	65	obja	_	_
59	gleichsam	gleichsam	A	ADJD	_	65	adv	_	_
60	mit	mit	P	APPR	Dat	65	pp	_	_
61	einer	eine	A	ART	Indef|Fem|_|Sg	62	det	_	_
62	Titelblatt-	Titelblatt-	T	TRUNC	Fem|_|Sg	60	pn	_	_
63	oder	oder	K	KON	_	62	kon	_	_
64	Schlußvignette	Schlußvignette	N	NN	Fem|_|Sg	63	cj	_	_
65	ansagen	ansagen	V	VVINF	_	66	aux	_	_
66	wolle	wollen	V	VMFIN	3|Sg|Pres|Subj	0	root	_	_
67	.	.	$	$.	_	0	root	_	_

1	Ich	ich	P	PPER	1|Sg|_|Nom	2	subj	1254	1254
2	sehe	sehen	V	VVFIN	1|Sg|Pres|_	0	root	_	_
3	-	-	$	$(	_	0	root	_	_
4	sagt	sagen	V	VVFIN	3|Sg|Pres|Ind	2	par	_	_
5	der	die	A	ART	Def|Masc|Nom|Sg	7	det	1257	1257
6	stumme	stumm	A	ADJA	Pos|Masc|Nom|Sg|Wk|	7	attr	1257	1257
7	Fötus	Fötus	N	NN	Masc|Nom|Sg	4	subj	1257	1257
8	-	-	$	$(	_	0	root	_	_
9	,	,	$	$,	_	0	root	_	_
10	daß	daß	K	KOUS	_	22	konj	_	_
11	ich	ich	P	PPER	1|Sg|_|Nom	22	subj	1254	1254
12	diesen	diese	A	PDAT	Masc|Acc|Sg	13	det	_	_
13	End-Reim	End-Reim	N	NN	Masc|Acc|Sg	22	obja	_	_
14	(	(	$	$(	_	0	root	_	_
15	bout	bout	F	FM	Masc|Acc|Sg	13	app	_	_
16	rimé	rimé	F	FM	Masc|Acc|Sg	15	app	_	_
17	)	)	$	$(	_	0	root	_	_
18	hinter	hinter	P	APPR	Dat	15	pp	_	_
19	mir	ich	P	PRF	1|Sg|Dat	18	pn	_	_
20	an	an	P	APPR	Dat	22	pp	_	_
21	mir	ich	P	PPER	1|Sg|_|Dat	20	pn	1256	1256
22	habe	haben	V	VAFIN	1|Sg|Pres|_	2	objc	_	_
23	,	,	$	$,	_	0	root	_	_
24	damit	damit	K	KOUS	_	28	konj	_	_
25	ich	ich	P	PPER	1|Sg|_|Nom	28	subj	1254	1254
26	ihn	er	P	PPER	3|Sg|Masc|Acc	27	obja	1257	1257
27	ausfüllen	ausfüllen	V	VVINF	_	28	aux	_	_
28	soll	sollen	V	VMFIN	1|Sg|Pres|Ind	22	neb	_	_
29	mit	mit	P	APPR	Dat	27	pp	_	_
30	passenden	passend	A	ADJA	Pos|Masc|Dat|_|_|_	31	attr	_	_
31	Gedanken	Gedanke	N	NN	Masc|Dat|_	29	pn	_	_
32	nach	nach	P	APPR	Dat	27	pp	_	_
33	meiner	meine	A	PPOSAT	Fem|Dat|Sg	34	det	1254	1254
34	Geburt	Geburt	N	NN	Fem|Dat|Sg	32	pn	_	_
35	;	;	$	$.	_	0	root	_	_
36	und	und	K	KON	_	0	root	_	_
37	der	die	A	ART	Def|Masc|_|_	38	det	_	_
38	Teufel	Teufel	N	NN	Masc|_|_	36	cj	_	_
39	hol	hol	F	FM	Masc|_|_	38	app	_	_
40	'	'	$	$(	_	0	root	_	_
41	es	es	P	PPER	3|Sg|Neut|_	0	root	_	_
42	!	!	$	$.	_	0	root	_	_

1	Freilich	freilich	A	ADV	_	2	adv	_	_
2	nimmt	nehmen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
3	später	spät	A	ADJD	_|	2	adv	_	_
4	jeder	jede	A	PIDAT	Masc|Nom|Sg	6	det	1259	1259
5	sittliche	sittlich	A	ADJA	Pos|Masc|Nom|Sg|Wk|	6	attr	1259	1259
6	Fötus	Fötus	N	NN	Masc|Nom|Sg	2	subj	1259	1259
7	-	-	$	$(	_	0	root	_	_
8	und	und	K	KON	_	6	kon	_	_
9	wer	wer	P	PWS	_|Nom|Sg	8	cj	_	_
10	von	von	P	APPR	Dat	2	pp	_	_
11	uns	wir	P	PPER	1|Pl|_|Dat	10	pn	1261	1261
12	bleibt	bleiben	V	VVFIN	_|_|Pres|Ind	0	root	_	_
13	nicht	nicht	P	PTKNEG	_	12	adv	_	_
14	einer	eine	A	ART	Indef|Fem|_|Sg	0	root	_	_
15	nach	nach	P	APPR	Dat	0	root	_	_
16	der	die	A	ART	Def|Fem|Dat|Sg	17	det	1258	1258
17	Geburt	Geburt	N	NN	Fem|Dat|Sg	15	pn	1258	1258
18	-	-	$	$(	_	0	root	_	_
19	das	die	A	ART	Def|Neut|_|Sg	20	det	_	_
20	Rückgratschwänzchen	Rückgratschwänzchen	N	NN	Neut|_|Sg	0	root	_	_
21	als	als	K	KOKOM	_	20	kom	_	_
22	Unehren-Bogen	Unehren-Bogen	N	NN	Masc|_|_	21	cj	_	_
23	zurück	zurück	P	PTKVZ	_	0	root	_	_
24	(	(	$	$(	_	0	root	_	_
25	wie	wie	K	KOKOM	_	0	root	_	_
26	der	die	A	ART	Def|Masc|Nom|Sg	28	det	_	_
27	reifende	reifend	A	ADJA	Pos|Masc|Nom|Sg|Wk|<PPRES	28	attr	_	_
28	Frosch	Frosch	N	NN	Masc|Nom|Sg	25	cj	_	_
29	das	die	P	PDS	Neut|_|Sg	0	root	_	_
30	seinige	seinige	A	PPOSAT	_|_|_	0	root	1259	1259
31	in	in	P	APPR	Acc	33	pp	_	_
32	Hinterfüße	Hinterfuß	N	NN	Masc|Acc|Pl	31	pn	_	_
33	verwandelt	verwandeln	V	VVPP	_	0	root	_	_
34	)	)	$	$(	_	0	root	_	_
35	und	und	K	KON	_	0	root	_	_
36	zieht	zeihen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
37	dieses	diese	A	PDAT	Neut|Nom|Sg	39	det	_	_
38	verhaßte	verhaßt	A	ADJA	Pos|Neut|Nom|Sg|Wk|	39	attr	_	_
39	Bierzeichen	Bierzeichen	N	NN	Neut|Nom|Sg	36	subj	_	_
40	des	die	A	ART	Def|Neut|Gen|Sg	41	det	600	600
41	Tiers	Tier	N	NN	Neut|Gen|Sg	39	gmod	600	600
42	,	,	$	$,	_	0	root	_	_
43	wie	wie	P	PWAV	_	0	root	_	_
44	ein	eine	A	ART	Indef|_|_|Sg	45	det	_	_
45	Mönch-Kloster	Mönch-Kloster	N	NN	_|_|Sg	0	root	_	_
46	,	,	$	$,	_	0	root	_	_
47	ein	ein	P	PTKVZ	_	0	root	_	_
48	und	und	K	KON	_	0	root	_	_
49	kleidets	kleidets	T	TRUNC	_	0	root	_	_
50	in	in	P	APPR	_	0	root	_	_
51	Fleisch	Fleisch	N	NN	Neut|_|Sg	50	pn	573	573
52	.	.	$	$.	_	0	root	_	_

1	Wird	werden	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
2	also	also	A	ADV	_	4	adv	1260	1260
3	ein	eine	A	ART	Indef|_|Nom|Sg	4	det	1260	1260
4	Mensch	Mensch	N	NN	_|Nom|Sg	1	subj	1260	1260
5	später	spät	A	ADJD	_|	1	pred	_	_
6	,	,	$	$,	_	0	root	_	_
7	wenn	wenn	K	KOUS	_	10	konj	_	_
8	er	er	P	PPER	3|Sg|Masc|Nom	10	subj	1260	1260
9	geboren	gebären	V	VVPP	_	10	aux	_	_
10	ist	sein	V	VAFIN	3|Sg|Pres|Ind	1	neb	_	_
11	,	,	$	$,	_	0	root	_	_
12	ein	eine	A	ART	Indef|Masc|Nom|Sg	15	det	_	_
13	wahrer	wahr	A	ADJA	Pos|Masc|Nom|Sg|St|	15	attr	_	_
14	geschwänzter	geschwänzt	A	ADJA	Pos|Masc|Nom|Sg|St|	15	attr	_	_
15	Pavian	Pavian	N	NN	Masc|Nom|Sg	0	root	_	_
16	im	in	P	APPRART	Dat	15	pp	_	_
17	Leben	Leben	N	NN	Neut|Dat|_	16	pn	541	541
18	:	\:	$	$.	_	0	root	_	_
19	so	so	A	ADV	_	20	adv	_	_
20	setzt	setzen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
21	er	er	P	PPER	3|Sg|Masc|Nom	20	subj	1260	1260
22	nur	nur	A	ADV	_	20	adv	_	_
23	seine	seine	A	PPOSAT	Fem|_|Sg	24	det	1260	1260
24	Unschuld	Unschuld	N	NN	Fem|_|Sg	20	obja	_	_
25	fort	fort	P	PTKVZ	_	20	avz	_	_
26	,	,	$	$,	_	0	root	_	_
27	nicht	nicht	P	PTKNEG	_	29	adv	_	_
28	die	die	A	ART	Def|_|_|_	29	det	_	_
29	kindliche	kindlich	A	ADJA	_|_|_	0	root	_	_
30	,	,	$	$,	_	0	root	_	_
31	sondern	sondern	K	KON	_	29	kon	_	_
32	die	die	A	ART	Def|_|_|_	33	det	_	_
33	embryonische	embryonische	N	NN	_|_|_	31	cj	_	_
34	.	.	$	$.	_	0	root	_	_

1	Wir	wir	P	PPER	1|Pl|_|Nom	2	subj	1261	1261
2	kehren	kehren	V	VVFIN	1|Pl|Pres|_	0	root	_	_
3	aber	aber	A	ADV	_	2	adv	_	_
4	lieber	lieb	A	ADJD	Comp|	2	adv	_	_
5	wieder	wieder	A	ADV	_	2	adv	_	_
6	in	in	P	APPR	_	2	pp	_	_
7	Mutterleib	Mutterleib	N	NN	Masc|_|Sg	6	pn	1262	1262
8	zurück	zurück	P	PTKVZ	_	2	avz	_	_
9	.	.	$	$.	_	0	root	_	_

1	Bedenk	bedenken	V	VVIMP	Sg	0	root	_	_
2	'	'	$	$(	_	0	root	_	_
3	ich	ich	P	PPER	1|Sg|_|Nom	0	root	1263	1263
4	nun	nun	A	ADV	_	3	adv	_	_
5	,	,	$	$,	_	0	root	_	_
6	wie	wie	P	PWAV	_	15	adv	_	_
7	damals	damals	A	ADV	_	15	adv	_	_
8	und	und	K	KON	_	7	kon	_	_
9	allda	allda	A	ADV	_	8	cj	_	_
