1	Schafft	schaffen	V	VVIMP	Pl	0	root	_	_
26	heute	heute	A	ADV	_	31	adv	_	_
27	morgen	morgen	A	ADV	_	31	adv	_	_
28	durch	durch	P	APPR	Acc	31	pp	_	_
29	meinen	meine	A	PPOSAT	_|Acc|_	30	det	784	784
30	Famulus	Famulus	N	NN	_|Acc|_	28	pn	785	785
31	habe	haben	V	VAFIN	1|Sg|Pres|_	21	objc	_	_
32	ersuchen	ersuchen	V	VVINF	_	33	obji	_	_
33	lassen	lassen	V	VVINF	_	31	aux	_	_
34	,	,	$	$,	_	0	root	_	_
35	einen	eine	A	ART	Indef|Masc|Acc|Sg	36	det	_	_
36	Spaziergang	Spaziergang	N	NN	Masc|Acc|Sg	39	obja	_	_
37	hieher	hieher	A	ADJD	_	39	pred	_	_
38	zu	zu	P	PTKZU	_	39	part	_	_
39	machen	machen	V	VVINF	_	33	obji	_	_
40	und	und	K	KON	_	0	root	_	_
41	ihr	ihre	A	PPOSAT	_|_|Sg	40	cj	785	785
42	mit	mit	P	APPR	Dat	47	pp	_	_
43	einem	eine	A	ART	Indef|Neut|Dat|Sg	45	det	_	_
44	schlechten	schlecht	A	ADJA	Pos|Neut|Dat|Sg|Wk|	45	attr	_	_
45	Mittagsmahl	Mittagsmahl	N	NN	Neut|Dat|Sg	42	pn	_	_
46	vorliebgenommen	vorliebgenommen	A	ADJD	Pos|	47	adv	_	_
47	habt	haben	V	VAFIN	2|Pl|Pres|Ind	0	root	_	_
48	,	,	$	$,	_	0	root	_	_
49	auch	auch	A	ADV	_	50	adv	_	_
50	auf	auf	P	APPR	Acc	59	pp	_	_
51	meine	meine	A	PPOSAT	Fem|Acc|Sg	52	det	784	784
52	Bitte	Bitte	N	NN	Fem|Acc|Sg	50	pn	_	_
53	bei	bei	P	APPR	Dat	52	pp	_	_
54	mir	ich	P	PPER	1|Sg|_|Dat	53	pn	784	784
55	auf	auf	P	APPR	Acc	54	pp	_	_
56	die	die	A	ART	Def|Fem|Acc|Sg	57	det	291	291
57	Nacht	Nacht	N	NN	Fem|Acc|Sg	55	pn	291	291
58	jetzt	jetzt	A	ADV	_	55	adv	_	_
59	bleibt	bleiben	V	VVFIN	_|_|Pres|Ind	0	root	_	_
60	,	,	$	$,	_	0	root	_	_
61	dafür	dafür	P	PROAV	_	62	pp	_	_
62	sage	sagen	V	VVFIN	1|Sg|Pres|_	59	kon	_	_
63	ich	ich	P	PPER	1|Sg|_|Nom	62	subj	784	784
64	euch	ihr	P	PPER	2|Pl|_|Dat	62	objd	_	_
65	schuldigen	schuldig	A	ADJA	Pos|Masc|_|Sg|_|	66	attr	_	_
66	Dank	Dank	N	NN	Masc|_|Sg	62	obja	_	_
67	.	.	$	$.	_	0	root	_	_

1	Wisset	wissen	V	VVFIN	2|Pl|Pres|Subj	0	root	_	_
2	aber	aber	A	ADV	_	1	adv	_	_
3	zugleich	zugleich	A	ADV	_	1	adv	_	_
4	,	,	$	$,	_	0	root	_	_
5	dass	dass	K	KOUS	_	10	konj	_	_
6	es	es	P	PPER	3|Sg|Neut|Nom	10	subj	_	_
7	nur	nur	A	ADV	_	9	adv	_	_
8	deshalb	deshalb	P	PROAV	_	9	pp	_	_
9	geschehen	geschehen	V	VVPP	_	10	aux	_	_
10	ist	sein	V	VAFIN	3|Sg|Pres|Ind	1	objc	_	_
11	,	,	$	$,	_	0	root	_	_
12	um	um	K	KOUI	_	15	konj	_	_
13	euch	ihr	P	PRF	2|Pl|_	15	obja	_	_
14	zu	zu	P	PTKZU	_	15	part	_	_
15	verkünden	verkünden	V	VVINF	_	10	neb	_	_
16	,	,	$	$,	_	0	root	_	_
17	dass	dass	K	KOUS	_	0	root	_	_
18	ich	ich	P	PPER	1|Sg|_|Nom	0	root	784	784
19	mich	ich	P	PRF	1|Sg|Acc	0	root	_	_
20	von	von	P	APPR	_	0	root	_	_
21	meiner	meine	A	PPOSAT	Fem|_|Sg	22	det	784	784
22	Jugend	Jugend	N	NN	Fem|_|Sg	20	pn	_	_
23	an	an	P	PTKVZ	_	0	root	_	_
24	mit	mit	P	APPR	Dat	32	pp	_	_
25	allem	alle	A	PIDAT	Masc|Dat|Sg	26	det	_	_
26	Fleiss	Fleiss	N	NN	Masc|Dat|Sg	24	pn	_	_
27	und	und	K	KON	_	26	kon	_	_
28	Ernst	Ernst	N	NE	_|Dat|Sg	27	cj	196	196
29	auf	auf	P	APPR	Acc	32	objp	_	_
30	die	die	A	ART	Def|Fem|Acc|Sg	31	det	265	265
31	Schwarzkunst	Schwarzkunst	N	NN	Fem|Acc|Sg	29	pn	265	265
32	gelegt	legen	V	VVPP	_	33	aux	_	_
33	habe	haben	V	VAFIN	_|Sg|Pres|_	0	root	_	_
34	,	,	$	$,	_	0	root	_	_
35	während	während	K	KOUS	_	45	konj	_	_
36	ich	ich	P	PPER	1|Sg|_|Nom	45	subj	784	784
37	von	von	P	APPR	Dat	44	pp	_	_
38	Gott	Gott	N	NN	Masc|Dat|Sg	37	pn	57	57
39	mit	mit	P	APPR	Dat	44	pp	_	_
40	einem	eine	A	ART	Indef|Masc|Dat|Sg	42	det	_	_
41	guten	gut	A	ADJA	Pos|Masc|Dat|Sg|Wk|	42	attr	_	_
42	Verstand	Verstand	N	NN	Masc|Dat|Sg	39	pn	_	_
43	begabt	begabt	A	ADJD	Pos|	44	pred	_	_
44	gewesen	sein	V	VAPP	_	45	aux	_	_
45	bin	sein	V	VAFIN	1|Sg|Pres|Ind	33	neb	_	_
46	.	.	$	$.	_	0	root	_	_

1	Jedoch	jedoch	K	KON	_	0	root	_	_
2	war	sein	V	VAFIN	1|Sg|Past|Ind	1	cj	_	_
3	ich	ich	P	PPER	1|Sg|_|Nom	2	subj	784	784
4	mit	mit	P	APPR	Dat	2	pp	_	_
5	dieser	diese	A	PDAT	Fem|Dat|Sg	6	det	_	_
6	Gabe	Gabe	N	NN	Fem|Dat|Sg	4	pn	_	_
7	nicht	nicht	P	PTKNEG	_	2	adv	_	_
8	zufrieden	zufrieden	A	ADJD	Pos|	2	pred	_	_
9	,	,	$	$,	_	0	root	_	_
10	sondern	sondern	K	KON	_	2	kon	_	_
11	wollte	wollen	V	VMFIN	_|Sg|Past|_	10	cj	_	_
12	viel	viel	A	ADV	_	13	adv	_	_
13	höher	hoch	A	ADJD	Comp|	14	adv	_	_
14	steigen	steigen	V	VVINF	_	11	aux	_	_
15	und	und	K	KON	_	14	kon	_	_
16	über	über	P	APPR	Acc	18	objp	_	_
17	andere	andere	P	PIS	_|Acc|_	16	pn	_	_
18	hinauskommen	hinauskommen	V	VVINF	_	15	cj	_	_
19	.	.	$	$.	_	0	root	_	_

1	Ich	ich	P	PPER	1|Sg|_|Nom	2	subj	784	784
2	bin	sein	V	VAFIN	1|Sg|Pres|Ind	0	root	_	_
3	mit	mit	P	APPR	Dat	8	pp	_	_
4	der	die	A	ART	Def|Fem|Dat|Sg	5	det	46	46
5	Zeit	Zeit	N	NN	Fem|Dat|Sg	3	pn	46	46
6	so	so	A	ADV	_	7	adv	_	_
7	hoch	hoch	A	ADJD	Pos|	8	adv	_	_
8	gekommen	kommen	V	VVPP	_	2	aux	_	_
9	,	,	$	$,	_	0	root	_	_
10	dass	dass	K	KOUS	_	0	root	_	_
11	ich	ich	P	PPER	1|Sg|_|Nom	0	root	784	784
12	einen	eine	A	ART	Indef|Masc|Acc|Sg	0	root	_	_
13	unter	unter	P	APPR	_	21	pp	_	_
14	den	die	A	ART	Def|Masc|_|_	16	det	483	483
15	allergelehrtesten	allergelehrt	A	ADJA	Sup|Masc|_|_|_|	16	attr	483	483
16	Geistern	Geist	N	NN	Masc|_|_	13	pn	483	483
17	,	,	$	$,	_	0	root	483	483
18	namens	namens	P	APPR	_	16	pp	483	483
19	Mephistopheles	Mephistopheles	N	NE	_|_|_	18	pn	78	78
20	,	,	$	$,	_	0	root	_	_
21	erlangt	erlangen	V	VVPP	_	22	aux	_	_
22	habe	haben	V	VAFIN	_|Sg|Pres|_	0	root	_	_
23	.	.	$	$.	_	0	root	_	_

1	Jedoch	jedoch	K	KON	_	4	koord	_	_
2	solche	solche	A	PIDAT	Fem|Nom|Sg	3	det	_	_
3	Vermessenheit	Vermessenheit	N	NN	Fem|Nom|Sg	4	subj	_	_
4	geriet	geraten	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
5	mir	ich	P	PPER	1|Sg|_|Dat	4	objd	784	784
6	bald	bald	A	ADV	_	4	adv	_	_
7	zum	zu	P	APPRART	Dat	4	objp	_	_
8	Bösen	Böse	N	NN	_|Dat|_	7	pn	714	714
9	und	und	K	KON	_	7	kon	_	_
10	zu	zu	P	APPR	Dat	9	cj	_	_
11	einem	eine	A	ART	Indef|Masc|Dat|Sg	13	det	786	786
12	solchen	solche	A	PIDAT	Masc|Dat|Sg	13	attr	786	786
13	Fall	Fall	N	NN	Masc|Dat|Sg	10	pn	786	786
14	,	,	$	$,	_	0	root	_	_
15	wie	wie	P	PWAV	_	0	root	_	_
16	er	er	P	PPER	3|Sg|Masc|Nom	0	root	786	786
17	dem	die	A	ART	Def|Masc|Dat|Sg	18	det	567	567
18	Luzifer	Luzifer	N	NN	Masc|Dat|Sg	20	objd	567	567
19	selber	selber	A	ADV	_	20	adv	_	_
20	widerfahren	widerfahren	V	VVFIN	_|Pl|Pres|_	0	root	_	_
21	,	,	$	$,	_	0	root	_	_
22	da	da	K	KOUS	_	32	konj	_	_
23	er	er	P	PPER	3|Sg|Masc|Nom	32	subj	786	786
24	wegen	wegen	P	APPR	_	30	pp	_	_
25	seiner	seine	A	PPOSAT	Fem|_|Sg	26	det	786	786
26	Hoffart	Hoffart	N	NN	Fem|_|Sg	24	pn	_	_
27	aus	aus	P	APPR	Dat	30	pp	_	_
28	dem	die	A	ART	Def|Masc|Dat|Sg	29	det	122	122
29	Himmel	Himmel	N	NN	Masc|Dat|Sg	27	pn	122	122
30	verstossen	verstoßen	V	VVPP	_	31	aux	_	_
31	worden	werden	V	VAPP	_	32	aux	_	_
32	ist	sein	V	VAFIN	3|Sg|Pres|Ind	20	neb	_	_
33	.	.	$	$.	_	0	root	_	_

1	Denn	denn	K	KON	_	0	root	_	_
2	als	als	K	KOUS	_	0	root	_	_
3	der	die	A	ART	Def|Masc|Nom|Sg	4	det	_	_
4	Satan	Satan	N	NN	Masc|Nom|Sg	0	root	_	_
5	mit	mit	P	APPR	Dat	4	pp	_	_
6	allem	alle	P	PIS	_|Dat|Sg	5	pn	_	_
7	meinem	meine	A	PPOSAT	_|Dat|Sg	0	root	784	784
8	Vorhaben	Vorhaben	N	NN	Neut|Nom|Sg	11	subj	_	_
9	mir	ich	P	PPER	1|Sg|_|Dat	11	objd	784	784
10	willig	willig	A	ADJD	Pos|	11	pred	_	_
11	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
12	,	,	$	$,	_	0	root	_	_
13	verlangte	verlangen	V	VVFIN	3|Sg|Past|_	0	root	_	_
14	er	er	P	PPER	3|Sg|Masc|Nom	13	subj	786	786
15	zuletzt	zuletzt	A	ADV	_	13	adv	_	_
16	von	von	P	APPR	Dat	13	pp	_	_
17	mir	ich	P	PPER	1|Sg|_|Dat	16	pn	784	784
18	,	,	$	$,	_	0	root	_	_
19	dass	dass	K	KOUS	_	0	root	_	_
20	ich	ich	P	PPER	1|Sg|_|Nom	0	root	784	784
21	einen	eine	A	ART	Indef|Masc|Acc|Sg	22	det	_	_
22	Bund	Bund	N	NN	Masc|Acc|Sg	25	obja	_	_
23	mit	mit	P	APPR	Dat	25	pp	_	_
24	ihm	er	P	PPER	3|Sg|_|Dat	23	pn	786	786
25	schliessen	schließen	V	VVFIN	_|Pl|Pres|_	0	root	_	_
26	und	und	K	KON	_	25	kon	_	_
27	mich	ich	P	PRF	1|Sg|Acc	33	obja	_	_
28	mit	mit	P	APPR	Dat	33	pp	_	_
29	meinem	meine	A	PPOSAT	Neut|Dat|Sg	31	det	784	784
30	eigenen	eigen	A	ADJA	Pos|Neut|Dat|Sg|Wk|	31	attr	_	_
31	Blut	Blut	N	NN	Neut|Dat|Sg	28	pn	_	_
32	ihm	er	P	PPER	3|Sg|_|Dat	33	objd	786	786
33	verschreiben	verschreiben	V	VVINF	_	34	aux	_	_
34	müsse	müssen	V	VMFIN	_|Sg|Pres|Subj	26	cj	_	_
35	.	.	$	$.	_	0	root	_	_

1	Nach	nach	P	APPR	Dat	6	pp	_	_
2	Verlauf	Verlauf	N	NN	Masc|Dat|Sg	1	pn	_	_
3	von	von	P	APPR	Dat	2	pp	_	_
4	vierundzwanzig	vierundzwanzig	C	CARD	_	5	attr	_	_
5	Jahren	Jahr	N	NN	Neut|Dat|Pl	3	pn	_	_
6	sollte	sollen	V	VMFIN	1|Sg|Past|_	0	root	_	_
7	ich	ich	P	PPER	1|Sg|_|Nom	6	subj	784	784
8	ihm	er	P	PPER	3|Sg|_|Dat	13	objd	786	786
9	mit	mit	P	APPR	Dat	13	pp	_	_
10	Leib	Leib	N	NN	Masc|Dat|Sg	9	pn	131	131
11	und	und	K	KON	_	10	kon	_	_
12	Seele	Seele	N	NN	Fem|Dat|Sg	11	cj	132	132
13	gehören	gehören	V	VVINF	_	6	aux	_	_
14	,	,	$	$,	_	0	root	_	_
15	dazu	dazu	P	PROAV	_	25	pp	_	_
16	Gott	Gott	N	NN	Masc|Dat|Sg	25	objd	_	_
17	,	,	$	$,	_	0	root	_	_
18	der	die	A	ART	Def|Fem|Dat|Sg	20	det	791	791
19	Heiligen	heilig	A	ADJA	Pos|Fem|Dat|Sg|Wk|	20	attr	791	791
20	Dreifaltigkeit	Dreifaltigkeit	N	NN	Fem|Dat|Sg	16	kon	791	791
21	und	und	K	KON	_	20	kon	_	_
22	allem	alle	P	PIS	_|Dat|Sg	21	cj	_	_
23	himmlischen	himmlischen	A	ADJA	_|Neut|Dat|Sg|_	24	attr	_	_
24	Heer	Heer	N	NN	Neut|Dat|Sg	22	app	_	_
25	abschwören	abschwören	V	VVINF	_	13	kon	_	_
26	.	.	$	$.	_	0	root	_	_

1	Gott	Gott	N	NN	Masc|_|Sg	9	obja	57	57
2	sollte	sollen	V	VMFIN	1|Sg|Past|_	0	root	_	_
3	ich	ich	P	PPER	1|Sg|_|Nom	2	subj	784	784
4	nimmermehr	nimmermehr	A	ADV	_	9	adv	_	_
5	in	in	P	APPR	Dat	9	pp	_	_
6	Nöten	Not	N	NN	Fem|Dat|Pl	5	pn	787	787
7	und	und	K	KON	_	6	kon	_	_
8	Anliegen	Anliegen	N	NN	Neut|Dat|_	7	cj	_	_
9	anrufen	anrufen	V	VVINF	_	2	aux	_	_
10	,	,	$	$,	_	0	root	_	_
11	auch	auch	A	ADV	_	12	adv	_	_
12	alle	alle	A	PIDAT	_|_|_	0	root	_	_
13	diejenigen	diejenige	P	PDS	_|_|Pl	14	obja	_	_
14	anfeinden	anfeinden	V	VVINF	_	0	root	_	_
15	,	,	$	$,	_	0	root	_	_
16	die	die	P	PRELS	_|Nom|Pl	22	subj	787	787
17	mich	ich	P	PPER	1|Sg|_|Acc	22	obja	784	784
18	von	von	P	APPR	Dat	22	objp	_	_
19	meinem	meine	A	PPOSAT	Neut|Dat|Sg	20	det	784	784
20	Vorhaben	Vorhaben	N	NN	Neut|Dat|Sg	18	pn	_	_
21	abwendig	abwendig	A	ADJD	_	22	pred	_	_
22	machen	machen	V	VVFIN	3|Pl|Pres|_	0	root	_	_
23	und	und	K	KON	_	22	kon	_	_
24	bekehren	bekehren	V	VVINF	_	25	aux	_	_
25	wollten	wollen	V	VMFIN	_|Pl|Past|_	23	cj	_	_
26	.	.	$	$.	_	0	root	_	_

1	Dafür	Dafür	P	PROAV	_	2	pp	_	_
2	versprach	versprechen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
3	der	die	A	ART	Def|Masc|Nom|Sg	4	det	62	62
4	Satan	Satan	N	NN	Masc|Nom|Sg	2	subj	62	62
5	mir	ich	P	PPER	1|Sg|_|Dat	2	objd	784	784
6	,	,	$	$,	_	0	root	_	_
7	dass	dass	K	KOUS	_	0	root	_	_
8	ich	ich	P	PPER	1|Sg|_|Nom	0	root	784	784
9	alsdann	alsdann	A	ADV	_	10	adv	_	_
10	nicht	nicht	P	PTKNEG	_	12	adv	_	_
11	allein	allein	A	ADV	_	12	adv	_	_
12	mit	mit	P	APPR	Dat	17	pp	_	_
13	hohen	hoch	A	ADJA	Pos|Fem|Dat|Pl|_|	16	attr	_	_
14	,	,	$	$,	_	0	root	_	_
15	trefflichen	trefflich	A	ADJA	Pos|_|Dat|_|_|	13	kon	_	_
16	Künsten	Kunst	N	NN	Fem|Dat|Pl	12	pn	_	_
17	begabt	begabt	A	ADJD	Pos|	0	root	_	_
18	sein	sein	V	VAINF	_	0	root	_	_
19	,	,	$	$,	_	0	root	_	_
20	sondern	sondern	K	KON	_	0	root	_	_
21	auch	auch	A	ADV	_	20	cj	_	_
22	Geister	Geist	N	NN	Masc|_|Pl	20	cj	483	483
23	um	um	P	PTKVZ	_	0	root	483	483
24	und	und	K	KON	_	0	root	483	483
25	neben	neben	P	APPR	Dat	27	pp	483	483
26	mir	ich	P	PPER	1|Sg|_|Dat	25	pn	784	784
27	haben	haben	V	VAINF	_	28	aux	_	_
28	sollte	sollen	V	VMFIN	_|Sg|Past|_	24	cj	_	_
29	,	,	$	$,	_	0	root	_	_
30	die	die	P	PRELS	Masc|Nom|Pl	35	subj	_	_
31	mich	ich	P	PPER	1|Sg|_|Acc	35	obja	784	784
32	in	in	P	APPR	Dat	35	pp	_	_
33	alter	alt	A	ADJA	Pos|Fem|Dat|Sg|St|	34	attr	_	_
34	Gefahr	Gefahr	N	NN	Fem|Dat|Sg	32	pn	_	_
35	schützen	schützen	V	VVFIN	3|Pl|Pres|_	22	rel	_	_
36	und	und	K	KON	_	0	root	_	_
37	meinen	meine	A	PPOSAT	Masc|Dat|Pl	38	det	784	784
38	Gegnern	Gegner	N	NN	Masc|Dat|Pl	36	cj	_	_
39	zuwider	zuwider	P	PTKVZ	_	0	root	_	_
40	sein	sein	V	VAINF	_	41	aux	_	_
41	müssten	müssen	V	VMFIN	_|Pl|Past|Subj	0	root	_	_
42	.	.	$	$.	_	0	root	_	_

1	Zu	zu	P	APPR	Dat	3	pp	_	_
2	alle	alle	A	PIDAT	_|_|_	1	pn	_	_
3	dem	die	P	PDS	_|Dat|Sg	0	root	_	_
4	,	,	$	$,	_	0	root	_	_
5	und	und	K	KON	_	0	root	_	_
6	was	was	P	PWS	Neut|Nom|Sg	10	subj	_	_
7	eben	eben	A	ADV	_	10	adv	_	_
8	das	die	A	ART	Def|Neut|_|Sg	9	det	_	_
9	meiste	meist	A	ADJA	Neut|_|Sg	10	pred	_	_
10	war	sein	V	VAFIN	3|Sg|Past|Ind	31	objc	_	_
11	,	,	$	$,	_	0	root	_	_
12	was	was	P	PRELS	Neut|_|Sg	17	obja	_	_
13	ich	ich	P	PPER	1|Sg|_|Nom	17	subj	784	784
14	in	in	P	APPR	Dat	17	pp	_	_
15	diesem	diese	A	PDAT	Neut|Dat|Sg	16	det	335	335
16	Leben	Leben	N	NN	Neut|Dat|Sg	14	pn	335	335
17	verlangte	verlangen	V	VVFIN	1|Sg|Past|_	10	objc	_	_
18	,	,	$	$,	_	0	root	_	_
19	sollte	sollen	V	VMFIN	_|Sg|Past|_	5	cj	_	_
20	mir	ich	P	PPER	1|Sg|_|Dat	31	objd	784	784
21	Geld	Geld	N	NN	Neut|Nom|Sg	19	subj	_	_
22	,	,	$	$,	_	0	root	_	_
23	gutes	gut	A	ADJA	Pos|Neut|Nom|Sg|St|	24	attr	_	_
24	Essen	Esse	N	NN	Neut|Nom|Sg	21	kon	_	_
25	und	und	K	KON	_	24	kon	_	_
26	Trinken	Trinken	N	NN	Neut|Nom|Sg	25	cj	788	788
27	und	und	K	KON	_	26	kon	_	_
28	tägliches	täglich	A	ADJA	Pos|Neut|Nom|Sg|St|	29	attr	_	_
29	Wohlleben	Wohlleben	N	NN	Neut|Nom|Sg	27	cj	_	_
30	nimmermehr	nimmermehr	A	ADV	_	31	adv	_	_
31	mangeln	mangeln	V	VVINF	_	19	aux	_	_
32	.	.	$	$.	_	0	root	_	_

1	Ja	ja	P	PTKANT	_	0	root	_	_
2	,	,	$	$,	_	0	root	_	_
3	er	er	P	PPER	3|Sg|Masc|Nom	4	subj	62	62
4	wollte	wollen	V	VMFIN	3|Sg|Past|_	0	root	_	_
5	meine	meine	A	PPOSAT	Fem|_|Pl	6	det	784	784
6	Begierden	Begierde	N	NN	Fem|_|Pl	9	obja	_	_
7	so	so	A	ADV	_	8	adv	_	_
8	hoch	hoch	A	ADJD	Pos|	9	adv	_	_
9	befriedigen	befriedigen	V	VVINF	_	4	aux	_	_
10	,	,	$	$,	_	0	root	_	_
11	dass	dass	K	KOUS	_	17	konj	_	_
12	ich	ich	P	PPER	1|Sg|_|Nom	17	subj	784	784
13	auf	auf	P	APPR	Acc	12	pp	_	_
14	das	die	A	ART	Def|Neut|Acc|Sg	15	det	_	_
15	Ewige	Ewige	N	NN	Neut|Acc|Sg	13	pn	_	_
16	verzichten	verzichten	V	VVINF	_	17	aux	_	_
17	würde	werden	V	VAFIN	1|Sg|Past|Subj	4	neb	_	_
18	.	.	$	$.	_	0	root	_	_

1	Mit	mit	P	APPR	Dat	5	objp	_	_
2	solchen	solche	A	PIDAT	Fem|Dat|Pl	4	det	_	_
3	übergrossen	übergross	A	ADJA	Pos|Fem|Dat|Pl|_|	4	attr	_	_
4	Verheissungen	Verheissung	N	NN	Fem|Dat|Pl	1	pn	_	_
5	erfüllte	erfüllen	V	VVFIN	3|Sg|Past|_	0	root	_	_
6	er	er	P	PPER	3|Sg|Masc|Nom	5	subj	62	62
7	mir	ich	P	PPER	1|Sg|_|Dat	5	objd	784	784
8	das	die	A	ART	Def|Neut|_|Sg	9	det	_	_
9	Herz	Herz	N	NN	Neut|_|Sg	5	obja	_	_
10	,	,	$	$,	_	0	root	_	_
11	dass	dass	K	KOUS	_	15	konj	_	_
12	ich	ich	P	PPER	1|Sg|_|Nom	15	subj	784	784
13	bei	bei	P	APPR	Dat	15	pp	_	_
14	mir	ich	P	PPER	1|Sg|_|Dat	13	pn	24	24
15	dachte	denken	V	VVFIN	1|Sg|Past|Ind	9	objc	_	_
16	,	,	$	$,	_	0	root	_	_
17	dieses	diese	A	PDAT	Neut|Nom|Sg	18	det	_	_
18	Freudenleben	Freudenleben	N	NN	Neut|Nom|Sg	19	subj	_	_
19	ist	sein	V	VAFIN	3|Sg|Pres|Ind	5	kon	_	_
20	nicht	nicht	P	PTKNEG	_	22	adv	_	_
21	zu	zu	P	PTKZU	_	22	part	_	_
22	verwerfen	verwerfen	V	VVINF	_	19	aux	_	_
23	,	,	$	$,	_	0	root	_	_
24	wenn	wenn	K	KOUS	_	0	root	_	_
25	auch	auch	A	ADV	_	27	adv	_	_
26	der	die	A	ART	Def|Masc|Nom|Sg	27	det	_	_
27	Bund	Bund	N	NN	Masc|Nom|Sg	0	root	_	_
28	gottlos	gottlos	A	ADJD	Pos|	0	root	_	_
29	und	und	K	KON	_	0	root	_	_
30	verdammenswürdig	verdammenswürdig	N	NE	_|Nom|Sg	31	subj	789	789
31	ist	sein	V	VAFIN	3|Sg|Pres|Ind	29	cj	_	_
32	.	.	$	$.	_	0	root	_	_

