1	Komm	Komm	N	NE	_	0	root	137	137
4	noch	noch	A	ADV	_	10	adv	_	_
5	Blätter	Blatt	N	NN	Neut|_|Pl	10	obja	195	195
6	und	und	K	KON	_	5	kon	_	_
7	Stäbchen	Stäbchen	N	NN	Neut|_|_	6	cj	194	194
8	darauf	darauf	P	PROAV	_	10	pp	_	_
9	zu	zu	P	PTKZU	_	10	part	_	_
10	befestigen	befestigen	V	VVINF	_	2	aux	_	_
11	,	,	$	$,	_	0	root	_	_
12	denn	denn	K	KON	_	2	kon	_	_
13	nicht	nicht	P	PTKNEG	_	14	adv	_	_
14	eine	eine	P	PIS	_|Nom|Sg	18	subj	_	_
15	der	die	A	ART	Def|Fem|Gen|Pl	17	det	_	_
16	kostbaren	kostbar	A	ADJA	Pos|Fem|Gen|Pl|Wk|	17	attr	_	_
17	Beeren	Beere	N	NN	Fem|Gen|Pl	14	gmod	_	_
18	durfte	dürfen	V	VMFIN	3|Sg|Past|Ind	12	cj	_	_
19	herausrollen	herausrollen	V	VVINF	_	18	aux	_	_
20	.	.	$	$.	_	0	root	_	_

1	Jetzt	jetzt	A	ADV	_	2	adv	_	_
2	sauste	sausen	V	VVFIN	3|Sg|Past|_	0	root	_	_
3	das	die	A	ART	Def|Neut|Nom|Sg	4	det	12	12
4	Trini	Trini	N	NN	Neut|Nom|Sg	2	subj	12	12
5	wie	wie	K	KOKOM	_	2	kom	_	_
6	der	die	A	ART	Def|Masc|Nom|Sg	7	det	162	162
7	Wind	Wind	N	NN	Masc|Nom|Sg	5	cj	162	162
8	den	die	A	ART	Def|Masc|Acc|Sg	9	det	156	156
9	Berg	Berg	N	NN	Masc|Acc|Sg	2	obja	156	156
10	hinab	hinab	A	ADV	_	2	adv	_	_
11	.	.	$	$.	_	0	root	_	_

1	Zum	zu	P	APPRART	Dat	4	pp	_	_
2	Wirtshaus	Wirtshaus	N	NN	Neut|Dat|Sg	1	pn	163	163
3	zu	zu	P	PTKZU	_	4	part	_	_
4	laufen	laufen	V	VVINF	_	0	root	_	_
5	,	,	$	$,	_	0	root	_	_
6	dazu	dazu	P	PROAV	_	7	pp	_	_
7	war	sein	V	VAFIN	_|Sg|Past|Ind	0	root	_	_
8	'	'	$	$(	_	0	root	_	_
9	s	s	P	PPER	_|Sg|_|Nom	7	subj	12	12
10	zu	zu	P	PTKA	_	11	adv	_	_
11	spät	spät	A	ADJD	Pos|	7	pred	_	_
12	,	,	$	$,	_	0	root	_	_
13	aber	aber	K	KON	_	7	kon	_	_
14	bis	bis	P	APPR	Acc	18	pp	_	_
15	zu	zu	P	APPR	Dat	14	pp	_	_
16	der	die	A	ART	Def|Fem|Dat|Sg	17	det	25	25
17	Goldäpfelbäuerin	Goldäpfelbäuerin	N	NN	Fem|Dat|Sg	15	pn	25	25
18	konnte	können	V	VMFIN	3|Sg|Past|Ind	13	cj	_	_
19	es	es	P	PPER	3|Sg|Neut|Nom	18	subj	_	_
20	schon	schon	A	ADV	_	22	adv	_	_
21	noch	noch	A	ADV	_	22	adv	_	_
22	kommen	kommen	V	VVINF	_	18	aux	_	_
23	.	.	$	$.	_	0	root	_	_

1	Die	die	P	PDS	Fem|Nom|Sg	2	subj	_	_
2	wollte	wollen	V	VMFIN	3|Sg|Past|_	0	root	_	_
3	gewiß	gewiß	A	ADV	_	9	adv	_	_
4	diese	diese	A	PDAT	Fem|_|Pl	7	det	_	_
5	letzten	letzte	A	ADJA	Pos|Fem|_|Pl|Wk|	7	attr	_	_
6	schönen	schön	A	ADJA	Pos|Fem|_|Pl|Wk|	7	attr	_	_
7	Beeren	Beere	N	NN	Fem|_|Pl	9	obja	_	_
8	noch	noch	A	ADV	_	9	adv	_	_
9	haben	haben	V	VAINF	_	2	aux	_	_
10	,	,	$	$,	_	0	root	_	_
11	und	und	K	KON	_	2	kon	_	_
12	dann	dann	A	ADV	_	13	adv	_	_
13	konnte	können	V	VMFIN	3|Sg|Past|Ind	11	cj	_	_
14	es	es	P	PPER	3|Sg|Neut|Nom	13	subj	_	_
15	der	die	A	ART	Def|Fem|Dat|Sg	16	det	6	6
16	Großmutter	Großmutter	N	NN	Fem|Dat|Sg	22	objd	6	6
17	gleich	gleich	A	ADV	_	22	adv	_	_
18	noch	noch	A	ADV	_	22	adv	_	_
19	den	die	A	ART	Def|Masc|Acc|Sg	21	det	_	_
20	außergewöhnlichen	außergewöhnlich	A	ADJA	Pos|Masc|Acc|Sg|_|	21	attr	_	_
21	Gewinn	Gewinn	N	NN	Masc|Acc|Sg	22	obja	_	_
22	heimbringen	heimbringen	V	VVINF	_	13	aux	_	_
23	.	.	$	$.	_	0	root	_	_

1	Immer	immer	A	ADV	_	2	adv	_	_
2	eiliger	eilig	A	ADJD	Comp|	3	pred	_	_
3	wurde	werden	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
4	sein	seine	A	PPOSAT	Masc|Nom|Sg	5	det	12	12
5	Schritt	Schritt	N	NN	Masc|Nom|Sg	3	subj	_	_
6	.	.	$	$.	_	0	root	_	_

1	Still	still	A	ADJD	Pos|	7	adv	_	_
2	und	und	K	KON	_	1	kon	_	_
3	traurig	traurig	A	ADJD	Pos|	2	cj	_	_
4	hinter	hinter	P	APPR	Dat	3	pp	_	_
5	ihm	er	P	PPER	3|Sg|_|Dat	4	pn	15	15
6	her	her	P	PTKVZ	_	7	avz	_	_
7	ging	gehen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
8	das	die	A	ART	Def|Neut|Nom|Sg	9	det	91	91
9	Maneli	Maneli	N	NN	Neut|Nom|Sg	7	subj	91	91
10	.	.	$	$.	_	0	root	_	_

