1	Jawohl	Jawohl	N	NN	Neut|_|Sg	0	root	703	703
38	das	die	P	PDS	Neut|_|Sg	42	obja	_	_
39	hast	haben	V	VAFIN	2|Sg|Pres|Ind	0	root	_	_
40	du	du	P	PPER	2|Sg|_|Nom	39	subj	_	_
41	gut	gut	A	ADJD	Pos|	42	pred	_	_
42	gemacht	machen	V	VVPP	_	39	aux	_	_
43	«	«	$	$(	_	0	root	_	_
44	;	;	$	$.	_	0	root	_	_
45	damit	damit	P	PROAV	_	46	pp	_	_
46	schloss	schließen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
47	er	er	P	PPER	3|Sg|Masc|Nom	46	subj	726	726
48	hinter	hinter	P	APPR	Dat	46	pp	_	_
49	ihm	er	P	PPER	3|Sg|_|Dat	48	pn	532	532
50	die	die	A	ART	Def|Fem|_|Sg	51	det	418	418
51	Haustür	Haustür	N	NN	Fem|_|Sg	46	obja	418	418
52	.	.	$	$.	_	0	root	_	_

1	Im	in	P	APPRART	Dat	3	pp	_	_
2	Studierzimmer	Studierzimmer	N	NN	Neut|Dat|Sg	1	pn	568	568
3	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
4	es	es	P	PPER	3|Sg|Neut|Nom	3	subj	_	_
5	wieder	wieder	A	ADV	_	7	adv	_	_
6	ruhig	ruhig	A	ADJD	Pos|	7	pred	_	_
7	geworden	werden	V	VAPP	_	3	aux	_	_
8	;	;	$	$.	_	0	root	_	_
9	die	die	A	ART	Def|_|Nom|Pl	10	det	727	727
10	Studien	Studie	N	NN	_|Nom|Pl	11	subj	727	727
11	wurden	werden	V	VAFIN	3|Pl|Past|Ind	0	root	_	_
12	wieder	wieder	A	ADV	_	13	adv	_	_
13	fortgesetzt	fortsetzen	V	VVPP	_	11	aux	_	_
14	,	,	$	$,	_	0	root	_	_
15	und	und	K	KON	_	11	kon	_	_
16	Fräulein	Fräulein	N	NN	Masc|Nom|Sg	18	subj	_	_
17	Rottenmeier	Rottenmeier	N	NN	Masc|Nom|_	16	app	_	_
18	hatte	haben	V	VAFIN	3|Sg|Past|Ind	15	cj	_	_
19	sich	sie	P	PRF	3|_|_	18	obja	_	_
20	nun	nun	A	ADV	_	18	adv	_	_
21	auch	auch	A	ADV	_	18	adv	_	_
22	festgesetzt	festgesetzt	A	ADJD	Pos|	18	adv	_	_
23	in	in	P	APPR	Dat	18	pp	_	_
24	dem	die	A	ART	Def|Neut|Dat|Sg	25	det	514	514
25	Zimmer	Zimmer	N	NN	Neut|Dat|Sg	23	pn	514	514
26	,	,	$	$,	_	0	root	_	_
27	um	um	K	KOUI	_	34	konj	_	_
28	durch	durch	P	APPR	Acc	34	pp	_	_
29	ihre	ihre	A	PPOSAT	Fem|Acc|Sg	30	det	727	727
30	Gegenwart	Gegenwart	N	NN	Fem|Acc|Sg	28	pn	_	_
31	ähnliche	ähnlich	A	ADJA	Pos|Masc|_|_|_|	32	attr	_	_
32	Gräuel	Gräuel	N	NN	Masc|_|_	34	obja	_	_
33	zu	zu	P	PTKZU	_	34	part	_	_
34	verhüten	verhüten	V	VVINF	_	18	neb	_	_
35	.	.	$	$.	_	0	root	_	_

1	Den	die	A	ART	Def|Masc|Acc|Sg	2	det	_	_
2	Vorfall	Vorfall	N	NN	Masc|Acc|Sg	8	obja	_	_
3	wollte	wollen	V	VMFIN	3|Sg|Past|_	0	root	_	_
4	sie	sie	P	PPER	3|Sg|Fem|Nom	3	subj	725	725
5	nach	nach	P	APPR	Dat	8	pp	_	_
6	den	die	A	ART	Def|Fem|Dat|Pl	7	det	605	605
7	Unterrichtsstunden	Unterrichtsstunde	N	NN	Fem|Dat|Pl	5	pn	605	605
8	untersuchen	untersuchen	V	VVINF	_	3	aux	_	_
9	und	und	K	KON	_	8	kon	_	_
10	den	die	A	ART	Def|_|_|_	11	det	728	728
11	Schuldigen	Schuldige	N	NN	_|_|_	13	obja	728	728
12	so	so	A	ADV	_	13	adv	_	_
13	bestrafen	bestrafen	V	VVINF	_	9	cj	_	_
14	,	,	$	$,	_	0	root	_	_
15	dass	dass	K	KOUS	_	19	konj	_	_
16	er	er	P	PPER	3|Sg|Masc|Nom	19	subj	728	728
17	daran	daran	P	PROAV	_	18	objp	_	_
18	denken	denken	V	VVINF	_	19	aux	_	_
19	würde	werden	V	VAFIN	3|Sg|Past|Subj	8	objc	_	_
20	.	.	$	$.	_	0	root	_	_

1	Schon	schon	A	ADV	_	2	adv	_	_
2	wieder	wieder	A	ADV	_	3	adv	_	_
3	klopfte	klopfen	V	VVFIN	3|Sg|Past|_	0	root	_	_
4	es	es	P	PPER	3|Sg|Neut|Nom	3	subj	_	_
5	an	an	P	APPR	Acc	3	objp	_	_
6	die	die	A	ART	Def|Fem|Acc|Sg	7	det	12	12
7	Tür	Tür	N	NN	Fem|Acc|Sg	5	pn	12	12
8	,	,	$	$,	_	0	root	_	_
9	und	und	K	KON	_	3	kon	_	_
10	herein	herein	A	ADV	_	11	adv	_	_
11	trat	treten	V	VVFIN	3|Sg|Past|Ind	9	cj	_	_
12	abermals	abermals	A	ADV	_	11	adv	_	_
13	Sebastian	Sebastian	N	NE	Masc|Nom|Sg	11	subj	532	532
14	mit	mit	P	APPR	Dat	11	pp	_	_
15	der	die	A	ART	Def|Fem|Dat|Sg	16	det	470	470
16	Nachricht	Nachricht	N	NN	Fem|Dat|Sg	14	pn	470	470
17	,	,	$	$,	_	0	root	_	_
18	es	es	P	PPER	3|Sg|Neut|_	23	expl	_	_
19	sei	sein	V	VAFIN	3|Sg|Pres|Subj	11	kon	_	_
20	ein	eine	A	ART	Indef|Masc|Nom|Sg	22	det	729	729
21	großer	groß	A	ADJA	Pos|Masc|Nom|Sg|St|	22	attr	729	729
22	Korb	Korb	N	NN	Masc|Nom|Sg	19	subj	729	729
23	gebracht	bringen	V	VVPP	_	24	aux	729	729
24	worden	werden	V	VAPP	_	19	aux	729	729
25	,	,	$	$,	_	0	root	729	729
26	der	die	P	PRELS	Masc|Nom|Sg	33	subj	729	729
27	sogleich	sogleich	A	ADV	_	32	adv	_	_
28	an	an	P	APPR	_	32	pp	_	_
29	Fräulein	Fräulein	N	NN	Neut|_|_	28	pn	525	525
30	Klara	Klara	N	NE	Fem|_|Sg	29	app	525	525
31	selbst	selbst	A	ADV	_	28	adv	_	_
32	abzugeben	abgeben	V	VVIZU	_	33	obji	_	_
33	sei	sein	V	VAFIN	3|Sg|Pres|Subj	22	rel	_	_
34	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	An	an	P	APPR	Acc	0	root	_	_
3	mich	ich	P	PPER	1|Sg|_|Acc	2	pn	730	730
4	?	?	$	$.	_	0	root	_	_
5	«	«	$	$(	_	0	root	_	_
6	,	,	$	$,	_	0	root	_	_
7	fragte	fragen	V	VVFIN	3|Sg|Past|_	0	root	_	_
8	Klara	Klara	N	NN	Masc|Nom|Sg	7	subj	525	525
9	erstaunt	erstaunen	V	VVPP	_	7	neb	_	_
10	und	und	K	KON	_	0	root	_	_
11	äußerst	äußerst	A	ADV	_	12	adv	_	_
12	neugierig	neugierig	A	ADJD	Pos|	10	cj	_	_
13	,	,	$	$,	_	0	root	_	_
14	was	was	P	PRELS	Neut|_|Sg	0	root	_	_
15	das	die	P	PDS	Neut|Nom|Sg	17	subj	_	_
16	sein	sein	V	VAINF	_	17	aux	_	_
17	möchte	mögen	V	VMFIN	3|Sg|Past|Subj	0	root	_	_
18	;	;	$	$.	_	0	root	_	_
19	»	»	$	$(	_	0	root	_	_
20	zeigen	zeigen	V	VVFIN	3|Pl|Pres|_	0	root	_	_
21	Sie	sie	P	PPER	3|Pl|_|Nom	20	subj	_	_
22	doch	doch	A	ADV	_	20	adv	_	_
23	gleich	gleich	A	ADV	_	20	adv	_	_
24	einmal	einmal	A	ADV	_	20	adv	_	_
25	her	her	P	PTKVZ	_	20	avz	_	_
26	,	,	$	$,	_	0	root	_	_
27	wie	wie	P	PWAV	_	29	pred	_	_
28	er	er	P	PPER	3|Sg|Masc|Nom	29	subj	8	8
29	aussieht	aussehen	V	VVFIN	3|Sg|Pres|Ind	20	objc	_	_
30	.	.	$	$.	_	0	root	_	_
31	«	«	$	$(	_	0	root	_	_

