1	Haut	hauen	V	VVIMP	Pl	0	root	_	_
13	scho	scho	N	NE	_|Acc|_	12	app	156	156
14	lang	lang	P	APPO	Acc	15	pp	_	_
15	sag	sag	A	ADJD	_	0	root	_	_
16	'	'	$	$(	_	0	root	_	_
17	n	n	F	FM	_	0	root	_	_
18	woll	woll	F	FM	_	17	app	_	_
19	'	'	$	$(	_	0	root	_	_
20	n	n	N	NN	_	18	app	_	_
21	...	...	$	$.	_	0	root	_	_
22	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Was	was	P	PWS	Neut|_|Sg	0	root	_	_
3	?	?	$	$.	_	0	root	_	_
4	«	«	$	$(	_	0	root	_	_

