1	Batz	Batz	N	NE	Masc|_|Sg	7	vok	455	455
10	dem	die	A	ART	Def|_|Dat|Sg	11	det	512	512
11	Haslinger	Haslinger	N	NN	_|Dat|Sg	9	pn	512	512
12	Pepi	Pepi	N	NE	Masc|Dat|Sg	11	app	512	512
13	,	,	$	$,	_	0	root	_	_
14	der	die	P	PRELS	Masc|Nom|Sg	20	subj	512	512
15	schon	schon	A	ADV	_	20	adv	_	_
16	jetzt	jetzt	A	ADV	_	20	adv	_	_
17	eine	eine	A	ART	Indef|Fem|_|Sg	19	det	_	_
18	auffallende	auffallend	A	ADJA	Pos|Fem|_|Sg|_|<PPRES	19	attr	_	_
19	Heiligkeit	Heiligkeit	N	NN	Fem|_|Sg	20	obja	_	_
20	herumtrug	herumtragen	V	VVFIN	3|Sg|Past|Ind	12	rel	_	_
21	.	.	$	$.	_	0	root	_	_

1	Wir	wir	P	PPER	1|Pl|_|Nom	0	root	507	507
2	andern	andere	P	PIS	_|Nom|Pl	3	subj	_	_
3	waren	sein	V	VAFIN	3|Pl|Past|Ind	0	root	_	_
4	ihm	er	P	PPER	3|Sg|_|Dat	3	objd	512	512
5	lieber	lieb	A	ADJD	Comp|	3	pred	_	_
6	;	;	$	$.	_	0	root	_	_
7	und	und	K	KON	_	0	root	_	_
8	wir	wir	P	PPER	1|Pl|_|Nom	9	subj	507	507
9	mußten	müssen	V	VMFIN	1|Pl|Past|Ind	7	cj	_	_
10	ihn	er	P	PPER	3|Sg|Masc|Acc	12	obja	512	512
11	oft	oft	A	ADV	_	12	adv	_	_
12	begleiten	begleiten	V	VVINF	_	9	aux	_	_
13	,	,	$	$,	_	0	root	_	_
14	wenn	wenn	K	KOUS	_	19	konj	_	_
15	er	er	P	PPER	3|Sg|Masc|Nom	19	subj	512	512
16	in	in	P	APPR	Acc	19	objp	_	_
17	die	die	A	ART	Def|Neut|Acc|Pl	18	det	_	_
18	Nachbardörfer	Nachbardorf	N	NN	Neut|Acc|Pl	16	pn	_	_
19	ging	gehen	V	VVFIN	3|Sg|Past|Ind	9	neb	_	_
20	,	,	$	$,	_	0	root	_	_
21	um	um	K	KOUI	_	26	konj	_	_
22	die	die	A	ART	Def|Masc|_|Pl	23	det	_	_
23	Herren	Herr	N	NN	Masc|_|Pl	26	obja	_	_
24	Amtsbrüder	Amtsbruder	N	NN	Masc|_|Pl	23	app	_	_
25	zu	zu	P	PTKZU	_	26	part	_	_
26	besuchen	besuchen	V	VVINF	_	19	neb	_	_
27	.	.	$	$.	_	0	root	_	_

1	Da	da	A	ADV	_	2	adv	_	_
2	saßen	sitzen	V	VVFIN	3|Pl|Past|Ind	0	root	_	_
3	in	in	P	APPR	_	2	pp	_	_
4	den	die	A	ART	Def|_|_|_	5	det	_	_
5	Pfarrhöfen	Pfarrhöfen	N	NN	_|_|_	3	pn	_	_
6	von	von	P	APPR	Dat	5	pp	_	_
7	Aschau	Aschau	N	NE	Neut|Dat|Sg	6	pn	553	553
8	und	und	K	KON	_	7	kon	_	_
9	Endorf	Endorf	N	NE	Neut|Dat|Sg	8	cj	_	_
10	wohlgeratene	wohlgeraten	A	ADJA	Pos|Masc|Nom|Pl|St|	11	attr	513	513
11	Altbayern	Altbayer	N	NN	Masc|Nom|Pl	2	subj	513	513
12	,	,	$	$,	_	0	root	513	513
13	die	die	P	PRELS	Masc|Nom|Pl	18	subj	513	513
14	uns	wir	P	PPER	1|Pl|_|_	18	obja	507	507
15	in	in	P	APPR	_	18	pp	_	_
16	schattigen	schattig	A	ADJA	Pos|Masc|_|Pl|_|	17	attr	_	_
17	Gärten	Garten	N	NN	Masc|_|Pl	15	pn	_	_
18	bewirteten	bewirten	V	VVFIN	3|Pl|Past|_	11	rel	_	_
19	und	und	K	KON	_	18	kon	_	_
20	uralte	uralt	A	ADJA	Pos|Masc|Nom|Pl|St|	22	attr	_	_
21	lateinische	lateinisch	A	ADJA	Pos|Masc|Nom|Pl|St|	22	attr	_	_
22	Späße	Spaß	N	NN	Masc|Nom|Pl	23	subj	_	_
23	kannten	kennen	V	VVFIN	3|Pl|Past|Ind	19	cj	_	_
24	.	.	$	$.	_	0	root	_	_

