1	Sie	sie	P	PPER	3|_|_|_	0	root	667	667
10	leeren	leer	A	ADJA	Pos|Fem|Acc|Pl|Wk|	11	attr	698	698
11	Fensteröffnungen	Fensteröffnung	N	NN	Fem|Acc|Pl	8	pn	698	698
12	und	und	K	KON	_	11	kon	_	_
13	die	die	A	ART	Def|Fem|Acc|Sg	14	det	159	159
14	Tür	Tür	N	NN	Fem|Acc|Sg	12	cj	159	159
15	fiel	fallen	V	VVFIN	3|Sg|Past|Ind	3	rel	_	_
16	,	,	$	$,	_	0	root	_	_
17	hatte	haben	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
18	auch	auch	A	ADV	_	23	adv	_	_
19	den	die	A	ART	Def|Masc|Acc|Sg	20	det	_	_
20	Mut	Mut	N	NN	Masc|Acc|Sg	23	obja	_	_
21	der	die	A	ART	Def|_|Gen|_	22	det	789	789
22	Alten	Alt	N	NN	_|Gen|_	20	gmod	789	789
23	gebrochen	brechen	V	VVPP	_	17	aux	_	_
24	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Siehst	sehen	V	VVFIN	2|Sg|Pres|Ind	0	root	_	_
3	du	du	P	PPER	2|Sg|_|Nom	2	subj	_	_
4	,	,	$	$,	_	0	root	_	_
5	Großmutter	Großmutter	N	NN	Fem|Nom|Sg	3	app	_	_
6	,	,	$	$,	_	0	root	_	_
7	es	es	P	PPER	3|Sg|Neut|Nom	8	subj	_	_
8	geht	gehen	V	VVFIN	3|Sg|Pres|Ind	2	kon	_	_
9	doch	doch	A	ADV	_	8	adv	_	_
10	wieder	wieder	A	ADV	_	8	adv	_	_
11	gegen	gegen	P	APPR	Acc	8	objp	_	_
12	uns	wir	P	PPER	1|Pl|_|Acc	11	pn	699	699
13	,	,	$	$,	_	0	root	_	_
14	sie	sie	P	PPER	3|Pl|_|Nom	15	subj	698	698
15	haben	haben	V	VAFIN	3|Pl|Pres|_	8	kon	_	_
16	Vater	Vater	N	NN	Neut|_|Sg	21	obja	_	_
17	Samuels	Samuel	N	NE	Masc|Gen|Sg	18	gmod	279	279
18	Haus	Haus	N	NN	Neut|_|Sg	16	app	_	_
19	in	in	P	APPR	_	21	objp	_	_
20	Brand	Brand	N	NN	Masc|_|Sg	19	pn	_	_
21	gesteckt	stecken	V	VVPP	_	15	aux	_	_
22	;	;	$	$.	_	0	root	_	_
23	-	-	$	$(	_	0	root	_	_
24	sollen	sollen	V	VMFIN	1|Pl|Pres|_	0	root	_	_
25	wir	wir	P	PPER	1|Pl|_|Nom	24	subj	699	699
26	nicht	nicht	P	PTKNEG	_	24	adv	_	_
27	fort	fort	P	PTKVZ	_	24	avz	_	_
28	?	?	$	$.	_	0	root	_	_

1	Wir	wir	P	PPER	1|Pl|_|Nom	2	subj	699	699
2	können	können	V	VMFIN	1|Pl|Pres|_	0	root	_	_
3	über	über	P	APPR	Acc	6	pp	_	_
4	den	die	A	ART	Def|Masc|Acc|Sg	5	det	290	290
5	Hof	Hof	N	NN	Masc|Acc|Sg	3	pn	290	290
6	schleichen	schleichen	V	VVINF	_	2	aux	_	_
7	und	und	K	KON	_	0	root	_	_
8	in	in	P	APPR	_	7	cj	_	_
9	des	die	A	ART	Def|_|Gen|Sg	10	det	_	_
10	Nachbars	Nachbar	N	NN	_|Gen|Sg	8	pn	_	_
11	Garten	Garten	N	NN	Masc|_|Sg	10	app	_	_
12	;	;	$	$.	_	0	root	_	_
13	Herr	Herr	N	NN	Masc|Nom|Sg	17	subj	700	700
14	Jakob	Jakob	N	NE	Masc|Nom|Sg	13	app	700	700
15	zum	zu	P	APPRART	Dat	13	pp	_	_
16	Dahle	Dahle	N	NN	_|Dat|_	15	pn	701	701
17	wird	werden	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
18	nicht	nicht	P	PTKNEG	_	22	adv	_	_
19	zu	zu	P	PTKA	_	20	adv	_	_
20	schlimm	schlimm	A	ADJD	Pos|	22	adv	_	_
21	sich	sie	P	PRF	3|_|_	22	obja	_	_
22	stellen	stellen	V	VVINF	_	17	aux	_	_
23	,	,	$	$,	_	0	root	_	_
24	wenn	wenn	K	KOUS	_	32	konj	_	_
25	er	er	P	PPER	3|Sg|Masc|Nom	32	subj	700	700
26	uns	wir	P	PPER	1|Pl|_|_	32	obja	699	699
27	morgen	morgen	A	ADV	_	32	adv	_	_
28	früh	früh	A	ADJD	Pos|	32	adv	_	_
29	in	in	P	APPR	Dat	32	pp	_	_
30	seinem	seine	A	PPOSAT	Masc|Dat|Sg	31	det	700	700
31	Stalle	Stall	N	NN	Masc|Dat|Sg	29	pn	_	_
32	findet	finden	V	VVFIN	3|Sg|Pres|Ind	17	neb	_	_
33	.	.	$	$.	_	0	root	_	_
34	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Ja	ja	P	PTKANT	_	0	root	_	_
3	,	,	$	$,	_	0	root	_	_
4	ja	ja	P	PTKANT	_	0	root	_	_
5	,	,	$	$,	_	0	root	_	_
6	Kind	Kind	N	NN	Neut|_|Sg	0	root	661	661
7	«	«	$	$(	_	0	root	_	_
8	,	,	$	$,	_	0	root	_	_
9	stöhnte	stöhnen	V	VVFIN	3|Sg|Past|_	0	root	_	_
10	die	die	A	ART	Def|Fem|Nom|Sg	11	det	58	58
11	Greisin	Greisin	N	NN	Fem|Nom|Sg	9	subj	58	58
12	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Leise	Leise	N	NN	_|_|_	0	root	_	_
3	,	,	$	$,	_	0	root	_	_
4	leise	leise	A	ADJD	Pos|	0	root	_	_
5	-	-	$	$(	_	0	root	_	_
6	da	da	A	ADV	_	7	adv	_	_
7	ist	sein	V	VAFIN	3|Sg|Pres|Ind	4	par	_	_
8	mein	meine	A	PPOSAT	Neut|Nom|Sg	9	det	702	702
9	Bündel	Bündel	N	NN	Neut|Nom|Sg	7	subj	702	702
10	-	-	$	$(	_	0	root	_	_
11	hilf	helfen	V	VVIMP	Sg	0	root	_	_
12	'	'	$	$(	_	0	root	_	_
13	s	s	P	PPER	_|_|_|Dat	11	objd	702	702
14	mir	ich	P	PPER	1|Sg|_|Dat	0	root	703	703
15	wieder	wieder	A	ADV	_	14	adv	_	_
16	auf	auf	P	PTKVZ	_	0	root	_	_
17	!	!	$	$.	_	0	root	_	_

1	Du	du	P	PPER	2|Sg|_|Nom	2	subj	_	_
2	hast	haben	V	VAFIN	2|Sg|Pres|Ind	0	root	_	_
3	recht	recht	A	ADJD	Pos|	2	adv	_	_
4	,	,	$	$,	_	0	root	_	_
5	wir	wir	P	PPER	1|Pl|_|Nom	0	root	699	699
6	müssen	müssen	V	VMINF	_	0	root	_	_
7	hinaus	hinaus	P	PTKVZ	_	0	root	_	_
8	-	-	$	$(	_	0	root	_	_
9	sie	sie	P	PPER	3|Pl|_|Nom	10	subj	701	701
10	kommen	kommen	V	VVFIN	3|Pl|Pres|_	0	root	_	_
11	,	,	$	$,	_	0	root	_	_
12	und	und	K	KON	_	10	kon	_	_
13	sie	sie	P	PPER	3|Pl|_|Nom	14	subj	701	701
14	kennen	kennen	V	VVFIN	3|Pl|Pres|_	12	cj	_	_
15	kein	keine	A	PIAT	Neut|_|Sg	16	det	_	_
16	Erbarmen	Erbarmen	N	NN	Neut|_|Sg	14	obja	_	_
17	.	.	$	$.	_	0	root	_	_
18	«	«	$	$(	_	0	root	_	_

1	Sie	sie	P	PPER	3|Sg|Fem|Nom	2	subj	58	58
2	versuchte	versuchen	V	VVFIN	3|Sg|Past|_	0	root	_	_
3	es	es	P	PPER	3|Sg|Neut|_	2	expl	_	_
4	,	,	$	$,	_	0	root	_	_
5	aufzustehen	aufstehen	V	VVIZU	_	2	obji	_	_
6	,	,	$	$,	_	0	root	_	_
7	allein	allein	K	KOUS	_	9	konj	_	_
8	es	es	P	PPER	3|Sg|Neut|Nom	9	subj	_	_
9	ging	gehen	V	VVFIN	3|Sg|Past|Ind	5	neb	_	_
10	nicht	nicht	P	PTKNEG	_	9	adv	_	_
11	an	an	P	PTKVZ	_	9	avz	_	_
12	.	.	$	$.	_	0	root	_	_

1	Der	die	A	ART	Def|Masc|Nom|Sg	2	det	_	_
2	Weg	Weg	N	NN	Masc|Nom|Sg	6	subj	_	_
3	von	von	P	APPR	_	2	pp	_	_
4	Gronau	Gronau	N	NE	_|_|Sg	3	pn	300	300
5	her	her	A	APZR	_	3	part	_	_
6	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
7	dem	die	A	ART	Def|Neut|Dat|Sg	9	det	_	_
8	alten	alt	A	ADJA	Pos|Neut|Dat|Sg|Wk|	9	attr	_	_
9	Weibchen	Weibchen	N	NN	Neut|Dat|Sg	12	objd	_	_
10	doch	doch	A	ADV	_	12	adv	_	_
11	zuviel	zuviel	A	ADV	_	12	adv	_	_
12	gewesen	sein	V	VAPP	_	6	aux	_	_
13	.	.	$	$.	_	0	root	_	_

1	Sie	sie	P	PPER	3|Sg|Fem|Nom	2	subj	58	58
2	fiel	fallen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
3	zurück	zurück	A	ADV	_	2	adv	_	_
4	auf	auf	P	APPR	Acc	2	pp	_	_
5	den	die	A	ART	Def|Masc|Acc|Sg	6	det	704	704
6	Stuhl	Stuhl	N	NN	Masc|Acc|Sg	4	pn	704	704
7	,	,	$	$,	_	0	root	_	_
8	legte	legen	V	VVFIN	_|Sg|Past|_	2	kon	_	_
9	die	die	A	ART	Def|_|_|_	10	det	538	538
10	Arme	Arm	N	NN	_|_|_	8	obja	538	538
11	auf	auf	P	APPR	Acc	8	objp	_	_
12	den	die	A	ART	Def|Masc|Acc|Sg	13	det	288	288
13	Tisch	Tisch	N	NN	Masc|Acc|Sg	11	pn	288	288
14	und	und	K	KON	_	13	kon	_	_
15	das	die	A	ART	Def|Neut|Acc|Sg	16	det	_	_
16	Gesicht	Gesicht	N	NN	Neut|Acc|Sg	14	cj	_	_
17	auf	auf	P	APPR	Acc	16	pp	_	_
18	die	die	A	ART	Def|_|Acc|_	19	det	538	538
19	Arme	Arm	N	NN	_|Acc|_	17	pn	538	538
20	.	.	$	$.	_	0	root	_	_

