1	Dassel	Dassel	N	NE	_|Nom|Sg	2	subj	315	315
7	das	die	A	ART	Def|Neut|Nom|Sg	8	det	_	_
8	Gerücht	Gerücht	N	NN	Neut|Nom|Sg	18	subj	_	_
9	es	es	P	PPER	3|Sg|Neut|Nom	14	subj	_	_
10	über	über	P	APPR	Acc	14	pp	_	_
11	das	die	A	ART	Def|Neut|Acc|Sg	12	det	346	346
12	Land	Land	N	NN	Neut|Acc|Sg	10	pn	346	346
13	hier	hier	A	ADV	_	10	adv	_	_
14	geheult	heulen	V	VVPP	_	18	neb	_	_
15	,	,	$	$,	_	0	root	_	_
16	dort	dort	A	ADV	_	17	adv	_	_
17	geächzt	ächzen	V	VVPP	_	18	aux	_	_
18	hatte	haben	V	VAFIN	3|Sg|Past|Ind	6	cj	_	_
19	.	.	$	$.	_	0	root	_	_

1	Es	es	P	PPER	3|Sg|Neut|Nom	2	subj	_	_
2	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
3	ganz	ganz	A	ADV	_	4	adv	_	_
4	dunkel	dunkel	A	ADJD	Pos|	2	pred	_	_
5	,	,	$	$,	_	0	root	_	_
6	doch	doch	K	KON	_	0	root	_	_
7	wer	wer	P	PWS	_|Nom|Sg	0	root	_	_
8	dreißig	dreißig	C	CARD	_	9	attr	_	_
9	Jahre	Jahr	N	NN	Neut|Acc|Pl	10	pn	_	_
10	lang	lang	P	APPO	Acc	12	pp	_	_
11	denselben	dieselbe	A	PDAT	Masc|Acc|Sg	12	det	_	_
12	Weg	Weg	N	NN	Masc|Acc|Sg	0	root	_	_
13	gegangen	gehen	V	VVPP	_	14	aux	_	_
14	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
15	,	,	$	$,	_	0	root	_	_
16	findet	finden	V	VVFIN	_|_|Pres|_	0	root	_	_
17	ihn	er	P	PPER	3|Sg|Masc|Acc	16	obja	2	2
18	im	in	P	APPRART	Dat	16	pp	_	_
19	Dunkeln	Dunkeln	N	NN	Neut|Dat|Sg	18	pn	353	353
20	.	.	$	$.	_	0	root	_	_

1	Der	die	A	ART	Def|Masc|Nom|Sg	2	det	57	57
2	Magister	Magister	N	NN	Masc|Nom|Sg	3	subj	57	57
3	brauchte	brauchen	V	VVFIN	3|Sg|Past|_	0	root	_	_
4	kein	keine	A	PIAT	Neut|_|Sg	5	det	_	_
5	Licht	Licht	N	NN	Neut|_|Sg	3	obja	_	_
6	auf	auf	P	APPR	Dat	3	pp	_	_
7	den	die	A	ART	Def|Fem|Dat|Pl	9	det	669	669
8	ausgetretenen	ausgetreten	A	ADJA	Pos|Fem|Dat|Pl|_|	9	attr	669	669
9	Treppen	Treppe	N	NN	Fem|Dat|Pl	6	pn	669	669
10	,	,	$	$,	_	0	root	_	_
11	in	in	P	APPR	Dat	3	pp	_	_
12	den	die	A	ART	Def|Masc|Dat|Pl	13	det	347	347
13	Gängen	Gang	N	NN	Masc|Dat|Pl	11	pn	347	347
14	,	,	$	$,	_	0	root	347	347
15	die	die	P	PRELS	Masc|Nom|Pl	22	subj	347	347
16	an	an	P	APPR	Dat	22	pp	_	_
17	den	die	A	ART	Def|Neut|Dat|Pl	21	det	_	_
18	jetzt	jetzt	A	ADV	_	20	adv	_	_
19	so	so	A	ADV	_	20	adv	_	_
20	stillen	still	A	ADJA	Pos|Neut|Dat|Pl|_|	21	attr	_	_
21	Schulzimmern	Schulzimmer	N	NN	Neut|Dat|Pl	16	pn	_	_
22	vorbeiführten	vorbeiführen	V	VVFIN	3|Pl|Past|_	13	rel	_	_
23	;	;	$	$.	_	0	root	_	_
24	selbst	selbst	A	ADV	_	27	adv	348	348
25	der	die	A	ART	Def|Masc|Nom|Sg	27	det	348	348
26	trübe	trüb	A	ADJA	Pos|Masc|Nom|Sg|Wk|	27	attr	348	348
27	Schein	Schein	N	NN	Masc|Nom|Sg	38	subj	348	348
28	,	,	$	$,	_	0	root	348	348
29	der	die	P	PRELS	Masc|Nom|Sg	36	subj	348	348
30	hie	hie	A	ADV	_	36	adv	_	_
31	und	und	K	KON	_	30	kon	_	_
32	da	da	A	ADV	_	31	cj	_	_
33	durch	durch	P	APPR	Acc	36	objp	_	_
34	ein	eine	A	ART	Indef|Neut|Acc|Sg	35	det	371	371
35	Fenster	Fenster	N	NN	Neut|Acc|Sg	33	pn	371	371
36	fiel	fallen	V	VVFIN	3|Sg|Past|Ind	27	rel	_	_
37	,	,	$	$,	_	0	root	_	_
38	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
39	ihm	er	P	PPER	3|Sg|_|Dat	38	objd	348	348
40	nicht	nicht	P	PTKNEG	_	38	adv	_	_
41	vonnöten	vonnöten	A	ADJD	Pos|	38	pred	_	_
42	.	.	$	$.	_	0	root	_	_

1	Einen	ein	A	ART	Indef|Masc|Acc|Sg	2	det	_	_
2	Augenblick	Augenblick	N	NN	Masc|Acc|Sg	3	obja	_	_
3	hielt	halten	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
4	er	er	P	PPER	3|Sg|Masc|Nom	3	subj	57	57
5	an	an	P	APPR	_	3	objp	_	_
6	vor	vor	P	APPR	Dat	5	pp	_	_
7	einer	eine	A	ART	Indef|Fem|Dat|Sg	8	det	_	_
8	Tür	Tür	N	NN	Fem|Dat|Sg	6	pn	_	_
9	,	,	$	$,	_	0	root	_	_
10	der	die	A	ART	Def|Fem|Dat|Sg	11	det	_	_
11	Tür	Tür	N	NN	Fem|Dat|Sg	8	app	_	_
12	seiner	seine	A	PPOSAT	_|Gen|_	13	det	57	57
13	Quinta	Quinta	N	NN	_|Gen|_	11	gmod	677	677
14	.	.	$	$.	_	0	root	_	_

1	Er	er	P	PPER	3|Sg|Masc|Nom	2	subj	57	57
2	legte	legen	V	VVFIN	3|Sg|Past|_	0	root	_	_
3	die	die	A	ART	Def|Fem|_|Sg	4	det	349	349
4	Hand	Hand	N	NN	Fem|_|Sg	2	obja	349	349
5	auf	auf	P	APPR	Acc	2	objp	_	_
6	den	die	A	ART	Def|Masc|Acc|Sg	7	det	2016	2016
7	Griff	Griff	N	NN	Masc|Acc|Sg	5	pn	2016	2016
8	,	,	$	$,	_	0	root	_	_
9	als	als	K	KOKOM	_	0	root	_	_
10	ob	ob	K	KOUS	_	13	konj	_	_
11	er	er	P	PPER	3|Sg|Masc|Nom	13	subj	57	57
12	öffnen	öffnen	V	VVINF	_	13	aux	_	_
13	wollte	wollen	V	VMFIN	3|Sg|Past|_	0	root	_	_
14	;	;	$	$.	_	0	root	_	_
15	aber	aber	K	KON	_	0	root	_	_
16	mit	mit	P	APPR	Dat	19	pp	_	_
17	einem	eine	A	ART	Indef|Masc|Dat|Sg	18	det	_	_
18	Seufzer	Seufzer	N	NN	Masc|Dat|Sg	16	pn	_	_
19	ging	gehen	V	VVFIN	3|Sg|Past|Ind	15	cj	_	_
20	er	er	P	PPER	3|Sg|Masc|Nom	19	subj	57	57
21	weiter	weiter	P	PTKVZ	_	19	avz	_	_
22	.	.	$	$.	_	0	root	_	_

1	Er	er	P	PPER	3|Sg|Masc|Nom	2	subj	2	2
2	brauchte	brauchen	V	VVFIN	3|Sg|Past|_	0	root	_	_
3	auch	auch	A	ADV	_	2	adv	_	_
4	keine	keine	A	PIAT	Fem|_|Sg	5	det	904	904
5	Lampe	Lampe	N	NN	Fem|_|Sg	2	obja	904	904
6	auf	auf	P	APPR	Dat	2	pp	_	_
7	der	die	A	ART	Def|Fem|Dat|Sg	9	det	350	350
8	engern	engern	A	ADJA	_|Fem|Dat|Sg|_	9	attr	350	350
9	Treppe	Treppe	N	NN	Fem|Dat|Sg	6	pn	350	350
10	,	,	$	$,	_	0	root	350	350
11	die	die	P	PRELS	Fem|Nom|Sg	19	subj	350	350
12	zu	zu	P	APPR	Dat	19	pp	_	_
13	seiner	seine	A	PPOSAT	Fem|Dat|Sg	14	det	2	2
14	Wohnung	Wohnung	N	NN	Fem|Dat|Sg	12	pn	_	_
15	mit	mit	P	APPR	Dat	19	pp	_	_
16	wenigen	wenige	A	PIDAT	_|Dat|_	17	det	_	_
17	Stufen	Stufe	N	NN	_|Dat|_	15	pn	_	_
18	empor	empor	A	ADV	_	19	adv	_	_
19	leitete	leiten	V	VVFIN	3|Sg|Past|_	9	rel	_	_
20	,	,	$	$,	_	0	root	_	_
21	zu	zu	P	APPR	Dat	19	pp	_	_
22	der	die	A	ART	Def|Fem|Dat|Sg	23	det	351	351
23	Zelle	Zelle	N	NN	Fem|Dat|Sg	21	pn	351	351
24	,	,	$	$,	_	0	root	351	351
25	die	die	P	PRELS	Fem|_|Sg	35	obja	351	351
26	sein	seine	A	PPOSAT	Masc|Nom|Sg	29	det	2	2
27	letzter	letzte	A	ADJA	Pos|Masc|Nom|Sg|St|	29	attr	140	140
28	mönchischer	mönchisch	A	ADJA	Pos|Masc|Nom|Sg|St|	29	attr	140	140
29	Vorgänger	Vorgänger	N	NN	Masc|Nom|Sg	35	subj	140	140
30	,	,	$	$,	_	0	root	140	140
31	der	die	A	ART	Def|Masc|Nom|Sg	32	det	140	140
32	Bruder	Bruder	N	NN	Masc|Nom|Sg	29	app	140	140
33	Philemon	Philemon	N	NE	Masc|Nom|Sg	32	app	140	140
34	,	,	$	$,	_	0	root	_	_
35	grade	graden	V	VVFIN	3|Sg|Pres|Subj	23	rel	_	_
36	vor	vor	P	APPR	Dat	35	pp	_	_
37	hundertunddreißig	hundertunddreißig	C	CARD	_	38	attr	_	_
38	Jahren	Jahr	N	NN	Neut|Dat|Pl	36	pn	_	_
39	auf	auf	P	APPR	Dat	35	pp	_	_
40	der	die	A	ART	Def|Fem|Dat|Sg	41	det	_	_
41	Flucht	Flucht	N	NN	Fem|Dat|Sg	39	pn	_	_
42	vor	vor	P	APPR	Dat	41	pp	_	_
43	dem	die	A	ART	Def|Masc|Dat|Sg	44	det	229	229
44	Feinde	Feind	N	NN	Masc|Dat|Sg	42	pn	229	229
45	oder	oder	K	KON	_	35	kon	_	_
46	,	,	$	$,	_	0	root	_	_
47	wie	wie	P	PWAV	_	50	pred	_	_
48	die	die	A	ART	Def|Fem|Nom|Sg	49	det	352	352
49	Sage	Sage	N	NN	Fem|Nom|Sg	50	subj	352	352
50	geht	gehen	V	VVFIN	3|Sg|Pres|Ind	45	cj	_	_
51	,	,	$	$,	_	0	root	_	_
52	mit	mit	P	APPR	Dat	61	pp	_	_
53	der	die	A	ART	Def|Fem|Dat|Sg	54	det	74	74
54	Faust	Faust	N	NN	Fem|Dat|Sg	52	pn	74	74
55	Herrn	Herrn	N	NN	Fem|Dat|Sg	54	app	74	74
56	Theodor	Theodor	N	NE	_|Dat|Pl	55	app	74	74
57	Berkelmanns	Berkelmann	N	NE	_|Dat|Pl	56	app	74	74
58	an	an	P	APPR	Dat	55	pp	_	_
59	der	die	A	ART	Def|Fem|Dat|Sg	60	det	_	_
60	Kapuze	Kapuze	N	NN	Fem|Dat|Sg	58	pn	_	_
61	hatte	haben	V	VAFIN	_|Sg|Past|Ind	2	kon	_	_
62	räumen	räumen	V	VVINF	_	63	aux	_	_
63	müssen	müssen	V	VMINF	_	61	aux	_	_
64	und	und	K	KON	_	0	root	_	_
65	die	die	A	ART	Def|_|_|_	64	cj	_	_
66	leer	leer	A	ADJD	Pos|	67	adv	_	_
67	gestanden	gestehen	V	VVPP	_	68	aux	_	_
68	hatte	haben	V	VAFIN	_|Sg|Past|Ind	0	root	_	_
69	,	,	$	$,	_	0	root	_	_
70	bis	bis	K	KOUS	_	86	konj	_	_
71	sie	sie	P	PPER	3|Sg|Fem|Nom	86	subj	352	352
72	ihm	er	P	PPER	3|Sg|_|Dat	85	objd	55	55
73	,	,	$	$,	_	0	root	55	55
74	dem	die	A	ART	Def|Masc|Dat|Sg	75	det	55	55
75	Magister	Magister	N	NN	Masc|Dat|Sg	72	app	55	55
76	Noah	Noah	N	NE	Masc|Dat|Sg	75	app	55	55
77	Buchius	Buchius	N	NE	Masc|Dat|Sg	76	app	55	55
78	,	,	$	$,	_	0	root	_	_
79	zu	zu	P	APPR	Dat	85	pp	_	_
80	seinem	seine	A	PPOSAT	Neut|Dat|Sg	82	det	140	140
81	endlichen	endlich	A	ADJA	Pos|Neut|Dat|Sg|Wk|	82	attr	_	_
82	Unterkommen	Unterkommen	N	NN	Neut|Dat|Sg	79	pn	_	_
83	im	in	P	APPRART	Dat	85	pp	_	_
84	Leben	Leben	N	NN	Neut|Dat|_	83	pn	186	186
85	angewiesen	anweisen	V	VVPP	_	86	aux	_	_
86	wurde	werden	V	VAFIN	3|Sg|Past|Ind	68	neb	_	_
87	.	.	$	$.	_	0	root	_	_

1	Dreißig	dreißig	C	CARD	_	2	attr	_	_
2	Jahre	Jahr	N	NN	Neut|_|Pl	11	obja	_	_
3	hatte	haben	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
4	er	er	P	PPER	3|Sg|Masc|Nom	3	subj	140	140
5	sein	seine	A	PPOSAT	Neut|_|Sg	6	det	140	140
6	Feuerzeug	Feuerzeug	N	NN	Neut|_|Sg	10	obja	_	_
7	im	in	P	APPRART	Dat	10	pp	_	_
8	Dunkeln	Dunkeln	N	NN	Neut|Dat|Sg	7	pn	353	353
9	zu	zu	P	PTKZU	_	10	part	_	_
10	finden	finden	V	VVINF	_	11	obji	_	_
11	gewußt	gewußt	V	VVPP	_	3	aux	_	_
12	und	und	K	KON	_	3	kon	_	_
13	fand	finden	V	VVFIN	_|Sg|Past|Ind	12	cj	_	_
14	es	es	P	PPER	3|Sg|Neut|_	13	obja	_	_
15	auch	auch	A	ADV	_	13	adv	_	_
16	jetzt	jetzt	A	ADV	_	13	adv	_	_
17	,	,	$	$,	_	0	root	_	_
18	Stahl	Stahl	N	NN	Masc|Acc|Sg	13	vok	355	355
19	,	,	$	$,	_	0	root	355	355
20	Stein	Stein	N	NN	Masc|Acc|Sg	18	kon	355	355
21	und	und	K	KON	_	20	kon	1389)	1389)
22	Schwefel	Schwefel	N	NN	Masc|Acc|Sg	21	cj	1389)	1389)
23	sowie	sowie	K	KON	_	22	kon	1389)	1389)
24	den	die	A	ART	Def|Masc|Acc|Sg	25	det	1389)	1389)
25	Kasten	Kasten	N	NN	Masc|Acc|Sg	23	cj	1389)	1389)
26	mit	mit	P	APPR	Dat	25	pp	1389)	1389)
27	den	die	A	ART	Def|Masc|Dat|Pl	31	det	1389)	1389)
28	zu	zu	P	APPR	Dat	30	pp	1389)	1389)
29	Zunder	Zunder	N	NN	Masc|Dat|Sg	28	pn	1389)	1389)
30	gebrannten	gebrannt	A	ADJA	Pos|Masc|Dat|Pl|_|	31	attr	1389)	1389)
31	Lumpen	Lump	N	NN	Masc|Dat|Pl	26	pn	1389)	1389)
32	.	.	$	$.	_	0	root	1389)	1389)

1	Die	die	A	ART	Def|_|Nom|Pl	2	det	1390	1390
2	Funken	Funk	N	NN	_|Nom|Pl	3	subj	1390	1390
3	spritzten	spritzen	V	VVFIN	3|Pl|Past|_	0	root	_	_
4	von	von	P	APPR	Dat	3	pp	_	_
5	dem	die	A	ART	Def|Masc|Dat|Sg	6	det	_	_
6	Stein	Stein	N	NN	Masc|Dat|Sg	4	pn	_	_
7	,	,	$	$,	_	0	root	_	_
8	und	und	K	KON	_	3	kon	_	_
9	einer	eine	P	PIS	Masc|Nom|Sg	10	subj	_	_
10	fing	fangen	V	VVFIN	3|Sg|Past|Ind	8	cj	_	_
11	in	in	P	APPR	_	10	pp	_	_
12	den	die	A	ART	Def|Masc|_|_	14	det	_	_
13	schwarzen	schwarz	A	ADJA	Pos|Masc|_|_|_|	14	attr	_	_
14	Lumpen	Lump	N	NN	Masc|_|_	11	pn	_	_
15	.	.	$	$.	_	0	root	_	_

1	Der	die	A	ART	Def|_|_|_	0	root	_	_
2	Schwefelsticken	Schwefelsticken	N	NN	Neut|Nom|Sg	3	subj	354	354
3	leuchtete	leuchten	V	VVFIN	3|Sg|Past|_	0	root	_	_
4	auf	auf	P	PTKVZ	_	3	avz	_	_
5	,	,	$	$,	_	0	root	_	_
6	und	und	K	KON	_	3	kon	_	_
7	fünf	fünf	C	CARD	_	8	attr	_	_
8	Minuten	Minute	N	NN	Fem|_|Pl	9	grad	_	_
9	nach	nach	P	APPR	Dat	16	pp	_	_
10	seinem	seine	A	PPOSAT	Masc|Dat|Sg	12	det	354	354
11	ersten	erst	A	ADJA	_|Masc|Dat|Sg|Wk|	12	attr	_	_
12	Schlag	Schlag	N	NN	Masc|Dat|Sg	9	pn	_	_
13	mit	mit	P	APPR	Dat	12	pp	_	_
14	dem	die	A	ART	Def|Masc|Dat|Sg	15	det	355	355
15	Stahl	Stahl	N	NN	Masc|Dat|Sg	13	pn	355	355
16	hatte	haben	V	VAFIN	3|Sg|Past|Ind	6	cj	_	_
17	der	die	A	ART	Def|Masc|Nom|Sg	18	det	55	55
18	Magister	Magister	N	NN	Masc|Nom|Sg	16	subj	55	55
19	Buchius	Buchius	N	NE	Masc|Nom|Sg	18	app	55	55
20	Licht	Licht	N	NN	Neut|_|Sg	16	obja	142	142
21	.	.	$	$.	_	0	root	_	_

1	Er	er	P	PPER	3|Sg|Masc|Nom	2	subj	355	355
2	hatte	haben	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
3	seine	seine	A	PPOSAT	Fem|_|Sg	5	det	355	355
4	kleine	klein	A	ADJA	Pos|Fem|_|Sg|_|	5	attr	_	_
5	Blechlampe	Blechlampe	N	NN	Fem|_|Sg	10	obja	_	_
6	auf	auf	P	APPR	Dat	10	pp	_	_
7	dem	die	A	ART	Def|Masc|Dat|Sg	9	det	356	356
8	gewohnten	gewohnt	A	ADJA	Pos|Masc|Dat|Sg|Wk|	9	attr	356	356
9	Fleck	Fleck	N	NN	Masc|Dat|Sg	6	pn	356	356
10	gefunden	finden	V	VVPP	_	2	aux	_	_
11	,	,	$	$,	_	0	root	_	_
12	und	und	K	KON	_	2	kon	_	_
13	bis	bis	P	APPR	Acc	16	pp	_	_
14	jetzt	jetzt	A	ADV	_	13	adv	_	_
15	wenigstens	wenigstens	A	ADV	_	13	adv	_	_
16	schlug	schlagen	V	VVFIN	3|Sg|Past|Ind	12	cj	_	_
17	sie	sie	P	PPER	3|_|_|_	16	obja	55	55
18	keiner	keine	P	PIS	Masc|Nom|Sg	16	subj	_	_
19	ihm	er	P	PPER	3|Sg|_|Dat	16	objd	355	355
20	aus	aus	P	APPR	Dat	16	pp	_	_
21	der	die	A	ART	Def|Fem|Dat|Sg	22	det	349	349
22	Hand	Hand	N	NN	Fem|Dat|Sg	20	pn	349	349
23	.	.	$	$.	_	0	root	_	_

