1	Isothermen	Isotherme	N	NN	Fem|_|Pl	0	root	124	124
30	läßt	lassen	V	VVFIN	_|Sg|Pres|Ind	20	cj	_	_
31	,	,	$	$,	_	0	root	_	_
32	das	die	P	PDS	Neut|Nom|Sg	33	subj	_	_
33	ist	sein	V	VAFIN	3|Sg|Pres|Ind	30	kon	_	_
34	nicht	nicht	P	PTKNEG	_	33	adv	_	_
35	der	die	A	ART	Def|Masc|Nom|Sg	36	det	151	151
36	Bauer	Bauer	N	NN	Masc|Nom|Sg	33	pred	151	151
37	Quakatz	Quakatz	N	NE	Masc|Nom|Sg	36	app	151	151
38	,	,	$	$,	_	0	root	_	_
39	sondern	sondern	K	KON	_	33	kon	_	_
40	das	die	P	PDS	Neut|Nom|Sg	41	subj	_	_
41	bin	sein	V	VAFIN	1|Sg|Pres|Ind	39	cj	_	_
42	ich	ich	P	PPER	1|Sg|_|Nom	41	pred	143	143
43	.	.	$	$.	_	0	root	_	_

1	Ich	ich	P	PPER	1|Sg|_|Nom	0	root	143	143
2	!	!	$	$.	_	0	root	_	_

1	sage	sagen	V	VVFIN	1|Sg|Pres|_	0	root	_	_
2	ich	ich	P	PPER	1|Sg|_|Nom	1	subj	143	143
3	dir	du	P	PPER	2|Sg|_|Dat	1	objd	_	_
4	,	,	$	$,	_	0	root	_	_
5	Eduard	Eduard	N	NE	Masc|Dat|Sg	3	app	_	_
6	.	.	$	$.	_	0	root	_	_
7	«	«	$	$(	_	0	root	_	_

1	Und	und	K	KON	_	0	root	_	_
2	in	in	P	APPR	Acc	5	objp	_	_
3	den	die	A	ART	Def|Masc|Acc|Sg	4	det	152	152
4	Traum	Traum	N	NN	Masc|Acc|Sg	2	pn	152	152
5	nahm	nehmen	V	VVFIN	1|Sg|Past|Ind	1	cj	_	_
6	auch	auch	A	ADV	_	7	adv	_	_
7	ich	ich	P	PPER	1|Sg|_|Nom	5	subj	143	143
8	sie	sie	P	PPER	3|_|_|_	5	obja	149	149
9	,	,	$	$,	_	0	root	_	_
10	die	die	A	ART	Def|Fem|_|Sg	12	det	_	_
11	rote	rot	A	ADJA	Pos|Fem|_|Sg|_|	12	attr	_	_
12	Schanze	Schanze	N	NN	Fem|_|Sg	8	app	_	_
13	,	,	$	$,	_	0	root	_	_
14	mit	mit	P	APPR	Dat	5	pp	_	_
15	hinein	hinein	A	ADV	_	14	adv	_	_
16	in	in	P	APPR	Dat	5	pp	_	_
17	dieser	diese	A	PDAT	Fem|Dat|Sg	18	det	146	146
18	Nacht	Nacht	N	NN	Fem|Dat|Sg	16	pn	146	146
19	in	in	P	APPR	Dat	5	pp	_	_
20	den	die	A	ART	Def|_|Dat|Pl	21	det	_	_
21	Heiligen	Heilige	N	NN	_|Dat|Pl	19	pn	_	_
22	Drei	drei	C	CARD	_	23	attr	_	_
23	Königen	König	N	NN	Masc|Dat|Pl	21	app	_	_
24	der	die	A	ART	Def|Fem|Gen|Sg	25	det	44	44
25	Heimatstadt	Heimatstadt	N	NN	Fem|Gen|Sg	23	gmod	44	44
26	.	.	$	$.	_	0	root	_	_

1	In	in	P	APPR	Dat	4	pp	_	_
2	diesem	diese	A	PDAT	Masc|Dat|Sg	3	det	152	152
3	Traume	Traum	N	NN	Masc|Dat|Sg	1	pn	152	152
4	sah	sehen	V	VVFIN	1|Sg|Past|Ind	0	root	_	_
5	ich	ich	P	PPER	1|Sg|_|Nom	4	subj	143	143
6	ihn	er	P	PPER	3|Sg|Masc|Acc	4	obja	4	4
7	noch	noch	A	ADV	_	4	adv	_	_
8	einmal	einmal	A	ADV	_	4	adv	_	_
9	in	in	P	APPR	Dat	4	pp	_	_
10	meinem	meine	A	PPOSAT	Neut|Dat|Sg	11	det	143	143
11	Leben	Leben	N	NN	Neut|Dat|Sg	9	pn	_	_
12	so	so	A	ADV	_	14	adv	_	_
13	traumhaft	traumhaft	A	ADJD	Pos|	14	adv	_	_
14	aller	alle	A	PIDAT	_|Gen|_	15	det	_	_
15	Wunder	Wunder	N	NN	_|Gen|_	11	gmod	_	_
16	voll	voll	A	ADJD	Pos|	4	adv	_	_
17	,	,	$	$,	_	0	root	_	_
18	wie	wie	P	PWAV	_	27	adv	_	_
19	ich	ich	P	PPER	1|Sg|_|Nom	28	subj	143	143
20	ihn	er	P	PPER	3|Sg|Masc|Acc	27	obja	4	4
21	von	von	P	APPR	_	27	pp	_	_
22	der	die	A	ART	Def|_|_|_	23	det	_	_
23	Oberquarta	Oberquarta	N	NN	_|_|_	21	pn	_	_
24	und	und	K	KON	_	23	kon	_	_
25	Untertertia	Untertertia	N	NE	_|_|_	24	cj	_	_
26	aus	aus	A	APZR	_	21	part	_	_
27	gesehen	sehen	V	VVPP	_	28	aux	_	_
28	hatte	haben	V	VAFIN	1|Sg|Past|Ind	0	root	_	_
29	,	,	$	$,	_	0	root	_	_
30	diesen	diese	A	PDAT	Masc|Acc|Sg	31	det	_	_
31	Bauernhof	Bauernhof	N	NN	Masc|Acc|Sg	0	root	_	_
32	-	-	$	$(	_	0	root	_	_
33	diese	diese	A	PDAT	Fem|Acc|Sg	35	det	_	_
34	rote	rot	A	ADJA	Pos|Fem|Acc|Sg|_|	35	attr	_	_
35	Schanze	Schanze	N	NN	Fem|Acc|Sg	0	root	_	_
36	,	,	$	$,	_	0	root	_	_
37	diesen	diese	A	PDAT	_|_|_	41	det	_	_
38	alten	alt	A	ADJA	Pos|_|_|_|_|	41	attr	_	_
39	,	,	$	$,	_	0	root	_	_
40	herrlichen	herrlich	A	ADJA	Pos|_|_|_|_|	38	kon	_	_
41	Kriegs-	Kriegs-	T	TRUNC	Masc|Acc|Sg	35	kon	_	_
42	und	und	K	KON	_	41	kon	_	_
43	Belagerungsaufwurf	Belagerungsaufwurf	N	NN	Masc|Acc|Sg	42	cj	_	_
44	des	die	A	ART	Def|Masc|Gen|Sg	45	det	440	440
45	Prinzen	Prinz	N	NN	Masc|Gen|Sg	41	gmod	440	440
46	Xaverius	Xaverius	N	NE	Masc|Gen|Sg	45	app	440	440
47	von	von	P	APPR	_	45	pp	_	_
48	Sachsen	Sachsen	N	NE	_|_|_	47	pn	153	153
49	,	,	$	$,	_	0	root	_	_
50	den	die	A	ART	Def|Masc|Acc|Sg	51	det	_	_
51	Hof	Hof	N	NN	Masc|Acc|Sg	41	app	_	_
52	des	die	A	ART	Def|Masc|Gen|Sg	53	det	151	151
53	Bauern	Bauer	N	NN	Masc|Gen|Sg	51	gmod	151	151
54	Andreas	Andrea	N	NE	Masc|Gen|Sg	53	app	151	151
55	Quakatz	Quakatz	N	NE	Masc|Gen|Sg	54	app	151	151
56	,	,	$	$,	_	0	root	_	_
57	aus	aus	P	APPR	Dat	89	pp	_	_
58	welchem	welche	P	PRELS	Masc|Dat|Sg	57	pn	153	153
59	der	die	A	ART	Def|Masc|Nom|Sg	61	det	535	535
60	kursächsische	kursächsisch	A	ADJA	Pos|Masc|Nom|Sg|Wk|	61	attr	535	535
61	Herr	Herr	N	NN	Masc|Nom|Sg	90	subj	535	535
62	Prinz	Prinz	N	NN	Masc|Nom|Sg	61	app	535	535
63	in	in	P	APPR	Dat	89	pp	_	_
64	den	die	A	ART	Def|Neut|Dat|Pl	66	det	154	154
65	sechziger	sechzig	A	ADJA	Pos|_|_|_|St|	66	attr	154	154
66	Jahren	Jahr	N	NN	Neut|Dat|Pl	63	pn	154	154
67	des	die	A	ART	Def|Neut|Gen|Sg	69	det	242	242
68	achtzehnten	achtzehnt	A	ADJA	_|Neut|Gen|Sg|_|	69	attr	242	242
69	Jahrhunderts	Jahrhundert	N	NN	Neut|Gen|Sg	66	gmod	154	154
70	nicht	nicht	P	PTKNEG	_	73	adv	_	_
71	nur	nur	A	ADV	_	73	adv	_	_
72	die	die	A	ART	Def|Fem|_|Sg	73	det	_	_
73	Stadt	Stadt	N	NN	Fem|_|Sg	89	obja	_	_
74	da	da	A	ADV	_	73	adv	_	_
75	unten	unten	A	ADV	_	73	adv	_	_
76	,	,	$	$,	_	0	root	_	_
77	sondern	sondern	K	KON	_	73	kon	_	_
78	auch	auch	A	ADV	_	77	cj	_	_
79	die	die	A	ART	Def|Fem|_|Sg	81	det	_	_
80	hohe	hoch	A	ADJA	Pos|Fem|_|Sg|_|	81	attr	_	_
81	Schule	Schule	N	NN	Fem|_|Sg	77	cj	_	_
82	,	,	$	$,	_	0	root	_	_
83	unser	unsre	A	PPOSAT	Neut|_|Sg	84	det	157	157
84	Gymnasium	Gymnasium	N	NN	Neut|_|Sg	73	app	_	_
85	,	,	$	$,	_	0	root	_	_
86	darin	darin	P	PROAV	_	89	pp	_	_
87	so	so	A	ADV	_	88	adv	_	_
88	gründlich	gründlich	A	ADJD	Pos|	89	adv	_	_
89	beschossen	beschießen	V	VVPP	_	90	aux	_	_
90	hatte	haben	V	VAFIN	3|Sg|Past|Ind	55	rel	_	_
91	,	,	$	$,	_	0	root	_	_
92	daß	daß	K	KOUS	_	99	konj	_	_
93	sie	sie	P	PPER	3|Pl|_|Nom	99	subj	154	154
94	beide	beide	P	PIS	_|Nom|Pl	93	app	_	_
95	sich	sie	P	PRF	3|_|_	98	obja	_	_
96	ihm	er	P	PPER	3|Sg|_|Dat	98	objd	4	4
97	sofort	sofort	A	ADV	_	98	adv	_	_
98	übergeben	übergeben	V	VVINF	_	99	aux	_	_
99	mußten	müssen	V	VMFIN	3|Pl|Past|Ind	89	objc	_	_
100	,	,	$	$,	_	0	root	_	_
101	obgleich	obgleich	K	KOUS	_	113	konj	_	_
102	er	er	P	PPER	3|Sg|Masc|Nom	113	subj	4	4
103	wahrlich	wahrlich	A	ADV	_	109	adv	_	_
104	nicht	nicht	P	PTKNEG	_	109	adv	_	_
105	der	die	A	ART	Def|Masc|Nom|Sg	109	det	_	_
106	erste	erst	A	ADJA	_|Masc|Nom|Sg|Wk|	109	attr	_	_
107	und	und	K	KON	_	106	kon	_	_
108	größte	groß	A	ADJA	Sup|_|Nom|_|_|	107	cj	_	_
109	Held	Held	N	NN	Masc|Nom|Sg	113	pred	_	_
110	des	die	A	ART	Def|Masc|Gen|Sg	112	det	155	155
111	Siebenjährigen	siebenjährig	A	ADJA	Pos|Masc|Gen|Sg|_|	112	attr	155	155
112	Krieges	Krieg	N	NN	Masc|Gen|Sg	109	gmod	155	155
113	war	sein	V	VAFIN	3|Sg|Past|Ind	99	neb	_	_
114	.	.	$	$.	_	0	root	_	_

1	Der	die	A	ART	Def|Masc|Nom|Sg	3	det	155	155
2	Siebenjährige	siebenjährig	A	ADJA	Pos|Masc|Nom|Sg|Wk|	3	attr	155	155
3	Krieg	Krieg	N	NN	Masc|Nom|Sg	4	subj	155	155
4	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
5	ein	eine	A	ART	Indef|_|_|Sg	7	det	_	_
6	paar	paar	A	PIDAT	Neut|_|_	7	attr	_	_
7	Jahre	Jahr	N	NN	Neut|_|_	8	grad	_	_
8	länger	lang	A	ADJD	Comp|	4	adv	_	_
9	vorüber	vorüber	A	ADV	_	4	pred	_	_
10	als	als	K	KOKOM	_	0	root	_	_
11	meine	meine	A	PPOSAT	_|_|_	0	root	143	143
12	und	und	K	KON	_	0	root	_	_
13	Stopfkuchens	Stopfkuchen	N	NN	Masc|Gen|Sg	14	gmod	156	156
14	Kindheit	Kindheit	N	NN	Fem|_|Sg	12	cj	_	_
15	;	;	$	$.	_	0	root	_	_
16	aber	aber	K	KON	_	0	root	_	_
17	die	die	A	ART	Def|Fem|Nom|Sg	19	det	41	41
18	rote	rot	A	ADJA	Pos|Fem|Nom|Sg|_|	19	attr	41	41
19	Schanze	Schanze	N	NN	Fem|Nom|Sg	20	subj	41	41
20	war	sein	V	VAFIN	3|Sg|Past|Ind	16	cj	_	_
21	noch	noch	A	ADV	_	20	adv	_	_
22	immer	immer	A	ADV	_	23	adv	_	_
23	vorhanden	vorhanden	A	ADJD	Pos|	20	pred	_	_
24	in	in	P	APPR	Dat	20	pp	_	_
25	diesem	diese	A	PDAT	Masc|Dat|Sg	26	det	152	152
26	Traume	Traum	N	NN	Masc|Dat|Sg	24	pn	152	152
27	,	,	$	$,	_	0	root	_	_
28	wie	wie	P	PWAV	_	32	adv	_	_
29	sie	sie	P	PPER	3|Sg|Fem|Nom	33	subj	41	41
30	unser	unsre	A	PPOSAT	_|Nom|Sg	31	det	157	157
31	Jungensideal	Jungensideal	N	NN	_|Nom|Sg	32	pred	_	_
32	gewesen	sein	V	VAPP	_	33	aux	_	_
33	war	sein	V	VAFIN	3|Sg|Past|Ind	20	objc	_	_
34	.	.	$	$.	_	0	root	_	_

1	Da	da	A	ADV	_	2	adv	_	_
2	stieg	steigen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
3	sie	sie	P	PPER	3|Sg|Fem|Nom	2	subj	41	41
4	auf	auf	P	APPR	_	2	pp	_	_
5	im	in	P	APPRART	Dat	4	pp	_	_
6	wohlerhaltenen	wohlerhalten	A	ADJA	Pos|Neut|Dat|Sg|Wk|	7	attr	_	_
7	Viereck	Viereck	N	NN	Neut|Dat|Sg	5	pn	_	_
8	.	.	$	$.	_	0	root	_	_

1	Nur	nur	A	ADV	_	2	adv	_	_
2	durch	durch	P	APPR	Acc	0	root	_	_
3	einen	eine	A	ART	Indef|Masc|Acc|Sg	4	det	436	436
4	Dammweg	Dammweg	N	NN	Masc|Acc|Sg	2	pn	436	436
5	über	über	P	APPR	Acc	4	pp	436	436
6	den	die	A	ART	Def|Masc|Acc|Sg	8	det	436	436
7	tiefen	tief	A	ADJA	Pos|Masc|Acc|Sg|_|	8	attr	436	436
8	Graben	Graben	N	NN	Masc|Acc|Sg	5	pn	436	436
9	mit	mit	P	APPR	Dat	8	pp	436	436
10	der	die	A	ART	Def|Fem|Dat|Sg	12	det	436	436
11	übrigen	übrig	A	ADJA	Pos|Fem|Dat|Sg|Wk|	12	attr	436	436
12	Welt	Welt	N	NN	Fem|Dat|Sg	9	pn	436	436
13	in	in	P	APPR	_	12	pp	436	436
14	Verbindung	Verbindung	N	NN	Fem|_|Sg	13	pn	436	436
15	!	!	$	$.	_	0	root	1124)	1124)

1	Mit	mit	P	APPR	Dat	0	root	_	_
2	allem	alle	P	PIS	Neut|Dat|Sg	1	pn	_	_
3	,	,	$	$,	_	0	root	_	_
4	was	was	P	PRELS	Neut|Nom|Sg	14	subj	159	159
5	sie	sie	P	PPER	3|_|_|_	13	obja	41	41
6	der	die	A	ART	Def|Fem|Dat|Sg	7	det	_	_
7	Knabenphantasie	Knabenphantasie	N	NN	Fem|Dat|Sg	13	objd	_	_
8	zu	zu	P	APPR	Dat	13	objp	_	_
9	einem	eine	A	ART	Indef|Neut|Dat|Sg	10	det	_	_
10	Entzücken	Entzücken	N	NN	Neut|Dat|Sg	8	pn	_	_
11	und	und	K	KON	_	10	kon	_	_
12	Geheimnis	Geheimnis	N	NN	Neut|Dat|Sg	11	cj	_	_
13	gemacht	machen	V	VVPP	_	14	aux	_	_
14	hatte	haben	V	VAFIN	3|Sg|Past|Ind	2	rel	_	_
15	:	\:	$	$.	_	0	root	_	_
16	mit	mit	P	APPR	Dat	0	root	_	_
17	den	die	A	ART	Def|Fem|Dat|Pl	18	det	565	565
18	Kanonen	Kanone	N	NN	Fem|Dat|Pl	16	pn	565	565
19	und	und	K	KON	_	18	kon	_	_
20	Mörsern	Mörser	N	NN	Masc|Dat|Pl	19	cj	_	_
21	des	die	A	ART	Def|Masc|Gen|Sg	22	det	215	215
22	Prinzen	Prinz	N	NN	Masc|Gen|Sg	18	gmod	215	215
23	Xaver	Xaver	N	NE	Masc|Gen|Sg	22	app	215	215
24	und	und	K	KON	_	16	kon	_	_
25	mit	mit	P	APPR	Dat	24	cj	_	_
26	der	die	A	ART	Def|Fem|Dat|Sg	28	det	158	158
27	undurchdringlichen	undurchdringlich	A	ADJA	Pos|Fem|Dat|Sg|Wk|	28	attr	158	158
28	Dornenhecke	Dornenheck	N	NN	Fem|Dat|Sg	25	pn	158	158
29	,	,	$	$,	_	0	root	_	_
30	die	die	P	PRELS	_|_|_	0	root	158	158
31	der	die	A	ART	Def|Masc|Nom|Sg	33	det	151	151
32	böse	bös	A	ADJA	Pos|Masc|Nom|Sg|Wk|	33	attr	151	151
33	Bauer	Bauer	N	NN	Masc|Nom|Sg	0	root	151	151
34	Andreas	Andrea	N	NE	Neut|Nom|Sg	33	app	151	151
35	Quakatz	Quakatz	N	NE	Neut|Nom|Sg	34	app	151	151
36	auf	auf	P	APPR	Dat	35	pp	_	_
37	ihrer	ihre	A	PPOSAT	Fem|Dat|Sg	38	det	151	151
38	Höhe	Höhe	N	NN	Fem|Dat|Sg	36	pn	468	468
39	um	um	P	APPR	Acc	38	pp	468	468
40	sich	sie	P	PRF	3|_|Acc	39	pn	468	468
41	,	,	$	$,	_	0	root	_	_
42	sein	seine	A	PPOSAT	Neut|Nom|Sg	43	det	159	159
43	Tinchen	Tinchen	N	NN	Neut|Nom|Sg	35	app	_	_
44	,	,	$	$,	_	0	root	_	_
45	sein	seine	A	PPOSAT	Neut|Nom|Sg	46	det	159	159
46	Haus	Haus	N	NN	Neut|Nom|Sg	43	kon	160	160
47	,	,	$	$,	_	0	root	160	160
48	seine	seine	A	PPOSAT	Masc|Nom|Pl	49	det	159	159
49	Ställe	Stall	N	NN	Masc|Nom|Pl	46	kon	_	_
50	und	und	K	KON	_	49	kon	_	_
51	Scheunen	Scheune	N	NN	Fem|Nom|Pl	50	cj	_	_
52	und	und	K	KON	_	51	kon	_	_
53	alles	alle	P	PIS	Neut|Nom|Sg	52	cj	_	_
54	,	,	$	$,	_	0	root	_	_
55	was	was	P	PRELS	Neut|_|Sg	0	root	160	160
56	sonst	sonst	A	ADV	_	57	adv	_	_
57	sein	sein	V	VAINF	_	0	root	_	_
58	war	sein	V	VAFIN	_|Sg|Past|Ind	0	root	_	_
59	,	,	$	$,	_	0	root	_	_
60	zum	zu	P	APPRART	Dat	66	objp	_	_
61	Abschluß	Abschluß	N	NN	Masc|Dat|Sg	60	pn	_	_
62	gegen	gegen	P	APPR	Acc	61	pp	_	_
63	die	die	A	ART	Def|Fem|Acc|Sg	65	det	_	_
64	schlimme	schlimm	A	ADJA	Pos|Fem|Acc|Sg|_|	65	attr	_	_
65	Welt	Welt	N	NN	Fem|Acc|Sg	62	pn	_	_
66	gezogen	ziehen	V	VVPP	_	67	aux	_	_
67	hatte	haben	V	VAFIN	_|Sg|Past|Ind	0	root	_	_
68	!	!	$	$.	_	0	root	_	_

1	Ich	ich	P	PPER	1|Sg|_|Nom	2	subj	161	161
2	höre	hören	V	VVFIN	1|Sg|Pres|_	0	root	_	_
3	ein	eine	A	ART	Indef|Neut|_|Sg	5	det	181	181
4	dumpfes	dumpf	A	ADJA	Pos|Neut|_|Sg|St|	5	attr	181	181
5	Rollen	Rolle	N	NN	Neut|_|Sg	2	obja	181	181
6	und	und	K	KON	_	5	kon	_	_
7	Krachen	Krachen	N	NN	Neut|_|Sg	6	cj	_	_
8	in	in	P	APPR	_	2	pp	_	_
9	meinen	meine	A	PPOSAT	Masc|_|Sg	10	det	161	161
10	Traum	Traum	N	NN	Masc|_|Sg	8	pn	_	_
11	von	von	P	APPR	_	10	pp	_	_
12	der	die	A	ART	Def|Fem|_|Sg	14	det	41	41
13	roten	rot	A	ADJA	Pos|Fem|_|Sg|Wk|	14	attr	41	41
14	Schanze	Schanze	N	NN	Fem|_|Sg	11	pn	41	41
15	hinein	hinein	P	PTKVZ	_	2	avz	_	_
16	;	;	$	$.	_	0	root	_	_
17	aber	aber	K	KON	_	0	root	_	_
18	es	es	P	PPER	3|Sg|Neut|Nom	19	subj	_	_
19	ist	sein	V	VAFIN	3|Sg|Pres|Ind	17	cj	_	_
20	nicht	nicht	P	PTKNEG	_	19	adv	_	_
21	der	die	A	ART	Def|Masc|Nom|Sg	23	det	_	_
22	kursächsische	kursächsisch	A	ADJA	Pos|Masc|Nom|Sg|Wk|	23	attr	_	_
23	Kanonendonner	Kanonendonner	N	NN	Masc|Nom|Sg	19	pred	_	_
24	gegen	gegen	P	APPR	Acc	23	pp	_	_
25	den	die	A	ART	Def|Masc|Acc|Sg	26	det	562	562
26	König	König	N	NN	Masc|Acc|Sg	24	pn	562	562
27	Fritz	Fritz	N	NE	Masc|Acc|Sg	26	app	562	562
28	von	von	P	APPR	_	26	pp	_	_
29	Preußen	Preuße	N	NN	_|_|_	28	pn	563	563
30	:	\:	$	$.	_	0	root	_	_
31	es	es	P	PPER	3|Sg|Neut|Nom	32	subj	_	_
32	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
33	das	die	A	ART	Def|Neut|Nom|Sg	34	det	162	162
34	Gewitter	Gewitter	N	NN	Neut|Nom|Sg	32	pred	162	162
35	,	,	$	$,	_	0	root	_	_
36	bei	bei	P	APPR	Dat	39	pp	_	_
37	dem	die	A	ART	Def|Neut|Dat|Sg	38	det	163	163
38	Störzer	Störzer	N	NN	Neut|Dat|Sg	36	pn	163	163
39	sagt	sagen	V	VVFIN	_|_|Pres|Ind	32	kon	_	_
40	:	\:	$	$.	_	0	root	_	_
41	»	»	$	$(	_	0	root	_	_
42	Es	es	P	PPER	3|Sg|Neut|Nom	43	subj	_	_
43	kommt	kommen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
44	doch	doch	A	ADV	_	43	adv	_	_
45	noch	noch	A	ADV	_	43	adv	_	_
46	rascher	rasch	A	ADJD	Comp|	43	adv	_	_
47	über	über	P	APPR	_	43	objp	_	_
48	uns	wir	P	PPER	1|Pl|_|_	47	pn	_	_
49	,	,	$	$,	_	0	root	_	_
50	als	als	K	KOUS	_	53	konj	_	_
51	ich	ich	P	PPER	1|Sg|_|Nom	53	subj	161	161
52	mir	ich	P	PRF	1|Sg|Dat	53	objd	_	_
53	dachte	denken	V	VVFIN	1|Sg|Past|Ind	43	neb	_	_
54	.	.	$	$.	_	0	root	_	_

