1	Nettchen	Nettchen	N	NE	_	0	root	31	31
10	«	«	$	$(	_	0	root	_	_
11	,	,	$	$,	_	0	root	_	_
12	rief	rufen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
13	er	er	P	PPER	3|Sg|Masc|Nom	12	subj	0	0
14	eifrig	eifrig	A	ADJD	Pos|	12	adv	_	_
15	,	,	$	$,	_	0	root	_	_
16	»	»	$	$(	_	0	root	_	_
17	ich	ich	P	PPER	1|Sg|_|Nom	18	subj	0	0
18	werde	werden	V	VAFIN	1|Sg|Pres|_	0	root	_	_
19	das	die	P	PDS	Neut|_|Sg	20	obja	_	_
20	besorgen	besorgen	V	VVINF	_	18	aux	_	_
21	!	!	$	$.	_	0	root	_	_
22	«	«	$	$(	_	0	root	_	_

1	Doch	doch	K	KON	_	0	root	_	_
2	der	die	A	ART	Def|Masc|Nom|Sg	3	det	3	3
3	Herr	Herr	N	NN	Masc|Nom|Sg	5	subj	3	3
4	Graf	Graf	N	NE	_|Nom|Sg	3	app	3	3
5	fiel	fallen	V	VVFIN	3|Sg|Past|Ind	1	cj	_	_
6	ihm	er	P	PPER	3|Sg|_|Dat	5	objd	1	1
7	ebenso	ebenso	A	ADV	_	8	adv	_	_
8	erschrocken	erschreckt	A	ADJD	Pos|	5	adv	_	_
9	in	in	P	APPR	Acc	5	objp	_	_
10	den	die	A	ART	Def|Masc|Acc|Sg	11	det	_	_
11	Arm	Arm	N	NN	Masc|Acc|Sg	9	pn	_	_
12	und	und	K	KON	_	5	kon	_	_
13	sagte	sagen	V	VVFIN	_|Sg|Past|_	12	cj	_	_
14	bewegt	bewegen	V	VVPP	_	13	neb	_	_
15	:	\:	$	$.	_	0	root	_	_
16	»	»	$	$(	_	0	root	_	_
17	Lassen	lassen	V	VVFIN	3|Pl|Pres|_	0	root	_	_
18	Sie	sie	P	PPER	3|Pl|_|Nom	17	subj	2	2
19	,	,	$	$,	_	0	root	_	_
20	es	es	P	PPER	3|Sg|Neut|Nom	21	subj	_	_
21	darf	dürfen	V	VMFIN	3|Sg|Pres|Ind	17	kon	_	_
22	nicht	nicht	P	PTKNEG	_	23	adv	_	_
23	sein	sein	V	VAINF	_	21	aux	_	_
24	!	!	$	$.	_	0	root	_	_

1	Man	man	P	PIS	_|Nom|Sg	2	subj	_	_
2	muß	müssen	V	VMFIN	3|Sg|Pres|Ind	0	root	_	_
3	meine	meine	A	PPOSAT	Fem|_|Sg	4	det	0	0
4	Spur	Spur	N	NN	Fem|_|Sg	5	obja	_	_
5	verlieren	verlieren	V	VVINF	_	2	aux	_	_
6	für	für	P	APPR	Acc	5	pp	_	_
7	einige	einige	A	PIAT	Fem|Acc|Sg	8	det	6	6
8	Zeit	Zeit	N	NN	Fem|Acc|Sg	6	pn	6	6
9	«	«	$	$(	_	0	root	_	_
10	,	,	$	$,	_	0	root	_	_
11	setzte	setzen	V	VVFIN	3|Sg|Past|_	0	root	_	_
12	er	er	P	PPER	3|Sg|Masc|Nom	11	subj	3	3
13	hinzu	hinzu	P	PTKVZ	_	11	avz	_	_
14	,	,	$	$,	_	0	root	_	_
15	selbst	selbst	A	ADV	_	16	adv	_	_
16	betreten	betreten	V	VVFIN	_|Pl|Pres|_	11	kon	_	_
17	über	über	P	APPR	Acc	16	pp	_	_
18	diese	diese	A	PDAT	Fem|Acc|Sg	19	det	_	_
19	Erfindung	Erfindung	N	NN	Fem|Acc|Sg	17	pn	_	_
20	.	.	$	$.	_	0	root	_	_

1	Der	die	A	ART	Def|Masc|Nom|Sg	2	det	0	0
2	Wirt	Wirt	N	NN	Masc|Nom|Sg	3	subj	0	0
3	ging	gehen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
4	erstaunt	erstaunt	A	ADJD	Pos|	3	adv	_	_
5	zu	zu	P	APPR	Dat	3	objp	_	_
6	den	die	A	ART	Def|Masc|Acc|Sg	7	det	_	_
7	Punsch	Punsch	N	NN	Masc|Acc|Sg	8	obja	_	_
8	trinkenden	trinkend	A	ADJA	Pos|Masc|Dat|Pl|_|<PPRES	9	attr	_	_
9	Gästen	Gast	N	NN	Masc|Dat|Pl	5	pn	_	_
10	,	,	$	$,	_	0	root	_	_
11	erzählte	erzählen	V	VVFIN	_|Sg|Past|_	3	kon	_	_
12	ihnen	sie	P	PPER	3|Pl|_|Dat	11	objd	2	2
13	den	die	A	ART	Def|Masc|Acc|Sg	14	det	_	_
14	Fall	Fall	N	NN	Masc|Acc|Sg	11	obja	_	_
15	und	und	K	KON	_	11	kon	_	_
16	schloß	schloß	V	VVFIN	_	15	cj	_	_
17	mit	mit	P	APPR	Dat	16	pp	_	_
18	dem	die	A	ART	Def|Masc|Dat|Sg	19	det	_	_
19	Ausspruche	Ausspruch	N	NN	Masc|Dat|Sg	17	pn	_	_
20	,	,	$	$,	_	0	root	_	_
21	daß	daß	K	KOUS	_	0	root	_	_
22	der	die	A	ART	Def|Masc|Nom|Sg	23	det	3	3
23	Graf	Graf	N	NN	Masc|Nom|Sg	0	root	3	3
24	unzweifelhaft	unzweifelhaft	A	ADJD	Pos|	26	adv	_	_
25	ein	eine	A	ART	Indef|Neut|_|Sg	26	det	_	_
26	Opfer	Opfer	N	NN	Neut|_|Sg	0	root	_	_
27	politischer	politisch	A	ADJA	Pos|_|_|_|St|	0	root	_	_
28	oder	oder	K	KON	_	0	root	_	_
29	der	die	A	ART	Def|Fem|Dat|Sg	30	det	_	_
30	Familienverfolgung	Familienverfolgung	N	NN	Fem|Dat|Sg	31	objd	_	_
31	sein	sein	V	VAINF	_	32	aux	_	_
32	müsse	müssen	V	VMFIN	_|Sg|Pres|Subj	28	cj	_	_
33	;	;	$	$.	_	0	root	_	_
34	denn	denn	K	KON	_	0	root	_	_
35	um	um	P	APPR	Acc	38	pp	_	_
36	ebendiese	ebendiese	A	PDAT	Fem|Acc|Sg	37	det	_	_
37	Zeit	Zeit	N	NN	Fem|Acc|Sg	35	pn	_	_
38	wurden	werden	V	VAFIN	_|Pl|Past|Ind	34	cj	_	_
39	viele	viele	A	PIDAT	Masc|Nom|Pl	40	det	_	_
40	Polen	Pol	N	NN	Masc|Nom|Pl	38	subj	_	_
41	und	und	K	KON	_	40	kon	_	_
42	andere	andere	A	ADJA	_|Masc|Nom|Pl|_	43	attr	_	_
43	Flüchtlinge	Flüchtling	N	NN	Masc|Nom|Pl	41	cj	_	_
44	wegen	wegen	P	APPR	Gen	49	pp	_	_
45	gewaltsamer	gewaltsam	A	ADJA	Pos|Fem|Gen|Pl|St|	46	attr	_	_
46	Unternehmungen	Unternehmung	N	NN	Fem|Gen|Pl	44	pn	_	_
47	des	die	A	ART	Def|Neut|Gen|Sg	48	det	_	_
48	Landes	Land	N	NN	Neut|Gen|Sg	46	gmod	_	_
49	verwiesen	verweisen	V	VVPP	_	38	aux	_	_
50	;	;	$	$.	_	0	root	_	_
51	andere	andere	P	PIS	_|Nom|Pl	52	subj	_	_
52	wurden	werden	V	VAFIN	3|Pl|Past|Ind	0	root	_	_
53	von	von	P	APPR	_	56	pp	_	_
54	fremden	fremd	A	ADJA	Pos|Masc|_|_|_|	55	attr	_	_
55	Agenten	Agent	N	NN	Masc|_|_	53	pn	_	_
56	beobachtet	beobachten	V	VVPP	_	52	aux	_	_
57	und	und	K	KON	_	52	kon	_	_
58	umgarnt	umgarnen	V	VVFIN	_|_|Pres|Ind	57	cj	_	_
59	.	.	$	$.	_	0	root	_	_

1	Strapinski	Strapinski	N	NE	_|Nom|Sg	3	subj	4	4
2	aber	aber	A	ADV	_	1	adv	4	4
3	tat	tun	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
4	einen	eine	A	ART	Indef|Masc|Acc|Sg	6	det	_	_
5	guten	gut	A	ADJA	Pos|Masc|Acc|Sg|_|	6	attr	_	_
6	Schlaf	Schlaf	N	NN	Masc|Acc|Sg	3	obja	_	_
7	,	,	$	$,	_	0	root	_	_
8	und	und	K	KON	_	0	root	_	_
9	als	als	K	KOKOM	_	8	cj	_	_
10	er	er	P	PPER	3|Sg|Masc|Nom	9	cj	4	4
11	spät	spät	A	ADJD	Pos|	12	adv	_	_
12	erwachte	erwachen	V	VVFIN	_|Sg|Past|_	14	s	_	_
13	,	,	$	$,	_	0	root	_	_
14	sah	sehen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
15	er	er	P	PPER	3|Sg|Masc|Nom	14	subj	4	4
16	zunächst	zunächst	A	ADV	_	14	adv	_	_
17	den	die	A	ART	Def|Masc|Acc|Sg	19	det	_	_
18	prächtigen	prächtig	A	ADJA	Pos|Masc|Acc|Sg|_|	19	attr	_	_
19	Sonntagsschlafrock	Sonntagsschlafrock	N	NN	Masc|Acc|Sg	25	obja	_	_
20	des	die	A	ART	Def|_|Gen|Sg	21	det	_	_
21	Waagwirtes	Waagwirtes	N	NN	_|Gen|Sg	19	gmod	_	_
22	über	über	P	APPR	Acc	21	pp	_	_
23	einen	eine	A	ART	Indef|Masc|Acc|Sg	24	det	_	_
24	Stuhl	Stuhl	N	NN	Masc|Acc|Sg	22	pn	_	_
25	gehängt	hängen	V	VVPP	_	34	aux	_	_
26	,	,	$	$,	_	0	root	_	_
27	ferner	ferner	A	ADV	_	34	adv	_	_
28	ein	eine	A	ART	Indef|Neut|_|Sg	29	det	_	_
29	Tischchen	Tischchen	N	NN	Neut|_|Sg	34	obja	_	_
30	mit	mit	P	APPR	Dat	34	pp	_	_
31	allem	alle	A	PIDAT	Neut|Dat|Sg	33	det	_	_
32	möglichen	möglich	A	ADJA	Pos|Neut|Dat|Sg|Wk|	33	attr	_	_
33	Toilettenwerkzeug	Toilettenwerkzeug	N	NN	Neut|Dat|Sg	30	pn	_	_
34	bedeckt	bedecken	V	VVPP	_	14	obji	_	_
35	.	.	$	$.	_	0	root	_	_

1	Sodann	sodann	A	ADV	_	2	adv	_	_
2	harrten	harren	V	VVFIN	_|Pl|Past|_	0	root	_	_
3	eine	eine	A	ART	Indef|Fem|_|Sg	4	det	_	_
4	Anzahl	Anzahl	N	NN	Fem|Nom|Sg	2	subj	_	_
5	Dienstboten	Dienstbote	N	NN	Masc|Nom|Pl	4	app	_	_
6	,	,	$	$,	_	0	root	_	_
7	um	um	K	KOUI	_	0	root	_	_
8	Körbe	Korb	N	NN	Masc|_|Pl	12	obja	_	_
9	und	und	K	KON	_	8	kon	_	_
10	Koffer	Koffer	N	NN	Masc|_|_	9	cj	_	_
11	,	,	$	$,	_	0	root	_	_
12	angefüllt	anfüllen	V	VVPP	_	0	root	_	_
13	mit	mit	P	APPR	Dat	12	pp	_	_
14	feiner	fein	A	ADJA	Pos|Fem|Dat|Sg|St|	15	attr	_	_
15	Wäsche	Wäsche	N	NN	Fem|Dat|Sg	13	pn	_	_
16	,	,	$	$,	_	0	root	_	_
17	mit	mit	P	APPR	Dat	12	pp	_	_
18	Kleidern	Kleid	N	NN	_|Dat|_	17	pn	_	_
19	,	,	$	$,	_	0	root	_	_
20	mit	mit	P	APPR	Dat	12	pp	_	_
21	Zigarren	Zigarre	N	NN	Fem|Dat|Pl	20	pn	_	_
22	,	,	$	$,	_	0	root	_	_
23	mit	mit	P	APPR	Dat	12	pp	_	_
24	Büchern	Buch	N	NN	_|Dat|Pl	23	pn	_	_
25	,	,	$	$,	_	0	root	_	_
26	mit	mit	P	APPR	Dat	12	pp	_	_
27	Stiefeln	Stiefel	N	NN	_|Dat|_	26	pn	_	_
28	,	,	$	$,	_	0	root	_	_
29	mit	mit	P	APPR	Dat	12	pp	_	_
30	Schuhen	Schuh	N	NN	Masc|Dat|Pl	29	pn	_	_
31	,	,	$	$,	_	0	root	_	_
32	mit	mit	P	APPR	Dat	12	pp	_	_
33	Sporen	Spore	N	NN	_|Dat|Pl	32	pn	_	_
34	,	,	$	$,	_	0	root	_	_
35	mit	mit	P	APPR	Dat	12	pp	_	_
36	Reitpeitschen	Reitpeitsche	N	NN	_|Dat|_	35	pn	_	_
37	,	,	$	$,	_	0	root	_	_
38	mit	mit	P	APPR	Dat	12	pp	_	_
39	Pelzen	Pelz	N	NN	Masc|Dat|Pl	38	pn	_	_
40	,	,	$	$,	_	0	root	_	_
41	mit	mit	P	APPR	Dat	12	pp	_	_
42	Mützen	Mütze	N	NN	Fem|Dat|Pl	41	pn	_	_
43	,	,	$	$,	_	0	root	_	_
44	mit	mit	P	APPR	Dat	12	pp	_	_
45	Hüten	Hut	N	NN	_|Dat|_	44	pn	_	_
46	,	,	$	$,	_	0	root	_	_
47	mit	mit	P	APPR	Dat	12	pp	_	_
48	Socken	Socke	N	NN	_|Dat|_	47	pn	_	_
49	,	,	$	$,	_	0	root	_	_
50	mit	mit	P	APPR	Dat	12	pp	_	_
51	Strümpfen	Strumpf	N	NN	Masc|Dat|Pl	50	pn	_	_
52	,	,	$	$,	_	0	root	_	_
53	mit	mit	P	APPR	Dat	12	pp	_	_
54	Pfeifen	Pfeife	N	NN	_|Dat|_	53	pn	_	_
55	,	,	$	$,	_	0	root	_	_
56	mit	mit	P	APPR	Dat	60	pp	_	_
57	Flöten	Flöte	N	NN	_|Dat|_	56	pn	5	5
58	und	und	K	KON	_	57	kon	_	_
59	Geigen	Geige	N	NN	_|Dat|_	58	cj	_	_
60	abzugeben	abgeben	V	VVIZU	_	12	obji	_	_
61	von	von	P	APPR	_	60	pp	_	_
62	seiten	seiten	F	FM	_|_|_	61	pn	_	_
63	der	die	A	ART	Def|Masc|Gen|Pl	65	det	_	_
64	gestrigen	gestrig	A	ADJA	Pos|Masc|Gen|Pl|Wk|	65	attr	_	_
65	Freunde	Freund	N	NN	Masc|Gen|Pl	62	gmod	_	_
66	mit	mit	P	APPR	Dat	60	pp	_	_
67	der	die	A	ART	Def|Fem|Dat|Sg	69	det	_	_
68	angelegentlichen	angelegentlich	A	ADJA	Pos|Fem|Dat|Sg|Wk|	69	attr	_	_
69	Bitte	Bitte	N	NN	Fem|Dat|Sg	66	pn	_	_
70	,	,	$	$,	_	0	root	_	_
71	sich	sie	P	PRF	3|_|_	75	obja	_	_
72	dieser	diese	A	PDAT	Fem|Gen|Pl	73	det	_	_
73	Bequemlichkeiten	Bequemlichkeit	N	NN	Fem|Gen|Pl	75	objg	_	_
74	einstweilen	einstweilen	A	ADV	_	75	adv	_	_
75	bedienen	bedienen	V	VVINF	_	77	aux	_	_
76	zu	zu	P	PTKZU	_	77	part	_	_
77	wollen	wollen	V	VMINF	_	0	root	_	_
78	.	.	$	$.	_	0	root	_	_

1	Da	Da	K	KOUS	_	9	konj	_	_
2	sie	sie	P	PPER	3|Pl|_|Nom	9	subj	5	5
3	die	die	A	ART	Def|Fem|_|Pl	4	det	_	_
4	Vormittagsstunden	Vormittagsstunde	N	NN	Fem|_|Pl	9	obja	_	_
5	unabänderlich	unabänderlich	A	ADJD	Pos|	9	adv	_	_
6	in	in	P	APPR	Dat	9	pp	_	_
7	ihren	ihre	A	PPOSAT	Neut|Dat|Pl	8	det	5	5
8	Geschäften	Geschäft	N	NN	Neut|Dat|Pl	6	pn	_	_
9	verbrachten	verbringen	V	VVFIN	3|Pl|Past|Ind	11	neb	_	_
10	,	,	$	$,	_	0	root	_	_
11	ließen	lassen	V	VVFIN	3|Pl|Past|_	0	root	_	_
12	sie	sie	P	PPER	3|Pl|_|Nom	11	subj	5	5
13	ihre	ihre	A	PPOSAT	Masc|_|Pl	14	det	5	5
14	Besuche	Besuch	N	NN	Masc|_|Pl	11	obja	_	_
15	auf	auf	P	APPR	Acc	11	pp	_	_
16	die	die	A	ART	Def|Fem|Acc|Sg	17	det	6	6
17	Zeit	Zeit	N	NN	Fem|Acc|Sg	15	pn	6	6
18	nach	nach	P	APPR	Dat	11	pp	_	_
19	Tisch	Tisch	N	NN	Masc|Dat|Sg	18	pn	_	_
20	ansagen	ansagen	V	VVINF	_	11	obji	_	_
21	.	.	$	$.	_	0	root	_	_

1	Diese	diese	A	PDAT	_|Nom|Pl	2	det	7	7
2	Leute	Leute	N	NN	_|Nom|Pl	3	subj	7	7
3	waren	sein	V	VAFIN	3|Pl|Past|Ind	0	root	_	_
4	nichts	nichts	P	PIS	_|Dat|_	3	objd	_	_
5	weniger	weniger	A	ADV	_	4	adv	_	_
6	als	als	K	KOKOM	_	3	kom	_	_
7	lächerlich	lächerlich	A	ADJD	Pos|	13	adv	_	_
8	oder	oder	K	KON	_	7	kon	_	_
9	einfältig	einfältig	A	ADJD	Pos|	8	cj	_	_
10	,	,	$	$,	_	0	root	_	_
11	sondern	sondern	K	KON	_	9	kon	_	_
12	umsichtige	umsichtig	A	ADJA	Pos|_|_|_|_|	11	cj	_	_
13	Geschäftsmänner	Geschäftsmann	N	NN	Masc|_|Pl	6	cj	_	_
14	,	,	$	$,	_	0	root	_	_
15	mehr	mehr	A	ADV	_	16	adv	_	_
16	schlau	schlau	A	ADJD	Pos|	0	root	_	_
17	als	als	K	KOKOM	_	0	root	_	_
18	vernagelt	vernageln	V	VVPP	_	17	cj	_	_
19	;	;	$	$.	_	0	root	_	_
20	allein	allein	A	ADV	_	35	adv	_	_
21	da	da	K	KOUS	_	26	konj	_	_
22	ihre	ihre	A	PPOSAT	Fem|Nom|Sg	24	det	7	7
23	wohlbesorgte	wohlbesorgt	A	ADJA	Pos|Fem|Nom|Sg|_|	24	attr	16	16
24	Stadt	Stadt	N	NN	Fem|Nom|Sg	26	subj	16	16
25	klein	klein	A	ADJD	Pos|	26	pred	_	_
26	war	sein	V	VAFIN	3|Sg|Past|Ind	35	neb	_	_
27	und	und	K	KON	_	26	kon	_	_
28	es	es	P	PPER	3|Sg|Neut|Nom	33	subj	_	_
29	ihnen	sie	P	PPER	3|Pl|_|Dat	33	objd	7	7
30	manchmal	manchmal	A	ADV	_	33	adv	_	_
31	langweilig	langweilig	A	ADJD	Pos|	33	pred	_	_
32	darin	darin	P	PROAV	_	33	pp	_	_
33	vorkam	vorkommen	V	VVFIN	3|Sg|Past|Ind	27	cj	_	_
34	,	,	$	$,	_	0	root	_	_
35	waren	sein	V	VAFIN	3|Pl|Past|Ind	0	root	_	_
36	sie	sie	P	PPER	3|Pl|_|Nom	35	subj	7	7
37	stets	stets	A	ADV	_	35	adv	_	_
38	begierig	begierig	A	ADJD	Pos|	35	pred	_	_
39	auf	auf	P	APPR	Acc	35	pp	_	_
40	eine	eine	A	ART	Indef|Fem|Acc|Sg	41	det	_	_
41	Abwechslung	Abwechslung	N	NN	Fem|Acc|Sg	39	pn	_	_
42	,	,	$	$,	_	0	root	_	_
43	ein	eine	A	ART	Indef|Neut|Acc|Sg	44	det	_	_
44	Ereignis	Ereignis	N	NN	Neut|Acc|Sg	41	app	_	_
45	,	,	$	$,	_	0	root	_	_
46	einen	eine	A	ART	Indef|Masc|Acc|Sg	47	det	8	8
47	Vorgang	Vorgang	N	NN	Masc|Acc|Sg	35	obja	8	8
48	,	,	$	$,	_	0	root	8	8
49	dem	die	P	PRELS	Masc|Dat|Sg	54	objd	8	8
50	sie	sie	P	PPER	3|Pl|_|Nom	54	subj	7	7
51	sich	sie	P	PRF	3|_|_	54	obja	_	_
52	ohne	ohne	P	APPR	Acc	54	pp	_	_
53	Rückhalt	Rückhalt	N	NN	Masc|Acc|Sg	52	pn	_	_
54	hingaben	hingeben	V	VVFIN	3|Pl|Past|Ind	47	rel	_	_
55	.	.	$	$.	_	0	root	_	_

1	Der	die	A	ART	Def|Masc|Nom|Sg	3	det	_	_
2	vierspännige	vierspännig	A	ADJA	Pos|Masc|Nom|Sg|Wk|	3	attr	_	_
3	Wagen	Wage	N	NN	Masc|Nom|Sg	0	root	_	_
4	,	,	$	$,	_	0	root	_	_
5	das	die	A	ART	Def|Neut|Nom|Sg	6	det	_	_
6	Aussteigen	Aussteig	N	NN	Neut|Nom|Sg	3	kon	_	_
7	des	die	A	ART	Def|_|Gen|Sg	8	det	9	9
8	Fremden	Fremde	N	NN	_|Gen|Sg	6	gmod	9	9
9	,	,	$	$,	_	0	root	_	_
10	sein	seine	A	PPOSAT	_|Nom|Sg	11	det	9	9
11	Mittagessen	Mittagessen	N	NN	_|Nom|Sg	6	kon	_	_
12	,	,	$	$,	_	0	root	_	_
13	die	die	A	ART	Def|Fem|Nom|Sg	14	det	_	_
14	Aussage	Aussage	N	NN	Fem|Nom|Sg	17	pred	_	_
15	des	die	A	ART	Def|Masc|Gen|Sg	16	det	10	10
16	Kutschers	Kutscher	N	NN	Masc|Gen|Sg	14	gmod	10	10
17	waren	sein	V	VAFIN	3|Pl|Past|Ind	0	root	_	_
18	so	so	A	ADV	_	19	adv	_	_
19	einfache	einfach	A	ADJA	Pos|Neut|Nom|Pl|St|	22	attr	_	_
20	und	und	K	KON	_	19	kon	_	_
21	natürliche	natürlich	A	ADJA	Pos|_|Nom|_|_|	20	cj	_	_
22	Dinge	Ding	N	NN	Neut|Nom|Pl	17	subj	_	_
23	,	,	$	$,	_	0	root	_	_
24	daß	daß	K	KOUS	_	0	root	_	_
25	die	die	A	ART	Def|_|_|_	26	det	_	_
26	Goldacher	Goldacher	N	NN	_|_|_	0	root	_	_
27	,	,	$	$,	_	0	root	_	_
28	welche	welche	A	PWAT	_|_|_	0	root	_	_
29	keinem	keine	A	PIAT	Masc|Dat|Sg	31	det	_	_
30	müßigen	müßig	A	ADJA	Pos|Masc|Dat|Sg|Wk|	31	attr	_	_
31	Argwohn	Argwohn	N	NN	Masc|Dat|Sg	32	objd	_	_
32	nachzuhängen	nachhängen	V	VVIZU	_	33	obji	_	_
33	pflegten	pflegen	V	VVFIN	_|Pl|Past|_	0	root	_	_
34	,	,	$	$,	_	0	root	_	_
35	ein	eine	A	ART	Indef|Neut|_|Sg	36	det	_	_
36	Ereignis	Ereignis	N	NN	Neut|_|Sg	38	obja	_	_
37	darauf	darauf	P	PROAV	_	38	pp	_	_
38	aufbauten	aufbauen	V	VVFIN	_|Pl|Past|_	0	root	_	_
39	wie	wie	K	KOKOM	_	38	kom	_	_
40	auf	auf	P	APPR	Acc	39	cj	_	_
41	einen	eine	A	ART	Indef|Masc|Acc|Sg	42	det	_	_
42	Felsen	Fels	N	NN	Masc|Acc|Sg	40	pn	_	_
43	.	.	$	$.	_	0	root	_	_

1	Als	Als	K	KOKOM	_	4	kom	11	11
2	Strapinski	Strapinski	N	NN	_	1	cj	4	4
3	das	die	A	ART	Def|Neut|Nom|Sg	4	det	_	_
4	Warenlager	Warenlager	N	NN	Neut|Nom|Sg	5	subj	_	_
5	sah	sehen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
6	,	,	$	$,	_	0	root	_	_
7	das	die	P	PRELS	Neut|Nom|Sg	11	subj	11	11
8	sich	sie	P	PRF	3|_|_	11	obja	_	_
9	vor	vor	P	APPR	Dat	11	pp	_	_
10	ihm	er	P	PPER	3|Sg|_|Dat	9	pn	1	1
11	ausbreitete	ausbreiten	V	VVFIN	3|Sg|Past|_	4	rel	_	_
12	,	,	$	$,	_	0	root	_	_
13	war	sein	V	VAFIN	3|Sg|Past|Ind	5	kon	_	_
14	seine	seine	A	PPOSAT	Fem|Nom|Sg	16	det	11	11
15	erste	erst	A	ADJA	_|Fem|Nom|Sg|_|	16	attr	_	_
16	Bewegung	Bewegung	N	NN	Fem|Nom|Sg	13	pred	_	_
17	,	,	$	$,	_	0	root	_	_
18	daß	daß	K	KOUS	_	23	konj	_	_
19	er	er	P	PPER	3|Sg|Masc|Nom	23	subj	1	1
20	in	in	P	APPR	Acc	19	pp	_	_
21	seine	seine	A	PPOSAT	Fem|Acc|Sg	22	det	11	11
22	Tasche	Tasche	N	NN	Fem|Acc|Sg	20	pn	_	_
23	griff	greifen	V	VVFIN	3|Sg|Past|Ind	13	objc	_	_
24	,	,	$	$,	_	0	root	_	_
25	um	um	K	KOUI	_	27	konj	_	_
26	zu	zu	P	PTKZU	_	27	part	_	_
27	erfahren	erfahren	V	VVINF	_	23	neb	_	_
28	,	,	$	$,	_	0	root	_	_
29	ob	ob	K	KOUS	_	31	konj	_	_
30	er	er	P	PPER	3|Sg|Masc|Nom	31	subj	1	1
31	träume	träumen	V	VVFIN	3|Sg|Pres|Subj	27	objc	_	_
32	oder	oder	K	KON	_	31	kon	_	_
33	wache	wachen	V	VVFIN	_|Sg|Pres|_	32	cj	_	_
34	.	.	$	$.	_	0	root	_	_

1	Wenn	wenn	K	KOUS	_	9	konj	_	_
2	sein	seine	A	PPOSAT	Masc|Nom|Sg	3	det	1	1
3	Fingerhut	Fingerhut	N	NN	Masc|Nom|Sg	9	subj	12	12
4	dort	dort	A	ADV	_	9	adv	_	_
5	noch	noch	A	ADV	_	9	adv	_	_
6	in	in	P	APPR	Dat	9	pp	_	_
7	seiner	seine	A	PPOSAT	Fem|Dat|Sg	8	det	12	12
8	Einsamkeit	Einsamkeit	N	NN	Fem|Dat|Sg	6	pn	_	_
9	weilte	weilen	V	VVFIN	3|Sg|Past|_	12	neb	_	_
10	,	,	$	$,	_	0	root	_	_
11	so	so	A	ADV	_	12	adv	_	_
12	träumte	träumen	V	VVFIN	3|Sg|Past|_	0	root	_	_
13	er	er	P	PPER	3|Sg|Masc|Nom	12	subj	12	12
14	.	.	$	$.	_	0	root	_	_

1	Aber	aber	K	KON	_	0	root	_	_
2	nein	nein	P	PTKANT	_	0	root	_	_
3	,	,	$	$,	_	0	root	_	_
4	der	die	A	ART	Def|Masc|Nom|Sg	5	det	12	12
5	Fingerhut	Fingerhut	N	NN	Masc|Nom|Sg	6	subj	12	12
6	wohnte	wohnen	V	VVFIN	3|Sg|Past|_	0	root	_	_
7	traulich	traulich	A	ADJD	Pos|	6	adv	_	_
8	zwischen	zwischen	P	APPR	Dat	7	pp	_	_
9	dem	die	A	ART	Def|Neut|Dat|Sg	11	det	_	_
10	gewonnenen	gewonnen	A	ADJA	Pos|Neut|Dat|Sg|Wk|	11	attr	_	_
11	Spielgelde	Spielgeld	N	NN	Neut|Dat|Sg	8	pn	_	_
12	und	und	K	KON	_	6	kon	_	_
13	scheuerte	scheuern	V	VVFIN	_|Sg|Past|_	12	cj	_	_
14	sich	sie	P	PRF	3|_|_	13	obja	_	_
15	freundschaftlich	freundschaftlich	A	ADJD	Pos|	13	adv	_	_
16	an	an	P	APPR	_	13	pp	_	_
17	den	die	A	ART	Def|Masc|_|_	18	det	_	_
18	Talern	Taler	N	NN	Masc|_|_	16	pn	_	_
19	;	;	$	$.	_	0	root	_	_
20	so	so	A	ADV	_	21	adv	_	_
21	ergab	ergeben	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
22	sich	sie	P	PRF	3|_|_	21	obja	_	_
23	auch	auch	A	ADV	_	21	adv	_	_
24	sein	seine	A	PPOSAT	_|Nom|Sg	25	det	12	12
25	Gebieter	Gebieter	N	NN	_|Nom|Sg	21	subj	13	13
26	wiederum	wiederum	A	ADV	_	21	adv	_	_
27	in	in	P	APPR	Acc	21	pp	_	_
28	das	die	A	ART	Def|Neut|Acc|Sg	29	det	_	_
29	Ding	Ding	N	NN	Neut|Acc|Sg	27	pn	_	_
30	und	und	K	KON	_	21	kon	_	_
31	stieg	steigen	V	VVFIN	_|Sg|Past|Ind	30	cj	_	_
32	von	von	P	APPR	Dat	31	pp	_	_
33	seinen	seine	A	PPOSAT	Neut|Dat|_	34	det	13	13
34	Zimmern	Zimmer	N	NN	Neut|Dat|_	32	pn	_	_
35	herunter	herunter	A	ADV	_	31	adv	_	_
36	auf	auf	P	APPR	Acc	31	pp	_	_
37	die	die	A	ART	Def|_|Acc|_	38	det	_	_
38	Straße	Straß	N	NN	_|Acc|_	36	pn	_	_
39	,	,	$	$,	_	0	root	_	_
40	um	um	K	KOUI	_	45	konj	_	_
41	sich	sie	P	PRF	3|_|Dat	45	objd	_	_
42	die	die	A	ART	Def|Fem|_|Sg	43	det	14	14
