1	›	›	N	NE	_|Nom|Sg	2	subj	285	285
9	nicht	nicht	P	PTKNEG	_	7	adv	_	_
10	wieder	wieder	A	ADV	_	7	adv	_	_
11	.	.	$	$.	_	0	root	_	_

1	Alles	alle	P	PIS	_|_|Sg	0	root	_	_
2	,	,	$	$,	_	0	root	_	_
3	was	was	P	PRELS	Neut|_|Sg	0	root	_	_
4	noch	noch	A	ADV	_	6	adv	_	_
5	zu	zu	P	PTKZU	_	6	part	_	_
6	tun	tun	V	VVINF	_	0	root	_	_
7	oder	oder	K	KON	_	6	kon	_	_
8	zu	zu	P	PTKZU	_	9	part	_	_
9	sagen	sagen	V	VVINF	_	7	cj	_	_
10	bleibt	bleiben	V	VVFIN	_|_|Pres|Ind	0	root	_	_
11	,	,	$	$,	_	0	root	_	_
12	wird	werden	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
13	durch	durch	P	APPR	Acc	12	pp	_	_
14	andere	andere	P	PIS	_|Acc|_	13	pn	_	_
15	geschehen	geschehen	V	VVINF	_	0	root	_	_
16	.	.	$	$.	_	0	root	_	_
17	«	«	$	$(	_	0	root	_	_

