1	Sieh	Sieh	N	NE	_	4	vok	452	452
42	ausdrückte	ausdrücken	V	VVFIN	3|Sg|Past|_	0	root	_	_
43	,	,	$	$,	_	0	root	_	_
44	Melanie	Melanie	N	NE	Fem|_|Sg	0	root	20	20
45	seine	seine	A	PPOSAT	Fem|_|Sg	46	det	1	1
46	Aufnahme	Aufnahme	N	NN	Fem|_|Sg	47	obja	_	_
47	betrieben	betreiben	V	VVFIN	_|Pl|Past|_	0	root	_	_
48	und	und	K	KON	_	47	kon	_	_
49	durchgesetzt	durchsetzen	V	VVPP	_	50	aux	_	_
50	hatte	haben	V	VAFIN	_|Sg|Past|Ind	48	cj	_	_
51	.	.	$	$.	_	0	root	_	_

1	Die	die	A	ART	Def|Fem|_|Sg	6	det	344	344
2	bei	bei	P	APPR	Dat	5	pp	344	344
3	dieser	diese	A	PDAT	Fem|Dat|Sg	4	det	202	202
4	Gelegenheit	Gelegenheit	N	NN	Fem|Dat|Sg	2	pn	202	202
5	abgegebene	abgegeben	A	ADJA	Pos|Fem|_|Sg|_|	6	attr	_	_
6	Bemerkung	Bemerkung	N	NN	Fem|_|Sg	0	root	_	_
7	ihres	ihre	A	PPOSAT	_|Gen|Sg	8	det	202	202
8	Eheherrn	Eheherrn	N	NN	_|Gen|Sg	6	gmod	203	203
9	,	,	$	$,	_	0	root	_	_
10	»	»	$	$(	_	0	root	_	_
11	daß	daß	K	KOUS	_	18	konj	_	_
12	er	er	P	PPER	3|Sg|Masc|Nom	18	subj	203	203
13	gegen	gegen	P	APPR	Acc	17	pp	_	_
14	den	die	A	ART	Def|Masc|Acc|Sg	15	det	_	_
15	Aufzunehmenden	Aufzunehmende	N	NN	Masc|Acc|Sg	13	pn	_	_
16	nichts	nichts	P	PIS	_	17	obja	_	_
17	einzuwenden	einwenden	V	VVIZU	_	18	obji	_	_
18	habe	haben	V	VAFIN	3|Sg|Pres|Subj	0	root	_	_
19	,	,	$	$,	_	0	root	_	_
20	wenn	wenn	K	KOUS	_	0	root	_	_
21	er	er	P	PPER	3|Sg|Masc|Nom	0	root	203	203
22	einfach	einfach	A	ADJD	Pos|	23	adv	_	_
23	übertreten	übertreten	V	VVFIN	_|Pl|Pres|_	0	root	_	_
24	und	und	K	KON	_	0	root	_	_
25	seine	seine	A	PPOSAT	Fem|_|Sg	26	det	203	203
26	Zugehörigkeit	Zugehörigkeit	N	NN	Fem|_|Sg	24	cj	_	_
27	zu	zu	P	APPR	Dat	31	pp	_	_
28	der	die	A	ART	Def|Fem|Dat|Sg	30	det	460	460
29	alleinseligmachenden	alleinseligmachend	A	ADJA	Pos|Fem|Dat|Sg|Wk|<PPRES	30	attr	460	460
30	Musik	Musik	N	NN	Fem|Dat|Sg	27	pn	460	460
31	offen	offen	A	ADJD	Pos|	34	adv	_	_
32	und	und	K	KON	_	31	kon	_	_
33	ehrlich	ehrlich	A	ADJD	Pos|	32	cj	_	_
34	aussprechen	aussprechen	V	VVINF	_	35	aux	_	_
35	wolle	wollen	V	VMFIN	_|Sg|Pres|Subj	0	root	_	_
36	«	«	$	$(	_	0	root	_	_
37	,	,	$	$,	_	0	root	_	_
38	war	sein	V	VAFIN	_|Sg|Past|Ind	0	root	_	_
39	von	von	P	APPR	Dat	47	pp	_	_
40	dem	die	A	ART	Def|_|Dat|Sg	43	det	_	_
41	immer	immer	A	ADV	_	42	adv	_	_
42	gutgelaunten	gutgelaunt	A	ADJA	Pos|_|Dat|Sg|Wk|	43	attr	_	_
43	Elimar	Elimar	N	NN	_|Dat|Sg	39	pn	_	_
44	mit	mit	P	APPR	Dat	47	pp	_	_
45	der	die	A	ART	Def|Fem|Dat|Sg	46	det	_	_
46	Bitte	Bitte	N	NN	Fem|Dat|Sg	44	pn	_	_
47	beantwortet	beantworten	V	VVPP	_	48	aux	_	_
48	worden	werden	V	VAPP	_	38	aux	_	_
49	,	,	$	$,	_	0	root	_	_
50	»	»	$	$(	_	0	root	_	_
51	ihm	er	P	PPER	3|Sg|_|Dat	54	objd	1	1
52	diesen	diese	A	PDAT	Masc|Acc|Sg	53	det	_	_
53	Schritt	Schritt	N	NN	Masc|Acc|Sg	54	obja	_	_
54	erlassen	erlassen	V	VVINF	_	56	aux	_	_
55	zu	zu	P	PTKZU	_	56	part	_	_
56	wollen	wollen	V	VMINF	_	0	root	_	_
57	,	,	$	$,	_	0	root	_	_
58	und	und	K	KON	_	0	root	_	_
59	zwar	zwar	A	ADV	_	60	adv	_	_
60	einfach	einfach	A	ADJD	Pos|	58	cj	_	_
61	deshalb	deshalb	P	PROAV	_	60	pp	_	_
62	,	,	$	$,	_	0	root	_	_
63	weil	weil	K	KOUS	_	74	konj	_	_
64	doch	doch	A	ADV	_	73	adv	_	_
65	schließlich	schließlich	A	ADV	_	73	adv	_	_
66	nur	nur	A	ADV	_	73	adv	_	_
67	das	die	A	ART	Def|Neut|Nom|Sg	68	det	_	_
68	Gegenteil	Gegenteil	N	NN	Neut|Nom|Sg	74	subj	_	_
69	von	von	P	APPR	Dat	68	pp	_	_
70	dem	die	A	ART	Def|_|Dat|Sg	71	det	_	_
71	Gewünschten	Gewünschte	N	NN	_|Dat|Sg	69	pn	_	_
72	dabei	dabei	P	PROAV	_	73	pp	_	_
73	herauskommen	herauskommen	V	VVINF	_	74	aux	_	_
74	würde	werden	V	VAFIN	3|Sg|Past|Subj	0	root	_	_
75	.	.	$	$.	_	0	root	_	_

1	Denn	denn	K	KON	_	0	root	_	_
2	während	während	K	KOUS	_	12	konj	_	_
3	er	er	P	PPER	3|Sg|Masc|Nom	12	subj	201	201
4	jetzt	jetzt	A	ADV	_	11	adv	_	_
5	als	als	K	KOKOM	_	11	kom	_	_
6	Maler	Maler	N	NN	_	5	cj	_	_
7	allgemein	allgemein	A	ADJD	Pos|	11	pred	_	_
8	für	für	P	APPR	Acc	11	objp	_	_
9	einen	eine	A	ART	Indef|Masc|Acc|Sg	10	det	_	_
10	Musiker	Musiker	N	NN	Masc|Acc|Sg	8	pn	_	_
11	gehalten	halten	V	VVPP	_	12	aux	_	_
12	werde	werden	V	VAFIN	3|Sg|Pres|Subj	1	cj	_	_
13	,	,	$	$,	_	0	root	_	_
14	werd	werd	F	FM	_	23	obja	_	_
15	'	'	$	$(	_	0	root	_	_
16	er	er	P	PPER	3|Sg|Masc|Nom	23	pred	201	201
17	als	als	K	KOKOM	_	16	kom	_	_
18	Musiker	Musiker	N	NN	Masc|_|_	17	cj	_	_
19	sicherlich	sicherlich	A	ADV	_	18	adv	_	_
20	für	für	P	APPR	Acc	18	pp	_	_
21	einen	eine	A	ART	Indef|Masc|Acc|Sg	22	det	_	_
22	Maler	Maler	N	NN	Masc|Acc|Sg	20	pn	_	_
23	gehalten	halten	V	VVPP	_	12	neb	_	_
24	und	und	K	KON	_	23	kon	_	_
25	dadurch	dadurch	P	PROAV	_	38	pp	_	_
26	vom	von	P	APPRART	Dat	38	pp	_	_
27	Standpunkte	Standpunkt	N	NN	Masc|Dat|Sg	26	pn	_	_
28	des	die	A	ART	Def|Masc|Gen|Sg	29	det	_	_
29	Herrn	Herrn	N	NN	Masc|Gen|Sg	27	gmod	_	_
30	Kommerzienrats	Kommerzienrat	N	NN	Masc|Gen|Sg	29	app	_	_
31	aus	aus	A	APZR	_	26	part	_	_
32	in	in	P	APPR	Acc	38	pp	_	_
33	die	die	A	ART	Def|Fem|Acc|Sg	36	det	_	_
34	relativ	relativ	A	ADJD	Pos|	35	adv	_	_
35	höhere	hoch	A	ADJA	Comp|Fem|Acc|Sg|_|	36	attr	_	_
36	Rangstufe	Rangstufe	N	NN	Fem|Acc|Sg	32	pn	_	_
37	wieder	wieder	A	ADV	_	38	adv	_	_
38	hinaufgehoben	hinaufheben	V	VVPP	_	24	cj	_	_
39	werden	werden	V	VAINF	_	0	root	_	_
40	«	«	$	$(	_	0	root	_	_
41	.	.	$	$.	_	0	root	_	_

1	Diesem	diese	A	PDAT	_|Dat|Sg	2	det	_	_
2	Verwandten-	Verwandten-	T	TRUNC	_|Dat|Sg	12	objd	_	_
3	und	und	K	KON	_	2	kon	_	_
4	Freundeskreise	Freundeskreis	N	NN	_|_|_	3	cj	_	_
5	waren	sein	V	VAFIN	3|Pl|Past|Ind	0	root	_	_
6	die	die	A	ART	Def|_|Nom|Pl	11	det	_	_
7	zu	zu	P	APPR	Dat	11	pp	_	_
8	heute	heute	A	ADV	_	10	adv	_	_
9	sieben	sieben	C	CARD	_	10	attr	_	_
10	Uhr	Uhr	N	NN	Fem|Dat|Sg	7	pn	_	_
11	Geladenen	Geladene	N	NN	_|Nom|Pl	5	subj	_	_
12	entnommen	entnehmen	V	VVPP	_	5	aux	_	_
13	.	.	$	$.	_	0	root	_	_

1	Denn	denn	K	KON	_	0	root	_	_
2	van	van	N	NE	_|Nom|Sg	5	subj	1	1
3	der	die	A	ART	Def|_|Gen|_	4	det	8	8
4	Straaten	Straaten	N	NN	_|Gen|_	2	gmod	1	1
5	liebte	lieben	V	VVFIN	3|Sg|Past|_	1	cj	_	_
6	die	die	A	ART	Def|Neut|_|Pl	7	det	_	_
7	Spätdiners	Spätdiner	N	NN	Neut|_|Pl	5	obja	_	_
8	und	und	K	KON	_	5	kon	_	_
9	erging	ergehen	V	VVFIN	_|Sg|Past|Ind	8	cj	_	_
10	sich	sie	P	PRF	3|_|Dat	9	objd	_	_
11	mitunter	mitunter	A	ADV	_	9	adv	_	_
12	in	in	P	APPR	_	9	pp	_	_
13	nicht	nicht	P	PTKNEG	_	14	adv	_	_
14	üblen	übel	A	ADJA	Pos|Fem|_|Pl|_|	15	attr	_	_
15	Bemerkungen	Bemerkung	N	NN	Fem|_|Pl	12	pn	_	_
16	über	über	P	APPR	Acc	15	pp	_	_
17	den	die	A	ART	Def|Masc|Acc|Sg	19	det	_	_
18	gewaltigen	gewaltig	A	ADJA	Pos|Masc|Acc|Sg|_|	19	attr	_	_
19	Unterschied	Unterschied	N	NN	Masc|Acc|Sg	16	pn	_	_
20	zwischen	zwischen	P	APPR	Dat	19	pp	_	_
21	einer	eine	P	PIS	Fem|Dat|Sg	20	pn	_	_
22	um	um	P	APPR	_	21	pp	_	_
23	vier	vier	C	CARD	_	24	attr	_	_
24	Uhr	Uhr	N	NN	Fem|_|Sg	25	grad	_	_
25	künstlich	künstlich	A	ADJD	Pos|	26	adv	_	_
26	hergestellten	hergestellt	A	ADJA	Pos|_|_|_|_|	22	pn	_	_
27	und	und	K	KON	_	21	kon	_	_
28	einer	eine	A	ART	Indef|Fem|Dat|Sg	34	det	911	911
29	um	um	P	APPR	_	32	pp	911	911
30	sieben	sieben	C	CARD	_	31	attr	911	911
31	Uhr	Uhr	N	NN	Fem|_|Sg	29	pn	911	911
32	natürlich	natürlich	A	ADJD	Pos|	34	adv	911	911
33	erwachsenen	erwachsen	A	ADJA	Pos|Fem|Dat|Sg|Wk|	34	attr	911	911
34	Dunkelheit	Dunkelheit	N	NN	Fem|Dat|Sg	27	cj	911	911
35	.	.	$	$.	_	0	root	_	_

1	Eine	eine	A	ART	Indef|Fem|Nom|Sg	3	det	_	_
2	künstliche	künstlich	A	ADJA	Pos|Fem|Nom|Sg|_|	3	attr	_	_
3	Vier-Uhr-Dunkelheit	Vier-Uhr-Dunkelheit	N	NN	Fem|Nom|Sg	4	subj	_	_
4	sei	sein	V	VAFIN	3|Sg|Pres|Subj	0	root	_	_
5	nicht	nicht	P	PTKNEG	_	4	adv	_	_
6	besser	gut	A	ADJD	Comp|	4	pred	_	_
7	als	als	K	KOKOM	_	4	kom	_	_
8	ein	eine	A	ART	Indef|Masc|Nom|Sg	10	det	204	204
9	junger	jung	A	ADJA	Pos|Masc|Nom|Sg|St|	10	attr	204	204
10	Wein	Wein	N	NN	Masc|Nom|Sg	7	cj	204	204
11	,	,	$	$,	_	0	root	204	204
12	den	die	P	PRELS	Masc|Acc|Sg	17	obja	204	204
13	man	man	P	PIS	_|Nom|Sg	22	subj	_	_
14	in	in	P	APPR	Acc	17	pp	_	_
15	einen	eine	A	ART	Indef|Masc|Acc|Sg	16	det	_	_
16	Rauchfang	Rauchfang	N	NN	Masc|Acc|Sg	14	pn	_	_
17	gehängt	hängen	V	VVPP	_	22	aux	_	_
18	und	und	K	KON	_	17	kon	_	_
19	mit	mit	P	APPR	Dat	21	pp	_	_
20	Spinnweb	Spinnweb	N	NE	_|Dat|_	19	pn	342	342
21	umwickelt	umwickeln	V	VVPP	_	18	cj	_	_
22	habe	haben	V	VAFIN	3|Sg|Pres|Subj	10	rel	_	_
23	,	,	$	$,	_	0	root	_	_
24	um	um	K	KOUI	_	31	konj	_	_
25	ihn	er	P	PPER	3|Sg|Masc|Acc	31	obja	1	1
26	alt	alt	A	ADJD	Pos|	29	pred	_	_
27	und	und	K	KON	_	26	kon	_	_
28	ehrwürdig	ehrwürdig	A	ADJD	Pos|	27	cj	_	_
29	erscheinen	erscheinen	V	VVINF	_	31	obji	_	_
30	zu	zu	P	PTKZU	_	31	part	_	_
31	lassen	lassen	V	VVINF	_	22	neb	_	_
32	.	.	$	$.	_	0	root	_	_

1	Aber	aber	K	KON	_	0	root	_	_
2	eine	eine	A	ART	Indef|Fem|Nom|Sg	4	det	1266	1266
3	feine	fein	A	ADJA	Pos|Fem|Nom|Sg|_|	4	attr	1266	1266
4	Zunge	Zunge	N	NN	Fem|Nom|Sg	5	subj	1266	1266
5	schmecke	schmecken	V	VVFIN	3|Sg|Pres|Subj	1	cj	_	_
6	den	die	A	ART	Def|Masc|Acc|Sg	8	det	_	_
7	jungen	jung	A	ADJA	Pos|Masc|Acc|Sg|_|	8	attr	_	_
8	Wein	Wein	N	NN	Masc|Acc|Sg	5	obja	_	_
9	und	und	K	KON	_	5	kon	_	_
10	ein	eine	A	ART	Indef|Neut|Nom|Sg	12	det	_	_
11	feines	fein	A	ADJA	Pos|Neut|Nom|Sg|St|	12	attr	_	_
12	Nervensystem	Nervensystem	N	NN	Neut|Nom|Sg	13	subj	_	_
13	schmecke	schmecken	V	VVFIN	3|Sg|Pres|Subj	9	cj	_	_
14	die	die	A	ART	Def|Fem|_|Sg	16	det	_	_
15	junge	jung	A	ADJA	Pos|Fem|_|Sg|_|	16	attr	_	_
16	Dunkelheit	Dunkelheit	N	NN	Fem|_|Sg	13	obja	_	_
17	heraus	heraus	P	PTKVZ	_	13	avz	_	_
18	.	.	$	$.	_	0	root	_	_

1	Bemerkungen	Bemerkung	N	NN	Fem|_|Pl	0	root	205	205
2	,	,	$	$,	_	0	root	_	_
3	die	die	P	PRELS	_|_|_	0	root	205	205
4	,	,	$	$,	_	0	root	_	_
5	namentlich	namentlich	A	ADV	_	6	adv	_	_
6	in	in	P	APPR	Dat	11	pp	_	_
7	ihrer	ihre	A	PPOSAT	Fem|Dat|Sg	6	pn	205	205
8	»	»	$	$(	_	0	root	_	_
9	das	die	A	ART	Def|Neut|_|Sg	11	det	_	_
10	feine	fein	A	ADJA	Pos|Neut|_|Sg|Wk|	11	attr	_	_
11	Nervensystem	Nervensystem	N	NN	Neut|_|Sg	0	root	_	_
12	«	«	$	$(	_	0	root	_	_
13	betonenden	betonend	A	ADJA	Pos|Fem|Gen|Sg|Wk|<PPRES	14	attr	_	_
14	Schlußwendung	Schlußwendung	N	NN	Fem|Gen|Sg	11	gmod	_	_
15	,	,	$	$,	_	0	root	_	_
16	von	von	P	APPR	Dat	23	pp	_	_
17	Melanie	Melanie	N	NE	Fem|Dat|Sg	16	pn	20	20
18	regelmäßig	regelmäßig	A	ADJD	Pos|	23	adv	_	_
19	mit	mit	P	APPR	Dat	23	pp	_	_
20	einem	eine	A	ART	Indef|Neut|Dat|Sg	22	det	734	734
21	allerherzlichsten	allerherzlich	A	ADJA	Sup|Neut|Dat|Sg|Wk|	22	attr	734	734
22	Lachen	Lache	N	NN	Neut|Dat|Sg	19	pn	734	734
23	begleitet	begleiten	V	VVPP	_	24	aux	_	_
24	wurden	werden	V	VAFIN	_|Pl|Past|Ind	0	root	_	_
25	.	.	$	$.	_	0	root	_	_

1	Das	die	A	ART	Def|Neut|_|Sg	2	det	1	1
2	van	van	N	NE	Neut|_|Sg	0	root	1	1
3	der	die	A	ART	Def|_|_|_	4	det	206	206
4	Straatensche	Straatensche	N	NN	Fem|Gen|Sg	2	gmod	206	206
5	Stadthaus	Stadthaus	N	NN	Neut|_|Sg	4	app	206	206
6	-	-	$	$(	_	0	root	_	_
7	wodurch	wodurch	P	PWAV	_	0	root	_	_
8	es	es	P	PPER	3|Sg|Neut|_	0	root	_	_
9	sich	sie	P	PRF	3|_|_	0	root	_	_
10	,	,	$	$,	_	0	root	_	_
11	neben	neben	P	APPR	Dat	0	root	_	_
12	anderem	andere	P	PIS	_|Dat|Sg	11	pn	_	_
13	,	,	$	$,	_	0	root	_	_
14	von	von	P	APPR	Dat	21	objp	_	_
15	der	die	P	PRELS	Fem|Dat|Sg	14	pn	206	206
16	mit	mit	P	APPR	Dat	19	pp	413	413
17	allem	alle	A	PIDAT	Masc|Dat|Sg	18	det	413	413
18	Komfort	Komfort	N	NN	Masc|Dat|Sg	16	pn	413	413
19	ausgestatteten	ausgestattet	A	ADJA	Pos|Fem|Dat|Sg|Wk|	20	attr	413	413
20	Tiergartenvilla	Tiergartenvilla	N	NN	Fem|Dat|Sg	21	objd	413	413
21	unterschied	unterscheiden	V	VVFIN	_|Sg|Past|Ind	4	rel	_	_
22	-	-	$	$(	_	0	root	_	_
23	hatte	haben	V	VAFIN	_|Sg|Past|Ind	0	root	_	_
24	keinen	keine	A	PIAT	Masc|Acc|Sg	26	det	207	207
25	eigentlichen	eigentlich	A	ADJA	Pos|Masc|Acc|Sg|_|	26	attr	207	207
26	Speisesaal	Speisesaal	N	NN	Masc|Acc|Sg	23	obja	207	207
27	,	,	$	$,	_	0	root	_	_
28	und	und	K	KON	_	0	root	_	_
29	die	die	P	PRELS	_|_|_	28	cj	207	207
30	zwei	zwei	C	CARD	_	31	attr	_	_
31	großen	groß	A	ADJA	Pos|_|_|_|_|	0	root	_	_
32	und	und	K	KON	_	0	root	_	_
33	vier	vier	C	CARD	_	35	attr	208	208
34	kleinen	klein	A	ADJA	Pos|Neut|Nom|Pl|Wk|	35	attr	208	208
35	Diners	Diner	N	NN	Neut|Nom|Pl	45	subj	208	208
36	,	,	$	$,	_	0	root	208	208
37	die	die	P	PRELS	Neut|Nom|Pl	43	subj	208	208
38	sich	sie	P	PRF	3|_|_	43	obja	_	_
39	über	über	P	APPR	Acc	43	pp	_	_
40	den	die	A	ART	Def|Masc|Acc|Sg	41	det	1228	1228
41	Winter	Winter	N	NN	Masc|Acc|Sg	39	pn	1228	1228
42	hin	hin	A	APZR	_	39	part	_	_
43	verteilten	verteilen	V	VVFIN	3|Pl|Past|_	35	rel	_	_
44	,	,	$	$,	_	0	root	_	_
45	mußten	müssen	V	VMFIN	3|Pl|Past|Ind	32	cj	_	_
46	in	in	P	APPR	Dat	57	pp	_	_
47	dem	die	A	ART	Def|Neut|Dat|Sg	53	det	_	_
48	ersten	erst	A	ADJA	_|Neut|Dat|Sg|Wk|	53	attr	_	_
49	,	,	$	$,	_	0	root	_	_
50	als	als	K	KOKOM	_	52	kom	_	_
51	Entree	Entree	N	NN	Neut|_|Sg	50	cj	_	_
52	dienenden	dienend	A	ADJA	Pos|_|Dat|_|_|<PPRES	48	kon	_	_
53	Zimmer	Zimmer	N	NN	Neut|Dat|Sg	46	pn	_	_
54	der	die	A	ART	Def|Fem|Gen|Sg	56	det	_	_
55	großen	groß	A	ADJA	Pos|Fem|Gen|Sg|Wk|	56	attr	_	_
56	Gemäldegalerie	Gemäldegalerie	N	NN	Fem|Gen|Sg	53	gmod	_	_
57	gegeben	geben	V	VVPP	_	45	neb	_	_
58	werden	werden	V	VAINF	_	0	root	_	_
59	.	.	$	$.	_	0	root	_	_

1	Es	es	P	PPER	3|Sg|Neut|_	2	expl	_	_
2	griff	greifen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
3	dieser	diese	A	PDAT	Masc|Nom|Sg	4	det	_	_
4	Teil	Teil	N	NN	Masc|Nom|Sg	2	subj	_	_
5	der	die	A	ART	Def|Fem|Gen|Sg	6	det	109	109
6	Galerie	Galerie	N	NN	Fem|Gen|Sg	4	gmod	109	109
7	noch	noch	A	ADV	_	2	adv	_	_
8	aus	aus	P	APPR	Dat	2	pp	_	_
9	dem	die	A	ART	Def|Masc|Dat|Sg	11	det	_	_
10	rechten	recht	A	ADJA	Pos|Masc|Dat|Sg|Wk|	11	attr	_	_
11	Seitenflügel	Seitenflügel	N	NN	Masc|Dat|Sg	8	pn	_	_
12	in	in	P	APPR	Acc	2	pp	_	_
13	das	die	A	ART	Def|Neut|Acc|Sg	14	det	_	_
14	Vorderhaus	Vorderhaus	N	NN	Neut|Acc|Sg	12	pn	_	_
15	über	über	P	PTKVZ	_	2	avz	_	_
16	und	und	K	KON	_	2	kon	_	_
17	lag	liegen	V	VVFIN	_|Sg|Past|Ind	16	cj	_	_
18	unmittelbar	unmittelbar	A	ADJD	Pos|	19	adv	_	_
19	hinter	hinter	P	APPR	_	17	objp	_	_
20	Melanies	Melanie	N	NE	Fem|Gen|Sg	21	gmod	20	20
21	Zimmer	Zimmer	N	NN	Neut|_|Sg	19	pn	209	209
22	,	,	$	$,	_	0	root	209	209
23	aus	aus	P	APPR	Dat	37	pp	209	209
24	dem	die	P	PRELS	Neut|Dat|Sg	23	pn	209	209
25	denn	denn	A	ADV	_	37	adv	_	_
26	auch	auch	A	ADV	_	37	adv	_	_
27	,	,	$	$,	_	0	root	_	_
28	sobald	sobald	K	KOUS	_	33	konj	_	_
29	die	die	A	ART	Def|Fem|Nom|Pl	31	det	_	_
30	breiten	breit	A	ADJA	Pos|Fem|Nom|Pl|Wk|	31	attr	_	_
31	Flügeltüren	Flügeltür	N	NN	Fem|Nom|Pl	33	subj	_	_
32	sich	sie	P	PRF	3|_|_	33	obja	_	_
33	öffneten	öffnen	V	VVFIN	3|Pl|Past|_	37	neb	_	_
34	,	,	$	$,	_	0	root	_	_
35	der	die	A	ART	Def|Masc|Nom|Sg	36	det	_	_
36	Eintritt	Eintritt	N	NN	Masc|Nom|Sg	37	subj	_	_
37	stattfand	stattfand	V	VVFIN	_|Sg|_|_	21	rel	_	_
38	.	.	$	$.	_	0	root	_	_

1	Und	und	K	KON	_	0	root	_	_
2	wie	wie	K	KOKOM	_	1	cj	_	_
3	gewöhnlich	gewöhnlich	A	ADJD	Pos|	2	cj	_	_
4	,	,	$	$,	_	0	root	_	_
5	so	so	A	ADV	_	6	adv	_	_
6	auch	auch	A	ADV	_	3	kon	_	_
7	heute	heute	A	ADV	_	3	adv	_	_
8	.	.	$	$.	_	0	root	_	_

1	Van	Van	N	NE	_|Nom|Sg	4	subj	62	62
2	der	die	A	ART	Def|_|Gen|_	3	det	8	8
3	Straaten	Straaten	N	NE	_|Gen|_	1	gmod	8	8
4	nahm	nehmen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
5	den	die	A	ART	Def|Masc|Acc|Sg	6	det	_	_
6	Arm	Arm	N	NN	Masc|Acc|Sg	4	obja	_	_
7	seiner	seine	A	PPOSAT	Fem|Gen|Sg	9	det	62	62
8	blonden	blond	A	ADJA	Pos|Fem|Gen|Sg|Wk|	9	attr	304	304
9	Schwägerin	Schwägerin	N	NN	Fem|Gen|Sg	6	gmod	304	304
10	,	,	$	$,	_	0	root	_	_
11	Duquede	Duquede	N	NE	_	0	root	210	210
12	den	die	A	ART	Def|_|_|_	13	det	20	20
13	Melanies	Melanie	N	NE	_|_|_	0	root	20	20
14	,	,	$	$,	_	0	root	_	_
15	während	während	K	KOUS	_	21	konj	_	_
16	die	die	A	ART	Def|Masc|Nom|Pl	19	det	_	_
17	vier	vier	C	CARD	_	19	attr	_	_
18	anderen	anderen	A	ADJA	_|Masc|Nom|Pl|_	19	attr	_	_
19	Herren	Herr	N	NN	Masc|Nom|Pl	21	subj	_	_
20	paarweise	paarweise	A	ADV	_	21	adv	_	_
21	folgten	folgen	V	VVFIN	3|Pl|Past|_	0	root	_	_
22	,	,	$	$,	_	0	root	_	_
23	eine	eine	A	ART	Indef|Fem|_|Sg	25	det	211	211
24	herkömmliche	herkömmlich	A	ADJA	Pos|Fem|_|Sg|_|	25	attr	211	211
25	Form	Form	N	NN	Fem|_|Sg	0	root	211	211
26	des	die	A	ART	Def|Masc|Gen|Sg	27	det	211	211
27	Aufmarsches	Aufmarsch	N	NN	Masc|Gen|Sg	25	gmod	211	211
28	,	,	$	$,	_	0	root	_	_
29	bei	bei	P	APPR	Dat	0	root	_	_
30	der	die	P	PRELS	Fem|Dat|Sg	29	pn	211	211
31	der	die	A	ART	Def|_|_|_	0	root	_	_
32	Major	Major	N	NN	Masc|_|Sg	40	obja	226	226
33	ebenso	ebenso	A	ADV	_	34	adv	_	_
34	geschickt	geschickt	A	ADJD	Pos|	40	adv	_	_
35	zwischen	zwischen	P	APPR	Dat	40	pp	_	_
36	den	die	A	ART	Def|Masc|Dat|Pl	38	det	_	_
37	beiden	beide	A	PIDAT	Masc|Dat|Pl	38	attr	_	_
38	Malern	Maler	N	NN	Masc|Dat|Pl	35	pn	_	_
39	zu	zu	P	PTKZU	_	40	part	_	_
40	wechseln	wechseln	V	VVINF	_	0	root	_	_
41	als	als	K	KOKOM	_	46	kom	_	_
42	den	die	A	ART	Def|Masc|Acc|Sg	43	det	212	212
43	Polizeirat	Polizeirat	N	NN	Masc|Acc|Sg	41	cj	212	212
44	zu	zu	P	PTKZU	_	45	part	_	_
45	vermeiden	vermeiden	V	VVINF	_	46	obji	_	_
46	wußte	wußte	V	VVFIN	_	0	root	_	_
47	.	.	$	$.	_	0	root	_	_

1	Denn	denn	K	KON	_	0	root	_	_
2	so	so	A	ADV	_	3	adv	_	_
3	bereit	bereit	A	ADJD	Pos|	0	root	_	_
4	und	und	K	KON	_	0	root	_	_
5	ergeben	ergeben	V	VVFIN	_|Pl|Pres|_	4	cj	_	_
6	er	er	P	PPER	3|Sg|Masc|Nom	7	pred	212	212
7	war	sein	V	VAFIN	_|Sg|Past|Ind	0	root	_	_
8	,	,	$	$,	_	0	root	_	_
9	die	die	A	ART	Def|Fem|_|Pl	10	det	559	559
10	Geschichten	Geschichte	N	NN	Fem|_|Pl	20	obja	559	559
11	Reiffs	Reiffs	N	NE	Fem|_|Pl	10	app	559	559
12	bei	bei	P	APPR	Dat	18	pp	_	_
13	Tag	Tag	N	NN	_|Dat|Sg	12	pn	_	_
14	oder	oder	K	KON	_	13	kon	_	_
15	Nacht	Nacht	N	NN	Fem|Dat|Sg	14	cj	213	213
16	über	über	P	APPR	_	18	objp	_	_
17	sich	sie	P	PRF	3|_|_	16	pn	_	_
18	ergehen	ergehen	V	VVINF	_	20	obji	_	_
19	zu	zu	P	PTKZU	_	20	part	_	_
20	lassen	lassen	V	VVINF	_	7	subjc	_	_
21	,	,	$	$,	_	0	root	_	_
22	so	so	A	ADV	_	23	adv	_	_
23	konnt	konnt	A	ADJD	_	25	adv	_	_
24	'	'	$	$(	_	0	root	_	_
25	er	er	P	PPER	3|Sg|Masc|Nom	0	root	212	212
26	sich	sie	P	PRF	3|_|_	29	obja	_	_
27	doch	doch	A	ADV	_	29	adv	_	_
28	nicht	nicht	P	PTKNEG	_	29	adv	_	_
29	entschließen	entschließen	V	VVINF	_	0	root	_	_
30	,	,	$	$,	_	0	root	_	_
31	ihm	er	P	PPER	3|Sg|_|Dat	36	objd	212	212
32	ebenbürtig	ebenbürtig	A	ADJD	Pos|	36	adv	_	_
33	den	die	A	ART	Def|Masc|Acc|Sg	34	det	214	214
34	Arm	Arm	N	NN	Masc|Acc|Sg	36	obja	214	214
