1	Leo	Leo	N	NE	Masc|Nom|Sg	2	subj	53	53
4	Du	du	P	PPER	2|Sg|_|Nom	3	subj	775	775
5	Dich	du	P	PPER	2|Sg|_|Acc	8	obja	_	_
6	nur	nur	A	ADV	_	8	adv	_	_
7	noch	noch	A	ADV	_	8	adv	_	_
8	wundern	wundern	V	VVINF	_	3	aux	_	_
9	,	,	$	$,	_	0	root	_	_
10	wo	wo	P	PWAV	_	0	root	_	_
11	und	und	K	KON	_	10	kon	_	_
12	wie	wie	P	PWAV	_	11	cj	_	_
13	ich	ich	P	PPER	1|Sg|_|Nom	0	root	765	765
14	,	,	$	$,	_	0	root	_	_
15	die	die	P	PRELS	_|_|_	25	obja	_	_
16	ich	ich	P	PPER	1|Sg|_|Nom	31	subj	765	765
17	das	die	A	ART	Def|Neut|Nom|Sg	18	det	_	_
18	Meer	Meer	N	NN	Neut|Nom|Sg	20	subj	_	_
19	nie	nie	A	ADV	_	20	adv	_	_
20	gesehen	sehen	V	VVPP	_	31	neb	_	_
21	,	,	$	$,	_	0	root	_	_
22	die	die	A	ART	Def|Fem|_|Sg	23	det	475	475
23	Vorstellung	Vorstellung	N	NN	Fem|_|Sg	25	obja	475	475
24	dazu	dazu	P	PROAV	_	25	pp	_	_
25	hergenommen	hernehmen	V	VVPP	_	31	aux	_	_
26	und	und	K	KON	_	25	kon	_	_
27	zu	zu	P	APPR	Dat	30	pp	_	_
28	meiner	meine	A	PPOSAT	Fem|Dat|Sg	29	det	765	765
29	Sündflut	Sündflut	N	NN	Fem|Dat|Sg	27	pn	_	_
30	verwandt	verwandt	V	VVPP	_	26	cj	_	_
31	habe	haben	V	VAFIN	1|Sg|Pres|_	13	rel	_	_
32	.	.	$	$.	_	0	root	_	_

1	Nun	nun	A	ADV	_	2	adv	_	_
2	höre	hören	V	VVFIN	_|Sg|Pres|_	0	root	_	_
3	.	.	$	$.	_	0	root	_	_

1	Vielleicht	vielleicht	A	ADV	_	2	adv	_	_
2	erinnerst	erinnern	V	VVFIN	2|Sg|Pres|_	0	root	_	_
3	Du	du	P	PPER	2|Sg|_|Nom	2	subj	775	775
4	Dich	Dich	N	NE	_|Nom|Pl	2	obja	705	705
5	noch	noch	A	ADV	_	2	adv	705	705
6	der	die	A	ART	Def|Fem|Gen|Sg	7	det	705	705
7	Partie	Partie	N	NN	Fem|Gen|Sg	2	objg	705	705
8	,	,	$	$,	_	0	root	705	705
9	die	die	P	PRELS	_|Nom|Pl	15	subj	705	705
10	wir	wir	P	PPER	1|Pl|_|Nom	15	pred	776	776
11	vorigen	vorig	A	ADJA	Pos|Masc|_|Sg|_|	12	attr	_	_
12	Herbst	Herbst	N	NN	Masc|_|Sg	15	obja	_	_
13	mit	mit	P	APPR	Dat	15	pp	_	_
14	Bartensteins	Bartenstein	N	NN	Masc|Gen|Sg	13	pn	125	125
15	machten	machen	V	VVFIN	3|Pl|Past|_	4	rel	_	_
16	,	,	$	$,	_	0	root	_	_
17	alle	alle	A	PIDAT	_|_|_	19	det	_	_
18	dritter	dritt	A	ADJA	_|Fem|Gen|Sg|St|	19	attr	_	_
19	Klasse	Klasse	N	NN	Fem|Gen|Sg	7	gmod	_	_
20	,	,	$	$,	_	0	root	_	_
21	was	was	P	PRELS	Neut|_|Sg	0	root	_	_
22	Bartensteins	Bartenstein	N	NN	Masc|Gen|Sg	0	root	125	125
23	noch	noch	A	ADV	_	26	adv	_	_
24	so	so	A	ADV	_	25	adv	_	_
25	sehr	sehr	A	ADV	_	26	adv	_	_
26	amüsierte	amüsieren	V	VVFIN	_|Sg|Past|_	0	root	_	_
27	.	.	$	$.	_	0	root	_	_

1	Dritter	dritt	A	ADJA	_|Fem|_|Sg|St|	2	attr	_	_
2	Klasse	Klasse	N	NN	Fem|_|Sg	0	root	_	_
3	Ringbahn	Ringbahn	N	NN	Fem|_|Sg	2	app	_	_
4	und	und	K	KON	_	3	kon	_	_
5	bis	bis	P	APPR	Acc	7	pp	_	_
6	Bahnhof	Bahnhof	N	NN	Masc|Acc|Sg	5	pn	682	682
7	Stralau	Stralau	N	NE	Fem|_|Sg	4	cj	_	_
8	.	.	$	$.	_	0	root	_	_

1	Und	und	K	KON	_	0	root	_	_
2	als	als	K	KOUS	_	7	konj	_	_
3	wir	wir	P	PPER	1|Pl|_|Nom	7	subj	776	776
4	da	da	A	ADV	_	7	adv	_	_
5	hoch	hoch	A	ADJD	Pos|	6	adv	_	_
6	oben	oben	A	ADV	_	7	adv	_	_
7	ausstiegen	aussteigen	V	VVFIN	1|Pl|Past|_	16	neb	_	_
8	,	,	$	$,	_	0	root	_	_
9	hoch	hoch	A	ADJD	Pos|	15	adv	_	_
10	wie	wie	K	KOKOM	_	9	kom	_	_
11	der	die	A	ART	Def|Masc|Nom|Sg	12	det	_	_
12	Berg	Berg	N	NN	Masc|Nom|Sg	10	cj	_	_
13	Ararat	Ararat	N	NN	Masc|Nom|Sg	12	app	_	_
14	,	,	$	$,	_	0	root	_	_
15	da	da	A	ADV	_	16	adv	_	_
16	lag	liegen	V	VVFIN	3|Sg|Past|Ind	1	cj	_	_
17	der	die	A	ART	Def|Masc|Nom|Sg	18	det	_	_
18	Rummelsburger	Rummelsburger	N	NN	Masc|Nom|Sg	16	subj	_	_
19	See	See	N	NN	_|Nom|Sg	18	app	_	_
20	mitsamt	mitsamt	P	APPR	Dat	16	pp	_	_
21	der	die	A	ART	Def|Fem|Dat|Sg	22	det	_	_
22	Spree	Spree	N	NN	Fem|Dat|Sg	20	pn	_	_
23	wie	wie	K	KOKOM	_	16	kom	_	_
24	eine	eine	A	ART	Indef|Fem|_|Sg	26	det	_	_
25	mächtige	mächtig	A	ADJA	Pos|Fem|_|Sg|_|	26	attr	_	_
26	Wasserfläche	Wasserfläche	N	NN	Fem|_|Sg	23	cj	_	_
27	vor	vor	P	APPR	_	16	pp	_	_
28	uns	wir	P	PPER	1|Pl|_|_	27	pn	776	776
29	.	.	$	$.	_	0	root	_	_

1	Dieses	diese	A	PDAT	Neut|_|Sg	2	det	_	_
2	Panorama	Panorama	N	NN	Neut|_|Sg	8	obja	_	_
3	hab	hab	V	VAFIN	1|Sg|_|_	0	root	_	_
4	ich	ich	P	PPER	1|Sg|_|Nom	3	subj	777	777
5	für	für	P	APPR	Acc	8	pp	_	_
6	mein	meine	A	PPOSAT	Neut|Acc|Sg	7	det	777	777
7	Bild	Bild	N	NN	Neut|Acc|Sg	5	pn	_	_
8	benutzt	benutzen	V	VVPP	_	3	aux	_	_
9	.	.	$	$.	_	0	root	_	_

1	Der	die	A	ART	Def|Masc|Nom|Sg	2	det	_	_
2	Bahnhof	Bahnhof	N	NN	Masc|Nom|Sg	3	subj	_	_
3	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
4	der	die	A	ART	Def|Masc|Nom|Sg	5	det	778	778
5	Ararat	Ararat	N	NN	Masc|Nom|Sg	3	pred	778	778
6	,	,	$	$,	_	0	root	_	_
7	der	die	A	ART	Def|_|_|Sg	8	det	_	_
8	Rummelsburger	Rummelsburger	N	NN	_|_|Sg	0	root	_	_
9	See	See	N	NN	_|_|Sg	8	app	_	_
10	die	die	A	ART	Def|_|_|_	11	det	779	779
11	Sündflut	Sündflut	N	NN	_|_|_	0	root	779	779
12	.	.	$	$.	_	0	root	_	_

1	Auf	auf	P	APPR	Acc	0	root	_	_
2	stürmische	stürmisch	A	ADJA	Pos|Fem|Acc|Sg|_|	3	attr	_	_
3	Bewegung	Bewegung	N	NN	Fem|Acc|Sg	1	pn	_	_
4	,	,	$	$,	_	0	root	_	_
5	weil	weil	K	KOUS	_	15	konj	_	_
6	ich	ich	P	PPER	1|Sg|_|Nom	15	subj	777	777
7	doch	doch	A	ADV	_	14	adv	_	_
8	sozusagen	sozusagen	A	ADV	_	14	adv	_	_
9	nur	nur	A	ADV	_	14	adv	_	_
10	den	die	A	ART	Def|Masc|Acc|Sg	11	det	_	_
11	Schlußakt	Schlußakt	N	NN	Masc|Acc|Sg	14	obja	_	_
12	der	die	A	ART	Def|_|Gen|_	13	det	779	779
13	Sündflut	Sündflut	N	NN	_|Gen|_	11	gmod	779	779
14	gemalt	malen	V	VVPP	_	15	aux	_	_
15	habe	haben	V	VAFIN	1|Sg|Pres|_	0	root	_	_
16	,	,	$	$,	_	0	root	_	_
17	glaubte	glauben	V	VVFIN	1|Sg|Past|_	15	par	_	_
18	ich	ich	P	PPER	1|Sg|_|Nom	17	subj	777	777
19	,	,	$	$,	_	0	root	_	_
20	ohne	ohne	K	KOUI	_	24	konj	_	_
21	dadurch	dadurch	P	PROAV	_	24	pp	_	_
22	unkorrekt	unkorrekt	A	ADJD	_	24	pred	_	_
23	zu	zu	P	PTKZU	_	24	part	_	_
24	werden	werden	V	VAINF	_	15	neb	_	_
25	,	,	$	$,	_	0	root	_	_
26	verzichten	verzichten	V	VVINF	_	28	aux	_	_
27	zu	zu	P	PTKZU	_	28	part	_	_
28	können	können	V	VMINF	_	24	obji	_	_
29	.	.	$	$.	_	0	root	_	_
30	«	«	$	$(	_	0	root	_	_

1	Briefe	Brief	N	NN	Masc|Nom|Pl	4	subj	780	780
2	verwandten	verwandt	A	ADJA	Pos|Masc|Gen|Sg|_|	3	attr	780	780
3	Inhalts	Inhalt	N	NN	Masc|Gen|Sg	1	gmod	780	780
4	trafen	treffen	V	VVFIN	3|Pl|Past|Ind	0	root	_	_
5	öfter	öfter	A	ADJD	_	4	adv	_	_
6	ein	ein	P	PTKVZ	_	4	avz	_	_
7	,	,	$	$,	_	0	root	_	_
8	unter	unter	P	APPR	Dat	0	root	_	_
9	denen	die	P	PRELS	_|Dat|Pl	8	pn	780	780
10	einer	eine	P	PIS	_|_|Sg	0	root	_	_
11	,	,	$	$,	_	0	root	_	_
12	der	die	A	ART	Def|Fem|Gen|Sg	13	det	37	37
13	Sophies	Sophie	N	NE	Fem|Gen|Sg	0	root	37	37
14	»	»	$	$(	_	0	root	37	37
15	Untergang	Untergang	N	NN	Fem|Gen|Sg	13	app	37	37
16	von	von	P	APPR	Dat	15	pp	37	37
17	Sodom	Sodom	N	NN	Neut|Dat|Sg	16	pn	37	37
18	und	und	K	KON	_	17	kon	_	_
19	Gomorrha	Gomorrha	N	NE	Neut|Dat|Sg	18	cj	_	_
20	«	«	$	$(	_	0	root	_	_
21	beschrieb	beschreiben	V	VVFIN	_|Sg|Past|Ind	0	root	_	_
22	,	,	$	$,	_	0	root	_	_
23	des	die	A	ART	Def|_|Gen|Sg	0	root	_	_
24	alten	alt	A	ADJA	Pos|Masc|Dat|Sg|Wk|	25	attr	130	130
25	Bartenstein	Bartenstein	N	NN	Masc|Dat|Sg	27	objd	130	130
26	ganz	ganz	A	ADV	_	25	adv	130	130
27	besondern	besondern	V	VVFIN	_|Pl|Pres|_	0	root	_	_
28	Beifall	Beifall	N	NN	Masc|_|Sg	27	obja	_	_
29	weckte	wecken	V	VVFIN	_|Sg|Past|_	0	root	_	_
30	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Das	die	P	PDS	Neut|Nom|Sg	3	subj	_	_
3	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
4	eine	eine	A	ART	Indef|Fem|Nom|Sg	5	det	_	_
5	Mahnung	Mahnung	N	NN	Fem|Nom|Sg	3	pred	_	_
6	«	«	$	$(	_	0	root	_	_
7	,	,	$	$,	_	0	root	_	_
8	hatte	haben	V	VAFIN	3|Sg|Past|Ind	3	s	_	_
9	er	er	P	PPER	3|Sg|Masc|Nom	8	subj	20	20
10	sich	sie	P	PRF	3|_|_	14	obja	_	_
11	damals	damals	A	ADV	_	14	adv	_	_
12	gegen	gegen	P	APPR	Acc	14	pp	_	_
13	Manon	Manon	N	NE	_|Acc|_	12	pn	39	39
14	geäußert	äußern	V	VVPP	_	8	aux	_	_
15	,	,	$	$,	_	0	root	_	_
16	ohne	ohne	K	KOUI	_	18	konj	_	_
17	übrigens	übrigens	A	ADV	_	18	adv	_	_
18	anzudeuten	andeuten	V	VVIZU	_	8	neb	_	_
19	,	,	$	$,	_	0	root	_	_
20	wen	wer	P	PWS	_|Acc|Sg	24	obja	_	_
21	er	er	P	PPER	3|Sg|Masc|Nom	25	subj	20	20
22	dadurch	dadurch	P	PROAV	_	24	pp	_	_
23	gemahnt	gemahnt	A	ADJD	Pos|	24	adv	_	_
24	sehen	sehen	V	VVINF	_	25	aux	_	_
25	wollte	wollen	V	VMFIN	3|Sg|Past|_	18	objc	_	_
26	.	.	$	$.	_	0	root	_	_

1	Fiechen	Fiechen	N	NE	_|Nom|Sg	2	subj	768	768
2	lebte	leben	V	VVFIN	3|Sg|Past|_	0	root	_	_
3	sich	sie	P	PRF	3|_|_	2	obja	_	_
4	inzwischen	inzwischen	A	ADV	_	2	adv	_	_
5	immer	immer	A	ADV	_	6	adv	_	_
6	mehr	mehr	A	ADV	_	2	adv	_	_
7	ein	ein	P	PTKVZ	_	2	avz	_	_
8	,	,	$	$,	_	0	root	_	_
9	und	und	K	KON	_	2	kon	_	_
10	je	je	A	ADV	_	11	adv	_	_
11	länger	lang	A	ADJD	Comp|	12	adv	_	_
12	sie	sie	P	PPER	3|Sg|Fem|Nom	16	subj	768	768
13	bei	bei	P	APPR	Dat	12	pp	_	_
14	den	die	A	ART	Def|_|Dat|Pl	15	det	_	_
15	Verwandten	Verwandte	N	NN	_|Dat|Pl	13	pn	_	_
16	weilte	weilen	V	VVFIN	3|Sg|Past|_	9	cj	_	_
17	,	,	$	$,	_	0	root	_	_
18	desto	desto	A	ADV	_	19	adv	_	_
19	lebhafter	lebhaft	A	ADJD	Comp|	20	adv	_	_
20	wandte	wandte	V	VVFIN	3|_|_|_	16	kon	_	_
21	sie	sie	P	PPER	3|Sg|Fem|Nom	20	subj	768	768
22	sich	sie	P	PRF	3|_|_	20	obja	_	_
23	,	,	$	$,	_	0	root	_	_
24	neben	neben	P	APPR	Dat	20	pp	_	_
25	ihren	ihre	A	PPOSAT	Fem|Dat|Pl	26	det	768	768
26	Malereien	Malerei	N	NN	Fem|Dat|Pl	24	pn	781	781
27	,	,	$	$,	_	0	root	781	781
28	auch	auch	A	ADV	_	31	adv	781	781
29	den	die	A	ART	Def|Fem|Dat|Pl	31	det	781	781
30	häuslichen	häuslich	A	ADJA	Pos|Fem|Dat|Pl|_|	31	attr	781	781
31	Angelegenheiten	Angelegenheit	N	NN	Fem|Dat|Pl	26	kon	781	781
32	von	von	P	APPR	Dat	31	pp	781	781
33	Schloß	Schloß	N	NN	Neut|Dat|Sg	32	pn	553	553
34	Adamsdorf	Adamsdorf	N	NE	Neut|Dat|Sg	33	app	553	553
35	und	und	K	KON	_	34	kon	_	_
36	ganz	ganz	A	ADV	_	37	adv	_	_
37	besonders	besonders	A	ADV	_	39	adv	_	_
38	dem	die	A	ART	Def|Masc|Dat|Sg	39	det	_	_
39	Charakter	Charakter	N	NN	Masc|Dat|Sg	35	cj	_	_
40	der	die	A	ART	Def|Fem|Gen|Sg	41	det	_	_
41	Frau	Frau	N	NN	Fem|Gen|Sg	39	gmod	_	_
42	vom	von	P	APPRART	Dat	41	pp	_	_
43	Hause	Haus	N	NN	Neut|Dat|Sg	42	pn	191	191
44	zu	zu	A	APZR	_	42	part	_	_
45	.	.	$	$.	_	0	root	_	_

1	Gespräche	Gespräch	N	NN	Neut|_|_	20	obja	_	_
2	,	,	$	$,	_	0	root	_	_
3	die	die	P	PRELS	Fem|Nom|Sg	18	subj	_	_
4	sie	sie	P	PPER	3|_|_|_	18	obja	768	768
5	,	,	$	$,	_	0	root	_	_
6	wenn	wenn	K	KOUS	_	13	konj	_	_
7	sie	sie	P	PPER	3|Pl|_|Nom	13	subj	781	781
8	gemeinschaftlich	gemeinschaftlich	A	ADJD	Pos|	13	adv	_	_
9	um	um	P	APPR	Acc	13	objp	_	_
10	die	die	A	ART	Def|Fem|Acc|Sg	12	det	_	_
11	große	groß	A	ADJA	Pos|Fem|Acc|Sg|_|	12	attr	_	_
12	Parkwiese	Parkwiese	N	NN	Fem|Acc|Sg	9	pn	_	_
13	gingen	gehen	V	VVFIN	3|Pl|Past|_	18	neb	_	_
14	,	,	$	$,	_	0	root	_	_
15	mit	mit	P	APPR	Dat	18	pp	_	_
16	der	die	A	ART	Def|Fem|Dat|Sg	17	det	211	211
17	Tante	Tante	N	NN	Fem|Dat|Sg	15	pn	211	211
18	führte	führen	V	VVFIN	3|Sg|Past|_	1	rel	_	_
19	,	,	$	$,	_	0	root	_	_
20	teilte	teilen	V	VVFIN	3|Sg|Past|_	0	root	_	_
21	sie	sie	P	PPER	3|Sg|Fem|Nom	20	subj	768	768
22	,	,	$	$,	_	0	root	_	_
23	wenn	wenn	K	KOUS	_	25	konj	_	_
24	es	es	P	PPER	3|Sg|Neut|Nom	25	subj	_	_
25	paßte	paßte	V	VVFIN	3|Sg|_|_	20	neb	_	_
26	,	,	$	$,	_	0	root	_	_
27	ganz	ganz	A	ADV	_	28	adv	_	_
28	ausführlich	ausführlich	A	ADJD	Pos|	0	root	_	_
29	nach	nach	P	APPR	Dat	28	pp	_	_
30	Hause	Haus	N	NN	Neut|Dat|Sg	29	pn	191	191
31	hin	hin	A	APZR	_	29	part	_	_
32	mit	mit	P	PTKVZ	_	0	root	_	_
33	.	.	$	$.	_	0	root	_	_

1	Einmal	einmal	A	ADV	_	2	adv	_	_
2	schrieb	schreiben	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
3	sie	sie	P	PPER	3|Sg|Fem|Nom	2	subj	768	768
4	:	\:	$	$.	_	0	root	_	_
5	»	»	$	$(	_	0	root	_	_
6	Wir	wir	P	PPER	1|Pl|_|Nom	7	subj	782	782
7	haben	haben	V	VAFIN	1|Pl|Pres|_	0	root	_	_
8	gestern	gestern	A	ADV	_	12	adv	_	_
9	wieder	wieder	A	ADV	_	12	adv	_	_
10	unsern	unsre	A	PPOSAT	_|_|Sg	11	det	782	782
11	Spaziergang	Spaziergang	N	NN	_|_|Sg	12	obja	_	_
12	gemacht	machen	V	VVPP	_	7	aux	_	_
13	,	,	$	$,	_	0	root	_	_
14	um	um	K	KOUI	_	0	root	_	_
15	die	die	A	ART	Def|Fem|_|Sg	17	det	_	_
16	große	groß	A	ADJA	Pos|Fem|_|Sg|_|	17	attr	_	_
17	Wiese	Wiese	N	NN	Fem|_|Sg	0	root	_	_
18	herum	herum	P	PTKVZ	_	0	root	_	_
19	,	,	$	$,	_	0	root	_	_
20	in	in	P	APPR	_	31	objp	_	_
21	deren	die	A	PRELAT	Fem|_|Sg	22	det	_	_
22	Mitte	Mitte	N	NN	Fem|_|Sg	20	pn	_	_
23	sich	sie	P	PRF	3|_|_	31	obja	_	_
24	ein	eine	A	ART	Indef|Neut|Nom|Sg	25	det	_	_
25	Gehege	Gehege	N	NN	Neut|Nom|Sg	31	subj	_	_
26	mit	mit	P	APPR	Dat	25	pp	_	_
27	ein	eine	A	ART	Indef|_|_|Sg	30	det	_	_
28	paar	paar	A	PIDAT	Neut|Dat|Pl	30	attr	_	_
29	jungen	jung	A	ADJA	Pos|Neut|Dat|Pl|_|	30	attr	_	_
30	Rehen	Reh	N	NN	Neut|Dat|Pl	26	pn	_	_
31	befindet	befinden	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
32	,	,	$	$,	_	0	root	_	_
33	reizende	reizend	A	ADJA	Pos|Neut|_|Pl|St|_	34	attr	783	783
34	Tiere	Tier	N	NN	Neut|_|Pl	0	root	783	783
35	,	,	$	$,	_	0	root	_	_
36	die	die	P	PRELS	_|_|_	0	root	783	783
37	ich	ich	P	PPER	1|Sg|_|Nom	42	subj	768	768
38	auch	auch	A	ADV	_	41	adv	_	_
39	noch	noch	A	ADV	_	41	adv	_	_
40	zu	zu	P	PTKZU	_	41	part	_	_
41	verwenden	verwenden	V	VVINF	_	42	obji	_	_
42	hoffe	hoffen	V	VVFIN	1|Sg|Pres|_	0	root	_	_
43	.	.	$	$.	_	0	root	_	_

1	Da	Da	K	KOUS	_	0	root	_	_
2	mit	mit	P	APPR	Dat	0	root	_	_
3	einmal	einmal	A	ADV	_	2	adv	_	_
4	,	,	$	$,	_	0	root	_	_
5	ich	ich	P	PPER	1|Sg|_|Nom	6	subj	768	768
6	weiß	wissen	V	VVFIN	1|Sg|Pres|Ind	0	root	_	_
7	nicht	nicht	P	PTKNEG	_	6	adv	_	_
8	mehr	mehr	A	ADV	_	7	adv	_	_
9	in	in	P	APPR	Dat	0	root	_	_
10	welchem	welche	A	PWAT	Masc|Dat|Sg	11	det	_	_
11	Zusammenhange	Zusammenhang	N	NN	Masc|Dat|Sg	9	pn	_	_
12	,	,	$	$,	_	0	root	_	_
13	sagte	sagen	V	VVFIN	3|Sg|Past|_	0	root	_	_
14	die	die	A	ART	Def|Fem|Nom|Sg	15	det	211	211
15	Tante	Tante	N	NN	Fem|Nom|Sg	13	subj	211	211
16	:	\:	$	$.	_	0	root	_	_
17	›	›	F	FM	_	0	root	_	_
18	ja	ja	P	PTKANT	_	0	root	_	_
19	,	,	$	$,	_	0	root	_	_
20	deine	deine	A	PPOSAT	Fem|_|Sg	21	det	29	29
21	Schwester	Schwester	N	NN	Fem|_|Sg	0	root	29	29
22	Therese	Therese	N	NE	Fem|_|Sg	21	app	29	29
23	.	.	$	$.	_	0	root	_	_

1	Sie	sie	P	PPER	3|Sg|Fem|Nom	2	subj	211	211
2	wird	werden	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
3	nicht	nicht	P	PTKNEG	_	8	adv	_	_
4	recht	recht	A	ADJD	Pos|	5	adv	_	_
5	zufrieden	zufrieden	A	ADJD	Pos|	8	pred	_	_
6	mit	mit	P	APPR	Dat	8	pp	_	_
7	mir	ich	P	PPER	1|Sg|_|Dat	6	pn	768	768
8	gewesen	sein	V	VAPP	_	9	aux	_	_
9	sein	sein	V	VAINF	_	2	aux	_	_
10	und	und	K	KON	_	9	kon	_	_
11	mich	ich	P	PRF	1|Sg|Acc	16	obja	_	_
12	vielleicht	vielleicht	A	ADV	_	15	adv	_	_
13	bei	bei	P	APPR	Dat	15	pp	_	_
14	euch	ihr	P	PPER	2|Pl|_|Dat	13	pn	_	_
15	verklagt	verklagen	V	VVPP	_	16	aux	_	_
16	haben	haben	V	VAINF	_	10	cj	_	_
17	,	,	$	$,	_	0	root	_	_
18	weil	weil	K	KOUS	_	25	konj	_	_
19	ich	ich	P	PPER	1|Sg|_|Nom	25	subj	768	768
20	damals	damals	A	ADV	_	25	adv	_	_
21	in	in	P	APPR	_	25	pp	_	_
22	Pyrmont	Pyrmont	N	NE	_|_|_	21	pn	784	784
23	nicht	nicht	P	PTKNEG	_	25	adv	_	_
24	Lust	Lust	N	NN	Fem|_|Sg	25	obja	785	785
25	bezeigte	bezeigen	V	VVFIN	1|Sg|Past|_	47	neb	_	_
26	,	,	$	$,	_	0	root	_	_
27	mich	ich	P	PPER	1|Sg|_|Acc	34	obja	211	211
28	der	die	A	ART	Def|Fem|Dat|Sg	29	det	_	_
29	Fürstin	Fürstin	N	NN	Fem|Dat|Sg	32	objd	_	_
30	von	von	P	APPR	_	29	pp	_	_
31	Wied	Wied	N	NE	Fem|_|Sg	30	pn	_	_
32	vorstellen	vorstellen	V	VVINF	_	34	obji	_	_
33	zu	zu	P	PTKZU	_	34	part	_	_
34	lassen	lassen	V	VVINF	_	25	obji	_	_
35	,	,	$	$,	_	0	root	_	_
36	worauf	worauf	P	PWAV	_	39	objp	_	_
37	sie	sie	P	PPER	3|Sg|Fem|Nom	39	subj	211	211
38	beständig	beständig	A	ADJD	Pos|	39	adv	_	_
39	drang	dringen	V	VVFIN	3|Sg|Past|Ind	25	kon	_	_
40	,	,	$	$,	_	0	root	_	_
41	und	und	K	KON	_	39	kon	_	_
42	als	als	K	KOKOM	_	45	kom	_	_
43	ein	eine	A	ART	Indef|Masc|Nom|Sg	44	det	_	_
44	Korso	Korso	N	NN	Masc|Nom|Sg	42	cj	_	_
45	war	sein	V	VAFIN	_|Sg|Past|Ind	41	cj	_	_
46	,	,	$	$,	_	0	root	_	_
47	wollte	wollen	V	VMFIN	1|Sg|Past|_	2	kon	_	_
48	ich	ich	P	PPER	1|Sg|_|Nom	47	subj	768	768
49	nicht	nicht	P	PTKNEG	_	54	adv	_	_
50	mit	mit	A	ADV	_	54	adv	_	_
51	in	in	P	APPR	Dat	54	pp	_	_
52	der	die	A	ART	Def|Fem|Dat|Sg	53	det	786	786
53	Reihe	Reihe	N	NN	Fem|Dat|Sg	51	pn	786	786
54	fahren	fahren	V	VVINF	_	47	aux	_	_
55	und	und	K	KON	_	54	kon	_	_
56	noch	noch	A	ADV	_	63	adv	_	_
57	weniger	weniger	A	ADV	_	59	adv	_	_
58	die	die	A	ART	Def|Neut|_|Pl	59	det	_	_
59	Pferdegeschirre	Pferdegeschirr	N	NN	Neut|_|Pl	63	obja	_	_
60	mit	mit	P	APPR	Dat	62	pp	_	_
61	Rosengirlanden	Rosengirlande	N	NN	Fem|Dat|Pl	60	pn	_	_
62	ausstaffieren	ausstaffieren	V	VVINF	_	63	aux	_	_
63	lassen	lassen	V	VVINF	_	55	cj	_	_
64	.	.	$	$.	_	0	root	_	_

1	Es	es	P	PPER	3|Sg|Neut|Nom	2	subj	_	_
2	erschien	erscheinen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
3	mir	ich	P	PPER	1|Sg|_|Dat	2	objd	768	768
4	alles	alle	P	PIS	_|_|Sg	3	app	_	_
5	unpassend	unpassend	A	ADJD	Pos|_	2	adv	_	_
6	,	,	$	$,	_	0	root	_	_
7	und	und	K	KON	_	2	kon	_	_
8	ich	ich	P	PPER	1|Sg|_|Nom	9	subj	768	768
9	hab	hab	V	VAFIN	1|Sg|_|_	7	cj	_	_
10	es	es	P	PPER	3|Sg|Neut|_	16	obja	_	_
11	ihr	ihr	P	PPER	3|Sg|Fem|Dat	16	objd	211	211
12	auch	auch	A	ADV	_	16	adv	_	_
13	frank	frank	A	ADJD	Pos|	16	adv	_	_
14	und	und	K	KON	_	13	kon	_	_
15	frei	frei	A	ADJD	Pos|	14	cj	_	_
16	gesagt	sagen	V	VVPP	_	9	aux	_	_
17	.	.	$	$.	_	0	root	_	_

1	Therese	Therese	N	NE	_	0	root	29	29
2	,	,	$	$,	_	0	root	_	_
3	wie	wie	P	PWAV	_	0	root	_	_
4	das	die	A	ART	Def|Neut|_|Sg	0	root	_	_
5	so	so	A	ADV	_	6	adv	_	_
6	oft	oft	A	ADV	_	7	adv	_	_
7	geschieht	geschehen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
8	,	,	$	$,	_	0	root	_	_
9	hat	haben	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
10	eine	eine	A	ART	Indef|Fem|Nom|Sg	12	det	_	_
11	falsche	falsch	A	ADJA	Pos|Fem|Nom|Sg|_|	12	attr	_	_
12	Vorstellung	Vorstellung	N	NN	Fem|Nom|Sg	9	subj	_	_
13	von	von	P	APPR	_	12	pp	_	_
14	meiner	meine	A	PPOSAT	Fem|_|Sg	15	det	768	768
15	Vermögenslage	Vermögenslage	N	NN	Fem|_|Sg	13	pn	787	787
16	,	,	$	$,	_	0	root	787	787
17	die	die	P	PRELS	Fem|Nom|Sg	20	subj	787	787
18	mal	mal	A	ADV	_	20	adv	_	_
19	glänzend	glänzend	A	ADJD	_|_	20	pred	_	_
20	war	sein	V	VAFIN	3|Sg|Past|Ind	15	rel	_	_
21	,	,	$	$,	_	0	root	_	_
22	aber	aber	K	KON	_	20	kon	_	_
23	es	es	P	PPER	3|Sg|Neut|Nom	26	subj	_	_
24	nicht	nicht	P	PTKNEG	_	26	adv	_	_
