1	Weihnachten	Weihnachten	N	NN	_|Nom|Sg	2	subj	2003	2003
40	Tüchtigkeit	Tüchtigkeit	N	NN	Fem|_|Sg	41	obja	_	_
41	versprechen	versprechen	V	VVFIN	3|Pl|Pres|_	31	rel	_	_
42	und	und	K	KON	_	41	kon	_	_
43	dies	dies	P	PDS	Neut|_|Sg	44	obja	_	_
44	Versprechen	versprechen	V	VVFIN	_|Pl|Pres|_	42	cj	_	_
45	auch	auch	A	ADV	_	44	adv	_	_
46	halten	halten	V	VVINF	_	0	root	_	_
47	,	,	$	$,	_	0	root	_	_
48	als	als	K	KOKOM	_	46	par	_	_
49	solch	solch	A	PIDAT	_	50	det	_	_
50	empfindsames	empfindsam	A	ADJA	Neut|_|Sg	48	cj	_	_
51	,	,	$	$,	_	0	root	_	_
52	von	von	P	APPR	_	46	pp	_	_
53	allerhand	allerhand	A	ADJA	_|Fem|_|Pl|_	54	attr	_	_
54	Eitelkeiten	Eitelkeit	N	NN	Fem|_|Pl	52	pn	_	_
55	beherrschtes	beherrscht	A	ADJA	Pos|Neut|_|Sg|St|	56	attr	_	_
56	Bürschchen	Bürschchen	N	NN	Neut|_|Sg	54	app	_	_
57	,	,	$	$,	_	0	root	_	_
58	wie	wie	P	PWAV	_	61	adv	_	_
59	ich	ich	P	PPER	1|Sg|_|Nom	61	subj	1898	1898
60	eines	eine	P	PIS	Neut|Nom|Sg	61	pred	_	_
61	war	sein	V	VAFIN	1|Sg|Past|Ind	56	objc	_	_
62	.	.	$	$.	_	0	root	_	_

1	Aber	aber	K	KON	_	0	root	_	_
2	wenn	wenn	K	KOUS	_	7	konj	_	_
3	dies	dies	P	PDS	Neut|Nom|Sg	7	subj	_	_
4	auch	auch	A	ADV	_	7	adv	_	_
5	dreimal	dreimal	A	ADV	_	7	adv	_	_
6	richtig	richtig	A	ADJD	Pos|	7	pred	_	_
7	wäre	sein	V	VAFIN	3|Sg|Past|Subj	10	neb	_	_
8	,	,	$	$,	_	0	root	_	_
9	so	so	A	ADV	_	10	adv	_	_
10	bliebe	bleiben	V	VVFIN	3|Sg|Past|Subj	1	cj	_	_
11	dieser	diese	A	PDAT	Masc|Nom|Sg	12	det	_	_
12	Erziehungseinfall	Erziehungseinfall	N	NN	Masc|Nom|Sg	10	subj	_	_
13	-	-	$	$(	_	0	root	_	_
14	denn	denn	K	KON	_	10	kon	_	_
15	etwas	etwas	A	PIAT	Neut|Nom|Sg	16	det	_	_
16	Erzieherisches	Erzieherisch	N	NN	Neut|Nom|Sg	17	subj	_	_
17	sollte	sollen	V	VMFIN	3|Sg|Past|_	14	cj	_	_
18	es	es	P	PPER	3|Sg|Neut|Nom	22	pred	_	_
19	im	in	P	APPRART	Dat	22	pp	_	_
20	letzten	letzte	A	ADJA	Pos|_|Dat|_|_|	19	pn	_	_
21	doch	doch	A	ADV	_	19	adv	_	_
22	sein	sein	V	VAINF	_	17	aux	_	_
23	-	-	$	$(	_	0	root	_	_
24	in	in	P	APPR	_	30	pp	_	_
25	meinen	meine	A	PPOSAT	Neut|_|Pl	26	det	1898	1898
26	Augen	Auge	N	NN	Neut|_|Pl	24	pn	_	_
27	immer	immer	A	ADV	_	28	adv	_	_
28	noch	noch	A	ADV	_	30	adv	_	_
29	ebenso	ebenso	A	ADV	_	30	adv	_	_
30	verfehlt	verfehlen	V	VVPP	_	10	obji	_	_
31	.	.	$	$.	_	0	root	_	_

1	Ich	ich	P	PPER	1|Sg|_|Nom	2	subj	1898	1898
2	konnte	können	V	VMFIN	1|Sg|Past|Ind	0	root	_	_
3	mich	ich	P	PRF	1|Sg|Acc	7	obja	_	_
4	doch	doch	A	ADV	_	7	adv	_	_
5	nicht	nicht	P	PTKNEG	_	7	adv	_	_
6	plötzlich	plötzlich	A	ADJD	Pos|	7	adv	_	_
7	umwandeln	umwandeln	V	VVINF	_	2	aux	_	_
8	;	;	$	$.	_	0	root	_	_
9	ich	ich	P	PPER	1|Sg|_|Nom	0	root	1898	1898
10	,	,	$	$,	_	0	root	_	_
11	blieb	bleiben	V	VVFIN	_|Sg|Past|Ind	0	root	_	_
12	,	,	$	$,	_	0	root	_	_
13	meinetwegen	meinetwegen	P	PROAV	_	0	root	_	_
14	leider	leider	A	ADV	_	13	adv	_	_
15	,	,	$	$,	_	0	root	_	_
16	genau	genau	A	ADJD	Pos|	18	adv	1904	1904
17	derselbe	dieselbe	A	PDAT	Masc|Nom|Sg	18	det	1904	1904
18	Empfindling	Empfindling	N	NN	Masc|Nom|Sg	0	root	1904	1904
19	,	,	$	$,	_	0	root	1904	1904
20	der	die	P	PRELS	Masc|Nom|Sg	22	subj	1904	1904
21	ich	ich	P	PPER	1|Sg|_|Nom	22	pred	1898	1898
22	war	sein	V	VAFIN	3|Sg|Past|Ind	18	rel	_	_
23	;	;	$	$.	_	0	root	_	_
24	nichts	nichts	P	PIS	_|Nom|Sg	30	subj	_	_
25	an	an	P	APPR	Dat	24	pp	_	_
26	mir	ich	P	PPER	1|Sg|_|Dat	25	pn	1898	1898
27	und	und	K	KON	_	25	kon	_	_
28	in	in	P	APPR	Dat	27	cj	_	_
29	mir	ich	P	PPER	1|Sg|_|Dat	28	pn	1927	1927
30	wurde	werden	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
31	besser	gut	A	ADJD	Comp|	30	pred	_	_
32	,	,	$	$,	_	0	root	_	_
33	ich	ich	P	PPER	1|Sg|_|Nom	34	subj	1898	1898
34	hatte	haben	V	VAFIN	1|Sg|Past|Ind	30	kon	_	_
35	nichts	nichts	P	PIS	_	34	obja	_	_
36	davon	davon	P	PROAV	_	34	pp	_	_
37	als	als	K	KOKOM	_	34	kom	_	_
38	eine	eine	A	ART	Indef|Fem|_|Sg	39	det	_	_
39	Kränkung	Kränkung	N	NN	Fem|_|Sg	37	cj	_	_
40	und	und	K	KON	_	39	kon	_	_
41	ein	eine	A	ART	Indef|Neut|_|Sg	43	det	_	_
42	verdorbenes	verdorben	A	ADJA	Pos|Neut|_|Sg|St|	43	attr	_	_
43	Fest	Fest	N	NN	Neut|_|Sg	40	cj	_	_
44	.	.	$	$.	_	0	root	_	_

1	Es	es	P	PPER	3|Sg|Neut|Nom	2	subj	_	_
2	gibt	geben	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
3	nun	nun	A	ADV	_	2	adv	_	_
4	mal	mal	A	ADV	_	2	adv	_	_
5	verschiedene	verschieden	A	ADJA	Pos|Fem|_|Pl|St|	6	attr	_	_
6	Naturen	Natur	N	NN	Fem|_|Pl	2	obja	_	_
7	,	,	$	$,	_	0	root	_	_
8	und	und	K	KON	_	0	root	_	_
9	wenn	wenn	K	KOUS	_	13	konj	_	_
10	es	es	P	PPER	3|Sg|Neut|Nom	13	subj	_	_
11	geboten	bieten	V	VVPP	_	12	aux	_	_
12	sein	sein	V	VAINF	_	13	aux	_	_
13	mag	mögen	V	VMFIN	3|Sg|Pres|Ind	8	cj	_	_
14	,	,	$	$,	_	0	root	_	_
15	schwächer	schwach	A	ADJD	Comp|	16	adv	_	_
16	Ausgestattete	Ausgestattete	N	NN	_|_|_	0	root	_	_
17	zu	zu	P	APPR	Dat	16	pp	_	_
18	kräftigen	kräftig	A	ADJA	Pos|_|Dat|_|_|	17	pn	_	_
19	und	und	K	KON	_	0	root	_	_
20	zu	zu	P	PTKZU	_	21	part	_	_
21	stählen	stählen	V	VVINF	_	19	cj	_	_
22	,	,	$	$,	_	0	root	_	_
23	auch	auch	A	ADV	_	24	adv	_	_
24	wenn	wenn	K	KOUS	_	29	konj	_	_
25	es	es	P	PPER	3|Sg|Neut|Nom	29	subj	_	_
26	diesen	diese	P	PDS	_|_|_	29	obja	_	_
27	zunächst	zunächst	A	ADV	_	29	adv	_	_
28	wehe	wehe	A	ADJD	_	29	adv	_	_
29	tut	tun	V	VVFIN	3|Sg|Pres|Ind	21	neb	_	_
30	,	,	$	$,	_	0	root	_	_
31	so	so	A	ADV	_	32	adv	_	_
32	ist	sein	V	VAFIN	3|Sg|Pres|Ind	29	par	_	_
33	doch	doch	A	ADV	_	32	adv	_	_
34	,	,	$	$,	_	0	root	_	_
35	von	von	P	APPR	Dat	29	pp	_	_
36	den	die	A	ART	Def|Fem|Dat|Pl	38	det	_	_
37	sonstigen	sonstig	A	ADJA	Pos|Fem|Dat|Pl|_|	38	attr	_	_
38	Schwierigkeiten	Schwierigkeit	N	NN	Fem|Dat|Pl	35	pn	_	_
39	der	die	A	ART	Def|Fem|Gen|Sg	40	det	191	191
40	Sache	Sache	N	NN	Fem|Gen|Sg	38	gmod	191	191
41	ganz	ganz	A	ADV	_	42	adv	_	_
42	abgesehn	abgesehn	A	ADJD	_	29	adv	_	_
43	,	,	$	$,	_	0	root	_	_
44	die	die	A	ART	Def|Fem|Nom|Sg	45	det	_	_
45	Stunde	Stunde	N	NN	Fem|Nom|Sg	0	root	_	_
46	,	,	$	$,	_	0	root	_	_
47	wo	wo	P	PWAV	_	50	adv	_	_
48	der	die	A	ART	Def|Masc|Nom|Sg	49	det	1887	1887
49	Weihnachtsbaum	Weihnachtsbaum	N	NN	Masc|Nom|Sg	51	subj	1887	1887
50	angezündet	anzünden	V	VVPP	_	51	aux	_	_
51	wird	werden	V	VAFIN	3|Sg|Pres|Ind	45	rel	_	_
52	,	,	$	$,	_	0	root	_	_
53	sicherlich	sicherlich	A	ADV	_	54	adv	_	_
54	nicht	nicht	P	PTKNEG	_	56	adv	_	_
55	der	die	A	ART	Def|Masc|Nom|Sg	56	det	_	_
56	Zeitpunkt	Zeitpunkt	N	NN	Masc|Nom|Sg	45	app	_	_
57	dafür	dafür	P	PROAV	_	56	pp	_	_
58	.	.	$	$.	_	0	root	_	_

1	Es	es	P	PPER	3|Sg|Neut|Nom	2	subj	_	_
2	soll	sollen	V	VMFIN	3|Sg|Pres|Ind	0	root	_	_
3	an	an	P	APPR	Dat	2	pp	_	_
4	diesem	diese	A	PDAT	Masc|Dat|Sg	5	det	1905	1905
5	Abend	Abend	N	NN	Masc|Dat|Sg	3	pn	1905	1905
6	nicht	nicht	P	PTKNEG	_	7	adv	_	_
7	erzogen	erziehen	V	VVPP	_	2	neb	_	_
8	,	,	$	$,	_	0	root	_	_
9	sondern	sondern	K	KON	_	2	kon	_	_
10	erfreut	erfreuen	V	VVPP	_	11	aux	_	_
11	werden	werden	V	VAFIN	_|Pl|Pres|_	9	cj	_	_
12	,	,	$	$,	_	0	root	_	_
13	und	und	K	KON	_	0	root	_	_
14	der	die	P	PRELS	_|_|Sg	13	cj	1905	1905
15	,	,	$	$,	_	0	root	_	_
16	dem	die	P	PRELS	_|Dat|Sg	19	objd	1905	1905
17	diese	diese	A	PDAT	Fem|Nom|Sg	18	det	694	694
18	Aufgabe	Aufgabe	N	NN	Fem|Nom|Sg	19	subj	694	694
19	zufällt	zufallen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
20	,	,	$	$,	_	0	root	_	_
21	und	und	K	KON	_	0	root	_	_
22	der	die	P	PRELS	_|_|Sg	21	cj	694	694
23	sich	sie	P	PRF	3|_|_	32	obja	_	_
24	ihr	ihr	P	PPER	2|Pl|_|Nom	32	subj	_	_
25	noch	noch	A	ADV	_	32	adv	_	_
26	dazu	dazu	P	PROAV	_	32	pp	_	_
27	freudig	freudig	A	ADJD	Pos|	31	adv	_	_
28	und	und	K	KON	_	27	kon	_	_
29	liebevoll	liebevoll	A	ADJD	Pos|	28	cj	_	_
30	zu	zu	P	PTKZU	_	31	part	_	_
31	unterziehen	unterziehen	V	VVINF	_	32	obji	_	_
32	trachtet	trachten	V	VVFIN	2|Pl|Pres|_	0	root	_	_
33	,	,	$	$,	_	0	root	_	_
34	der	die	P	PDS	Masc|Nom|Sg	35	subj	_	_
35	muß	müssen	V	VMFIN	3|Sg|Pres|Ind	0	root	_	_
36	sich	sie	P	PRF	3|_|Dat	41	objd	_	_
37	doch	doch	A	ADV	_	41	adv	_	_
38	notwendig	notwendig	A	ADJD	Pos|	41	adv	_	_
39	die	die	A	ART	Def|Fem|_|Sg	40	det	844	844
40	Frage	Frage	N	NN	Fem|_|Sg	41	obja	844	844
41	vorlegen	vorlegen	V	VVFIN	_|Pl|Pres|_	0	root	_	_
42	,	,	$	$,	_	0	root	_	_
43	ob	ob	K	KOUS	_	0	root	_	_
44	der	die	A	ART	Def|_|_|_	0	root	_	_
45	zu	zu	P	APPR	Dat	0	root	_	_
46	Erfreuende	Erfreuende	N	NN	Neut|Dat|Sg	45	pn	_	_
47	an	an	P	APPR	Dat	46	pp	_	_
48	dem	die	P	PDS	_|Dat|Sg	47	pn	_	_
49	,	,	$	$,	_	0	root	_	_
50	wodurch	wodurch	P	PWAV	_	53	pp	_	_
51	man	man	P	PIS	_|Nom|Sg	54	subj	_	_
52	ihn	er	P	PPER	3|Sg|Masc|Acc	53	obja	1887	1887
53	erfreuen	erfreuen	V	VVINF	_	54	aux	_	_
54	will	wollen	V	VMFIN	3|Sg|Pres|Ind	0	root	_	_
55	,	,	$	$,	_	0	root	_	_
56	auch	auch	A	ADV	_	60	adv	_	_
57	wirklich	wirklich	A	ADJD	Pos|	60	adv	_	_
58	eine	eine	A	ART	Indef|Fem|Nom|Sg	59	det	_	_
59	Freude	Freude	N	NN	Fem|Nom|Sg	61	subj	_	_
60	haben	haben	V	VAINF	_	61	aux	_	_
61	kann	können	V	VMFIN	3|Sg|Pres|Ind	0	root	_	_
62	.	.	$	$.	_	0	root	_	_

1	Überhaupt	überhaupt	A	ADV	_	0	root	_	_
2	,	,	$	$,	_	0	root	_	_
3	der	die	A	ART	Def|Masc|Nom|Sg	4	det	1906	1906
4	Abend	Abend	N	NN	Masc|Nom|Sg	11	subj	1906	1906
5	,	,	$	$,	_	0	root	1906	1906
6	an	an	P	APPR	Dat	9	pp	1906	1906
7	dem	die	P	PRELS	Masc|Dat|Sg	6	pn	1906	1906
8	dies	dies	P	PDS	Neut|Nom|Sg	9	subj	_	_
9	spielte	spielen	V	VVFIN	3|Sg|Past|_	4	rel	_	_
10	,	,	$	$,	_	0	root	_	_
11	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
12	kein	keine	A	PIAT	Masc|Nom|Sg	14	det	_	_
13	rechter	recht	A	ADJA	Pos|Masc|Nom|Sg|St|	14	attr	_	_
14	Glücksabend	Glücksabend	N	NN	Masc|Nom|Sg	11	pred	_	_
15	.	.	$	$.	_	0	root	_	_

1	Es	es	P	PPER	3|Sg|Neut|Nom	2	subj	_	_
2	gibt	geben	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
3	eine	eine	A	ART	Indef|Fem|_|Sg	5	det	1907	1907
4	kleine	klein	A	ADJA	Pos|Fem|_|Sg|_|	5	attr	1907	1907
5	Geschichte	Geschichte	N	NN	Fem|_|Sg	2	obja	1907	1907
6	,	,	$	$,	_	0	root	1907	1907
7	die	die	P	PRELS	Fem|Nom|Sg	21	subj	1907	1907
8	sich	sie	P	PRF	3|_|_	21	obja	_	_
9	,	,	$	$,	_	0	root	_	_
10	wenn	wenn	K	KOUS	_	13	konj	_	_
11	ich	ich	P	PPER	1|Sg|_|Nom	13	subj	1909	1909
12	nicht	nicht	P	PTKNEG	_	13	adv	_	_
13	irre	irren	V	VVFIN	1|Sg|Pres|_	21	neb	_	_
14	,	,	$	$,	_	0	root	_	_
15	»	»	$	$(	_	0	root	_	_
16	die	die	A	ART	Def|Masc|Nom|Pl	17	det	_	_
17	Pantoffeln	Pantoffel	N	NN	Masc|Nom|Pl	21	pred	_	_
18	des	die	A	ART	Def|_|Gen|Sg	19	det	1908	1908
19	Kasan	Kasan	N	NE	_|Gen|Sg	17	gmod	1908	1908
20	«	«	$	$(	_	0	root	_	_
21	betitelt	betiteln	V	VVFIN	3|Sg|Pres|Ind	5	rel	_	_
22	.	.	$	$.	_	0	root	_	_

1	Gerade	gerade	A	ADV	_	2	adv	_	_
2	damals	damals	A	ADV	_	3	adv	_	_
3	mußte	müssen	V	VMFIN	1|Sg|Past|Ind	0	root	_	_
4	ich	ich	P	PPER	1|Sg|_|Nom	3	subj	1909	1909
5	diese	diese	P	PDS	_|_|_	3	obja	_	_
6	,	,	$	$,	_	0	root	_	_
7	die	die	P	PRELS	_|_|_	0	root	1912	1912
8	mutmaßlich	mutmaßlich	A	ADJD	Pos|	9	adv	_	_
9	aus	aus	P	APPR	Dat	0	root	_	_
10	Tausendundeiner	tausendundeins	C	CARD	_	9	pn	_	_
11	Nacht	Nacht	N	NN	Fem|Nom|Sg	13	subj	1910	1910
12	herübergenommen	herübernehmen	V	VVPP	_	13	aux	_	_
13	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
14	,	,	$	$,	_	0	root	_	_
15	aus	aus	P	APPR	Dat	0	root	_	_
16	meinem	meine	A	PPOSAT	Neut|Dat|Sg	18	det	1909	1909
17	französischen	französisch	A	ADJA	Pos|Neut|Dat|Sg|Wk|	18	attr	_	_
18	Lesebuche	Lesebuch	N	NN	Neut|Dat|Sg	15	pn	_	_
19	übersetzen	übersetzen	V	VVINF	_	0	root	_	_
20	.	.	$	$.	_	0	root	_	_

1	Es	es	P	PPER	3|Sg|Neut|Nom	2	subj	_	_
2	handelt	handeln	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
3	sich	sie	P	PRF	3|_|_	2	obja	_	_
4	darin	darin	P	PROAV	_	2	pp	_	_
5	um	um	P	APPR	Acc	2	objp	_	_
6	ein	eine	A	ART	Indef|Neut|Acc|Sg	7	det	1911	1911
7	Paar	Paar	N	NN	Neut|Acc|Sg	5	pn	1911	1911
8	hübsche	hübsch	A	ADJA	Pos|Masc|Acc|Pl|St|	9	attr	1911	1911
9	Pantoffeln	Pantoffel	N	NN	Masc|Acc|Pl	7	app	1911	1911
10	,	,	$	$,	_	0	root	1911	1911
11	die	die	P	PRELS	Masc|_|Pl	14	obja	1911	1911
12	jeder	jede	P	PIS	Masc|Nom|Sg	15	subj	_	_
13	gern	gern	A	ADV	_	14	adv	_	_
14	haben	haben	V	VAINF	_	15	aux	_	_
15	möchte	mögen	V	VMFIN	3|Sg|Past|Subj	9	rel	_	_
16	;	;	$	$.	_	0	root	_	_
17	sobald	sobald	K	KOUS	_	21	konj	_	_
18	er	er	P	PPER	3|Sg|Masc|Nom	21	subj	7	7
19	sie	sie	P	PPER	3|_|_|_	21	obja	1911	1911
20	aber	aber	A	ADV	_	21	adv	_	_
21	hat	haben	V	VAFIN	3|Sg|Pres|Ind	23	neb	_	_
22	,	,	$	$,	_	0	root	_	_
23	bringen	bringen	V	VVFIN	3|Pl|Pres|_	0	root	_	_
24	sie	sie	P	PPER	3|Pl|_|Nom	23	subj	1912	1912
25	ihm	er	P	PPER	3|Sg|_|Dat	23	objd	7	7
26	bloß	bloß	A	ADV	_	23	adv	_	_
27	Unglück	Unglück	N	NN	Neut|_|Sg	23	obja	1913	1913
28	.	.	$	$.	_	0	root	_	_

1	Ähnlich	ähnlich	A	ADJD	Pos|	2	pred	_	_
2	erging	ergehen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
3	es	es	P	PPER	3|Sg|Neut|Nom	2	subj	_	_
4	mir	ich	P	PPER	1|Sg|_|Dat	2	objd	1909	1909
5	mit	mit	P	APPR	Dat	2	pp	_	_
6	den	die	A	ART	Def|Masc|Dat|Pl	7	det	1914	1914
7	Korbsäbeln	Korbsäbel	N	NN	Masc|Dat|Pl	5	pn	1914	1914
8	-	-	$	$(	_	0	root	_	_
9	ich	ich	P	PPER	1|Sg|_|Nom	10	subj	1909	1909
10	wollte	wollen	V	VMFIN	1|Sg|Past|_	2	kon	_	_
11	sie	sie	P	PPER	3|_|_|_	12	obja	1912	1912
12	haben	haben	V	VAINF	_	10	aux	_	_
13	,	,	$	$,	_	0	root	_	_
14	und	und	K	KON	_	10	kon	_	_
15	als	als	K	KOUS	_	18	konj	_	_
16	ich	ich	P	PPER	1|Sg|_|Nom	18	subj	1909	1909
17	sie	sie	P	PPER	3|_|_|_	18	obja	1912	1912
18	hatte	haben	V	VAFIN	1|Sg|Past|Ind	20	neb	_	_
19	,	,	$	$,	_	0	root	_	_
20	brach	brechen	V	VVFIN	3|Sg|Past|Ind	14	cj	_	_
21	das	die	A	ART	Def|Neut|Nom|Sg	22	det	1915	1915
22	Unheil	Unheil	N	NN	Neut|Nom|Sg	20	subj	1915	1915
23	über	über	P	APPR	Acc	20	objp	_	_
24	mich	ich	P	PPER	1|Sg|_|Acc	23	pn	1909	1909
25	herein	herein	P	PTKVZ	_	20	avz	_	_
26	.	.	$	$.	_	0	root	_	_

1	Allerdings	allerdings	A	ADV	_	2	adv	_	_
2	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
3	mir	ich	P	PPER	1|Sg|_|Dat	14	objd	1909	1909
4	bis	bis	P	APPR	Acc	14	pp	_	_
5	zum	zu	P	APPRART	Dat	4	pp	_	_
6	Eintritt	Eintritt	N	NN	Masc|Dat|Sg	5	pn	_	_
7	der	die	A	ART	Def|Fem|Gen|Sg	9	det	_	_
8	eigentlichen	eigentlich	A	ADJA	Pos|Fem|Gen|Sg|Wk|	9	attr	_	_
9	Katastrophe	Katastrophe	N	NN	Fem|Gen|Sg	6	gmod	_	_
10	noch	noch	A	ADV	_	14	adv	_	_
11	eine	eine	A	ART	Indef|Fem|Nom|Sg	13	det	_	_
12	kurze	kurz	A	ADJA	Pos|Fem|Nom|Sg|_|	13	attr	_	_
13	Frist	Frist	N	NN	Fem|Nom|Sg	2	subj	_	_
14	gegönnt	gönnen	V	VVPP	_	2	aux	_	_
15	,	,	$	$,	_	0	root	_	_
16	während	während	K	KOUS	_	0	root	_	_
17	welcher	welche	P	PWS	_|_|_	0	root	_	_
18	ich	ich	P	PPER	1|Sg|_|Nom	37	subj	1909	1909
19	mich	ich	P	PRF	1|Sg|Acc	36	obja	_	_
20	-	-	$	$(	_	0	root	_	_
21	nach	nach	P	APPR	Dat	36	pp	_	_
22	Überwindung	Überwindung	N	NN	_|Dat|Sg	21	pn	_	_
23	des	die	A	ART	Def|Masc|Gen|Sg	25	det	_	_
24	ersten	erst	A	ADJA	_|Masc|Gen|Sg|_|	25	attr	_	_
25	Ärgers	Ärger	N	NN	Masc|Gen|Sg	22	gmod	_	_
26	am	an	P	APPRART	Dat	25	pp	_	_
27	Weihnachtsabend	Weihnachtsabend	N	NN	Masc|Dat|Sg	26	pn	1916	1916
28	selbst	selbst	A	ADV	_	26	adv	_	_
29	-	-	$	$(	_	0	root	_	_
30	wenigstens	wenigstens	A	ADV	_	36	adv	_	_
31	zeitweilig	zeitweilig	A	ADJD	Pos|	36	adv	_	_
32	noch	noch	A	ADV	_	36	adv	_	_
33	in	in	P	APPR	Dat	36	pp	_	_
34	der	die	A	ART	Def|Fem|Dat|Sg	35	det	216	216
35	Vorstellung	Vorstellung	N	NN	Fem|Dat|Sg	33	pn	216	216
36	wiegen	wiegen	V	VVINF	_	37	aux	_	_
37	durfte	dürfen	V	VMFIN	1|Sg|Past|Ind	0	root	_	_
38	,	,	$	$,	_	0	root	_	_
39	mich	ich	P	PPER	1|Sg|_|Acc	0	root	1909	1909
40	meines	meine	A	PPOSAT	Neut|Gen|Sg	41	det	1909	1909
41	Weihnachtsgeschenkes	Weihnachtsgeschenk	N	NN	Neut|Gen|Sg	0	root	_	_
42	freuen	freuen	V	VVINF	_	44	aux	_	_
43	zu	zu	P	PTKZU	_	44	part	_	_
44	können	können	V	VMINF	_	0	root	_	_
45	.	.	$	$.	_	0	root	_	_

1	Dies	dies	P	PDS	Neut|Nom|Sg	2	subj	_	_
2	hatte	haben	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
3	seinen	seine	A	PPOSAT	Masc|_|Sg	4	det	1915	1915
4	Grund	Grund	N	NN	Masc|_|Sg	2	obja	_	_
5	in	in	P	APPR	Dat	2	pp	_	_
6	folgendem	folgend	A	ADJA	Pos|_|Dat|Sg|St|_	5	pn	_	_
7	.	.	$	$.	_	0	root	_	_

1	Es	es	P	PPER	3|Sg|Neut|Nom	2	subj	_	_
2	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
3	schon	schon	A	ADV	_	2	adv	_	_
4	Jahr	Jahr	N	NN	Neut|Nom|Sg	2	pred	322	322
5	und	und	K	KON	_	4	kon	_	_
6	Tag	Tag	N	NN	_|Nom|Sg	5	cj	948	948
7	,	,	$	$,	_	0	root	_	_
8	daß	daß	K	KOUS	_	0	root	_	_
9	ich	ich	P	PPER	1|Sg|_|Nom	0	root	1909	1909
10	,	,	$	$,	_	0	root	_	_
11	modern	modern	V	VVINF	_	0	root	_	_
12	zu	zu	P	PTKZU	_	13	part	_	_
13	sprechen	sprechen	V	VVINF	_	0	root	_	_
14	,	,	$	$,	_	0	root	_	_
15	auf	auf	P	APPR	Acc	22	objp	_	_
16	nichts	nichts	A	PIAT	Neut|Acc|Sg	17	det	_	_
17	Geringeres	Geringeres	N	NN	Neut|Acc|Sg	15	pn	_	_
18	als	als	K	KOKOM	_	17	kom	_	_
19	auf	auf	P	APPR	Acc	18	cj	_	_
20	eine	eine	A	ART	Indef|Fem|Acc|Sg	21	det	_	_
21	Armeeorganisation	Armeeorganisation	N	NN	Fem|Acc|Sg	19	pn	_	_
22	hinarbeitete	hinarbeiten	V	VVFIN	_|Sg|Past|_	0	root	_	_
23	.	.	$	$.	_	0	root	_	_

