1	Zehn	zehn	C	CARD	_	2	attr	_	_
2	der	die	A	ART	Def|Masc|Nom|Sg	4	det	_	_
3	nächste	nah	A	ADJA	_|Masc|Nom|Sg|Wk|	4	attr	_	_
4	Morgen	Morgen	N	NN	Masc|Nom|Sg	5	subj	_	_
5	brachte	bringen	V	VVFIN	3|Sg|Past|Ind	1	cj	_	_
6	Enttäuschung	Enttäuschung	N	NN	Fem|_|Sg	5	obja	206	206
7	.	.	$	$.	_	0	root	_	_

1	Ungeduldig	ungeduldig	A	ADJD	Pos|	2	adv	_	_
2	hatte	haben	V	VAFIN	1|Sg|Past|Ind	0	root	_	_
3	ich	ich	P	PPER	1|Sg|_|Nom	2	subj	193	193
4	mich	ich	P	PRF	1|Sg|Acc	11	obja	_	_
5	als	als	K	KOKOM	_	11	kom	_	_
6	einer	eine	P	PIS	_|_|Sg	5	cj	_	_
7	der	die	A	ART	Def|_|_|_	8	det	_	_
8	ersten	erst	A	ADJA	_|_|_	6	gmod	_	_
9	im	in	P	APPRART	Dat	11	pp	_	_
10	Hörsaal	Hörsaal	N	NN	Masc|Dat|Sg	9	pn	_	_
11	eingefunden	einfinden	V	VVPP	_	2	aux	_	_
12	,	,	$	$,	_	0	root	_	_
13	wo	wo	P	PWAV	_	30	adv	_	_
14	mein	meine	A	PPOSAT	Masc|Nom|Sg	15	det	193	193
15	Lehrer	Lehrer	N	NN	Masc|Nom|Sg	31	subj	194	194
16	(	(	$	$(	_	0	root	194	194
17	denn	denn	A	ADV	_	19	adv	194	194
18	so	so	A	ADV	_	19	adv	194	194
19	will	wollen	V	VMFIN	1|Sg|Pres|Ind	15	par	194	194
20	ich	ich	P	PPER	1|Sg|_|Nom	19	subj	193	193
21	ihn	er	P	PPER	3|Sg|Masc|Acc	23	obja	194	194
22	fortab	fortab	A	ADV	_	23	adv	_	_
23	nennen	nennen	V	VVINF	_	19	aux	_	_
24	)	)	$	$(	_	0	root	_	_
25	sein	seine	A	PPOSAT	Neut|_|Sg	26	det	194	194
26	Kolleg	Kolleg	N	NN	Neut|_|Sg	30	obja	855	855
27	über	über	P	APPR	Acc	30	pp	_	_
28	englische	englisch	A	ADJA	Pos|Fem|Acc|Sg|_|	29	attr	_	_
29	Lautlehre	Lautlehre	N	NN	Fem|Acc|Sg	27	pn	_	_
30	lesen	lesen	V	VVINF	_	31	aux	_	_
31	sollte	sollen	V	VMFIN	3|Sg|Past|_	11	rel	_	_
32	.	.	$	$.	_	0	root	_	_

1	Schon	schon	A	ADV	_	6	adv	_	_
2	als	als	K	KOUS	_	4	konj	_	_
3	er	er	P	PPER	3|Sg|Masc|Nom	4	subj	194	194
4	eintrat	eintreten	V	VVFIN	3|Sg|Past|Ind	6	neb	_	_
5	,	,	$	$,	_	0	root	_	_
6	erschrak	erschrecken	V	VVFIN	1|Sg|Past|Ind	0	root	_	_
7	ich	ich	P	PPER	1|Sg|_|Nom	6	subj	193	193
8	:	\:	$	$.	_	0	root	_	_
9	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
10	dies	dies	P	PDS	Neut|Nom|Sg	9	subj	_	_
11	denn	denn	A	ADV	_	9	adv	_	_
12	derselbe	dieselbe	A	PDAT	Masc|Nom|Sg	0	root	_	_
13	von	von	P	APPR	_	0	root	_	_
14	gestern	gestern	A	ADV	_	13	adv	_	_
15	,	,	$	$,	_	0	root	_	_
16	oder	oder	K	KON	_	0	root	_	_
17	hatte	haben	V	VAFIN	_|Sg|Past|Ind	16	cj	_	_
18	ihn	er	P	PPER	3|Sg|Masc|Acc	25	obja	194	194
19	nur	nur	A	ADV	_	25	adv	_	_
20	meine	meine	A	PPOSAT	Fem|Nom|Sg	22	det	193	193
21	erregte	erregt	A	ADJA	Pos|Fem|Nom|Sg|_|	22	attr	_	_
22	Stimmung	Stimmung	N	NN	Fem|Nom|Sg	17	subj	_	_
23	und	und	K	KON	_	22	kon	_	_
24	Erinnerung	Erinnerung	N	NN	Fem|Nom|Sg	23	cj	_	_
25	befeuert	befeuern	V	VVPP	_	17	aux	_	_
26	zu	zu	P	APPR	Dat	25	pp	_	_
27	einem	eine	A	ART	Indef|_|Dat|Sg	28	det	195	195
28	Coriolan	Coriolan	N	NN	Masc|Dat|Sg	26	pn	195	195
29	,	,	$	$,	_	0	root	195	195
30	der	die	P	PRELS	Masc|Nom|Sg	38	subj	195	195
31	auf	auf	P	APPR	Dat	38	pp	_	_
32	dem	die	A	ART	Def|Neut|Dat|Sg	33	det	_	_
33	Forum	Forum	N	NN	Neut|Dat|Sg	31	pn	_	_
34	das	die	A	ART	Def|Neut|_|Sg	35	det	103	103
35	Wort	Wort	N	NN	Neut|_|Sg	38	obja	103	103
36	als	als	K	KOKOM	_	38	kom	_	_
37	Blitzstrahl	Blitzstrahl	N	NN	Masc|_|Sg	36	cj	_	_
38	führt	führen	V	VVFIN	3|Sg|Pres|Ind	28	rel	_	_
39	,	,	$	$,	_	0	root	_	_
40	heldenhaft	heldenhaft	A	ADJD	Pos|	25	adv	_	_
41	kühn	kühn	A	ADJD	Pos|	25	adv	_	_
42	,	,	$	$,	_	0	root	_	_
43	niederschlagend	niederschlagen	A	ADJD	_|<PPRES	41	kon	_	_
44	und	und	K	KON	_	43	kon	_	_
45	bezwingend	bezwingen	A	ADJD	_|<PPRES	44	cj	_	_
46	?	?	$	$.	_	0	root	_	_

1	Der	die	A	ART	Def|_|_|_	0	root	_	_
2	hier	hier	A	ADV	_	3	adv	_	_
3	mit	mit	P	APPR	Dat	7	pp	_	_
4	leisem	leis	A	ADJA	Pos|Masc|Dat|Sg|St|	6	attr	_	_
5	schleppendem	schleppend	A	ADJA	Pos|Masc|Dat|Sg|St|<PPRES	6	attr	_	_
6	Schritt	Schritt	N	NN	Masc|Dat|Sg	3	pn	_	_
7	eintrat	eintreten	V	VVFIN	_|Sg|Past|Ind	0	root	_	_
8	,	,	$	$,	_	0	root	_	_
9	war	sein	V	VAFIN	_|Sg|Past|Ind	7	kon	_	_
10	ein	eine	A	ART	Indef|Masc|Nom|Sg	14	det	_	_
11	alter	alt	A	ADJA	Pos|Masc|Nom|Sg|St|	14	attr	_	_
12	,	,	$	$,	_	0	root	_	_
13	müder	müde	A	ADJA	Pos|Masc|Nom|Sg|St|	11	kon	_	_
14	Mann	Mann	N	NN	Masc|Nom|Sg	9	pred	_	_
15	.	.	$	$.	_	0	root	_	_

1	Als	Als	K	KOKOM	_	0	root	_	_
2	sei	sein	V	VAFIN	3|Sg|Pres|Subj	0	root	_	_
3	eine	eine	A	ART	Indef|Fem|Nom|Sg	5	det	_	_
4	leuchtende	leuchtend	A	ADJA	Pos|Fem|Nom|Sg|_|<PPRES	5	attr	_	_
5	Mattscheibe	Mattscheibe	N	NN	Fem|Nom|Sg	2	subj	_	_
6	von	von	P	APPR	Dat	9	pp	_	_
7	seinem	seine	A	PPOSAT	Neut|Dat|Sg	8	det	195	195
8	Antlitz	Antlitz	N	NN	Neut|Dat|Sg	6	pn	_	_
9	weggenommen	wegnehmen	V	VVPP	_	2	aux	_	_
10	,	,	$	$,	_	0	root	_	_
11	so	so	A	ADV	_	12	adv	_	_
12	merkte	merken	V	VVFIN	1|Sg|Past|_	2	kon	_	_
13	ich	ich	P	PPER	1|Sg|_|Nom	12	subj	193	193
14	jetzt	jetzt	A	ADV	_	12	adv	_	_
15	von	von	P	APPR	_	12	pp	_	_
16	der	die	A	ART	Def|Fem|_|Sg	18	det	_	_
17	ersten	erst	A	ADJA	_|Fem|_|Sg|Wk|	18	attr	_	_
18	Bankreihe	Bankreihe	N	NN	Fem|_|Sg	15	pn	_	_
19	seine	seine	A	PPOSAT	Masc|Nom|Pl	23	det	195	195
20	fast	fast	A	ADV	_	22	adv	_	_
21	kränklich	kränklich	A	ADJD	Pos|	22	adv	_	_
22	matten	matt	A	ADJA	Pos|Masc|Nom|Pl|Wk|	23	attr	_	_
23	Züge	Zug	N	NN	Masc|Nom|Pl	30	subj	_	_
24	von	von	P	APPR	Dat	23	pp	_	_
25	scharfen	scharf	A	ADJA	Pos|Neut|Dat|Sg|Wk|	26	attr	_	_
26	Runzeln	Runzeln	N	NN	Neut|Dat|Sg	24	pn	_	_
27	und	und	K	KON	_	26	kon	_	_
28	breiten	breit	A	ADJA	Pos|Fem|Dat|Pl|_|	29	attr	531	531
29	Schrunden	Schrunde	N	NN	Fem|Dat|Pl	27	cj	531	531
30	durchackert	durchackern	V	VVPP	_	12	neb	_	_
31	;	;	$	$.	_	0	root	_	_
32	blaue	blau	A	ADJA	Pos|Masc|_|_|_|	33	attr	_	_
33	Schatten	Schatten	N	NN	Masc|_|_	0	root	_	_
34	höhlten	höhlten	A	ADJA	_|Neut|_|Pl|_	35	attr	_	_
35	Rinnsale	Rinnsal	N	NN	Neut|_|Pl	33	app	_	_
36	querhin	querhin	N	NE	Neut|_|Pl	35	app	_	_
37	in	in	P	APPR	Acc	35	pp	_	_
38	das	die	A	ART	Def|Neut|Acc|Sg	40	det	_	_
39	schlaffe	schlaff	A	ADJA	Pos|Neut|Acc|Sg|Wk|	40	attr	_	_
40	Grau	Grau	N	NN	Neut|Acc|Sg	37	pn	_	_
41	der	die	A	ART	Def|Fem|Gen|Pl	42	det	196	196
42	Wangen	Wange	N	NN	Fem|Gen|Pl	40	gmod	196	196
43	.	.	$	$.	_	0	root	_	_

1	Über	über	P	APPR	Acc	0	root	_	_
2	die	die	A	ART	Def|Neut|Acc|Pl	3	det	_	_
3	Augen	Auge	N	NN	Neut|Acc|Pl	1	pn	_	_
4	schatteten	schatteten	P	APPR	Dat	3	pp	_	_
5	dem	die	A	ART	Def|_|Dat|Sg	6	det	_	_
6	Lesenden	Lesende	N	NN	_|Dat|Sg	4	pn	_	_
7	zu	zu	P	APPR	Dat	1	kon	_	_
8	schwere	schwer	A	ADJA	Pos|Neut|Nom|Pl|St|	9	attr	_	_
9	Lider	Lid	N	NN	Neut|Nom|Pl	7	pn	_	_
10	,	,	$	$,	_	0	root	_	_
11	auch	auch	A	ADV	_	13	adv	_	_
12	der	die	A	ART	Def|Masc|Nom|Sg	13	det	_	_
13	Mund	Mund	N	NN	Masc|Nom|Sg	9	kon	_	_
14	mit	mit	P	APPR	Dat	0	root	_	_
15	den	die	A	ART	Def|_|_|_	0	root	_	_
16	zu	zu	P	PTKZU	_	17	part	_	_
17	blassen	blassen	V	VVINF	_	0	root	_	_
18	,	,	$	$,	_	0	root	_	_
19	zu	zu	P	APPR	Dat	22	objp	_	_
20	schmalen	schmal	A	ADJA	Pos|Fem|Dat|Pl|_|	21	attr	_	_
21	Lippen	Lippe	N	NN	Fem|Dat|Pl	19	pn	_	_
22	gab	geben	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
23	dem	die	A	ART	Def|Neut|Dat|Sg	24	det	103	103
24	Wort	Wort	N	NN	Neut|Dat|Sg	22	objd	103	103
25	kein	keine	A	PIAT	Neut|Nom|Sg	26	det	197	197
26	Metall	Metall	N	NN	Neut|Nom|Sg	22	subj	197	197
27	:	\:	$	$.	_	0	root	_	_
28	wo	wo	P	PWAV	_	29	adv	_	_
29	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
30	seine	seine	A	PPOSAT	Fem|Nom|Sg	31	det	197	197
31	Heiterkeit	Heiterkeit	N	NN	Fem|Nom|Sg	29	subj	198	198
32	,	,	$	$,	_	0	root	_	_
33	der	die	P	PRELS	_|_|Sg	0	root	198	198
34	sich	sie	P	PRF	3|_|_	0	root	_	_
35	selbst	selbst	A	ADV	_	36	adv	_	_
36	aufjubelnde	aufjubelnd	A	ADJA	Pos|_|_|_|_|<PPRES	37	attr	_	_
37	Überschwang	Überschwang	N	NN	_|_|_	0	root	_	_
38	?	?	$	$.	_	0	root	_	_

1	Selbst	selbst	A	ADV	_	3	adv	199	199
2	die	die	A	ART	Def|Fem|Nom|Sg	3	det	199	199
3	Stimme	Stimme	N	NN	Fem|Nom|Sg	4	subj	199	199
4	schien	scheinen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
5	mir	ich	P	PPER	1|Sg|_|Dat	4	objd	193	193
6	fremd	fremd	A	ADJD	Pos|	4	pred	_	_
7	;	;	$	$.	_	0	root	_	_
8	gleichsam	gleichsam	A	ADJD	_	9	adv	_	_
9	vom	von	P	APPRART	Dat	12	pp	_	_
10	grammatikalischen	grammatikalisch	A	ADJA	Pos|Neut|Dat|Sg|Wk|	11	attr	_	_
11	Thema	Thema	N	NN	Neut|Dat|Sg	9	pn	_	_
12	ernüchtert	ernüchtern	V	VVPP	_	14	obji	_	_
13	,	,	$	$,	_	0	root	_	_
14	ging	gehen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
15	sie	sie	P	PPER	3|Sg|Fem|Nom	14	subj	199	199
16	steif	steif	A	ADJD	Pos|	14	adv	_	_
17	durch	durch	P	APPR	Acc	16	pp	_	_
18	trocken	trocken	A	ADJD	Pos|	19	adv	_	_
19	knirschenden	knirschend	A	ADJA	Pos|Masc|Acc|Sg|_|<PPRES	20	attr	_	_
20	Sand	Sand	N	NN	Masc|Acc|Sg	17	pn	_	_
21	in	in	P	APPR	Dat	14	pp	_	_
22	monoton	monoton	A	ADJD	Pos|	23	adv	_	_
23	ermüdendem	ermüdend	A	ADJA	Pos|Masc|Dat|Sg|St|_	24	attr	_	_
24	Schritt	Schritt	N	NN	Masc|Dat|Sg	21	pn	_	_
25	.	.	$	$.	_	0	root	_	_

1	Unruhe	Unruhe	N	NN	Fem|Nom|Sg	2	subj	200	200
2	überkam	überkommen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
3	mich	ich	P	PPER	1|Sg|_|Acc	2	obja	193	193
4	.	.	$	$.	_	0	root	_	_

1	Das	die	P	PDS	Neut|Nom|Sg	2	subj	_	_
2	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
3	ja	ja	A	ADV	_	2	adv	_	_
4	gar	gar	A	ADV	_	5	adv	_	_
5	nicht	nicht	P	PTKNEG	_	2	adv	_	_
6	der	die	A	ART	Def|Masc|Nom|Sg	7	det	15	15
7	Mann	Mann	N	NN	Masc|Nom|Sg	2	pred	15	15
8	,	,	$	$,	_	0	root	_	_
9	auf	auf	P	APPR	Acc	0	root	_	_
10	den	die	P	PRELS	Masc|Acc|Sg	9	pn	15	15
11	ich	ich	P	PPER	1|Sg|_|Nom	17	subj	193	193
12	seit	seit	P	APPR	Dat	17	pp	_	_
13	der	die	A	ART	Def|Fem|Dat|Sg	15	det	201	201
14	ersten	erst	A	ADJA	_|Fem|Dat|Sg|Wk|	15	attr	201	201
15	Stunde	Stunde	N	NN	Fem|Dat|Sg	12	pn	201	201
16	heute	heute	A	ADV	_	12	adv	_	_
17	gewartet	warten	V	VVPP	_	0	root	_	_
18	:	\:	$	$.	_	0	root	_	_
19	wohin	wohin	P	PWAV	_	20	pp	_	_
20	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
21	sein	seine	A	PPOSAT	Neut|Nom|Sg	22	det	15	15
22	Antlitz	Antlitz	N	NN	Neut|Nom|Sg	20	subj	202	202
23	vergangen	vergehen	V	VVPP	_	20	aux	_	_
24	,	,	$	$,	_	0	root	_	_
25	sein	seine	A	PPOSAT	_|_|Sg	0	root	202	202
26	gestern	gestern	A	ADV	_	27	adv	_	_
27	so	so	A	ADV	_	28	adv	_	_
28	astralisch	astralisch	V	VVFIN	_|Sg|_|_	0	root	_	_
29	mir	ich	P	PPER	1|Sg|_|Dat	28	objd	193	193
30	erhelltes	erhellt	A	ADJA	Pos|Neut|Nom|Sg|St|	28	subj	_	_
31	?	?	$	$.	_	0	root	_	_

1	Hier	hier	A	ADV	_	2	adv	_	_
2	spulte	spulen	V	VVFIN	3|Sg|Past|_	0	root	_	_
3	ein	eine	A	ART	Indef|Masc|Nom|Sg	5	det	203	203
4	abgenützter	abgenützt	A	ADJA	Pos|Masc|Nom|Sg|St|	5	attr	203	203
5	Professor	Professor	N	NN	Masc|Nom|Sg	2	subj	203	203
6	sachlich	sachlich	A	ADJD	Pos|	2	adv	_	_
7	sein	seine	A	PPOSAT	Neut|_|Sg	8	det	203	203
8	Thema	Thema	N	NN	Neut|_|Sg	2	obja	_	_
9	ab	ab	P	PTKVZ	_	2	avz	_	_
10	;	;	$	$.	_	0	root	_	_
11	immer	immer	A	ADV	_	12	adv	_	_
12	horchte	horchen	V	VVFIN	1|Sg|Past|_	0	root	_	_
13	ich	ich	P	PPER	1|Sg|_|Nom	12	subj	193	193
14	mit	mit	P	APPR	Dat	12	pp	_	_
15	neuer	neu	A	ADJA	Pos|Fem|Dat|Sg|St|	16	attr	_	_
16	Angst	Angst	N	NN	Fem|Dat|Sg	14	pn	_	_
17	in	in	P	APPR	Acc	12	pp	_	_
18	sein	seine	A	PPOSAT	Neut|Acc|Sg	19	det	203	203
19	Wort	Wort	N	NN	Neut|Acc|Sg	17	pn	_	_
20	hinein	hinein	P	PTKVZ	_	12	avz	_	_
21	,	,	$	$,	_	0	root	_	_
22	ob	ob	K	KOUS	_	30	konj	_	_
23	nicht	nicht	P	PTKNEG	_	29	adv	_	_
24	doch	doch	A	ADV	_	29	adv	_	_
25	jener	jene	A	PDAT	Masc|Nom|Sg	26	det	205	205
26	Ton	Ton	N	NN	Masc|Nom|Sg	30	subj	205	205
27	von	von	P	APPR	_	26	pp	205	205
28	gestern	gestern	A	ADV	_	27	adv	205	205
29	wiederkehren	wiederkehren	V	VVINF	_	30	aux	_	_
30	wollte	wollen	V	VMFIN	3|Sg|Past|_	12	objc	_	_
31	,	,	$	$,	_	0	root	_	_
32	die	die	A	ART	Def|Fem|_|Sg	34	det	204	204
33	warme	warm	A	ADJA	Pos|Fem|_|Sg|_|	34	attr	204	204
34	Vibration	Vibration	N	NN	Fem|_|Sg	0	root	204	204
35	,	,	$	$,	_	0	root	_	_
36	die	die	P	PRELS	_|_|_	0	root	204	204
37	wie	wie	K	KOKOM	_	44	kom	_	_
38	eine	eine	A	ART	Indef|Fem|_|Sg	40	det	_	_
39	klingende	klingend	A	ADJA	Pos|Fem|_|Sg|_|<PPRES	40	attr	_	_
40	Hand	Hand	N	NN	Fem|_|Sg	37	cj	_	_
41	in	in	P	APPR	Acc	44	objp	_	_
42	mein	meine	A	PPOSAT	Neut|Acc|Sg	43	det	193	193
43	Gefühl	Gefühl	N	NN	Neut|Acc|Sg	41	pn	_	_
44	gegriffen	greifen	V	VVPP	_	0	root	_	_
45	und	und	K	KON	_	44	kon	_	_
46	es	es	P	PPER	3|Sg|Neut|_	49	obja	_	_
47	zur	zu	P	APPRART	Dat	49	pp	_	_
48	Leidenschaft	Leidenschaft	N	NN	_|Dat|Sg	47	pn	134	134
49	emporgestimmt	emporstimmen	V	VVPP	_	45	cj	_	_
50	.	.	$	$.	_	0	root	_	_

1	Immer	immer	A	ADV	_	2	adv	_	_
2	unruhiger	unruhig	A	ADJD	Comp|	3	adv	_	_
3	stieg	steigen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
4	mein	meine	A	PPOSAT	Masc|Nom|Sg	5	det	193	193
5	Blick	Blick	N	NN	Masc|Nom|Sg	3	subj	_	_
6	zu	zu	P	APPR	Dat	3	pp	_	_
7	ihm	er	P	PPER	3|Sg|_|Dat	6	pn	205	205
8	auf	auf	P	PTKVZ	_	3	avz	_	_
9	,	,	$	$,	_	0	root	_	_
10	voll	voll	A	ADJD	Pos|	14	adv	_	_
11	Enttäuschung	Enttäuschung	N	NN	Fem|_|Sg	10	grad	206	206
12	das	die	A	ART	Def|Neut|_|Sg	14	det	_	_
13	entfremdete	entfremdet	A	ADJA	Pos|Neut|_|Sg|Wk|	14	attr	_	_
14	Gesicht	Gesicht	N	NN	Neut|_|Sg	15	obja	_	_
15	übertastend	übertasten	A	ADJD	_|<PPRES	0	root	_	_
16	:	\:	$	$.	_	0	root	_	_
17	das	die	A	ART	Def|Neut|_|Sg	18	det	_	_
18	Antlitz	Antlitz	N	NN	Neut|_|Sg	0	root	_	_
19	hier	hier	A	ADV	_	18	adv	_	_
20	,	,	$	$,	_	0	root	_	_
21	unleugbar	unleugbar	F	FM	Neut|_|Sg	18	app	_	_
22	,	,	$	$,	_	0	root	_	_
23	es	es	P	PPER	3|Sg|Neut|_	24	expl	_	_
24	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
25	dasselbe	dasselbe	P	PIS	_|Nom|Sg	24	subj	_	_
26	,	,	$	$,	_	0	root	_	_
27	aber	aber	K	KON	_	0	root	_	_
28	gleichsam	gleichsam	A	ADJD	_	27	cj	_	_
29	entleert	entleeren	V	VVPP	_	0	root	_	_
30	,	,	$	$,	_	0	root	_	_
31	enthöhlt	enthöhlt	F	FM	_	0	root	_	_
32	aller	alle	A	PIDAT	Fem|Gen|Pl	34	det	_	_
33	zeugenden	zeugend	A	ADJA	Pos|Fem|Gen|Pl|Wk|<PPRES	34	attr	_	_
34	Kräfte	Kraft	N	NN	Fem|Gen|Pl	31	gmod	_	_
35	,	,	$	$,	_	0	root	_	_
36	müde	müde	A	ADJD	Pos|	0	root	_	_
37	,	,	$	$,	_	0	root	_	_
38	alt	alt	A	ADJD	Pos|	0	root	_	_
39	,	,	$	$,	_	0	root	_	_
40	eines	eine	A	ART	Indef|Masc|Gen|Sg	42	det	_	_
41	alten	alt	A	ADJA	Pos|Masc|Gen|Sg|_|	42	attr	_	_
42	Mannes	Mann	N	NN	Masc|Gen|Sg	0	root	_	_
43	pergamentene	pergamenten	A	ADJA	Pos|Fem|_|Sg|_|	44	attr	_	_
44	Larve	Larve	N	NN	Fem|_|Sg	0	root	_	_
45	.	.	$	$.	_	0	root	_	_

1	Aber	aber	K	KON	_	0	root	_	_
2	war	sein	V	VAFIN	3|Sg|Past|Ind	1	cj	_	_
3	derlei	derlei	P	PIS	_|Nom|Sg	2	subj	_	_
4	möglich	möglich	A	ADJD	Pos|	2	pred	_	_
5	?	?	$	$.	_	0	root	_	_

1	Konnte	können	V	VMFIN	3|Sg|Past|Ind	0	root	_	_
2	man	man	P	PIS	_|Nom|Sg	1	subj	_	_
3	so	so	A	ADV	_	4	adv	_	_
4	jung	jung	A	ADJD	Pos|	5	pred	_	_
5	sein	sein	V	VAINF	_	1	aux	_	_
6	eine	eine	A	ART	Indef|Fem|_|Sg	7	det	_	_
7	Stunde	Stunde	N	NN	Fem|_|Sg	0	root	_	_
8	und	und	K	KON	_	7	kon	_	_
9	so	so	A	ADV	_	10	adv	_	_
10	unjugendlich	unjugendlich	A	ADJD	Pos|	12	adv	_	_
11	die	die	A	ART	Def|_|_|_	12	det	_	_
12	nächste	nah	A	ADJA	_|_|_	8	cj	_	_
13	schon	schon	A	ADV	_	12	adv	_	_
14	?	?	$	$.	_	0	root	_	_

1	Gab	geben	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
2	es	es	P	PPER	3|Sg|Neut|Nom	1	subj	_	_
3	derart	derart	A	ADV	_	4	adv	207	207
4	plötzliche	plötzlich	A	ADJA	Pos|Fem|_|Pl|St|	5	attr	207	207
5	Wallungen	Wallung	N	NN	Fem|_|Pl	1	obja	207	207
6	des	die	A	ART	Def|Masc|Gen|Sg	7	det	207	207
7	Geistes	Geist	N	NN	Masc|Gen|Sg	5	gmod	207	207
8	,	,	$	$,	_	0	root	207	207
9	daß	daß	K	KOUS	_	17	konj	207	207
10	sie	sie	P	PPER	3|Pl|_|Nom	17	subj	207	207
11	mit	mit	P	APPR	Dat	17	pp	_	_
12	dem	die	A	ART	Def|Neut|Dat|Sg	13	det	103	103
13	Wort	Wort	N	NN	Neut|Dat|Sg	11	pn	103	103
14	auch	auch	A	ADV	_	17	adv	_	_
15	das	die	A	ART	Def|Neut|_|Sg	16	det	208	208
16	Antlitz	Antlitz	N	NN	Neut|_|Sg	17	obja	208	208
17	durchformen	durchformen	V	VVFIN	3|Pl|Pres|_	7	objc	_	_
18	und	und	K	KON	_	0	root	_	_
19	um	um	P	APPR	_	21	pp	_	_
20	Jahrzehnte	Jahrzehnt	N	NN	_|_|_	19	pn	_	_
21	verjüngen	verjüngen	V	VVINF	_	18	cj	_	_
22	?	?	$	$.	_	0	root	_	_

1	Die	die	A	ART	Def|Fem|Nom|Sg	2	det	209	209
2	Frage	Frage	N	NN	Fem|Nom|Sg	3	subj	209	209
3	quälte	quälen	V	VVFIN	3|Sg|Past|_	0	root	_	_
4	mich	ich	P	PPER	1|Sg|_|Acc	3	obja	211	211
5	.	.	$	$.	_	0	root	_	_

1	Wie	Wie	P	PWAV	_	4	adv	_	_
2	ein	eine	A	ART	Indef|Masc|Nom|Sg	3	det	_	_
3	Durst	Durst	N	NN	Masc|Nom|Sg	4	subj	_	_
4	brannte	brennen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
5	mirs	mirs	N	NE	_	4	obja	210	210
6	innen	innen	A	ADV	_	4	adv	_	_
7	,	,	$	$,	_	0	root	_	_
8	mehr	mehr	A	ADV	_	14	adv	_	_
9	von	von	P	APPR	Dat	14	pp	_	_
10	diesem	diese	A	PDAT	Masc|Dat|Sg	12	det	_	_
11	zwiefältigen	zwiefältigen	A	ADJA	_|Masc|Dat|Sg|_	12	attr	_	_
12	Manne	Mann	N	NN	Masc|Dat|Sg	9	pn	_	_
13	zu	zu	P	PTKZU	_	14	part	_	_
14	wissen	wissen	V	VVINF	_	4	obji	_	_
15	.	.	$	$.	_	0	root	_	_

1	Und	und	K	KON	_	0	root	_	_
2	einer	eine	A	ART	Indef|Fem|_|Sg	4	det	_	_
3	plötzlichen	plötzlich	A	ADJA	Pos|Fem|_|Sg|Wk|	4	attr	_	_
4	Eingebung	Eingebung	N	NN	Fem|_|Sg	1	cj	_	_
5	folgend	folgend	A	ADJD	_|_	0	root	_	_
6	,	,	$	$,	_	0	root	_	_
7	eilte	eilen	V	VVFIN	1|Sg|Past|_	0	root	_	_
8	ich	ich	P	PPER	1|Sg|_|Nom	7	subj	211	211
9	,	,	$	$,	_	0	root	_	_
10	kaum	kaum	A	ADV	_	11	adv	_	_
11	daß	daß	K	KOUS	_	0	root	_	_
12	er	er	P	PPER	3|Sg|Masc|Nom	0	root	12	12
13	blicklos	blicklos	A	ADJD	Pos|	19	adv	_	_
14	an	an	P	APPR	_	19	pp	_	_
15	uns	wir	P	PPER	1|Pl|_|_	14	pn	_	_
16	vorbei	vorbei	A	APZR	_	14	part	_	_
17	das	die	A	ART	Def|Neut|_|Sg	18	det	212	212
18	Katheder	Katheder	N	NN	Neut|_|Sg	19	obja	212	212
19	verlassen	verlassen	V	VVFIN	_|Pl|Pres|_	0	root	_	_
20	,	,	$	$,	_	0	root	_	_
21	in	in	P	APPR	Acc	0	root	_	_
22	die	die	A	ART	Def|Fem|Acc|Sg	23	det	_	_
23	Bibliothek	Bibliothek	N	NN	Fem|Acc|Sg	21	pn	_	_
24	und	und	K	KON	_	0	root	_	_
25	forderte	fordern	V	VVFIN	_|Sg|Past|_	24	cj	_	_
26	seine	seine	A	PPOSAT	Neut|_|Pl	27	det	212	212
27	Werke	Werk	N	NN	Neut|_|Pl	25	obja	_	_
28	.	.	$	$.	_	0	root	_	_

1	Vielleicht	vielleicht	A	ADV	_	2	adv	_	_
2	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
3	er	er	P	PPER	3|Sg|Masc|Nom	2	subj	12	12
4	nur	nur	A	ADV	_	6	adv	_	_
5	müde	müde	A	ADJD	Pos|	6	adv	_	_
6	gewesen	sein	V	VAPP	_	2	aux	_	_
7	heute	heute	A	ADV	_	6	adv	_	_
8	,	,	$	$,	_	0	root	_	_
9	sein	seine	A	PPOSAT	Masc|Nom|Sg	10	det	12	12
10	Elan	Elan	N	NN	Masc|Nom|Sg	16	subj	_	_
