1	Berlin	Berlin	N	NE	_|_|Sg	8	vok	305	305
29	.	.	$	$.	_	0	root	_	_

1	Es	es	P	PPER	3|Sg|Neut|Nom	2	subj	_	_
2	gab	geben	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
3	mir	ich	P	PPER	1|Sg|_|Dat	2	objd	485	485
4	einen	eine	A	ART	Indef|Masc|Acc|Sg	5	det	486	486
5	Stich	Stich	N	NN	Masc|Acc|Sg	2	obja	486	486
6	durchs	durch	P	APPRART	Acc	2	pp	_	_
7	Herz	Herz	N	NN	_|Acc|_	6	pn	_	_
8	,	,	$	$,	_	0	root	_	_
9	denn	denn	K	KON	_	2	kon	_	_
10	ich	ich	P	PPER	1|Sg|_|Nom	11	subj	485	485
11	konnte	können	V	VMFIN	1|Sg|Past|Ind	9	cj	_	_
12	mich	ich	P	PRF	1|Sg|Acc	11	obja	_	_
13	des	die	A	ART	Def|Masc|Gen|Sg	14	det	_	_
14	Gedankens	Gedanke	N	NN	Masc|Gen|Sg	0	root	_	_
15	nicht	nicht	P	PTKNEG	_	14	adv	_	_
16	erwehren	erwehren	V	VVINF	_	0	root	_	_
17	,	,	$	$,	_	0	root	_	_
18	daß	daß	K	KOUS	_	23	konj	_	_
19	es	es	P	PPER	3|Sg|Neut|_	35	expl	_	_
20	ihm	er	P	PPER	3|Sg|_|Dat	22	objd	486	486
21	peinlich	peinlich	A	ADJD	Pos|	22	pred	_	_
22	gewesen	sein	V	VAPP	_	23	aux	_	_
23	sei	sein	V	VAFIN	_|Sg|Pres|Subj	0	root	_	_
24	,	,	$	$,	_	0	root	_	_
25	mit	mit	P	APPR	Dat	35	pp	_	_
26	mir	ich	P	PPER	1|Sg|_|Dat	25	pn	485	485
27	und	und	K	KON	_	25	kon	_	_
28	an	an	P	APPR	Dat	27	cj	_	_
29	meinem	meine	A	PPOSAT	Masc|Dat|Sg	30	det	485	485
30	Arm	Arm	N	NN	Masc|Dat|Sg	28	pn	_	_
31	unter	unter	P	APPR	Dat	35	pp	_	_
32	den	die	A	ART	Def|Masc|Dat|Pl	33	det	487	487
33	Gästen	Gast	N	NN	Masc|Dat|Pl	31	pn	487	487
34	zu	zu	P	PTKZU	_	35	part	_	_
35	erscheinen	erscheinen	V	VVINF	_	23	subjc	_	_
36	.	.	$	$.	_	0	root	_	_

1	In	in	P	APPR	Dat	13	pp	_	_
2	seiner	seine	A	PPOSAT	Fem|Dat|Sg	3	det	484	484
3	Eitelkeit	Eitelkeit	N	NN	Fem|Dat|Sg	1	pn	488	488
4	,	,	$	$,	_	0	root	488	488
5	von	von	P	APPR	Dat	10	pp	488	488
6	der	die	P	PRELS	Fem|Dat|Sg	5	pn	488	488
7	ich	ich	P	PPER	1|Sg|_|Nom	11	subj	485	485
8	ihn	er	P	PPER	3|Sg|Masc|Acc	10	obja	484	484
9	nicht	nicht	P	PTKNEG	_	10	adv	_	_
10	freisprechen	freisprechen	V	VVINF	_	11	aux	_	_
11	kann	können	V	VMFIN	1|Sg|Pres|Ind	3	rel	_	_
12	,	,	$	$,	_	0	root	_	_
13	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
14	es	es	P	PPER	3|Sg|Neut|Nom	13	subj	_	_
15	ihm	er	P	PPER	3|Sg|_|Dat	13	objd	484	484
16	unmöglich	unmöglich	A	ADJD	Pos|	13	pred	_	_
17	,	,	$	$,	_	0	root	_	_
18	sich	sie	P	PRF	3|_|_	24	obja	_	_
19	über	über	P	APPR	Acc	24	objp	_	_
20	das	die	A	ART	Def|Neut|Acc|Sg	21	det	_	_
21	Gerede	Gerede	N	NN	Neut|Acc|Sg	19	pn	_	_
22	der	die	A	ART	Def|_|Gen|Pl	23	det	282	282
23	Leute	Leute	N	NN	_|Gen|Pl	21	gmod	282	282
24	hinwegzusetzen	hinwegsetzen	V	VVIZU	_	13	obji	_	_
25	,	,	$	$,	_	0	root	_	_
26	und	und	K	KON	_	13	kon	_	_
27	ein	eine	A	ART	Indef|Neut|Nom|Sg	29	det	_	_
28	spöttisches	spöttisch	A	ADJA	Pos|Neut|Nom|Sg|St|	29	attr	_	_
29	Lächeln	Lächeln	N	NN	Neut|Nom|Sg	30	subj	_	_
30	verstimmt	verstimmen	V	VVFIN	3|Sg|Pres|Ind	26	cj	_	_
31	ihn	er	P	PPER	3|Sg|Masc|Acc	30	obja	484	484
32	auf	auf	P	APPR	Acc	30	pp	_	_
33	eine	eine	A	ART	Indef|Fem|Acc|Sg	34	det	737	737
34	Woche	Woche	N	NN	Fem|Acc|Sg	32	pn	737	737
35	.	.	$	$.	_	0	root	_	_

1	So	so	A	ADV	_	2	adv	_	_
2	selbstbewußt	selbstbewußt	A	ADJD	Pos|	3	adv	_	_
3	er	er	P	PPER	3|Sg|Masc|Nom	4	subj	484	484
4	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
5	,	,	$	$,	_	0	root	_	_
6	so	so	A	ADV	_	7	adv	_	_
7	schwach	schwach	A	ADJD	Pos|	10	pred	_	_
8	und	und	K	KON	_	7	kon	_	_
9	abhängig	abhängig	A	ADJD	Pos|	8	cj	_	_
10	ist	sein	V	VAFIN	3|Sg|Pres|Ind	4	kon	_	_
11	er	er	P	PPER	3|Sg|Masc|Nom	10	subj	484	484
12	in	in	P	APPR	Dat	10	pp	_	_
13	diesem	diese	A	PDAT	Masc|Dat|Sg	15	det	_	_
14	einen	ein	A	ADJA	Pos|Masc|Dat|Sg|Wk|	15	attr	_	_
15	Punkte	Punkt	N	NN	Masc|Dat|Sg	12	pn	_	_
16	.	.	$	$.	_	0	root	_	_

1	Vor	vor	P	APPR	Dat	0	root	_	_
2	niemandem	niemand	P	PIS	_|Dat|Sg	1	pn	_	_
3	in	in	P	APPR	Dat	2	pp	_	_
4	der	die	A	ART	Def|Fem|Dat|Sg	5	det	123	123
5	Welt	Welt	N	NN	Fem|Dat|Sg	3	pn	123	123
6	,	,	$	$,	_	0	root	_	_
7	auch	auch	A	ADV	_	8	adv	_	_
8	vor	vor	P	APPR	Dat	3	kon	_	_
9	der	die	A	ART	Def|Fem|Dat|Sg	10	det	280	280
10	Mama	Mama	N	NN	Fem|Dat|Sg	8	pn	280	280
11	nicht	nicht	P	PTKNEG	_	8	adv	_	_
12	,	,	$	$,	_	0	root	_	_
13	würd	würd	K	KOUS	_	0	root	_	_
14	ich	ich	P	PPER	1|Sg|_|Nom	0	root	485	485
15	ein	eine	A	ART	Indef|Neut|_|Sg	17	det	_	_
16	solches	solche	A	PIDAT	Neut|_|Sg	17	attr	_	_
17	Bekenntnis	Bekenntnis	N	NN	Neut|_|Sg	18	obja	_	_
18	ablegen	ablegen	V	VVFIN	_|Pl|Pres|_	0	root	_	_
19	,	,	$	$,	_	0	root	_	_
20	aber	aber	K	KON	_	18	kon	_	_
21	Dir	du	P	PPER	2|Sg|_|Dat	22	pn	_	_
22	gegenüber	gegenüber	P	APPO	Dat	23	pp	_	_
23	mußt	müssen	V	VMFIN	2|Sg|Pres|Ind	20	cj	_	_
24	ich	ich	P	PPER	1|Sg|_|Nom	0	root	485	485
25	es	es	P	PPER	3|Sg|Neut|_	0	root	_	_
26	.	.	$	$.	_	0	root	_	_

1	Hab	Hab	V	VAFIN	1|Sg|_|_	6	neb	_	_
2	ich	ich	P	PPER	1|Sg|_|Nom	1	subj	485	485
3	unrecht	unrecht	A	ADJD	Pos|	1	adv	_	_
4	,	,	$	$,	_	0	root	_	_
5	so	so	A	ADV	_	6	adv	_	_
6	sage	sagen	V	VVFIN	_|Sg|Pres|_	0	root	_	_
7	mir	ich	P	PPER	1|Sg|_|Dat	6	objd	485	485
8	,	,	$	$,	_	0	root	_	_
9	daß	daß	K	KOUS	_	15	konj	_	_
10	mein	meine	A	PPOSAT	Neut|Nom|Sg	11	det	485	485
11	Unglück	Unglück	N	NN	Neut|Nom|Sg	15	subj	490	490
12	mich	ich	P	PPER	1|Sg|_|Acc	14	obja	485	485
13	mißtrauisch	mißtrauisch	A	ADJD	Pos|	14	pred	_	_
14	gemacht	machen	V	VVPP	_	15	aux	_	_
15	habe	haben	V	VAFIN	3|Sg|Pres|Subj	6	objc	_	_
16	,	,	$	$,	_	0	root	_	_
17	so	so	A	ADV	_	18	adv	_	_
18	halte	halten	V	VVFIN	3|Sg|Pres|Subj	6	kon	_	_
19	mir	ich	P	PPER	1|Sg|_|Dat	18	objd	485	485
20	eine	eine	A	ART	Indef|Fem|Nom|Sg	21	det	489	489
21	Strafpredigt	Strafpredigt	N	NN	Fem|Nom|Sg	18	subj	489	489
22	in	in	P	APPR	Dat	18	objp	_	_
23	allerstrengsten	allerstreng	A	ADJA	Sup|Neut|Dat|Pl|_|	24	attr	_	_
24	Worten	Wort	N	NN	Neut|Dat|Pl	22	pn	_	_
25	,	,	$	$,	_	0	root	_	_
26	und	und	K	KON	_	18	kon	_	_
27	sei	sein	V	VAFIN	_|Sg|Pres|Subj	26	cj	_	_
28	versichert	versichern	V	VVPP	_	27	aux	_	_
29	,	,	$	$,	_	0	root	_	_
30	daß	daß	K	KOUS	_	37	konj	_	_
31	ich	ich	P	PPER	1|Sg|_|Nom	37	subj	485	485
32	sie	sie	P	PPER	3|_|_|_	36	obja	489	489
33	mit	mit	P	APPR	Dat	36	pp	_	_
34	dankbarem	dankbar	A	ADJA	Pos|Neut|Dat|Sg|St|	35	attr	_	_
35	Auge	Auge	N	NN	Neut|Dat|Sg	33	pn	_	_
36	lesen	lesen	V	VVINF	_	37	aux	_	_
37	werde	werden	V	VAFIN	1|Sg|Pres|_	27	subjc	_	_
38	.	.	$	$.	_	0	root	_	_

1	Denn	denn	K	KON	_	0	root	_	_
2	all	all	A	PIDAT	Fem|_|Sg	4	det	_	_
3	seiner	seine	A	PPOSAT	Fem|_|Sg	4	det	490	490
4	Eitelkeit	Eitelkeit	N	NN	Fem|_|Sg	0	root	_	_
5	unerachtet	unerachtet	A	ADJD	Pos|	0	root	_	_
6	,	,	$	$,	_	0	root	_	_
7	schätz	schätz	V	VVFIN	1|Sg|_|_	0	root	_	_
8	ich	ich	P	PPER	1|Sg|_|Nom	7	subj	485	485
9	ihn	er	P	PPER	3|Sg|Masc|Acc	7	obja	484	484
10	wie	wie	K	KOKOM	_	7	kom	_	_
11	keinen	keine	A	PIAT	_|_|_	12	det	_	_
12	andern	andern	A	ADJA	_|_|_	10	cj	_	_
13	.	.	$	$.	_	0	root	_	_

