1	O	O	N	NN	Neut|_|_	5	vok	34	34
6	,	,	$	$,	_	0	root	_	_
7	da	da	K	KOUS	_	13	konj	_	_
8	sie	sie	P	PPER	3|Sg|Fem|Nom	13	subj	172	172
9	wieder	wieder	A	ADV	_	12	adv	_	_
10	in	in	P	APPR	_	12	pp	_	_
11	Tränen	Träne	N	NN	Fem|_|Pl	10	pn	497	497
12	ausbrechen	ausbrechen	V	VVINF	_	13	aux	_	_
13	wollte	wollen	V	VMFIN	3|Sg|Past|_	5	neb	_	_
14	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Du	du	P	PPER	2|Sg|_|Nom	3	subj	220	220
3	bist	sein	V	VAFIN	2|Sg|Pres|Ind	0	root	_	_
4	in	in	P	APPR	Acc	7	objp	_	_
5	die	die	A	ART	Def|Fem|Acc|Sg	6	det	_	_
6	Gefahr	Gefahr	N	NN	Fem|Acc|Sg	4	pn	_	_
7	hineingegangen	hineingehen	V	VVPP	_	3	aux	_	_
8	«	«	$	$(	_	0	root	_	_
9	,	,	$	$,	_	0	root	_	_
10	sagte	sagen	V	VVFIN	1|Sg|Past|_	7	par	_	_
11	ich	ich	P	PPER	1|Sg|_|Nom	10	subj	213	213
12	,	,	$	$,	_	0	root	_	_
13	»	»	$	$(	_	0	root	_	_
14	und	und	K	KON	_	3	kon	_	_
15	das	die	P	PDS	Neut|Nom|Sg	16	subj	_	_
16	war	sein	V	VAFIN	_|Sg|Past|Ind	14	cj	_	_
17	Tapferkeit	Tapferkeit	N	NN	Fem|Nom|Sg	16	pred	_	_
18	genug	genug	A	ADV	_	17	adv	_	_
19	;	;	$	$.	_	0	root	_	_
20	was	was	P	PWS	Neut|_|Sg	23	obja	_	_
21	du	du	P	PPER	2|Sg|_|Nom	23	subj	220	220
22	mehr	mehr	A	ADV	_	23	adv	_	_
23	wolltest	wollen	V	VMFIN	2|Sg|Past|_	25	objc	_	_
24	,	,	$	$,	_	0	root	_	_
25	lag	liegen	V	VVFIN	_|Sg|Past|Ind	0	root	_	_
26	außer	außer	P	APPR	Dat	25	pp	_	_
27	den	die	A	ART	Def|Fem|Dat|Pl	28	det	_	_
28	Grenzen	Grenze	N	NN	Fem|Dat|Pl	26	pn	_	_
29	deiner	deine	A	PPOSAT	Fem|Gen|Sg	30	det	220	220
30	Kraft	Kraft	N	NN	Fem|Gen|Sg	28	gmod	_	_
31	.	.	$	$.	_	0	root	_	_

1	Daß	daß	K	KOUS	_	0	root	_	_
2	du	du	P	PPER	2|Sg|_|Nom	0	root	220	220
3	es	es	P	PPER	3|Sg|Neut|Nom	5	subj	_	_
4	mir	ich	P	PPER	1|Sg|_|Dat	5	objd	213	213
5	zuliebe	zulieben	V	VVFIN	3|Sg|Pres|Subj	0	root	_	_
6	gewollt	gewollt	A	ADJD	Pos|	5	adv	_	_
7	hast	haben	V	VAFIN	2|Sg|Pres|Ind	0	root	_	_
8	,	,	$	$,	_	0	root	_	_
9	dafür	dafür	P	PROAV	_	10	pp	_	_
10	lieb	lieb	A	ADJD	Pos|	11	adv	_	_
11	ich	ich	P	PPER	1|Sg|_|Nom	0	root	213	213
12	dich	du	P	PPER	2|Sg|_|Acc	0	root	220	220
13	um	um	P	APPR	_	12	pp	_	_
14	so	so	A	ADV	_	13	adv	_	_
15	mehr	mehr	A	ADV	_	13	adv	_	_
16	,	,	$	$,	_	0	root	_	_
17	aber	aber	K	KON	_	0	root	_	_
18	versuchen	versuchen	V	VVINF	_	17	cj	_	_
19	wollen	wollen	V	VMFIN	1|Pl|Pres|_	0	root	_	_
20	wir	wir	P	PPER	1|Pl|_|Nom	19	subj	_	_
21	es	es	P	PPER	3|Sg|Neut|_	19	obja	_	_
22	nicht	nicht	P	PTKNEG	_	19	adv	_	_
23	wieder	wieder	A	ADV	_	19	adv	_	_
24	.	.	$	$.	_	0	root	_	_

1	Bleib	Bleib	N	NE	_	0	root	361	361
2	nur	nur	A	ADV	_	4	adv	_	_
3	heute	heute	A	ADV	_	4	adv	_	_
4	ruhig	ruhig	A	ADJD	Pos|	0	root	_	_
5	,	,	$	$,	_	0	root	_	_
6	so	so	A	ADV	_	7	adv	_	_
7	kannst	können	V	VMFIN	2|Sg|Pres|Ind	0	root	_	_
8	du	du	P	PPER	2|Sg|_|Nom	7	subj	220	220
9	morgen	morgen	A	ADV	_	17	adv	_	_
10	schon	schon	A	ADV	_	17	adv	_	_
11	das	die	A	ART	Def|Neut|_|Sg	13	det	_	_
12	lateinische	lateinisch	A	ADJA	Pos|Neut|_|Sg|Wk|	13	attr	_	_
13	Sprichwort	Sprichwort	N	NN	Neut|_|Sg	17	obja	_	_
14	von	von	P	APPR	_	17	pp	_	_
15	der	die	A	ART	Def|_|_|_	16	det	_	_
16	Furke	Furke	N	NN	_|_|_	14	pn	_	_
17	lernen	lernen	V	VVINF	_	7	aux	_	_
18	!	!	$	$.	_	0	root	_	_
19	«	«	$	$(	_	0	root	_	_

1	Und	und	K	KON	_	0	root	_	_
2	Elsi	Elsi	N	NE	_|Nom|Sg	3	subj	181	181
3	lächelte	lächeln	V	VVFIN	3|Sg|Past|_	1	cj	_	_
4	mich	ich	P	PPER	1|Sg|_|Acc	3	obja	213	213
5	dankbar	dankbar	A	ADJD	Pos|	3	adv	_	_
6	an	an	P	PTKVZ	_	3	avz	_	_
7	.	.	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	-	-	$	$(	_	0	root	_	_
3	Den	die	A	ART	Def|Masc|Acc|Sg	5	det	_	_
4	lateinischen	lateinisch	A	ADJA	Pos|Masc|Acc|Sg|_|	5	attr	_	_
5	Vers	Vers	N	NN	Masc|Acc|Sg	0	root	_	_
6	,	,	$	$,	_	0	root	_	_
7	ich	ich	P	PPER	1|Sg|_|Nom	0	root	213	213
8	meine	meine	A	PPOSAT	_|_|_	0	root	213	213
9	:	\:	$	$.	_	0	root	_	_
10	des	die	A	ART	Def|_|Gen|Sg	11	det	221	221
11	Horaz	Horaz	N	NN	_|Gen|Sg	0	root	221	221
12	,	,	$	$,	_	0	root	_	_
13	lernte	lernen	V	VVFIN	3|Sg|Past|_	0	root	_	_
14	sie	sie	P	PPER	3|Sg|Fem|Nom	13	subj	181	181
15	wirklich	wirklich	A	ADJD	Pos|	13	adv	_	_
16	am	an	P	APPRART	Dat	13	pp	_	_
17	andern	andern	A	ADJA	_|Masc|Dat|Sg|_	18	attr	_	_
18	Tage	Tag	N	NN	Masc|Dat|Sg	16	pn	_	_
19	schon	schon	A	ADV	_	13	adv	_	_
20	,	,	$	$,	_	0	root	_	_
21	während	während	K	KOUS	_	0	root	_	_
22	wir	wir	P	PPER	1|Pl|_|Nom	0	root	_	_
23	beide	beide	P	PIS	_|Nom|Pl	22	app	_	_
24	miteinander	miteinander	A	ADV	_	23	adv	_	_
25	im	in	P	APPRART	Dat	23	pp	_	_
26	Garten	Garten	N	NN	Masc|Dat|Sg	25	pn	356	356
27	auf	auf	P	PTKVZ	_	0	root	_	_
28	und	und	K	KON	_	0	root	_	_
29	ab	ab	P	PTKVZ	_	30	avz	_	_
30	wandelten	wandeln	V	VVFIN	_|Pl|Past|_	28	cj	_	_
31	;	;	$	$.	_	0	root	_	_
32	sie	sie	P	PPER	3|Sg|Fem|Nom	33	subj	181	181
33	lernte	lernen	V	VVFIN	3|Sg|Past|_	0	root	_	_
34	ihn	er	P	PPER	3|Sg|Masc|Acc	33	obja	8	8
35	sogar	sogar	A	ADV	_	33	adv	_	_
36	auswendig	auswendig	A	ADJD	Pos|	33	adv	_	_
37	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Naturam	Naturam	F	FM	_	0	root	_	_
3	expellas	expellas	F	FM	_	2	app	_	_
4	furca	furca	F	FM	_	3	app	_	_
5	,	,	$	$,	_	0	root	_	_
6	tamen	tamen	F	FM	_	4	app	_	_
7	usque	usque	F	FM	_	6	app	_	_
8	recurret	recurret	F	FM	_	7	app	_	_
9	.	.	$	$.	_	0	root	_	_

1	Siehst	sehen	V	VVFIN	2|Sg|Pres|Ind	0	root	_	_
2	du	du	P	PPER	2|Sg|_|Nom	1	subj	225	225
3	«	«	$	$(	_	0	root	_	_
4	,	,	$	$,	_	0	root	_	_
5	sagte	sagen	V	VVFIN	3|Sg|Past|_	2	par	_	_
6	sie	sie	P	PPER	3|Sg|Fem|Nom	5	subj	181	181
7	,	,	$	$,	_	0	root	_	_
8	»	»	$	$(	_	0	root	_	_
9	nun	nun	A	ADV	_	1	adv	_	_
10	kann	können	V	VMFIN	1|Sg|Pres|Ind	0	root	_	_
11	ich	ich	P	PPER	1|Sg|_|Nom	10	subj	213	213
12	'	'	$	$(	_	0	root	_	_
13	s	s	P	PPER	_	10	obja	221	221
14	auch	auch	A	ADV	_	10	adv	_	_
15	!	!	$	$.	_	0	root	_	_
16	«	«	$	$(	_	0	root	_	_

1	Nach	nach	P	APPR	Dat	4	pp	_	_
2	diesem	diese	A	PDAT	Masc|Dat|Sg	3	det	_	_
3	Scherze	Scherz	N	NN	Masc|Dat|Sg	1	pn	_	_
4	gab	geben	V	VVFIN	1|Sg|Past|Ind	0	root	_	_
5	ich	ich	P	PPER	1|Sg|_|Nom	4	subj	213	213
6	ihr	ihre	A	PPOSAT	Masc|Nom|Sg	7	det	181	181
7	Ersatz	Ersatz	N	NN	Masc|Nom|Sg	0	root	_	_
8	für	für	P	APPR	Acc	7	pp	_	_
9	die	die	A	ART	Def|_|Acc|_	11	det	_	_
10	verlorene	verloren	A	ADJA	Pos|_|Acc|_|_|	11	attr	_	_
11	Liebesmühe	Liebesmühe	N	NN	_|Acc|_	8	pn	_	_
12	;	;	$	$.	_	0	root	_	_
13	statt	statt	P	APPR	_	19	pp	_	_
14	der	die	A	ART	Def|Fem|_|Sg	17	det	178	178
15	endlich	endlich	A	ADJD	Pos|	16	adv	178	178
16	verstorbenen	verstorben	A	ADJA	Pos|Fem|_|Sg|Wk|	17	attr	178	178
17	Mutter	Mutter	N	NN	Fem|_|Sg	13	pn	178	178
18	Hinze	Hinze	N	NE	Fem|_|Sg	17	app	178	178
19	wies	weisen	V	VVFIN	1|Sg|Past|Ind	0	root	_	_
20	ich	ich	P	PPER	1|Sg|_|Nom	19	subj	213	213
21	ihr	ihr	P	PPER	3|Sg|Fem|Dat	19	objd	181	181
22	eine	eine	A	ART	Indef|Fem|_|Sg	23	det	_	_
23	Anzahl	Anzahl	N	NN	Fem|_|Sg	19	obja	_	_
24	ungefährlicherer	ungefährlich	A	ADJA	Comp|_|Gen|_|St|	29	attr	222	222
25	und	und	K	KON	_	24	kon	222	222
26	doch	doch	A	ADV	_	28	adv	222	222
27	gleich	gleich	A	ADJD	Pos|	28	adv	222	222
28	hülfsbedürftiger	hülfsbedürftiger	A	ADJA	_|_|Gen|_|_|_	25	cj	222	222
29	Kranken	Kranke	N	NN	_|Gen|Pl	23	gmod	222	222
30	zu	zu	P	PTKVZ	_	19	avz	222	222
31	,	,	$	$,	_	0	root	222	222
32	an	an	P	APPR	Dat	38	pp	222	222
33	denen	die	P	PRELS	_|Dat|Pl	32	pn	222	222
34	sie	sie	P	PPER	3|Sg|Fem|Nom	38	subj	181	181
35	nun	nun	A	ADV	_	38	adv	_	_
36	ihr	ihre	A	PPOSAT	Neut|_|Sg	37	det	181	181
37	Erbarmen	Erbarmen	N	NN	Neut|_|Sg	38	obja	_	_
38	übte	üben	V	VVFIN	3|Sg|Past|_	29	rel	_	_
39	.	.	$	$.	_	0	root	_	_

1	Und	und	K	KON	_	0	root	_	_
2	es	es	P	PPER	3|Sg|Neut|_	3	obja	_	_
3	ward	ward	V	VAFIN	2|Pl|_|_	1	cj	_	_
4	ihr	ihr	P	PPER	2|Pl|_|Nom	3	subj	_	_
5	bald	bald	A	ADV	_	3	adv	_	_
6	zu	zu	P	APPR	Dat	3	pp	_	_
7	Stolz	Stolz	N	NN	Masc|Dat|Sg	6	pn	_	_
8	und	und	K	KON	_	7	kon	_	_
9	Freude	Freude	N	NN	Fem|Dat|Sg	8	cj	223	223
10	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Aber	aber	K	KON	_	0	root	_	_
3	Elsi	Elsi	N	NE	_	2	cj	157	157
4	«	«	$	$(	_	0	root	_	_
5	,	,	$	$,	_	0	root	_	_
6	rief	rufen	V	VVFIN	1|Sg|Past|Ind	0	root	_	_
7	ich	ich	P	PPER	1|Sg|_|Nom	6	subj	213	213
8	eines	eine	A	ART	Indef|Masc|Gen|Sg	9	det	_	_
9	Tages	Tag	N	NN	Masc|Gen|Sg	6	zeit	_	_
10	,	,	$	$,	_	0	root	_	_
11	da	da	K	KOUS	_	22	konj	_	_
12	die	die	A	ART	Def|Fem|Nom|Sg	13	det	_	_
13	Suppe	Suppe	N	NN	Fem|Nom|Sg	22	subj	_	_
14	eher	eher	A	ADV	_	22	adv	_	_
15	auf	auf	P	APPR	Acc	18	pp	_	_
16	den	die	A	ART	Def|Masc|Acc|Sg	17	det	224	224
17	Tisch	Tisch	N	NN	Masc|Acc|Sg	15	pn	224	224
18	als	als	K	KOKOM	_	22	kom	_	_
19	sie	sie	P	PPER	3|_|_|_	18	cj	157	157
20	ins	in	P	APPRART	Acc	22	objp	_	_
21	Haus	Haus	N	NN	Neut|Acc|Sg	20	pn	41	41
22	kam	kommen	V	VVFIN	3|Sg|Past|Ind	6	neb	_	_
23	,	,	$	$,	_	0	root	_	_
24	»	»	$	$(	_	0	root	_	_
25	du	du	P	PPER	2|Sg|_|Nom	26	subj	225	225
26	läßt	lassen	V	VVFIN	2|Sg|Pres|Ind	0	root	_	_
27	ja	ja	A	ADV	_	26	adv	_	_
28	heut	heut	A	ADJD	Pos|	30	adv	_	_
29	lange	lange	A	ADJD	_	30	adv	_	_
30	warten	warten	V	VVINF	_	26	obji	_	_
31	!	!	$	$.	_	0	root	_	_
32	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Ja	ja	P	PTKANT	_	0	root	_	_
3	,	,	$	$,	_	0	root	_	_
4	Franz	Franz	N	NE	_|_|Sg	0	root	34	34
5	«	«	$	$(	_	0	root	_	_
6	,	,	$	$,	_	0	root	_	_
7	und	und	K	KON	_	0	root	_	_
8	es	es	P	PPER	3|Sg|Neut|Nom	9	subj	_	_
9	klang	klingen	V	VVFIN	3|Sg|Past|Ind	7	cj	_	_
10	wie	wie	K	KOKOM	_	9	kom	_	_
11	eine	eine	A	ART	Indef|Fem|_|Sg	13	det	226	226
12	amtliche	amtlich	A	ADJA	Pos|Fem|_|Sg|_|	13	attr	226	226
13	Wichtigkeit	Wichtigkeit	N	NN	Fem|_|Sg	10	cj	226	226
14	aus	aus	P	APPR	Dat	9	pp	_	_
15	ihren	ihre	A	PPOSAT	Neut|Dat|Pl	16	det	226	226
16	Worten	Wort	N	NN	Neut|Dat|Pl	14	pn	_	_
17	:	\:	$	$.	_	0	root	_	_
18	»	»	$	$(	_	0	root	_	_
19	ich	ich	P	PPER	1|Sg|_|Nom	20	subj	213	213
20	habe	haben	V	VAFIN	1|Sg|Pres|_	0	root	_	_
21	auch	auch	A	ADV	_	25	adv	_	_
22	drei	drei	C	CARD	_	24	attr	_	_
23	kranken	krank	A	ADJA	Pos|_|_|Pl|_|	24	attr	_	_
24	Kindern	Kind	N	NN	_|_|Pl	25	obja	_	_
25	vorgelesen	vorlesen	V	VVPP	_	20	aux	_	_
26	:	\:	$	$.	_	0	root	_	_
27	Fanferlieschen	Fanferlieschen	N	NE	Neut|_|Sg	0	root	_	_
28	Schönefüßchen	Schönefüßchen	N	NE	Neut|_|Sg	27	app	_	_
29	,	,	$	$,	_	0	root	_	_
30	von	von	P	APPR	Dat	39	pp	_	_
31	den	die	A	ART	Def|Masc|Dat|Pl	33	det	_	_
32	Bremer	Bremer	A	ADJA	_|Masc|Dat|Pl|_	33	attr	_	_
33	Stadtmusikanten	Stadtmusikant	N	NN	Masc|Dat|Pl	30	pn	_	_
34	und	und	K	KON	_	30	kon	_	_
35	dann	dann	A	ADV	_	34	cj	_	_
36	das	die	A	ART	Def|Neut|_|Sg	39	det	_	_
37	wirklich	wirklich	A	ADJD	Pos|	38	adv	_	_
38	wahre	wahr	A	ADJA	Pos|Neut|_|Sg|Wk|	39	attr	_	_
39	Märchen	Märchen	N	NN	Neut|_|Sg	28	app	_	_
40	von	von	P	APPR	_	39	pp	_	_
41	Jorinde	Jorinde	N	NE	_|_|_	40	pn	_	_
42	und	und	K	KON	_	41	kon	_	_
43	Joringel	Joringel	N	NE	_|_|_	42	cj	_	_
44	!	!	$	$.	_	0	root	_	_
45	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Das	die	P	PDS	Neut|Nom|Sg	3	subj	_	_
3	ist	sein	V	VAFIN	3|Sg|Pres|Ind	8	s	_	_
4	ein	eine	A	ART	Indef|_|_|Sg	5	det	_	_
5	anderes	anderes	A	ADJA	_|_|Sg	3	pred	_	_
6	«	«	$	$(	_	0	root	_	_
7	,	,	$	$,	_	0	root	_	_
8	sagte	sagen	V	VVFIN	1|Sg|Past|_	0	root	_	_
9	ich	ich	P	PPER	1|Sg|_|Nom	8	subj	213	213
10	;	;	$	$.	_	0	root	_	_
11	»	»	$	$(	_	0	root	_	_
12	dann	dann	A	ADV	_	13	adv	_	_
13	laß	laß	V	VVIMP	_	0	root	_	_
14	uns	wir	P	PPER	1|Pl|_|_	13	obja	_	_
15	zu	zu	P	APPR	Dat	13	pp	_	_
16	Tische	Tisch	N	NN	Masc|Dat|Sg	15	pn	_	_
17	gehen	gehen	V	VVINF	_	0	root	_	_
18	!	!	$	$.	_	0	root	_	_
19	«	«	$	$(	_	0	root	_	_
20	und	und	K	KON	_	0	root	_	_
21	ich	ich	P	PPER	1|Sg|_|Nom	22	subj	213	213
22	nahm	nehmen	V	VVFIN	1|Sg|Past|Ind	20	cj	_	_
23	den	die	A	ART	Def|Masc|Acc|Sg	25	det	_	_
24	lieben	lieb	A	ADJA	Pos|Masc|Acc|Sg|_|	25	attr	_	_
25	Arm	Arm	N	NN	Masc|Acc|Sg	22	obja	_	_
26	in	in	P	APPR	_	0	root	_	_
27	den	die	A	ART	Def|_|_|_	0	root	_	_
28	meinen	meine	P	PPOSS	_|_|_	0	root	_	_
29	.	.	$	$.	_	0	root	_	_

1	Nicht	nicht	P	PTKNEG	_	2	adv	_	_
2	verschweigen	verschweigen	V	VVINF	_	3	aux	_	_
3	will	wollen	V	VMFIN	1|Sg|Pres|Ind	0	root	_	_
4	ich	ich	P	PPER	1|Sg|_|Nom	3	subj	213	213
5	,	,	$	$,	_	0	root	_	_
6	daß	daß	K	KOUS	_	17	konj	_	_
7	Elsis	Elsis	N	NE	_|Gen|_	9	gmod	227	227
8	neue	neu	A	ADJA	Pos|_|Nom|Pl|St|	9	attr	_	_
9	Liebesmühen	Liebesmühen	N	NN	_|Nom|Pl	17	subj	_	_
10	meinem	meine	A	PPOSAT	Neut|Dat|Sg	11	det	213	213
11	Heilverfahren	Heilverfahren	N	NN	Neut|Dat|Sg	17	objd	_	_
12	oft	oft	A	ADV	_	17	adv	_	_
13	nicht	nicht	P	PTKNEG	_	17	adv	_	_
14	unwesentlich	unwesentlich	A	ADJD	Pos|	17	adv	_	_
15	zu	zu	P	APPR	Dat	17	objp	_	_
16	Hülfe	Hülfe	N	NN	Fem|Dat|Sg	15	pn	194	194
17	kamen	kommen	V	VVFIN	3|Pl|Past|Ind	2	objc	_	_
18	.	.	$	$.	_	0	root	_	_

1	So	so	A	ADV	_	2	adv	_	_
2	waren	sein	V	VAFIN	3|Pl|Past|Ind	0	root	_	_
3	drei	drei	C	CARD	_	4	attr	_	_
4	Jahre	Jahr	N	NN	Neut|Nom|Pl	2	subj	_	_
5	etwa	etwa	A	ADV	_	7	adv	_	_
6	uns	wir	P	PPER	1|Pl|_|Dat	7	objd	229	229
7	vergangen	vergehen	V	VVPP	_	2	aux	_	_
8	;	;	$	$.	_	0	root	_	_
9	schnell	schnell	A	ADJD	Pos|	0	root	_	_
10	,	,	$	$,	_	0	root	_	_
11	wie	wie	P	PWAV	_	17	adv	_	_
12	das	die	A	ART	Def|Neut|Nom|Sg	13	det	228	228
13	Glück	Glück	N	NN	Neut|Nom|Sg	17	subj	228	228
14	es	es	P	PPER	3|Sg|Neut|_	17	obja	_	_
15	an	an	P	APPR	_	17	pp	_	_
16	sich	sie	P	PRF	3|_|_	15	pn	_	_
17	hat	haben	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
18	.	.	$	$.	_	0	root	_	_

