1	Selbige	selbige	P	PDS	_|Nom|Sg	3	subj	_	_
49	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
50	wohl	wohl	A	ADV	_	55	adv	_	_
51	dem	die	A	ART	Def|_|Dat|Sg	52	det	_	_
52	Höchsten	Höchste	N	NN	_|Dat|Sg	55	objd	_	_
53	ehrenvoll	ehrenvoll	A	ADJD	Pos|	55	adv	_	_
54	zu	zu	P	PTKZU	_	55	part	_	_
55	überschreiten	überschreiten	V	VVINF	_	49	aux	_	_
56	.	.	$	$.	_	0	root	_	_

1	Man	man	P	PIS	_|Nom|Sg	2	subj	_	_
2	hat	haben	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
3	mich	ich	P	PPER	1|Sg|_|Acc	5	obja	426	426
4	drüben	drüben	A	ADJD	_	5	adv	_	_
5	halten	halten	V	VVINF	_	6	aux	_	_
6	wollen	wollen	V	VMINF	_	2	aux	_	_
7	,	,	$	$,	_	0	root	_	_
8	mein	meine	A	PPOSAT	Masc|Nom|Sg	9	det	88	88
9	Meister	Meister	N	NN	Masc|Nom|Sg	0	root	426)	426)
10	van	van	N	NE	_|Nom|_	9	app	88	88
11	der	die	A	ART	Def|_|Gen|_	12	det	89	89
12	Helst	Helst	N	NN	_|Gen|_	10	gmod	89	89
13	und	und	K	KON	_	10	kon	_	_
14	andre	andere	P	PIS	_|Nom|_	13	cj	_	_
15	!	!	$	$.	_	0	root	_	_

1	Wenn	wenn	K	KOUS	_	4	konj	_	_
2	ich	ich	P	PPER	1|Sg|_|Nom	4	subj	426	426
3	dorthin	dorthin	A	ADV	_	4	adv	_	_
4	zurückginge	zurückgehen	V	VVFIN	1|Sg|Past|Subj	0	root	_	_
5	,	,	$	$,	_	0	root	_	_
6	ein	eine	A	ART	Indef|Neut|_|Sg	7	det	_	_
7	Jahr	Jahr	N	NN	Neut|_|Sg	8	grad	_	_
8	noch	noch	A	ADV	_	0	root	_	_
9	oder	oder	K	KON	_	0	root	_	_
10	zwei	zwei	C	CARD	_	9	cj	_	_
11	;	;	$	$.	_	0	root	_	_
12	dann	dann	A	ADV	_	0	root	_	_
13	-	-	$	$(	_	0	root	_	_
14	wir	wir	P	PPER	1|Pl|_|Nom	15	subj	_	_
15	kommen	kommen	V	VVFIN	1|Pl|Pres|_	0	root	_	_
16	dann	dann	A	ADV	_	15	adv	_	_
17	schon	schon	A	ADV	_	15	adv	_	_
18	von	von	P	APPR	_	15	pp	_	_
19	hier	hier	A	ADV	_	18	adv	_	_
20	fort	fort	P	PTKVZ	_	15	avz	_	_
21	;	;	$	$.	_	0	root	_	_
22	bleib	bleiben	V	VVIMP	Sg	0	root	_	_
23	mir	ich	P	PPER	1|Sg|_|Dat	22	objd	426	426
24	nur	nur	A	ADV	_	22	adv	_	_
25	feste	fest	A	ADJA	Pos|_|Nom|_|_|	22	pred	_	_
26	gegen	gegen	P	APPR	Acc	22	pp	_	_
27	euere	eure	A	PPOSAT	Masc|Acc|Pl	29	det	89	89
28	wüsten	wüst	A	ADJA	Pos|Masc|Acc|Pl|Wk|	29	attr	_	_
29	Junker	Junker	N	NN	Masc|Acc|Pl	26	pn	_	_
30	!	!	$	$.	_	0	root	_	_
31	«	«	$	$(	_	0	root	_	_

1	Katharinens	Katharinens	N	NE	_|Gen|_	3	gmod	255	255
2	weiße	weiß	A	ADJA	Pos|Fem|Nom|Pl|St|	3	attr	430	430
3	Hände	Hand	N	NN	Fem|Nom|Pl	4	subj	430	430
4	strichen	streichen	V	VVFIN	3|Pl|Past|_	0	root	_	_
5	über	über	P	APPR	Acc	4	objp	_	_
6	meine	meine	A	PPOSAT	_|Acc|_	7	det	426	426
7	Locken	Locke	N	NN	_|Acc|_	5	pn	_	_
8	;	;	$	$.	_	0	root	_	_
9	sie	sie	P	PPER	3|_|_|Nom	10	subj	430	430
10	herzete	herzete	V	VVFIN	3|_|_|_	0	root	_	_
11	mich	ich	P	PPER	1|Sg|_|Acc	10	obja	426	426
12	und	und	K	KON	_	10	kon	_	_
13	sagte	sagen	V	VVFIN	_|Sg|Past|_	12	cj	_	_
14	leise	leise	A	ADJD	Pos|	13	adv	_	_
15	:	\:	$	$.	_	0	root	_	_
16	»	»	$	$(	_	0	root	_	_
17	Da	Da	K	KOUS	_	26	konj	_	_
18	ich	ich	P	PPER	1|Sg|_|Nom	23	subj	426	426
19	in	in	P	APPR	Acc	23	objp	_	_
20	meine	meine	A	PPOSAT	Fem|Acc|Sg	21	det	426	426
21	Kammer	Kammer	N	NN	Fem|Acc|Sg	19	pn	_	_
22	dich	du	P	PPER	2|Sg|_|Acc	23	obja	431	431
23	gelassen	lassen	V	VVPP	_	26	neb	_	_
24	,	,	$	$,	_	0	root	_	_
25	so	so	A	ADV	_	26	adv	_	_
26	werd	werd	V	VVFIN	1|Sg|_|_	33	neb	_	_
27	ich	ich	P	PPER	1|Sg|_|Nom	26	subj	426	426
28	doch	doch	A	ADV	_	26	adv	_	_
29	dein	deine	A	PPOSAT	Neut|_|Sg	30	det	431	431
30	Weib	Weib	N	NN	Neut|_|Sg	26	obja	778	778
31	auch	auch	A	ADV	_	32	adv	_	_
32	werden	werden	V	VAINF	_	33	aux	_	_
33	müssen	müssen	V	VMFIN	_|Pl|Pres|_	0	root	_	_
34	.	.	$	$.	_	0	root	_	_
35	«	«	$	$(	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	-	-	$	$(	_	0	root	_	_
3	Ihr	ihr	P	PPER	2|Pl|_|Nom	4	subj	_	_
4	ahnete	ahnete	V	VVFIN	2|Pl|_|_	0	root	_	_
5	wohl	wohl	A	ADV	_	4	adv	_	_
6	nicht	nicht	P	PTKNEG	_	4	adv	_	_
7	,	,	$	$,	_	0	root	_	_
8	welch	welch	A	PWAT	_	0	root	_	_
9	einen	eine	A	ART	Indef|Masc|Acc|Sg	10	det	_	_
10	Feuerstrom	Feuerstrom	N	NN	Masc|Acc|Sg	16	obja	_	_
11	dies	dies	P	PDS	Neut|Nom|Sg	16	subj	_	_
12	Wort	Wort	N	NN	Neut|Dat|Sg	16	objd	_	_
13	in	in	P	APPR	Acc	12	pp	_	_
14	meine	meine	A	PPOSAT	Fem|Acc|Pl	15	det	426	426
15	Adern	Ader	N	NN	Fem|Acc|Pl	13	pn	_	_
16	goß	goß	V	VVFIN	_|Sg|_|_	0	root	_	_
17	,	,	$	$,	_	0	root	_	_
18	darin	darin	P	PROAV	_	25	pp	_	_
19	ohnedies	ohnedies	A	ADV	_	25	adv	_	_
20	das	die	A	ART	Def|Neut|Nom|Sg	21	det	402	402
21	Blut	Blut	N	NN	Neut|Nom|Sg	25	subj	402	402
22	in	in	P	APPR	_	25	pp	_	_
23	heißen	heiß	A	ADJA	Pos|_|_|_|_|	24	attr	_	_
24	Pulsen	Puls	N	NN	_|_|_	22	pn	_	_
25	ging	gehen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
26	.	.	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	Von	von	P	APPR	_	17	pp	_	_
3	dreien	drei	C	CARD	_	5	attr	_	_
4	furchtbaren	furchtbar	A	ADJA	Pos|Masc|Nom|Pl|Wk|	5	attr	_	_
5	Dämonen	Dämon	N	NN	Masc|Nom|Pl	2	pn	_	_
6	,	,	$	$,	_	0	root	_	_
7	von	von	P	APPR	Dat	15	pp	_	_
8	Zorn	Zorn	N	NN	Masc|Dat|Sg	7	pn	219	219
9	und	und	K	KON	_	8	kon	_	_
10	Todesangst	Todesangst	N	NN	Fem|Dat|Sg	9	cj	445	445
11	und	und	K	KON	_	10	kon	_	_
12	Liebe	Liebe	N	NN	Fem|Dat|Sg	11	cj	432	432
13	ein	eine	A	ART	Indef|Masc|Nom|Sg	15	det	_	_
14	verfolgter	verfolgt	A	ADJA	Pos|Masc|Nom|Sg|St|	15	attr	_	_
15	Mann	Mann	N	NN	Masc|Nom|Sg	5	app	_	_
16	,	,	$	$,	_	0	root	_	_
17	lag	liegen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
18	nun	nun	A	ADV	_	17	adv	_	_
19	mein	meine	A	PPOSAT	Neut|Nom|Sg	20	det	426	426
20	Haupt	Haupt	N	NN	Neut|Nom|Sg	17	subj	_	_
21	in	in	P	APPR	_	17	objp	_	_
22	des	die	A	ART	Def|_|Gen|Sg	25	det	_	_
23	viel	viel	A	ADV	_	24	adv	_	_
24	geliebten	geliebt	A	ADJA	Pos|Fem|Gen|Sg|Wk|	25	attr	_	_
25	Weibes	Weib	N	NN	Fem|Gen|Sg	21	pn	_	_
26	Schoß	Schoß	N	NN	Fem|Gen|Sg	25	app	_	_
27	.	.	$	$.	_	0	root	_	_

1	Da	da	A	ADV	_	2	adv	_	_
2	schrillte	schrillen	V	VVFIN	3|Sg|Past|_	0	root	_	_
3	ein	eine	A	ART	Indef|Masc|Nom|Sg	5	det	_	_
4	geller	gell	A	ADJA	Pos|Masc|Nom|Sg|St|	5	attr	_	_
5	Pfiff	Pfiff	N	NN	Masc|Nom|Sg	2	subj	_	_
6	,	,	$	$,	_	0	root	_	_
7	die	die	A	ART	Def|Masc|Nom|Pl	8	det	421	421
8	Hunde	Hund	N	NN	Masc|Nom|Pl	10	subj	421	421
9	drunten	drunten	N	NE	Masc|Nom|Pl	8	app	421	421
10	wurden	werden	V	VAFIN	3|Pl|Past|Ind	2	kon	_	_
11	jählings	jählings	A	ADV	_	10	adv	_	_
12	stille	stillen	V	VVFIN	_|Sg|Pres|_	10	s	_	_
13	,	,	$	$,	_	0	root	_	_
14	und	und	K	KON	_	10	kon	_	_
15	da	da	K	KOUS	_	19	konj	_	_
16	es	es	P	PPER	3|Sg|Neut|Nom	19	subj	_	_
17	noch	noch	A	ADV	_	19	adv	_	_
18	einmal	einmal	A	ADV	_	19	adv	_	_
19	gellte	gellen	V	VVFIN	3|Sg|Past|_	21	neb	_	_
20	,	,	$	$,	_	0	root	_	_
21	hörete	hörete	V	VVFIN	1|Sg|_|_	14	cj	_	_
22	ich	ich	P	PPER	1|Sg|_|Nom	21	subj	426	426
23	sie	sie	P	PPER	3|_|_|_	21	obja	421	421
24	wie	wie	K	KOKOM	_	21	kom	_	_
25	toll	toll	A	ADJD	Pos|	24	cj	_	_
26	und	und	K	KON	_	25	kon	_	_
27	wild	wild	A	ADJD	Pos|	26	cj	_	_
28	davon	davon	P	PROAV	_	21	pp	_	_
29	rennen	rennen	V	VVINF	_	0	root	_	_
30	.	.	$	$.	_	0	root	_	_

1	Vom	von	P	APPRART	Dat	4	pp	_	_
2	Hofe	Hof	N	NN	Masc|Dat|Sg	1	pn	126	126
3	her	her	A	APZR	_	1	part	_	_
4	wurden	werden	V	VAFIN	3|Pl|Past|Ind	0	root	_	_
5	Schritte	Schritt	N	NN	Masc|Nom|Pl	4	subj	_	_
6	laut	laut	A	ADJD	Pos|	4	pred	_	_
7	;	;	$	$.	_	0	root	_	_
8	wir	wir	P	PPER	1|Pl|_|Nom	9	subj	433	433
9	horchten	horchen	V	VVFIN	1|Pl|Past|_	0	root	_	_
10	auf	auf	P	PTKVZ	_	9	avz	_	_
11	,	,	$	$,	_	0	root	_	_
12	daß	daß	K	KOUS	_	0	root	_	_
13	uns	wir	P	PPER	1|Pl|_|_	0	root	433	433
14	der	die	A	ART	Def|Masc|Nom|Sg	15	det	_	_
15	Athem	Athem	N	NN	Masc|Nom|Sg	0	root	_	_
16	stille	still	A	ADJA	Pos|_|Nom|_|_|	17	attr	_	_
17	stund	stund	N	NN	_|Nom|_	15	app	_	_
18	.	.	$	$.	_	0	root	_	_

1	Bald	bald	A	ADV	_	2	adv	_	_
2	aber	aber	A	ADV	_	3	adv	_	_
3	wurde	werden	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
4	dorten	dorten	A	ADV	_	3	adv	_	_
5	eine	eine	A	ART	Indef|Fem|Nom|Sg	6	det	_	_
6	Thür	Thür	N	NN	Fem|Nom|Sg	3	subj	_	_
7	erst	erst	A	ADV	_	3	adv	_	_
8	auf-	auf-	T	TRUNC	_	0	root	_	_
9	,	,	$	$,	_	0	root	_	_
10	dann	dann	A	ADV	_	0	root	_	_
11	zugeschlagen	zuschlagen	V	VVPP	_	0	root	_	_
12	und	und	K	KON	_	0	root	_	_
13	dann	dann	A	ADV	_	15	adv	_	_
14	ein	eine	A	ART	Indef|Masc|Nom|Sg	15	det	_	_
15	Riegel	Riegel	N	NN	Masc|Nom|Sg	16	subj	_	_
16	vorgeschoben	vorschieben	V	VVPP	_	12	cj	_	_
17	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Das	die	P	PDS	Neut|Nom|Sg	3	subj	_	_
3	ist	sein	V	VAFIN	3|Sg|Pres|Ind	7	s	_	_
4	Wulf	Wulf	N	NE	_|Nom|_	3	pred	114	114
5	«	«	$	$(	_	0	root	_	_
6	,	,	$	$,	_	0	root	_	_
7	sagte	sagen	V	VVFIN	3|Sg|Past|_	0	root	_	_
8	Katharina	Katharina	N	NE	_|Nom|Sg	7	subj	193	193
9	leise	leise	A	ADJD	Pos|	7	adv	_	_
10	;	;	$	$.	_	0	root	_	_
11	»	»	$	$(	_	0	root	_	_
12	er	er	P	PPER	3|Sg|Masc|Nom	13	subj	114	114
13	hat	haben	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
14	die	die	A	ART	Def|Masc|_|Pl	16	det	_	_
15	beiden	beide	A	PIDAT	Masc|_|Pl	16	attr	_	_
16	Hunde	Hund	N	NN	Masc|_|Pl	20	obja	_	_
17	in	in	P	APPR	Acc	20	objp	_	_
18	den	die	A	ART	Def|Masc|Acc|Sg	19	det	434	434
19	Stall	Stall	N	NN	Masc|Acc|Sg	17	pn	434	434
20	gesperrt	sperren	V	VVPP	_	13	aux	_	_
21	.	.	$	$.	_	0	root	_	_
22	«	«	$	$(	_	0	root	_	_
23	-	-	$	$(	_	0	root	_	_
24	Bald	bald	A	ADV	_	25	adv	_	_
25	hörten	hören	V	VVFIN	1|Pl|Past|_	0	root	_	_
26	wir	wir	P	PPER	1|Pl|_|Nom	25	subj	433	433
27	auch	auch	A	ADV	_	25	adv	_	_
28	unter	unter	P	APPR	_	25	pp	_	_
29	uns	wir	P	PPER	1|Pl|_|_	28	pn	436	436
30	die	die	A	ART	Def|_|_|_	31	det	_	_
31	Thür	Thür	N	NN	_|_|_	25	obja	_	_
32	des	die	A	ART	Def|Masc|Gen|Sg	33	det	780	780
33	Hausflurs	Hausflur	N	NN	Masc|Gen|Sg	31	gmod	780	780
34	gehen	gehen	V	VVINF	_	25	obji	_	_
35	,	,	$	$,	_	0	root	_	_
36	den	die	A	ART	Def|Masc|Acc|Sg	37	det	24	24
37	Schlüssel	Schlüssel	N	NN	Masc|Acc|Sg	38	obja	24	24
38	drehen	drehen	V	VVINF	_	34	kon	_	_
39	und	und	K	KON	_	0	root	_	_
40	danach	danach	P	PROAV	_	41	pp	_	_
41	Schritte	Schritt	N	NN	Masc|_|_	39	cj	_	_
42	in	in	P	APPR	_	0	root	_	_
43	dem	die	A	ART	Def|_|Dat|Sg	0	root	_	_
44	untern	unter	P	APPRART	Acc	0	root	_	_
45	Corridor	Corridor	N	NN	_|Acc|Pl	44	pn	435	435
46	,	,	$	$,	_	0	root	435	435
47	die	die	P	PRELS	_|Nom|Pl	49	subj	435	435
48	sich	sie	P	PRF	3|_|_	49	obja	_	_
49	verloren	verlieren	V	VVFIN	3|Pl|Past|Ind	45	rel	_	_
50	,	,	$	$,	_	0	root	_	_
51	wo	wo	P	PWAV	_	56	adv	_	_
52	der	die	A	ART	Def|Masc|Nom|Sg	53	det	130	130
53	Junker	Junker	N	NN	Masc|Nom|Sg	56	subj	130	130
54	seine	seine	A	PPOSAT	Fem|_|Sg	55	det	130	130
55	Kammer	Kammer	N	NN	Fem|_|Sg	56	obja	_	_
56	hatte	haben	V	VAFIN	3|Sg|Past|Ind	49	rel	_	_
57	.	.	$	$.	_	0	root	_	_

1	Dann	dann	A	ADV	_	2	adv	_	_
2	wurde	werden	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
3	alles	alle	P	PIS	Neut|Nom|Sg	2	subj	_	_
4	still	still	A	ADJD	Pos|	2	pred	_	_
5	.	.	$	$.	_	0	root	_	_

1	Es	es	P	PPER	3|Sg|Neut|Nom	2	subj	_	_
2	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
3	nun	nun	A	ADV	_	2	adv	_	_
4	endlich	endlich	A	ADJD	Pos|	2	adv	_	_
5	sicher	sicher	A	ADJD	Pos|	2	pred	_	_
6	,	,	$	$,	_	0	root	_	_
7	ganz	ganz	A	ADV	_	8	adv	_	_
8	sicher	sicher	A	ADJD	Pos|	5	kon	_	_
9	;	;	$	$.	_	0	root	_	_
10	aber	aber	K	KON	_	0	root	_	_
11	mit	mit	P	APPR	Dat	14	pp	_	_
12	unserem	unsre	A	PPOSAT	Neut|Dat|Sg	13	det	436	436
13	Plaudern	Plaudern	N	NN	Neut|Dat|Sg	11	pn	_	_
14	war	sein	V	VAFIN	_|Sg|Past|Ind	10	cj	_	_
15	es	es	P	PPER	3|Sg|Neut|Nom	14	subj	_	_
16	mit	mit	P	APPR	Dat	14	pp	_	_
17	einem	eine	A	ART	Indef|Neut|Dat|Sg	18	det	_	_
18	Male	Mal	N	NN	Neut|Dat|Sg	16	pn	_	_
19	schier	schier	A	ADJD	Pos|	14	pred	_	_
20	zu	zu	P	APPR	Dat	14	pp	_	_
21	Ende	Ende	N	NN	Neut|Dat|Sg	20	pn	437	437
22	.	.	$	$.	_	0	root	_	_

1	Katharina	Katharina	N	NE	_|Nom|Sg	2	subj	193	193
2	hatte	haben	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
3	den	die	A	ART	Def|Masc|Acc|Sg	4	det	438	438
4	Kopf	Kopf	N	NN	Masc|Acc|Sg	5	obja	438	438
5	zurückgelehnt	zurücklehnen	V	VVPP	_	2	aux	_	_
6	;	;	$	$.	_	0	root	_	_
7	nur	nur	A	ADV	_	0	root	_	_
8	unser	unsre	A	PPOSAT	_|_|Sg	0	root	436	436
9	beider	beide	A	PIDAT	_|Gen|Pl	0	root	_	_
10	Herzen	Herzen	N	NN	Neut|_|Sg	11	obja	479	479
11	hörete	hörete	V	VVFIN	1|Sg|_|_	0	root	_	_
12	ich	ich	P	PPER	1|Sg|_|Nom	11	subj	439	439
13	klopfen	klopfen	V	VVFIN	_|Pl|Pres|_	0	root	_	_
14	.	.	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	»	»	$	$(	_	0	root	_	_
3	Soll	sollen	V	VMFIN	1|Sg|Pres|Ind	0	root	_	_
4	ich	ich	P	PPER	1|Sg|_|Nom	3	subj	439	439
5	nun	nun	A	ADV	_	6	adv	_	_
6	gehen	gehen	V	VVINF	_	3	aux	_	_
7	,	,	$	$,	_	0	root	_	_
8	Katharina	Katharina	N	NN	Fem|_|Sg	3	vok	115	115
9	?	?	$	$.	_	0	root	_	_
10	«	«	$	$(	_	0	root	_	_
11	sprach	sprechen	V	VVFIN	1|Sg|Past|Ind	0	root	_	_
12	ich	ich	P	PPER	1|Sg|_|Nom	11	subj	439	439
13	endlich	endlich	A	ADJD	Pos|	11	adv	_	_
14	.	.	$	$.	_	0	root	_	_

1	Aber	aber	K	KON	_	0	root	_	_
2	die	die	A	ART	Def|_|Nom|Pl	4	det	440	440
3	jungen	jung	A	ADJA	Pos|_|Nom|Pl|Wk|	4	attr	440	440
4	Arme	Arm	N	NN	_|Nom|Pl	5	subj	440	440
5	zogen	ziehen	V	VVFIN	3|Pl|Past|Ind	1	cj	_	_
6	mich	ich	P	PPER	1|Sg|_|Acc	5	obja	439	439
7	stumm	stumm	A	ADJD	Pos|	5	adv	_	_
8	zu	zu	P	APPR	Dat	5	objp	_	_
9	ihrem	ihre	A	PPOSAT	Masc|Dat|Sg	10	det	440	440
10	Mund	Mund	N	NN	Masc|Dat|Sg	8	pn	_	_
11	empor	empor	A	ADV	_	5	adv	_	_
12	;	;	$	$.	_	0	root	_	_
13	und	und	K	KON	_	0	root	_	_
14	ich	ich	P	PPER	1|Sg|_|Nom	15	subj	439	439
15	ging	gehen	V	VVFIN	1|Sg|Past|Ind	13	cj	_	_
16	nicht	nicht	P	PTKNEG	_	15	adv	_	_
17	.	.	$	$.	_	0	root	_	_

1	Kein	keine	A	PIAT	Masc|Nom|Sg	2	det	_	_
2	Laut	Laut	N	NN	Masc|Nom|Sg	3	subj	_	_
3	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
4	mehr	mehr	A	ADV	_	3	adv	_	_
5	,	,	$	$,	_	0	root	_	_
6	als	als	K	KOKOM	_	12	kom	_	_
7	aus	aus	P	APPR	Dat	6	cj	_	_
8	des	die	A	ART	Def|_|Gen|Sg	9	det	_	_
9	Gartens	Garten	N	NN	Fem|Gen|Sg	7	pn	_	_
10	Tiefe	Tiefe	N	NN	Fem|Gen|Sg	9	app	_	_
11	das	die	A	ART	Def|Neut|_|Sg	12	det	_	_
12	Schlagen	Schlagen	N	NN	Neut|_|Sg	0	root	_	_
13	der	die	A	ART	Def|Fem|Gen|Pl	14	det	233	233
14	Nachtigallen	Nachtigall	N	NN	Fem|Gen|Pl	12	gmod	233	233
15	und	und	K	KON	_	12	kon	_	_
16	von	von	P	APPR	_	19	pp	_	_
17	fern	fern	A	ADJD	Pos|	16	pn	_	_
18	das	die	A	ART	Def|Neut|_|Sg	19	det	_	_
19	Rauschen	Rauschen	N	NN	Neut|_|Sg	15	cj	_	_
20	des	die	A	ART	Def|_|Gen|Sg	21	det	441	441
21	Wässerleins	Wässerlein	N	NN	Neut|Gen|Sg	19	gmod	441	441
22	,	,	$	$,	_	0	root	441	441
23	das	die	P	PRELS	Neut|Nom|Sg	28	subj	441	441
24	hinten	hinten	A	ADV	_	28	adv	_	_
25	um	um	P	APPR	Acc	28	pp	_	_
26	die	die	A	ART	Def|Fem|Acc|Pl	27	det	442	442
27	Hecken	Heck	N	NN	Fem|Acc|Pl	25	pn	442	442
28	fließt	fließen	V	VVFIN	3|Sg|Pres|Ind	21	rel	_	_
29	.	.	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	-	-	$	$(	_	0	root	_	_

