1	Wer	wer	P	PWS	_|Nom|Sg	2	pred	_	_
13	hatte	haben	V	VAFIN	3|Sg|Past|Ind	15	neb	_	_
14	,	,	$	$,	_	0	root	_	_
15	wurde	werden	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
16	unten	unten	A	ADV	_	15	adv	_	_
17	die	die	A	ART	Def|Fem|Nom|Sg	19	det	_	_
18	schwere	schwer	A	ADJA	Pos|Fem|Nom|Sg|_|	19	attr	_	_
19	Haustür	Haustür	N	NN	Fem|Nom|Sg	15	subj	_	_
20	aufgestoßen	aufstoßen	V	VVPP	_	15	neb	_	_
21	;	;	$	$.	_	0	root	_	_
22	es	es	P	PPER	3|Sg|Neut|Nom	23	subj	_	_
23	kam	kommen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
24	die	die	A	ART	Def|Fem|_|Pl	25	det	_	_
25	Stiegen	Stiege	N	NN	Fem|_|Pl	23	obja	_	_
26	zu	zu	P	APPR	Dat	23	pp	_	_
27	uns	wir	P	PPER	1|Pl|_|Dat	26	pn	_	_
28	herauf	herauf	P	PTKVZ	_	23	avz	_	_
29	,	,	$	$,	_	0	root	_	_
30	hastend	hasten	A	ADJD	_|<PPRES	0	root	_	_
31	und	und	K	KON	_	30	kon	_	_
32	doch	doch	A	ADV	_	33	adv	_	_
33	mühsam	mühsam	A	ADJD	Pos|	31	cj	_	_
34	;	;	$	$.	_	0	root	_	_
35	und	und	K	KON	_	0	root	_	_
36	alle	alle	A	PIDAT	Masc|Nom|Pl	37	det	_	_
37	Köpfe	Kopf	N	NN	Masc|Nom|Pl	38	subj	_	_
38	wandten	wandten	V	VVFIN	_|Pl|_|_	35	cj	_	_
39	sich	sie	P	PRF	3|_|_	38	obja	_	_
40	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Der	die	A	ART	Def|_|_|_	3	det	962	962
3	Wildmeister	Wildmeister	N	NN	_|_|_	0	root	962	962
4	!	!	$	$.	_	0	root	_	_
5	«	«	$	$(	_	0	root	_	_
6	raunte	raunen	V	VVFIN	3|Sg|Past|_	0	root	_	_
7	es	es	P	PPER	3|Sg|Neut|Nom	6	subj	_	_
8	unter	unter	P	APPR	Dat	6	pp	_	_
9	den	die	A	ART	Def|_|Dat|Pl	10	det	353	353
10	Leuten	Leute	N	NN	_|Dat|Pl	8	pn	353	353
11	;	;	$	$.	_	0	root	_	_
12	»	»	$	$(	_	0	root	_	_
13	das	die	P	PDS	Neut|Nom|Sg	14	subj	_	_
14	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
15	der	die	A	ART	Def|Masc|Nom|Sg	16	det	740	740
16	Wildmeister	Wildmeister	N	NN	Masc|Nom|Sg	14	pred	740	740
17	!	!	$	$.	_	0	root	_	_
18	«	«	$	$(	_	0	root	_	_
19	Sie	sie	P	PPER	3|Pl|_|Nom	20	subj	353	353
20	wichen	weichen	V	VVFIN	3|Pl|Past|_	0	root	_	_
21	alle	alle	P	PIS	_|_|_	20	adv	_	_
22	zurück	zurück	P	PTKVZ	_	20	avz	_	_
23	,	,	$	$,	_	0	root	_	_
24	als	als	K	KOUS	_	33	konj	_	_
25	die	die	A	ART	Def|Fem|Nom|Sg	27	det	_	_
26	große	groß	A	ADJA	Pos|Fem|Nom|Sg|_|	27	attr	_	_
27	Gestalt	Gestalt	N	NN	Fem|Nom|Sg	33	subj	_	_
28	des	die	A	ART	Def|Masc|Gen|Sg	29	det	861	861
29	Greises	Greis	N	NN	Masc|Gen|Sg	27	gmod	861	861
30	in	in	P	APPR	Acc	33	objp	_	_
31	das	die	A	ART	Def|Neut|Acc|Sg	32	det	659	659
32	Zimmer	Zimmer	N	NN	Neut|Acc|Sg	30	pn	659	659
33	trat	treten	V	VVFIN	3|Sg|Past|Ind	20	neb	_	_
34	.	.	$	$.	_	0	root	_	_

1	Aber	aber	K	KON	_	0	root	_	_
2	er	er	P	PPER	3|Sg|Masc|Nom	3	subj	861	861
3	schritt	schreiten	V	VVFIN	3|Sg|Past|Ind	1	cj	_	_
4	nicht	nicht	P	PTKNEG	_	3	adv	_	_
5	mehr	mehr	A	ADV	_	4	adv	_	_
6	aufrecht	aufrecht	A	ADJD	Pos|	3	adv	_	_
7	wie	wie	K	KOKOM	_	3	kom	_	_
8	vor	vor	P	APPR	Dat	7	cj	_	_
9	Jahren	Jahr	N	NN	Neut|Dat|Pl	8	pn	169	169
10	;	;	$	$.	_	0	root	_	_
11	er	er	P	PPER	3|Sg|Masc|Nom	12	subj	861	861
12	schien	scheinen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
13	in	in	P	APPR	Dat	12	pp	_	_
14	diesem	diese	A	PDAT	Masc|Dat|Sg	15	det	422	422
15	Augenblick	Augenblick	N	NN	Masc|Dat|Sg	13	pn	422	422
16	wie	wie	K	KOKOM	_	12	kom	_	_
17	am	an	P	APPRART	Dat	16	cj	_	_
18	Ende	Ende	N	NN	Neut|Dat|Sg	17	pn	_	_
19	seines	seine	A	PPOSAT	Neut|Gen|Sg	20	det	861	861
20	Lebens	Leben	N	NN	Neut|Gen|Sg	18	gmod	_	_
21	.	.	$	$.	_	0	root	_	_

1	Trotz	trotz	P	APPR	_	6	pp	_	_
2	der	die	A	ART	Def|Fem|_|Sg	4	det	_	_
3	eisigen	eisig	A	ADJA	Pos|Fem|_|Sg|Wk|	4	attr	_	_
4	Nachtkälte	Nachtkälte	N	NN	Fem|_|Sg	1	pn	_	_
5	draußen	draußen	A	ADV	_	1	adv	_	_
6	rann	rinnen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
7	der	die	A	ART	Def|Masc|Nom|Sg	8	det	_	_
8	Schweiß	Schweiß	N	NN	Masc|Nom|Sg	6	subj	_	_
9	in	in	P	APPR	_	6	pp	_	_
10	Tropfen	Tropfen	N	NN	_|_|_	9	pn	_	_
11	ihm	er	P	PPER	3|Sg|_|Dat	6	objd	861	861
12	in	in	P	APPR	Acc	6	pp	_	_
13	den	die	A	ART	Def|Masc|Acc|Sg	15	det	_	_
14	weißen	weiß	A	ADJA	Pos|Masc|Acc|Sg|_|	15	attr	_	_
15	Bart	Bart	N	NN	Masc|Acc|Sg	12	pn	_	_
16	;	;	$	$.	_	0	root	_	_
17	er	er	P	PPER	3|Sg|Masc|Nom	18	subj	861	861
18	wollte	wollen	V	VMFIN	3|Sg|Past|_	0	root	_	_
19	sprechen	sprechen	V	VVINF	_	18	aux	_	_
20	,	,	$	$,	_	0	root	_	_
21	aber	aber	K	KON	_	18	kon	_	_
22	der	die	A	ART	Def|Masc|Nom|Sg	23	det	963	963
23	Atem	Atem	N	NN	Masc|Nom|Sg	24	subj	963	963
24	versagte	versagen	V	VVFIN	3|Sg|Past|_	21	cj	_	_
25	ihm	er	P	PPER	3|Sg|_|Dat	24	objd	861	861
26	,	,	$	$,	_	0	root	_	_
27	und	und	K	KON	_	24	kon	_	_
28	er	er	P	PPER	3|Sg|Masc|Nom	29	subj	861	861
29	neigte	neigen	V	VVFIN	3|Sg|Past|_	27	cj	_	_
30	sich	sie	P	PRF	3|_|_	29	obja	_	_
31	nur	nur	A	ADV	_	29	adv	_	_
32	stumm	stumm	A	ADJD	Pos|	29	adv	_	_
33	vor	vor	P	APPR	Dat	29	pp	_	_
34	seinem	seine	A	PPOSAT	_|Dat|Sg	36	det	861	861
35	früheren	früh	A	ADJA	_|_|Dat|Sg|Wk|	36	attr	_	_
36	Herrn	Herrn	N	NN	_|Dat|Sg	33	pn	_	_
37	.	.	$	$.	_	0	root	_	_

