1	Sie	sie	P	PPER	3|Sg|Fem|Nom	2	subj	406	406
23	welchen	welche	P	PRELS	Masc|Acc|Sg	27	obja	440	440
24	die	die	A	ART	Def|Fem|Nom|Sg	26	det	_	_
25	unerwartete	unerwartet	A	ADJA	Pos|Fem|Nom|Sg|_|	26	attr	_	_
26	Vorlesung	Vorlesung	N	NN	Fem|Nom|Sg	28	subj	_	_
27	gemacht	machen	V	VVPP	_	28	aux	_	_
28	hatte	haben	V	VAFIN	3|Sg|Past|Ind	21	rel	_	_
29	,	,	$	$,	_	0	root	_	_
30	verbergen	verbergen	V	VVINF	_	18	aux	_	_
31	.	.	$	$.	_	0	root	_	_

1	Der	die	A	ART	Def|Masc|Nom|Sg	2	det	263	263
2	Meister	Meister	N	NN	Masc|Nom|Sg	3	subj	263	263
3	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
4	der	die	A	ART	Def|_|_|_	5	det	_	_
5	Erste	erst	A	ADJA	Masc|Nom|Sg	3	pred	_	_
6	,	,	$	$,	_	0	root	_	_
7	welcher	welche	A	PWAT	_|_|_	0	root	_	_
8	sprach	sprechen	V	VVFIN	_|Sg|Past|Ind	0	root	_	_
9	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Nein	Nein	N	NN	Neut|_|Sg	0	root	_	_
3	aber	aber	A	ADV	_	2	adv	_	_
4	,	,	$	$,	_	0	root	_	_
5	kann	können	V	VMFIN	3|Sg|Pres|Ind	0	root	_	_
6	der	die	A	ART	Def|Masc|Nom|Sg	7	det	330	330
7	Goldschmidt	Goldschmidt	N	NE	Masc|Nom|Sg	5	subj	330	330
8	lesen	lesen	V	VVINF	_	5	aux	_	_
9	;	;	$	$.	_	0	root	_	_
10	wer	wer	P	PWS	_|Nom|Sg	11	subj	_	_
11	hätte	haben	V	VAFIN	3|Sg|Past|Subj	0	root	_	_
12	ihm	er	P	PPER	3|Sg|_|Dat	11	objd	330	330
13	auch	auch	A	ADV	_	11	adv	_	_
14	das	die	A	ART	Def|Neut|_|Sg	0	root	_	_
15	noch	noch	A	ADV	_	0	root	_	_
16	zugetraut	zugetrauen	V	VVPP	_	0	root	_	_
17	!	!	$	$.	_	0	root	_	_

1	Es	es	P	PPER	3|Sg|Neut|Nom	2	subj	_	_
2	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
3	wirklich	wirklich	A	ADJD	Pos|	2	adv	_	_
4	schade	schade	A	ADJD	Pos|	2	pred	_	_
5	um	um	P	APPR	Acc	2	pp	_	_
6	den	die	A	ART	Def|Masc|Acc|Sg	7	det	108	108
7	Menschen	Mensch	N	NN	Masc|Acc|Sg	5	pn	108	108
8	,	,	$	$,	_	0	root	_	_
9	daß	daß	K	KOUS	_	15	konj	_	_
10	er	er	P	PPER	3|Sg|Masc|Nom	15	subj	108	108
11	sich	sie	P	PRF	3|_|_	15	obja	_	_
12	Nächte	Nacht	N	NN	Fem|Acc|Pl	13	pn	_	_
13	lang	lang	P	APPO	Acc	15	pp	_	_
14	draußen	draußen	A	ADV	_	13	adv	_	_
15	herumtreibt	herumtreiben	V	VVFIN	3|Sg|Pres|Ind	2	objc	_	_
16	.	.	$	$.	_	0	root	_	_

1	Aber	aber	K	KON	_	0	root	_	_
2	ich	ich	P	PPER	1|Sg|_|Nom	3	subj	442	442
3	kenne	kennen	V	VVFIN	1|Sg|Pres|_	1	cj	_	_
4	doch	doch	A	ADV	_	3	adv	_	_
5	das	die	A	ART	Def|Neut|_|Sg	7	det	_	_
6	ganze	ganz	A	ADJA	Pos|Neut|_|Sg|Wk|	7	attr	_	_
7	Buch	Buch	N	NN	Neut|_|Sg	3	obja	_	_
8	auswendig	auswendig	A	ADJD	Pos|	3	adv	_	_
9	und	und	K	KON	_	3	kon	_	_
10	habe	haben	V	VAFIN	_|Sg|Pres|_	9	cj	_	_
11	das	die	A	ART	Def|Neut|_|Sg	12	det	441	441
12	Gedicht	Gedicht	N	NN	Neut|_|Sg	15	obja	441	441
13	noch	noch	A	ADV	_	15	adv	_	_
14	nie	nie	A	ADV	_	15	adv	_	_
15	gefunden	finden	V	VVPP	_	10	aux	_	_
16	.	.	$	$.	_	0	root	_	_

1	Ich	ich	P	PPER	1|Sg|_|Nom	2	subj	442	442
2	muß	müssen	V	VMFIN	1|Sg|Pres|Ind	0	root	_	_
3	nur	nur	A	ADV	_	7	adv	_	_
4	einmal	einmal	A	ADV	_	7	adv	_	_
5	das	die	A	ART	Def|Neut|_|Sg	6	det	443	443
6	Blatt	Blatt	N	NN	Neut|_|Sg	7	obja	443	443
7	aufschlagen	aufschlagen	V	VVINF	_	2	aux	443	443
8	,	,	$	$,	_	0	root	443	443
9	auf	auf	P	APPR	Dat	12	objp	443	443
10	welchem	welche	P	PRELS	Neut|Dat|Sg	9	pn	443	443
11	es	es	P	PPER	3|Sg|Neut|Nom	12	subj	_	_
12	steht	stehen	V	VVFIN	3|Sg|Pres|Ind	6	rel	_	_
13	,	,	$	$,	_	0	root	_	_
14	es	es	P	PPER	3|Sg|Neut|Nom	15	subj	_	_
15	war	sein	V	VAFIN	3|Sg|Past|Ind	2	kon	_	_
16	grad	grad	A	ADV	_	15	adv	_	_
17	bei	bei	P	APPR	Dat	15	pp	_	_
18	dem	die	A	ART	Def|Neut|Dat|Sg	20	det	444	444
19	rothen	rothen	A	ADJA	_|Neut|Dat|Sg|_	20	attr	444	444
20	Einzeichen	Einzeichen	N	NN	Neut|Dat|Sg	17	pn	444	444
21	,	,	$	$,	_	0	root	444	444
22	welches	welche	P	PRELS	Neut|_|Sg	25	obja	444	444
23	ich	ich	P	PPER	1|Sg|_|Nom	26	subj	442	442
24	gestern	gestern	A	ADV	_	25	adv	_	_
25	hineingelegt	hineinlegen	V	VVPP	_	26	aux	_	_
26	habe	haben	V	VAFIN	1|Sg|Pres|_	20	rel	_	_
27	.	.	$	$.	_	0	root	_	_
28	«	«	$	$(	_	0	root	_	_

1	Er	er	P	PPER	3|Sg|Masc|Nom	2	subj	7	7
2	blätterte	blättern	V	VVFIN	3|Sg|Past|_	0	root	_	_
3	,	,	$	$,	_	0	root	_	_
4	aber	aber	K	KON	_	0	root	_	_
5	vergebens	vergebens	A	ADV	_	4	cj	_	_
6	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Ich	ich	P	PPER	1|Sg|_|Nom	3	subj	442	442
3	glaube	glauben	V	VVFIN	1|Sg|Pres|_	0	root	_	_
4	gar	gar	A	ADV	_	3	adv	_	_
5	,	,	$	$,	_	0	root	_	_
6	er	er	P	PPER	3|Sg|Masc|Nom	0	root	7	7
7	hat	haben	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
8	das	die	A	ART	Def|Neut|Nom|Sg	9	det	441	441
9	Gedicht	Gedicht	N	NN	Neut|Nom|Sg	7	subj	441	441
10	auch	auch	A	ADV	_	16	adv	_	_
11	gleich	gleich	A	ADJD	Pos|	16	adv	_	_
12	so	so	A	ADV	_	16	adv	_	_
13	aus	aus	P	APPR	Dat	16	objp	_	_
14	dem	die	A	ART	Def|Masc|Dat|Sg	15	det	191	191
15	Kopfe	Kopf	N	NN	Masc|Dat|Sg	13	pn	191	191
16	gemacht	machen	V	VVPP	_	7	aux	_	_
17	,	,	$	$,	_	0	root	_	_
18	wie	wie	P	PWAV	_	23	adv	_	_
19	er	er	P	PPER	3|Sg|Masc|Nom	23	subj	191	191
20	die	die	A	ART	Def|Neut|_|Pl	21	det	445	445
21	Lieder	Lied	N	NN	Neut|_|Pl	23	obja	445	445
22	alle	alle	P	PIS	_|_|_	21	app	445	445
23	macht	machen	V	VVFIN	3|Sg|Pres|Ind	16	objc	445	445
24	,	,	$	$,	_	0	root	445	445
25	die	die	P	PRELS	_|_|_	30	obja	445	445
26	er	er	P	PPER	3|Sg|Masc|Nom	30	subj	191	191
27	draußen	draußen	A	ADV	_	30	adv	_	_
28	im	in	P	APPRART	Dat	30	pp	_	_
29	Garten	Garten	N	NN	Masc|Dat|Sg	28	pn	_	_
30	singt	singen	V	VVFIN	3|Sg|Pres|Ind	22	rel	_	_
31	,	,	$	$,	_	0	root	_	_
32	denn	denn	K	KON	_	30	kon	_	_
33	ich	ich	P	PPER	1|Sg|_|Nom	34	subj	442	442
34	finde	finden	V	VVFIN	1|Sg|Pres|_	32	cj	_	_
35	das	die	A	ART	Def|Neut|_|Sg	36	det	_	_
36	Dings	Ding	N	NN	Neut|_|Sg	34	obja	_	_
37	im	in	P	APPRART	Dat	34	pp	_	_
38	ganzen	ganz	A	ADJA	Pos|_|Dat|Sg|Wk|	39	attr	_	_
39	Buche	Buch	N	NN	_|Dat|Sg	37	pn	_	_
40	nicht	nicht	P	PTKNEG	_	34	adv	_	_
41	.	.	$	$.	_	0	root	_	_

1	Es	es	P	PPER	3|Sg|Neut|Nom	2	subj	_	_
2	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
3	wirklich	wirklich	A	ADJD	Pos|	2	adv	_	_
4	schade	schade	A	ADJD	Pos|	2	pred	_	_
5	,	,	$	$,	_	0	root	_	_
6	jammerschade	jammerschade	A	ADJD	Pos|	7	adv	_	_
7	um	um	P	APPR	Acc	2	pp	_	_
8	den	die	A	ART	Def|Masc|Acc|Sg	9	det	193	193
9	Kerl	Kerl	N	NN	Masc|Acc|Sg	7	pn	193	193
10	!	!	$	$.	_	0	root	_	_
11	«	«	$	$(	_	0	root	_	_

1	Er	er	P	PPER	3|Sg|Masc|Nom	2	subj	7	7
2	stand	stehen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
3	auf	auf	P	PTKVZ	_	2	avz	_	_
4	,	,	$	$,	_	0	root	_	_
5	und	und	K	KON	_	2	kon	_	_
6	das	die	P	PDS	Neut|Nom|Sg	7	subj	_	_
7	war	sein	V	VAFIN	_|Sg|Past|Ind	5	cj	_	_
8	bei	bei	P	APPR	Dat	7	pp	_	_
9	ihm	er	P	PPER	3|Sg|_|Dat	8	pn	7	7
10	das	die	A	ART	Def|Neut|Nom|Sg	11	det	446	446
11	Zeichen	Zeichen	N	NN	Neut|Nom|Sg	7	pred	446	446
12	,	,	$	$,	_	0	root	_	_
13	daß	daß	K	KOUS	_	19	konj	_	_
14	er	er	P	PPER	3|Sg|Masc|Nom	19	subj	7	7
15	zur	zu	P	APPRART	Dat	18	objp	_	_
16	Ruhe	Ruhe	N	NN	Fem|Dat|Sg	15	pn	447	447
17	zu	zu	P	PTKZU	_	18	part	_	_
18	gehen	gehen	V	VVINF	_	19	obji	_	_
19	wünsche	wünschen	V	VVFIN	3|Sg|Pres|Subj	7	objc	_	_
20	.	.	$	$.	_	0	root	_	_

1	Deshalb	Deshalb	P	PROAV	_	2	pp	_	_
2	erhoben	erheben	V	VVFIN	3|Pl|Past|Ind	0	root	_	_
3	sich	sie	P	PRF	3|_|_	2	obja	_	_
4	auch	auch	A	ADV	_	2	adv	_	_
5	die	die	A	ART	Def|_|Nom|Pl	6	det	448	448
6	Andern	Andern	N	NN	_|Nom|Pl	2	subj	448	448
7	.	.	$	$.	_	0	root	_	_

1	Draußen	draußen	A	ADV	_	2	adv	_	_
2	vor	vor	P	APPR	Dat	5	pp	_	_
3	der	die	A	ART	Def|Fem|Dat|Sg	4	det	527	527
4	Treppe	Treppe	N	NN	Fem|Dat|Sg	2	pn	527	527
5	blieb	bleiben	V	VVFIN	_|Sg|Past|Ind	0	root	_	_
6	Auguste	August	N	NN	Masc|Nom|Pl	5	pred	657	657
7	stehen	stehen	V	VVINF	_	5	obji	_	_
8	.	.	$	$.	_	0	root	_	_

