1	Et	Et	N	NE	_	0	root	10	10
4	wol	wol	F	FM	Fem|_|Pl	3	app	_	_
5	tofreen	tofreen	F	FM	Fem|_|Pl	4	app	_	_
6	un	un	F	FM	Fem|_|Pl	5	app	_	_
7	leit	leit	F	FM	Fem|_|Pl	6	app	_	_
8	'	'	$	$(	_	0	root	_	_
9	n	n	F	FM	Fem|_|Pl	7	app	_	_
10	to	to	F	FM	Fem|_|Pl	9	app	_	_
11	sik	sik	F	FM	Fem|_|Pl	10	app	_	_
12	kummen	kummen	F	FM	Fem|_|Pl	11	app	_	_
13	un	un	F	FM	Fem|_|Pl	12	app	_	_
14	wull	wull	F	FM	Fem|_|Pl	13	app	_	_
15	'	'	$	$(	_	0	root	_	_
16	n	n	N	NN	Fem|_|Pl	14	app	_	_
17	tom	tom	A	ADJA	_|Fem|_|Pl|_	18	attr	_	_
18	Bedeenten	Bedeente	N	NN	Fem|_|Pl	16	app	_	_
19	macken	macken	N	NE	Fem|_|Pl	18	app	_	_
20	.	.	$	$.	_	0	root	_	_

1	He	He	F	FM	_	0	root	_	_
2	wull	wull	F	FM	_	1	app	_	_
3	awerst	awerst	F	FM	_	2	app	_	_
4	leewer	leewer	F	FM	_	3	app	_	_
5	Vorrüter	Vorrüter	F	FM	_	4	app	_	_
6	sin	sin	F	FM	_	5	app	_	_
7	,	,	$	$,	_	0	root	_	_
8	denn	denn	K	KON	_	0	root	_	_
9	wo	wo	P	PWAV	_	0	root	_	_
10	sin	sin	F	FM	_	0	root	_	_
11	Perd	Perd	F	FM	_	10	app	_	_
12	wöre	wöre	F	FM	_	11	app	_	_
13	,	,	$	$,	_	0	root	_	_
14	da	da	K	KOUS	_	0	root	_	_
15	möst	möst	F	FM	_	0	root	_	_
16	he	he	F	FM	_	15	app	_	_
17	auck	auck	F	FM	_	16	app	_	_
18	sin	sin	F	FM	_	17	app	_	_
19	;	;	$	$.	_	0	root	_	_
20	da	da	K	KOUS	_	0	root	_	_
21	mackt	mackt	F	FM	Masc|_|_	0	root	_	_
22	'	'	$	$(	_	0	root	_	_
23	n	n	F	FM	Masc|_|_	21	app	_	_
24	de	de	F	FM	Masc|_|_	23	app	_	_
25	Künig	Künig	F	FM	Masc|_|_	24	app	_	_
26	tom	tom	F	FM	Masc|_|_	25	app	_	_
27	Vorrüter	Vorrüter	N	NN	Masc|_|_	26	app	_	_
28	.	.	$	$.	_	0	root	_	_

1	Wie	Wie	P	PWAV	_	0	root	_	_
2	düt	düt	F	FM	_	0	root	_	_
3	de	de	F	FM	_	2	app	_	_
4	Ferenand	Ferenand	F	FM	_	3	app	_	_
5	ungetrü	ungetrü	F	FM	_	4	app	_	_
6	gewahr	gewahr	F	FM	_	5	app	_	_
7	wore	wore	F	FM	_	6	app	_	_
8	,	,	$	$,	_	0	root	_	_
9	da	da	K	KOUS	_	0	root	_	_
10	segd	segd	F	FM	_	0	root	_	_
11	he	he	F	FM	_	10	app	_	_
12	to	to	F	FM	_	11	app	_	_
13	den	die	A	ART	Def|_|_|_	14	det	_	_
14	Mäken	Mäken	N	NN	_|_|_	0	root	_	_
15	'	'	$	$(	_	0	root	_	_
16	töv	töv	N	NE	_|_|_	14	app	_	_
17	,	,	$	$,	_	0	root	_	_
18	helpest	helpest	V	VVFIN	2|Sg|_|_	0	root	_	_
19	du	du	P	PPER	2|Sg|_|Nom	18	subj	14	14
20	den	die	A	ART	Def|_|_|_	23	det	_	_
21	an	an	P	APPR	_	23	pp	_	_
22	un	un	F	FM	_|_|_	21	pn	_	_
23	mie	mie	F	FM	_|_|_	18	obja	_	_
24	nig	nig	F	FM	_|_|_	23	app	_	_
25	?	?	$	$.	_	0	root	_	_

1	'	'	$	$(	_	0	root	_	_
2	'	'	$	$(	_	0	root	_	_
3	O	O	N	NN	Neut|_|_	0	root	_	_
4	,	,	$	$,	_	0	root	_	_
5	'	'	$	$(	_	0	root	_	_
6	segd	segd	F	FM	Neut|_|_	3	app	_	_
7	dat	dat	F	FM	Neut|_|_	6	app	_	_
8	Mäken	Mäken	F	FM	Neut|_|_	7	app	_	_
9	,	,	$	$,	_	0	root	_	_
10	'	'	$	$(	_	0	root	_	_
11	ik	ik	F	FM	_|Nom|Sg	12	subj	_	_
12	will	wollen	V	VMFIN	3|Sg|Pres|Ind	0	root	_	_
13	'	'	$	$(	_	0	root	_	_
14	n	n	F	FM	_	12	obja	_	_
15	auck	auck	F	FM	_	14	app	_	_
16	anhelpen	anhelpen	F	FM	_	15	app	_	_
17	.	.	$	$.	_	0	root	_	_

1	'	'	$	$(	_	0	root	_	_
2	Se	Se	N	NE	_|Nom|Sg	3	subj	13	13
3	dachte	denken	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
4	'	'	$	$(	_	0	root	_	_
5	den	die	A	ART	Def|_|_|_	6	det	_	_
6	most	most	N	NN	_|_|_	3	obja	_	_
7	du	du	P	PPER	2|Sg|_|Nom	0	root	14	14
8	die	die	A	ART	Def|_|_|_	10	det	_	_
9	tom	tom	A	ADJA	_	10	attr	_	_
10	Frünne	Frünne	N	NN	_|_|_	11	obja	_	_
11	wahren	wahren	V	VVINF	_	0	root	_	_
12	,	,	$	$,	_	0	root	_	_
13	denn	denn	K	KON	_	0	root	_	_
14	he	he	F	FM	_	0	root	_	_
15	is	is	F	FM	_	14	app	_	_
16	nig	nig	F	FM	_	15	app	_	_
17	to	to	F	FM	_	16	app	_	_
18	truen	truen	F	FM	_	17	app	_	_
19	.	.	$	$.	_	0	root	_	_

1	'	'	$	$(	_	0	root	_	_
2	Se	Se	F	FM	_	0	root	_	_
3	geit	geit	F	FM	_	2	app	_	_
4	alse	alse	F	FM	_	3	app	_	_
5	vorm	vorm	F	FM	_	4	app	_	_
6	Künig	Künig	F	FM	_	5	app	_	_
7	stahn	stahn	F	FM	_	6	app	_	_
8	un	un	F	FM	_	7	app	_	_
9	beed	beed	F	FM	_	8	app	_	_
10	'	'	$	$(	_	0	root	_	_
11	n	n	N	NN	_	9	app	_	_
12	als	als	K	KOKOM	_	11	kom	_	_
13	Bedeenten	Bedeente	N	NN	Fem|_|Pl	12	cj	_	_
14	an	an	P	PTKVZ	_	0	root	_	_
15	;	;	$	$.	_	0	root	_	_
16	dat	dat	F	FM	_	0	root	_	_
17	is	is	F	FM	_	16	app	_	_
18	de	de	F	FM	_	17	app	_	_
19	Künig	Künig	F	FM	_	18	app	_	_
20	tofreen	tofreen	F	FM	_	19	app	_	_
21	.	.	$	$.	_	0	root	_	_

1	Wenn	wenn	K	KOUS	_	0	root	_	_
2	he	he	N	NE	_	0	root	18	18
3	nu	nu	A	ADV	_	2	adv	18	18
4	also	also	A	ADV	_	5	adv	18	18
5	det	det	A	ADJA	_|Masc|Gen|Sg|_	6	attr	18	18
6	Morgens	Morgen	N	NN	Masc|Gen|Sg	2	gmod	18	18
7	den	die	A	ART	Def|_|_|_	8	det	15	15
8	Heren	Heren	N	NN	_|_|_	0	root	15	15
9	antrock	antrock	N	NE	_|_|_	8	app	15	15
10	,	,	$	$,	_	0	root	_	_
11	da	da	A	ADV	_	12	adv	_	_
12	jammerte	jammern	V	VVFIN	3|Sg|Past|_	0	root	_	_
13	de	de	F	FM	_|Nom|Sg	12	subj	_	_
14	jümmer	jümmer	F	FM	_|Nom|Sg	13	app	_	_
15	'	'	$	$(	_	0	root	_	_
16	o	o	F	FM	_|Nom|Sg	14	app	_	_
17	wenn	wenn	K	KOUS	_	20	konj	_	_
18	ik	ik	N	NE	_|Nom|Sg	20	subj	1	1
19	doch	doch	A	ADV	_	20	adv	_	_
20	eist	eisen	V	VVFIN	3|Sg|Pres|Ind	12	neb	_	_
21	mine	mine	N	NE	Fem|_|Sg	20	obja	_	_
22	Leiveste	Leiveste	N	NN	Fem|_|Sg	21	app	_	_
23	bie	bi	A	ADJA	Pos|_|_|_|_|	24	attr	_	_
24	mie	mie	F	FM	_|_|_	22	app	_	_
25	hädde	hädde	F	FM	_|_|_	24	app	_	_
26	.	.	$	$.	_	0	root	_	_

1	'	'	$	$(	_	0	root	_	_
2	De	De	F	FM	_	0	root	_	_
3	Ferenand	Ferenand	F	FM	_	2	app	_	_
4	ungetrü	ungetrü	F	FM	_	3	app	_	_
5	was	was	F	FM	_	4	app	_	_
6	awerst	awerst	F	FM	_	5	app	_	_
7	dem	die	A	ART	Def|_|Dat|Sg	8	det	_	_
8	Ferenand	Ferenand	F	FM	_|Dat|Sg	0	root	_	_
9	getrü	getrü	F	FM	_|Dat|Sg	8	app	_	_
10	jümmer	jümmer	F	FM	_|Dat|Sg	9	app	_	_
11	uppsettsig	uppsettsig	F	FM	_|Dat|Sg	10	app	_	_
12	,	,	$	$,	_	0	root	_	_
13	wie	wie	P	PWAV	_	20	adv	_	_
14	asso	asso	N	NE	_|Nom|Sg	20	subj	12	12
15	de	de	N	NE	_|Nom|Sg	14	app	12	12
16	Künig	Künig	N	NE	_|Nom|Sg	15	app	12	12
17	mal	mal	A	ADV	_	20	adv	_	_
18	wier	wier	A	ADJD	_	20	adv	_	_
19	so	so	A	ADV	_	20	adv	_	_
20	jammerte	jammern	V	VVFIN	3|Sg|Past|_	0	root	_	_
21	,	,	$	$,	_	0	root	_	_
22	da	da	K	KOUS	_	0	root	_	_
23	segd	segd	F	FM	_	0	root	_	_
24	he	he	F	FM	_	23	app	_	_
25	'	'	$	$(	_	0	root	_	_
26	Sie	sie	P	PPER	3|Pl|_|Nom	27	subj	15	15
27	haben	haben	V	VAFIN	3|Pl|Pres|_	0	root	_	_
28	ja	ja	A	ADV	_	27	adv	_	_
29	den	die	A	ART	Def|Masc|Acc|Sg	30	det	16	16
30	Vorreiter	Vorreiter	N	NN	Masc|Acc|Sg	27	obja	16	16
31	,	,	$	$,	_	0	root	16	16
32	den	die	P	PRELS	Masc|Acc|Sg	33	obja	16	16
33	schicken	schicken	V	VVFIN	3|Pl|Pres|_	30	rel	_	_
34	Sie	sie	P	PPER	3|Pl|_|Nom	33	subj	15	15
35	hin	hin	P	PTKVZ	_	33	avz	_	_
36	,	,	$	$,	_	0	root	_	_
37	der	die	P	PDS	Masc|Nom|Sg	38	subj	_	_
38	muß	müssen	V	VMFIN	3|Sg|Pres|Ind	33	kon	_	_
39	sie	sie	P	PPER	3|_|_|_	40	obja	15	15
40	herbeischaffen	herbeischaffen	V	VVINF	_	38	aux	_	_
41	,	,	$	$,	_	0	root	_	_
42	und	und	K	KON	_	38	kon	_	_
43	wenn	wenn	K	KOUS	_	47	konj	_	_
44	er	er	P	PPER	3|Sg|Masc|Nom	47	subj	12	12
45	es	es	P	PPER	3|Sg|Neut|_	47	obja	_	_
46	nicht	nicht	P	PTKNEG	_	47	adv	_	_
47	tut	tun	V	VVFIN	3|Sg|Pres|Ind	50	neb	_	_
48	,	,	$	$,	_	0	root	_	_
49	so	so	A	ADV	_	50	adv	_	_
50	muß	müssen	V	VMFIN	3|Sg|Pres|Ind	42	cj	_	_
51	ihm	er	P	PPER	3|Sg|_|Dat	57	objd	12	12
52	der	die	A	ART	Def|Masc|Nom|Sg	53	det	_	_
53	Kopf	Kopf	N	NN	Masc|Nom|Sg	50	subj	_	_
54	vor	vor	P	APPR	Acc	57	objp	_	_
55	die	die	A	ART	Def|Masc|Acc|Pl	56	det	_	_
56	Füße	Fuß	N	NN	Masc|Acc|Pl	54	pn	_	_
57	gelegt	legen	V	VVPP	_	58	aux	_	_
58	werden	werden	V	VAINF	_	50	aux	_	_
59	.	.	$	$.	_	0	root	_	_

1	'	'	$	$(	_	0	root	_	_
2	Da	Da	K	KOUS	_	0	root	_	_
3	leit	leit	N	NE	_	0	root	12	12
4	de	de	N	NE	_	3	app	12	12
5	Künig	Künig	N	NE	_	4	app	12	12
6	den	die	A	ART	Def|_|_|_	7	det	_	_
7	Ferenand	Ferenand	F	FM	_|_|_	0	root	_	_
8	getrü	getrü	F	FM	_|_|_	7	app	_	_
9	to	to	F	FM	_|_|_	8	app	_	_
10	sik	sik	F	FM	_|_|_	9	app	_	_
11	kummen	kummen	F	FM	_|_|_	10	app	_	_
12	un	un	F	FM	_|_|_	11	app	_	_
13	sehde	sehde	F	FM	_|_|_	12	app	_	_
14	üm	üm	F	FM	_|_|_	13	app	_	_
15	,	,	$	$,	_	0	root	_	_
16	he	he	F	FM	_	0	root	_	_
17	hädde	hädde	F	FM	_	16	app	_	_
18	da	da	F	FM	_	17	app	_	_
19	un	un	F	FM	_	18	app	_	_
20	da	da	A	ADV	_	0	root	_	_
21	,	,	$	$,	_	0	root	_	_
22	ne	ne	A	ADJA	_|Fem|_|Sg|_	23	attr	_	_
23	Leiveste	Leiveste	N	NN	Fem|_|Sg	0	root	_	_
24	,	,	$	$,	_	0	root	_	_
25	de	de	F	FM	Fem|_|Sg	23	app	_	_
26	sull	sull	F	FM	Fem|_|Sg	25	app	_	_
27	he	he	F	FM	Fem|_|Sg	26	app	_	_
28	ünn	ünn	F	FM	Fem|_|Sg	27	app	_	_
29	herschappen	herschappen	F	FM	Fem|_|Sg	28	app	_	_
30	,	,	$	$,	_	0	root	_	_
31	wenn	wenn	K	KOUS	_	0	root	_	_
32	he	he	F	FM	_	0	root	_	_
33	dat	dat	F	FM	_	32	app	_	_
34	nig	nig	F	FM	_	33	app	_	_
35	deie	deie	F	FM	_	34	app	_	_
36	,	,	$	$,	_	0	root	_	_
37	sull	sull	F	FM	_	35	app	_	_
38	he	he	F	FM	_	37	app	_	_
39	sterwen	sterwen	F	FM	_	38	app	_	_
40	.	.	$	$.	_	0	root	_	_

1	De	De	F	FM	_|Nom|Sg	13	subj	_	_
2	Ferenand	Ferenand	F	FM	_|Nom|Sg	1	app	_	_
3	getrü	getrü	F	FM	_|Nom|Sg	2	app	_	_
4	gienk	gienk	F	FM	_|Nom|Sg	3	app	_	_
5	in	in	F	FM	_|Nom|Sg	4	app	_	_
6	Stall	Stall	F	FM	_|Nom|Sg	5	app	_	_
7	to	to	F	FM	_|Nom|Sg	6	app	_	_
8	sinen	sinen	F	FM	_|Nom|Sg	7	app	_	_
9	Schümmel	Schümmel	F	FM	_|Nom|Sg	8	app	_	_
10	un	un	F	FM	_|Nom|Sg	9	app	_	_
11	grinde	grinde	F	FM	_|Nom|Sg	10	app	_	_
12	un	un	F	FM	_|Nom|Sg	11	app	_	_
13	jammerte	jammern	V	VVFIN	3|Sg|Past|_	0	root	_	_
14	.	.	$	$.	_	0	root	_	_

1	'	'	$	$(	_	0	root	_	_
2	O	O	N	NN	Neut|_|_	0	root	_	_
3	wat	wat	F	FM	Neut|_|_	2	app	_	_
4	sin	sin	F	FM	Neut|_|_	3	app	_	_
5	ik	ik	F	FM	Neut|_|_	4	app	_	_
6	'	'	$	$(	_	0	root	_	_
7	n	n	N	NN	Neut|_|_	5	app	_	_
8	unglücksch	unglücksch	N	NE	Neut|_|_	7	app	_	_
9	Minschenkind	Minschenkind	N	NE	Neut|_|_	8	app	_	_
10	.	.	$	$.	_	0	root	_	_

1	'	'	$	$(	_	0	root	_	_
2	Do	Do	F	FM	_	0	root	_	_
3	röppet	röppet	F	FM	_	2	app	_	_
4	jeimes	jeimes	F	FM	_	3	app	_	_
5	hinner	hinner	F	FM	_	4	app	_	_
6	üm	üm	F	FM	_	5	app	_	_
7	'	'	$	$(	_	0	root	_	_
8	Ferdinand	Ferdinand	N	NE	Masc|_|Sg	0	root	_	_
9	getreu	getreu	A	ADJD	Pos|	0	root	_	_
10	,	,	$	$,	_	0	root	_	_
11	was	was	P	PWS	Neut|_|Sg	12	obja	_	_
12	weinst	weinen	V	VVFIN	2|Sg|Pres|Ind	0	root	_	_
13	du	du	P	PPER	2|Sg|_|Nom	12	subj	17	17
14	?	?	$	$.	_	0	root	_	_

1	'	'	$	$(	_	0	root	_	_
2	He	He	F	FM	_	0	root	_	_
3	süt	süt	F	FM	_	2	app	_	_
4	sik	sik	F	FM	_	3	app	_	_
5	um	um	P	PTKVZ	_	0	root	_	_
6	,	,	$	$,	_	0	root	_	_
7	süt	süt	F	FM	_	0	root	_	_
8	awerst	awerst	F	FM	_	7	app	_	_
9	neimes	neimes	F	FM	_	8	app	_	_
10	,	,	$	$,	_	0	root	_	_
11	un	un	F	FM	_	0	root	_	_
12	jammerd	jammerd	F	FM	_	11	app	_	_
13	jümmer	jümmer	F	FM	_	12	app	_	_
14	fort	fort	P	PTKVZ	_	0	root	_	_
15	'	'	$	$(	_	0	root	_	_
16	o	o	F	FM	_	0	root	_	_
17	min	min	F	FM	_	16	app	_	_
18	lewe	lewe	F	FM	_	17	app	_	_
19	Schümmelken	Schümmelken	F	FM	_	18	app	_	_
20	,	,	$	$,	_	0	root	_	_
21	nu	nu	F	FM	_	0	root	_	_
22	mot	mot	F	FM	_	21	app	_	_
23	ik	ik	F	FM	_	22	app	_	_
24	die	die	A	ART	Def|_|_|_	25	det	_	_
25	verlaten	verlaten	N	NN	_|_|_	0	root	_	_
26	,	,	$	$,	_	0	root	_	_
27	nu	nu	F	FM	_|_|_	25	app	_	_
28	mot	mot	F	FM	_|_|_	27	app	_	_
29	ik	ik	F	FM	_|_|_	28	app	_	_
30	sterwen	sterwen	F	FM	_|_|_	29	app	_	_
31	.	.	$	$.	_	0	root	_	_

1	'	'	$	$(	_	0	root	_	_
2	Da	Da	K	KOUS	_	0	root	_	_
3	röppet	röppet	N	NE	_	0	root	_	_
4	et	et	F	FM	_	3	app	_	_
5	wier	wier	F	FM	_	4	app	_	_
6	'	'	$	$(	_	0	root	_	_
7	Ferdinand	Ferdinand	N	NE	Masc|_|Sg	5	app	_	_
8	getreu	getreu	A	ADJD	Pos|	0	root	_	_
9	,	,	$	$,	_	0	root	_	_
10	was	was	P	PWS	Neut|_|Sg	11	obja	_	_
11	weinst	weinen	V	VVFIN	2|Sg|Pres|Ind	0	root	_	_
12	du	du	P	PPER	2|Sg|_|Nom	11	subj	17	17
13	?	?	$	$.	_	0	root	_	_

1	'	'	$	$(	_	0	root	_	_
2	Do	Do	N	NN	Masc|Dat|Sg	3	objd	_	_
3	merket	merken	V	VVFIN	2|Pl|Pres|Subj	0	root	_	_
4	he	he	N	NE	_	3	obja	_	_
5	eist	eisen	V	VVFIN	_|_|Pres|Ind	0	root	_	_
6	,	,	$	$,	_	0	root	_	_
7	dat	dat	F	FM	_|_|_	0	root	_	_
8	dat	dat	F	FM	_|_|_	7	app	_	_
9	sin	sin	F	FM	_|_|_	8	app	_	_
10	Schümmelken	Schümmelken	F	FM	_|_|_	9	app	_	_
11	dei	dei	F	FM	_|_|_	10	app	_	_
12	,	,	$	$,	_	0	root	_	_
13	dat	dat	F	FM	_|_|_	11	app	_	_
14	Fragen	Frage	N	NN	_|_|_	13	app	_	_
15	.	.	$	$.	_	0	root	_	_

1	'	'	$	$(	_	0	root	_	_
2	Döst	dösen	V	VVFIN	2|Sg|Pres|Ind	11	s	_	_
3	du	du	P	PPER	2|Sg|_|Nom	2	subj	17	17
4	dat	dat	N	NE	_	2	obja	_	_
5	,	,	$	$,	_	0	root	_	_
6	min	min	N	NE	_	4	app	_	_
7	Schümmelken	Schümmelken	N	NE	_	6	app	_	_
8	,	,	$	$,	_	0	root	_	_
9	kannst	können	V	VMFIN	2|Sg|Pres|Ind	0	root	_	_
10	du	du	P	PPER	2|Sg|_|Nom	9	subj	17	17
11	küren	küren	V	VVINF	_	9	aux	_	_
12	(	(	$	$(	_	0	root	_	_
13	reden	reden	V	VVINF	_	11	par	_	_
14	)	)	$	$(	_	0	root	_	_
15	?	?	$	$.	_	0	root	_	_

1	'	'	$	$(	_	0	root	_	_
2	Un	Un	F	FM	_	0	root	_	_
3	segd	segd	F	FM	_	2	app	_	_
4	wier	wier	F	FM	_	3	app	_	_
5	'	'	$	$(	_	0	root	_	_
6	ik	ik	F	FM	_	4	app	_	_
7	sull	sull	F	FM	_	6	app	_	_
8	da	da	F	FM	_	7	app	_	_
9	un	un	F	FM	_	8	app	_	_
10	da	da	F	FM	_	9	app	_	_
11	hen	hen	F	FM	_	10	app	_	_
12	,	,	$	$,	_	0	root	_	_
13	un	un	F	FM	_	11	app	_	_
14	sull	sull	F	FM	_	13	app	_	_
15	de	de	F	FM	_	14	app	_	_
16	Brut	Brut	F	FM	_	15	app	_	_
17	halen	halen	F	FM	_	16	app	_	_
18	,	,	$	$,	_	0	root	_	_
19	west	west	F	FM	_	17	app	_	_
20	du	du	F	FM	_	19	app	_	_
21	nig	nig	F	FM	_	20	app	_	_
22	,	,	$	$,	_	0	root	_	_
23	wie	wie	P	PWAV	_	27	adv	_	_
24	ik	ik	F	FM	_|Nom|Sg	27	subj	_	_
25	dat	dat	F	FM	_|Nom|Sg	24	app	_	_
26	wol	wol	F	FM	_|Nom|Sg	25	app	_	_
27	anfange	anfangen	V	VVFIN	3|Sg|Pres|Subj	0	root	_	_
28	?	?	$	$.	_	0	root	_	_

